word,count_a,count_b,total_count,log_odds,z_score,variance
good,15,17,32,1.1473250811515188,3.238782614500425,0.12549007431631554
especially,6,3,9,1.9645173759090886,2.778248788236871,0.4999993982871015
against,8,7,15,1.4050953460217492,2.7149034550123505,0.2678568826776292
bursting,9,9,18,1.271660714549216,2.6976010424246675,0.2222220082797862
speed,30,178,208,-0.514771240116958,-2.6082779747804103,0.038951196451505174
reliable,6,4,10,1.6767739588975203,2.5976484018998103,0.4166662320961445
changing,13,98,111,-0.7529785829638156,-2.5509776296294104,0.08712683682678411
moment,15,106,121,-0.6884053968972443,-2.4954616316700173,0.07610036487736589
stay,6,5,11,1.4535689629466049,2.4004913122594482,0.36666630777823883
route,7,7,14,1.2713441333304782,2.3784682287285204,0.28571401064543944
kyle,4,1,5,2.657347136665689,2.376805966221544,1.2499974427227412
limit,4,1,5,2.657347136665689,2.376805966221544,1.2499974427227412
showed,30,64,94,0.5152084547662295,2.328466214969591,0.048958272009809005
pushed,4,2,6,1.964139381319371,2.2679941657431213,0.7499990974306523
mayo,4,2,6,1.964139381319371,2.2679941657431213,0.7499990974306523
right,19,36,55,0.6331171320492466,2.23270335488443,0.08040926295764897
gaps,5,4,9,1.4942327343363102,2.2274717444996046,0.44999955593574714
relentless,6,6,12,1.2711859095755624,2.2017596411128832,0.33333301241967933
beautifully,14,25,39,0.691956053149215,2.072910143432707,0.11142844560818145
should,8,11,19,0.9528639174329641,2.050669333977852,0.21590887241514492
middle,8,11,19,0.9528639174329641,2.050669333977852,0.21590887241514492
lane,4,3,7,1.5586130527963942,2.0407045357187927,0.5833327483345196
nick,4,3,7,1.5586130527963942,2.0407045357187927,0.5833327483345196
simply,4,3,7,1.5586130527963942,2.0407045357187927,0.5833327483345196
qb,5,46,51,-0.9507030978193507,-2.018946041067816,0.22173813684084298
explosive,5,46,51,-0.9507030978193507,-2.018946041067816,0.22173813684084298
sack,2,31,33,-1.472068867950294,-2.0177559184908906,0.5322540767074806
athleticism,6,50,56,-0.8517910609264892,-1.971517223755258,0.18666590708808056
go,2,30,32,-1.4392175185300333,-1.9707368966348735,0.5333294652800348
attack,9,14,23,0.8295199220665257,1.9415492210758036,0.1825394893669118
forward,11,19,30,0.7249406466996593,1.9134415821982058,0.1435405105053528
aggression,13,24,37,0.6585116192122733,1.9122299981434991,0.11858960727960846
run,8,12,20,0.8657909338791123,1.8968538874566134,0.20833311604807225
effort,10,17,27,0.7407594314942987,1.8587458312448308,0.15882335446944104
ultimately,7,10,17,0.9144844866267476,1.8556716133388123,0.24285689401809846
mistimes,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
steps,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
jump,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
steelers,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
chasing,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
allen,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
saints,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
cole,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
inability,3,2,5,1.6762378741162234,1.836227548360608,0.833332464192289
recognition,6,8,14,0.9833807603521105,1.820868260360945,0.2916663741672598
gains,6,8,14,0.9833807603521105,1.820868260360945,0.2916663741672598
linebackers,6,8,14,0.9833807603521105,1.820868260360945,0.2916663741672598
aggressive,9,15,24,0.7604654173645553,1.803603084458459,0.17777758380333836
momentary,9,15,24,0.7604654173645553,1.803603084458459,0.17777758380333836
hands,4,4,8,1.270869595670641,1.797281883363685,0.499999518629519
new,4,4,8,1.270869595670641,1.797281883363685,0.499999518629519
near,2,26,28,-1.2958706074434803,-1.7659795188379046,0.5384581489492044
coverage,8,13,21,0.7856866113464136,1.7484636544052143,0.20192285915815741
split,19,104,123,-0.4319634644739194,-1.731364551301808,0.062246794076282065
plays,21,48,69,0.4452181138948159,1.701683668431587,0.0684522912199108
hawk,9,16,25,0.6958652566251473,1.670077556605518,0.17361091553118468
shows,3,29,32,-0.9995719718624656,-1.648161360597443,0.36781436210554913
