word,count_a,count_b,total_count,log_odds,z_score,variance
accuracy,20,6,26,-1.4583791605658032,-3.1331080892621492,0.21666568984791248
fine,4,2,6,-1.963726889417872,-2.2675200134932654,0.7499976734164062
brought,4,2,6,-1.963726889417872,-2.2675200134932654,0.7499976734164062
rather,5,2,7,-1.7404511857756448,-2.0802407932105216,0.699997481087091
board,5,2,7,-1.7404511857756448,-2.0802407932105216,0.699997481087091
defenders,5,2,7,-1.7404511857756448,-2.0802407932105216,0.699997481087091
tighten,28,5,33,-0.93661584903003,-1.9291682572249418,0.2357125955778358
line,86,11,97,-0.6066651997904731,-1.8945711743029456,0.10253598689278386
too,13,3,16,-1.1912392242119623,-1.859826909113817,0.4102540868410679
soars,13,3,16,-1.1912392242119623,-1.859826909113817,0.4102540868410679
mechanics,21,4,25,-1.0001837619683638,-1.8333733075737224,0.29761703846513143
solid,58,8,66,-0.6801062337044623,-1.8032908068326745,0.14224007535338234
ability,7,2,9,-1.4037144851406707,-1.7507436694573089,0.6428541230524365
truly,8,2,10,-1.270050807410569,-1.6065055542413516,0.6249967040150798
mark,8,2,10,-1.270050807410569,-1.6065055542413516,0.6249967040150798
directional,8,2,10,-1.270050807410569,-1.6065055542413516,0.6249967040150798
being,8,2,10,-1.270050807410569,-1.6065055542413516,0.6249967040150798
under,24,4,28,-0.8662536829895835,-1.6039962791971683,0.29166443488128324
returner,85,2,87,1.1034014423549934,1.5424455404598147,0.5117377039372325
steps,35,5,40,-0.712540451213739,-1.4903918868225445,0.2285694027156993
something,9,2,11,-1.1521354591215953,-1.4738209492921985,0.6111075302902953
turned,9,2,11,-1.1521354591215953,-1.4738209492921985,0.6111075302902953
avoid,9,2,11,-1.1521354591215953,-1.4738209492921985,0.6111075302902953
between,9,2,11,-1.1521354591215953,-1.4738209492921985,0.6111075302902953
oh,27,4,31,-0.7480717946258837,-1.3962917431679742,0.28703458014993816
impressive,18,3,21,-0.8651535143673215,-1.3873373240169695,0.38888591317504434
hold,18,3,21,-0.8651535143673215,-1.3873373240169695,0.38888591317504434
focus,57,1,58,1.395068454434961,1.3830386347696724,1.017471873450203
confidence,10,2,12,-1.0466426062538643,-1.3512141537558802,0.5999961285798657
looked,10,2,12,-1.0466426062538643,-1.3512141537558802,0.5999961285798657
kicking,10,2,12,-1.0466426062538643,-1.3512141537558802,0.5999961285798657
unit,19,3,22,-0.8109535730325055,-1.3053405459203258,0.38596180350300974
today,11,2,13,-0.9512000665376856,-1.2374084209100742,0.5909049248690782
get,20,3,23,-0.7595275397613186,-1.226752832744439,0.3833300909569066
pressure,41,5,46,-0.5535170139968049,-1.1685067668733295,0.22438792681145883
balance,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
cardinals,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
become,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
seemed,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
costly,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
fluid,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
show,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
margin,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
elevation,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
fans,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
makes,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
focused,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
composure,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
punting,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
slight,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
sets,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
seems,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
gasps,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
poised,4,1,5,-1.2686903861969245,-1.1347541704847657,1.2499934080301596
ready,12,2,14,-0.8640563081829278,-1.1313195960447338,0.5833288697625665
let,22,3,25,-0.663951826307251,-1.0787990266771936,0.3787843679281264
wants,13,2,15,-0.7838811985540053,-1.0320318139723113,0.5769183136492578
missing,13,2,15,-0.7838811985540053,-1.0320318139723113,0.5769183136492578
points,13,2,15,-0.7838811985540053,-1.0320318139723113,0.5769183136492578
experience,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
necessary,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
autumn,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
disbelief,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
leaves,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
however,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
close,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
take,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
fields,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
throughout,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
initial,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
head,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
placed,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
perfectly,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
leading,5,1,6,-1.0454152409263733,-0.9543322612143631,1.1999922571597315
foot,14,2,16,-0.7096408044697355,-0.9387707046327328,0.5714235067892482
crucial,55,2,57,0.6640800774935984,0.9225433565112203,0.5181641133313043
left,36,1,37,0.9327556930913303,0.920085113584428,1.0277318330567176
approach,36,1,37,0.9327556930913303,0.920085113584428,1.0277318330567176
strength,47,5,52,-0.41614139831053176,-0.884658679756696,0.2212739856029891
moment,25,3,28,-0.5357200161486793,-0.876782285987875,0.3733294173697911
position,34,1,35,0.8753328874077377,0.8627557274285038,1.0293682993171192
momentum,15,2,17,-0.640515491526882,-0.8508791102240459,0.5666612993622565
key,15,2,17,-0.640515491526882,-0.8508791102240459,0.5666612993622565
attempt,48,5,53,-0.394954579368747,-0.8404607849121529,0.22083067422481276
him,33,1,34,0.8453477551353323,0.8328404590066454,1.0302608044848105
clean,60,6,66,-0.35443430775370643,-0.8277853901688419,0.18333103572616347
improve,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
put,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
next,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
most,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
tight,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
strikes,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
simply,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
barely,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
perhaps,6,1,7,-0.8629620518292178,-0.798950669649888,1.166657739525133
showed,31,1,32,0.7825631135127313,0.770253344086259,1.0322183176144963
before,16,2,18,-0.5758445097442371,-0.7677965500485866,0.5624943289959696
return,27,3,30,-0.45849325795289264,-0.7533855581985309,0.370366183195561
power,17,2,19,-0.5150874083495207,-0.6890423468887916,0.5588175538715479
situations,17,2,19,-0.5150874083495207,-0.6890423468887916,0.5588175538715479
gain,17,2,19,-0.5150874083495207,-0.6890423468887916,0.5588175538715479
moments,28,1,29,0.6803841262948263,0.6685620848460782,1.035678256496973
follow,28,1,29,0.6803841262948263,0.6685620848460782,1.035678256496973
miss,28,1,29,0.6803841262948263,0.6685620848460782,1.035678256496973
job,7,1,8,-0.7086797102103928,-0.6629121058822718,1.1428470135784965
