word,count_a,count_b,total_count,log_odds,z_score,variance
should,27,6,33,1.23376203889016,2.7335867041371396,0.20370284758976626
turning,23,4,27,1.4786663863376708,2.729501748634677,0.29347671358449345
him,37,50,87,-0.578956489631909,-2.669762130337506,0.04702693949601097
after,97,50,147,0.3943375106877518,2.2650655093887453,0.03030921211416407
commendable,14,2,16,1.674373204919669,2.2149945915160987,0.5714249388154615
sharpen,4,11,15,-1.286555233859791,-2.2034832136204234,0.34090814621020976
quite,1,7,8,-2.2205053998824997,-2.0770992101065313,1.142849877630923
left,3,9,12,-1.373310366405751,-2.0599686052086157,0.4444431259355809
breaking,10,17,27,-0.8058817963824731,-2.0221546511864115,0.15882320596496455
weapon,4,10,14,-1.1910388896468325,-2.0132257683160124,0.3499990966561944
modest,25,9,34,0.750403958199823,1.930400952172121,0.15111068911786685
taken,1,6,7,-2.0661493822609502,-1.9128878764672157,1.1666602636757153
tools,2,7,9,-1.5272047096276964,-1.904762136453111,0.6428549769046259
target,21,7,28,0.8271482759212043,1.8952376039311805,0.19047562540096324
league,17,5,22,0.9520947514343074,1.8714533567192002,0.25882267846744844
looking,13,3,16,1.1944394500308029,1.8648217811348828,0.4102547437881014
become,9,15,24,-0.785822850069744,-1.8637444126053513,0.17777741914293632
turns,10,16,26,-0.745050621044431,-1.8482449507187477,0.16249967821132832
gain,95,53,148,0.3142919238741939,1.8331692150302326,0.029394178831012013
himself,9,1,10,1.9251068719053803,1.8263241409888769,1.1111021013499245
wrapped,22,8,30,0.740088101652999,1.792584886159128,0.17045407310510488
wants,20,7,27,0.778201033672528,1.7720442352430188,0.1928565923779372
minimal,20,7,27,0.778201033672528,1.7720442352430188,0.1928565923779372
chance,5,10,15,-0.9677390467736089,-1.766843651256912,0.29999933250427396
cut,5,10,15,-0.9677390467736089,-1.766843651256912,0.29999933250427396
quick,34,15,49,0.5472416476697424,1.765495899346287,0.09607819982695137
changer,6,11,17,-0.8807774276875424,-1.7354581406972933,0.2575752122600705
seam,6,11,17,-0.8807774276875424,-1.7354581406972933,0.2575752122600705
wait,1,5,6,-1.8836225386795666,-1.7195082360100624,1.1999944464509575
stafford,1,5,6,-1.8836225386795666,-1.7195082360100624,1.1999944464509575
scrimmage,1,5,6,-1.8836225386795666,-1.7195082360100624,1.1999944464509575
settling,8,1,9,1.807167814604341,1.7038203155782148,1.124991864940575
brees,8,1,9,1.807167814604341,1.7038203155782148,1.124991864940575
something,8,1,9,1.807167814604341,1.7038203155782148,1.124991864940575
go,8,13,21,-0.7602488798312086,-1.691855408947465,0.2019226743025627
yardage,21,8,29,0.6934109679019924,1.6689638488203338,0.17261858581494074
focus,17,22,39,-0.533017866839173,-1.6506145304666955,0.10427788304875353
refine,3,7,10,-1.1215839906049654,-1.6253316136329015,0.47618930567678086
slips,3,7,10,-1.1215839906049654,-1.6253316136329015,0.47618930567678086
hand,3,7,10,-1.1215839906049654,-1.6253316136329015,0.47618930567678086
hit,4,8,12,-0.9674831615710584,-1.5798951446789038,0.37499916563034247
dynamic,4,8,12,-0.9674831615710584,-1.5798951446789038,0.37499916563034247
under,4,8,12,-0.9674831615710584,-1.5798951446789038,0.37499916563034247
traffic,9,2,11,1.231757758689267,1.5756731302514257,0.6111085427692988
precise,7,1,8,1.6734804284890172,1.5654025774164801,1.142849877630923
afford,7,1,8,1.6734804284890172,1.5654025774164801,1.142849877630923
better,5,9,14,-0.8621723818884615,-1.5457412657876997,0.3111104588880145
instead,25,11,36,0.5493209874875635,1.5182448368953478,0.13090877485380367
quickness,1,4,5,-1.660273757924367,-1.4849968020708433,1.2499952719140242
forcing,1,4,5,-1.660273757924367,-1.4849968020708433,1.2499952719140242
excellent,1,4,5,-1.660273757924367,-1.4849968020708433,1.2499952719140242
even,1,4,5,-1.660273757924367,-1.4849968020708433,1.2499952719140242
touchdown,1,4,5,-1.660273757924367,-1.4849968020708433,1.2499952719140242
lined,9,13,22,-0.6423091493349995,-1.4812423204685539,0.18803383044993555
find,13,17,30,-0.5430470444026163,-1.4739181414933609,0.13574635596060378
show,12,4,16,0.8263528038486552,1.4312871643048577,0.3333323444516857
surveys,2,5,7,-1.1903210092930827,-1.4227075605915849,0.6999981933123888
consistently,2,5,7,-1.1903210092930827,-1.4227075605915849,0.6999981933123888
add,10,3,13,0.9316051434483228,1.415212093168083,0.43333193208847454
impact,8,2,10,1.1138182687565168,1.4088837160423167,0.6249976359570121
able,8,2,10,1.1138182687565168,1.4088837160423167,0.6249976359570121
reminder,6,1,7,1.51917378508295,1.40648548487428,1.1666602636757153
firing,6,1,7,1.51917378508295,1.40648548487428,1.1666602636757153
crossing,6,1,7,1.51917378508295,1.40648548487428,1.1666602636757153
off,65,63,128,-0.24488524992071348,-1.3851122880921778,0.031257575592195525
davis,3,6,9,-0.9672274220382491,-1.3678676598895316,0.4999988875071233
tough,3,6,9,-0.9672274220382491,-1.3678676598895316,0.4999988875071233
seemed,3,6,9,-0.9672274220382491,-1.3678676598895316,0.4999988875071233
defenders,22,10,32,0.5165324099853832,1.354361004758438,0.14545420181383212
which,4,7,11,-0.8337457634934804,-1.330199443734709,0.39285633119124813
impressive,4,7,11,-0.8337457634934804,-1.330199443734709,0.39285633119124813
moments,16,19,35,-0.44657575359942303,-1.3161285243164937,0.1151313709808025
makes,33,17,50,0.39165504726102274,1.3118996942262975,0.08912636487361655
surveying,5,8,13,-0.7441832519484288,-1.3053850703978929,0.32499935642265665
lack,5,8,13,-0.7441832519484288,-1.3053850703978929,0.32499935642265665
nice,5,8,13,-0.7441832519484288,-1.3053850703978929,0.32499935642265665
work,53,30,83,0.297920456285679,1.30394805610205,0.052201149486914886
making,13,16,29,-0.48221585834233416,-1.2914409465531356,0.13942282338235093
got,13,16,29,-0.48221585834233416,-1.2914409465531356,0.13942282338235093
thomas,6,9,15,-0.6796943408274982,-1.289630581256964,0.2777772421328418
agility,6,9,15,-0.6796943408274982,-1.289630581256964,0.2777772421328418
finds,11,14,25,-0.5156392872782813,-1.279784227119292,0.16233736493469864
free,10,13,23,-0.5367918820696103,-1.2761863566706066,0.1769227511007296
open,18,8,26,0.538789092302034,1.2679843335818959,0.180555122576172
managing,9,3,12,0.8260880054977386,1.2391338462830506,0.4444431259355809
hits,9,3,12,0.8260880054977386,1.2391338462830506,0.4444431259355809
next,9,3,12,0.8260880054977386,1.2391338462830506,0.4444431259355809
line,47,46,93,-0.25393612237531205,-1.2243659429700646,0.043015649594205896
enough,7,2,9,0.980130453540613,1.2224395098571255,0.6428549769046259
going,7,2,9,0.980130453540613,1.2224395098571255,0.6428549769046259
shaking,7,2,9,0.980130453540613,1.2224395098571255,0.6428549769046259
against,5,1,6,1.336696297793015,1.2202340149903312,1.1999944464509575
russell,5,1,6,1.336696297793015,1.2202340149903312,1.1999944464509575
moving,5,1,6,1.336696297793015,1.2202340149903312,1.1999944464509575
falling,5,1,6,1.336696297793015,1.2202340149903312,1.1999944464509575
scanning,32,17,49,0.36072593804108344,1.2019302006099566,0.09007333592543919
urgency,14,6,20,0.5749407530542125,1.178279366130682,0.23809465283839043
hesitation,14,6,20,0.5749407530542125,1.178279366130682,0.23809465283839043
secure,27,28,55,-0.3112264631611348,-1.1538688709798308,0.07275119316907108
through,16,18,34,-0.3923018688847071,-1.1417671708985506,0.11805534395859577
showcased,15,17,32,-0.39963234154396243,-1.128122128844476,0.12548997095524672
size,25,13,38,0.38185431879815823,1.1167296861660303,0.11692282269434445
real,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
past,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
golden,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
huddle,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
shown,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
despite,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
using,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
contested,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
talent,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
sharper,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
promise,2,4,6,-0.966971828042472,-1.1165641326085463,0.7499983312606849
hard,3,5,8,-0.7847000444632792,-1.074495871871693,0.533332257428809
aggressive,3,5,8,-0.7847000444632792,-1.074495871871693,0.533332257428809
role,3,5,8,-0.7847000444632792,-1.074495871871693,0.533332257428809
decent,3,5,8,-0.7847000444632792,-1.074495871871693,0.533332257428809
footwork,9,11,20,-0.4748424080637008,-1.0564586237251912,0.20201983516181768
strength,4,6,10,-0.679389141951046,-1.052506147733967,0.4166658631992627
oh,4,6,10,-0.679389141951046,-1.052506147733967,0.4166658631992627
athleticism,8,10,18,-0.4972657277358614,-1.0483291576574434,0.22499958948989995
fingers,5,7,12,-0.61044582526395,-1.042535700332684,0.34285649770178483
tackles,13,6,19,0.500675911356093,1.0144431310424906,0.24358917381208284
matt,6,2,8,0.8258233863309634,1.011424457353821,0.6666646889033714
nfl,6,2,8,0.8258233863309634,1.011424457353821,0.6666646889033714
delivering,6,2,8,0.8258233863309634,1.011424457353821,0.6666646889033714
made,6,2,8,0.8258233863309634,1.011424457353821,0.6666646889033714
expected,4,1,5,1.1133968554150426,0.9958543052527069,1.2499952719140242
