word,count_a,count_b,total_count,log_odds,z_score,variance
finds,7,6,13,1.9292439305988829,3.4676904928903056,0.3095235014904664
linebacker,6,6,12,1.7747539030526962,3.0739654426053664,0.3333330055077968
austin,5,5,10,1.7744720605440811,2.8056880574903778,0.3999996066093562
taylor,5,5,10,1.7744720605440811,2.8056880574903778,0.3999996066093562
allen,4,3,7,2.0619296510444975,2.6997010124569,0.5833327357347353
security,4,3,7,2.0619296510444975,2.6997010124569,0.5833327357347353
middle,9,18,27,1.0819355411314966,2.650191639355038,0.16666646177577688
defense,7,12,19,1.2357521356624002,2.5983308969964556,0.2261902206343559
safety,4,4,8,1.7741903298675616,2.5090852605435368,0.49999950826169526
cousins,4,4,8,1.7741903298675616,2.5090852605435368,0.49999950826169526
speed,14,162,176,-0.6800775980751261,-2.441321103634241,0.07760096607836944
managed,3,2,5,2.179430941534055,2.387448250239104,0.8333324454726116
able,3,2,5,2.179430941534055,2.387448250239104,0.8333324454726116
firing,3,2,5,2.179430941534055,2.387448250239104,0.8333324454726116
delivers,13,36,49,0.7568366224386738,2.3389845853679248,0.10470069353400396
expertly,4,5,9,1.5509894609525396,2.3120797434123017,0.44999954637143047
playmaker,4,5,9,1.5509894609525396,2.3120797434123017,0.44999954637143047
soft,5,8,13,1.3042962742270712,2.287888265335963,0.3249996444117954
quickly,11,30,41,0.7717696014668549,2.1895407910425098,0.12424223521907693
couple,3,3,6,1.773908710945416,2.1725866643916087,0.6666660110155936
miller,3,3,6,1.773908710945416,2.1725866643916087,0.6666660110155936
managing,6,12,18,1.0812621373859717,2.1625256040177376,0.2499996926636653
bobbling,4,6,10,1.3686105504642754,2.1202434772456047,0.4166662227363058
receiver,13,39,52,0.67662109686745,2.112750429338768,0.10256393444858611
make,8,101,109,-0.7657214504046674,-2.084800973972454,0.13490014735765934
skills,6,13,19,1.0011619652007209,2.028500521189812,0.24358942877714002
showcasing,2,49,51,-1.4277414872173742,-1.9791565575957084,0.5204018832292793
caliber,5,10,15,1.0810378735049317,1.9736973092983914,0.2999996311963984
well,5,10,15,1.0810378735049317,1.9736973092983914,0.2999996311963984
transform,5,10,15,1.0810378735049317,1.9736973092983914,0.2999996311963984
immediately,13,41,54,0.6264954466314787,1.9682715455493918,0.10131314790572366
significant,8,21,29,0.8094896951620605,1.948351397775196,0.17261879246376396
impactful,3,4,7,1.486169389768425,1.9458534893311374,0.5833327357347353
stepping,3,4,7,1.486169389768425,1.9458534893311374,0.5833327357347353
chains,3,4,7,1.486169389768425,1.9458534893311374,0.5833327357347353
beam,3,4,7,1.486169389768425,1.9458534893311374,0.5833327357347353
tom,3,4,7,1.486169389768425,1.9458534893311374,0.5833327357347353
nelson,3,4,7,1.486169389768425,1.9458534893311374,0.5833327357347353
scott,3,4,7,1.486169389768425,1.9458534893311374,0.5833327357347353
