word,count_a,count_b,total_count,log_odds,z_score,variance
eyes,10,38,48,1.410784680817505,3.9694676513851306,0.1263155845547109
carr,3,2,5,3.1481493546203367,3.4486263235008496,0.8333326124382052
sanford,3,2,5,3.1481493546203367,3.4486263235008496,0.8333326124382052
limited,3,4,7,2.4549177242745657,3.214243135772227,0.5833328481154353
smith,4,10,14,1.8267148606306778,3.0877134608585304,0.3499995947461874
defense,5,18,23,1.462392730396524,2.892821871998754,0.2555551598892103
chris,3,7,10,1.8951749272688492,2.7463709013538287,0.47618995108021966
line,7,35,42,1.1344886431141488,2.7400532346898974,0.1714282155128557
snapped,6,28,34,1.2031177003221796,2.67438373134567,0.20238055798279156
keen,3,8,11,1.761601173283446,2.6020589591751384,0.45833277671936756
defenders,2,3,5,2.3365174528912176,2.5595277369969534,0.8333326124382052
forces,2,3,5,2.3365174528912176,2.5595277369969534,0.8333326124382052
creating,2,3,5,2.3365174528912176,2.5595277369969534,0.8333326124382052
prevented,2,3,5,2.3365174528912176,2.5595277369969534,0.8333326124382052
mistake,2,3,5,2.3365174528912176,2.5595277369969534,0.8333326124382052
through,2,4,6,2.048793138006803,2.365743720182567,0.7499992513782725
opposing,3,10,13,1.5383728809906625,2.336957861818042,0.43333270471324314
stop,3,10,13,1.5383728809906625,2.336957861818042,0.43333270471324314
nelson,2,5,7,1.8256073158351658,2.1820193565419594,0.6999991894923748
favor,2,5,7,1.8256073158351658,2.1820193565419594,0.6999991894923748
faces,2,5,7,1.8256073158351658,2.1820193565419594,0.6999991894923748
marker,4,19,23,1.1844791919918292,2.153132438608144,0.3026309795667965
impact,7,46,53,0.8607276233147898,2.121564916248114,0.16459583143429124
scanning,5,201,206,-0.958340031905557,-2.116764473994058,0.2049718324499221
displayed,9,68,77,0.721563317858477,2.034255326711877,0.12581660726814142
definitive,2,6,8,1.643243473067674,2.0125553553251554,0.666665779411652
returns,2,6,8,1.643243473067674,2.0125553553251554,0.666665779411652
unable,2,6,8,1.643243473067674,2.0125553553251554,0.666665779411652
intentions,1,115,116,-2.008335630374016,-1.9997061845613555,1.0086493360360078
demonstrates,4,21,25,1.0843108641814725,1.9875768034866153,0.29761840113441274
tackle,10,80,90,0.6645563538452324,1.9813274565048329,0.11249963504780819
return,5,31,36,0.918225262723646,1.9053044744560412,0.23225747461881163
reads,17,164,181,0.47840936095722064,1.8776196059849064,0.06492083764260974
want,2,7,9,1.4890504978543992,1.8571736684201416,0.6428561711773008
decisively,2,7,9,1.4890504978543992,1.8571736684201416,0.6428561711773008
balance,2,7,9,1.4890504978543992,1.8571736684201416,0.6428561711773008
pivotal,2,7,9,1.4890504978543992,1.8571736684201416,0.6428561711773008
zone,2,7,9,1.4890504978543992,1.8571736684201416,0.6428561711773008
stepping,5,33,38,0.8556199490091414,1.7829191959032094,0.23030240948941927
