word,count_a,count_b,total_count,log_odds,z_score,variance
end,25,46,71,-0.6889482477502549,-2.7727237459702065,0.06173905762967179
second,17,4,21,1.3713028370864322,2.4676221810056376,0.30882284409566224
williams,2,12,14,-1.8696253170513337,-2.447917887592586,0.5833315535935526
tackle,87,54,141,0.4028526399720711,2.3253771663666347,0.03001273825214072
forward,10,1,11,2.226606913573251,2.122991697353862,1.0999945032950351
potentially,16,5,21,1.0873368297242756,2.1222660269600353,0.2624995438207742
drives,31,15,46,0.6505261866208629,2.0682956482493062,0.09892460635056508
footwork,121,143,264,-0.24710458067885455,-2.000505522005716,0.015257454494349877
positively,10,20,30,-0.7710769680141762,-1.9909134017768322,0.1499998144669013
late,8,1,9,2.003273615634325,1.8887082737689436,1.1249954776445446
provided,8,1,9,2.003273615634325,1.8887082737689436,1.1249954776445446
larger,11,3,14,1.2231975656795733,1.877975764872607,0.4242415973799809
providing,17,28,45,-0.5770785267360674,-1.8768621495374938,0.09453770969014494
pass,124,144,268,-0.22939743761469256,-1.8724639770583464,0.015008945555609672
quick,23,35,58,-0.4980911009767306,-1.8556367292706746,0.07204961177050352
immediately,17,7,24,0.8113791576159786,1.8067248273699321,0.2016803888531089
sustaining,37,21,58,0.4909399074567995,1.796904926154844,0.0746459886151263
steps,5,12,17,-0.9530505172402108,-1.7904714011458531,0.2833329384914924
shows,8,16,24,-0.7708553457834562,-1.7802152665405513,0.18749976808362664
slight,3,9,12,-1.1760753489543951,-1.7641144781053402,0.44444371147455275
moves,3,9,12,-1.1760753489543951,-1.7641144781053402,0.44444371147455275
commendable,58,73,131,-0.3088378438271677,-1.7557816722679926,0.030939978018405763
upper,1,6,7,-1.8691026404071165,-1.7304554328234747,1.1666631071871052
positioning,24,35,59,-0.455436025736045,-1.7184672052539571,0.07023802073104196
offensive,24,35,59,-0.455436025736045,-1.7184672052539571,0.07023802073104196
potential,14,23,37,-0.5742946877359998,-1.6941900030349055,0.11490670429571387
respond,4,10,14,-0.9937617506963496,-1.6797651486296143,0.3499994978238731
level,13,5,18,0.8794115245603544,1.6711402486018294,0.27692266800386045
through,16,7,23,0.7506591766909816,1.6564875802420056,0.20535686617463833
gain,64,43,107,0.3225416080259915,1.6357551820500817,0.038880772397940945
body,18,27,45,-0.4833539255550994,-1.5884639411036876,0.09259249333617994
positioned,6,1,7,1.7154018411828158,1.5881559264736957,1.1666631071871052
struggles,6,1,7,1.7154018411828158,1.5881559264736957,1.1666631071871052
