word,count_a,count_b,total_count,log_odds,z_score,variance
receivers,11,11,22,-1.3194578979038543,-3.094406610852147,0.1818177644699333
evade,3,6,9,-2.0110451499857867,-2.8440514058287465,0.4999985653665483
stepping,16,12,28,-1.031592856961593,-2.7013474314843706,0.14583298463747194
work,28,15,43,-0.6950077829295518,-2.1721043439017533,0.10238067009319335
modest,43,4,47,1.0639241930462475,2.035301166022815,0.2732524134261153
center,32,2,34,1.461077280458757,2.0045999682837063,0.5312402065451123
after,20,11,31,-0.720309160863291,-1.9188897448225741,0.14090870792116417
minimize,2,3,5,-1.721878605777336,-1.8862258525792823,0.8333312610839287
identify,2,3,5,-1.721878605777336,-1.8862258525792823,0.8333312610839287
making,98,16,114,0.5029495419551493,1.8652909693743163,0.07270355692371605
while,68,10,78,0.6063486367408348,1.7903225911606409,0.11470496778676731
showcased,24,12,36,-0.624960752425463,-1.7676584800057735,0.12499964134163707
well,22,1,23,1.7786052897574498,1.7395322957199344,1.0454280942741467
scanning,53,22,75,-0.44008683231021894,-1.73523269398546,0.06432226149217682
delivers,25,12,37,-0.5839927744624607,-1.6629066801280665,0.12333297049225148
forced,3,3,6,-1.3162688201573385,-1.6120953370756248,0.6666651363897554
defenders,3,3,6,-1.3162688201573385,-1.6120953370756248,0.6666651363897554
mobility,3,3,6,-1.3162688201573385,-1.6120953370756248,0.6666651363897554
completion,19,1,20,1.6315672167170137,1.5902723989695302,1.0526085616829113
additional,15,8,23,-0.6886320345914276,-1.5729485850671057,0.19166613688833944
throws,15,8,23,-0.6886320345914276,-1.5729485850671057,0.19166613688833944
demonstrated,68,11,79,0.5104937808160681,1.570830372225913,0.10561420432833213
accuracy,49,7,56,0.634180565266182,1.5695232570642101,0.1632639676968388
showed,18,1,19,1.5773551724084252,1.5353006935835596,1.0555336822311094
timely,28,3,31,0.9209605709719639,1.5160104189610875,0.3690436204887289
time,17,1,18,1.5200519572317939,1.4772394342846442,1.058802799569218
might,17,1,18,1.5200519572317939,1.4772394342846442,1.058802799569218
manages,17,1,18,1.5200519572317939,1.4772394342846442,1.058802799569218
pocket,108,38,146,-0.275510153781898,-1.4607155526310995,0.035574918324685983
deeper,61,10,71,0.4966868921178751,1.4558613047106108,0.1163926058559576
benefit,27,3,30,0.8844471478131348,1.4533025598002431,0.3703664974824011
releasing,42,6,48,0.6336989185875481,1.4519925827454259,0.19047462897964523
accurate,39,16,55,-0.42712762231541657,-1.438696933551207,0.088140737561989
precision,6,4,10,-0.9109109675054601,-1.4111789574004763,0.41666563054196437
remain,6,4,10,-0.9109109675054601,-1.4111789574004763,0.41666563054196437
right,28,12,40,-0.47022600087005184,-1.3628465869074988,0.11904724168386421
strong,4,3,7,-1.0284417620543485,-1.346547959114168,0.5833319385498877
stride,4,3,7,-1.0284417620543485,-1.346547959114168,0.5833319385498877
resulted,4,3,7,-1.0284417620543485,-1.346547959114168,0.5833319385498877
good,90,17,107,0.35544009511765307,1.3440691392236148,0.06993420043404475
allowing,30,4,34,0.7020225723596729,1.3188765403056222,0.2833308511148112
showcases,9,5,14,-0.7286962858684358,-1.3064397385515376,0.3111102700260681
however,82,29,111,-0.27949898726778155,-1.2936758388676486,0.046677710144781025
scans,14,1,15,1.3254616697744126,1.2805279680347268,1.0714112682353112
timing,41,16,57,-0.3768245008676585,-1.27836349467014,0.08688994944166388
open,29,12,41,-0.4349886061891546,-1.2672907953735546,0.11781570922417914
formation,54,20,74,-0.3248410932277732,-1.2409884699717662,0.0685182770673495
shotgun,54,20,74,-0.3248410932277732,-1.2409884699717662,0.0685182770673495
before,116,39,155,-0.2293967545408755,-1.2393202427241565,0.0342615851169454
overall,43,7,50,0.5026820148614002,1.2333693856567245,0.166111754651322
slightly,7,4,11,-0.7566149650888141,-1.2071414942198264,0.39285609615999934
effectiveness,7,4,11,-0.7566149650888141,-1.2071414942198264,0.39285609615999934
decisive,7,4,11,-0.7566149650888141,-1.2071414942198264,0.39285609615999934
footwork,13,1,14,1.2512089840045446,1.2057041935185127,1.076906914160324
reading,13,1,14,1.2512089840045446,1.2057041935185127,1.076906914160324
commendable,13,1,14,1.2512089840045446,1.2057041935185127,1.076906914160324
beyond,18,8,26,-0.5058732157841543,-1.1905206401971715,0.18055499719992008
looking,18,2,20,0.8836756464601647,1.1855814880365847,0.5555497462236016
makes,28,4,32,0.6327378893278839,1.1837490508602988,0.2857119434694679
secure,28,4,32,0.6327378893278839,1.1837490508602988,0.2857119434694679
pressure,141,46,187,-0.19948364834520582,-1.1748321331836742,0.028831216793423153
delivering,55,10,65,0.392265998382495,1.1410554445920458,0.11818104751416625
bounds,10,5,15,-0.6231902809618202,-1.1377862139765715,0.299999139219929
bit,5,3,8,-0.8051530890993437,-1.102502706926265,0.5333319458828791
downfield,49,9,58,0.38177864939708606,1.0527332445003794,0.13151842484048792
capitalize,11,1,12,1.083865539369838,1.037728853189891,1.0908952047525875
running,11,1,12,1.083865539369838,1.037728853189891,1.0908952047525875
decision,83,17,100,0.27343946025392807,1.0271312977595841,0.07087130839391294
middle,16,2,18,0.7656018901952688,1.020807279811584,0.5624947546586394
dropping,16,2,18,0.7656018901952688,1.020807279811584,0.5624947546586394
positive,8,4,12,-0.6229382013111904,-1.0172552823892127,0.3749989240249112
poise,51,18,69,-0.2759833855001732,-1.006654703721295,0.07516312382738731
receiver,111,36,147,-0.19249364711712547,-1.003624657444263,0.036786642914152796
strike,3,2,5,-0.9102616353808903,-0.9971429016573539,0.8333312610839287
pushed,3,2,5,-0.9102616353808903,-0.9971429016573539,0.8333312610839287
