word,count_a,count_b,total_count,log_odds,z_score,variance
determination,6,16,22,1.2066770385833108,2.5206693225215924,0.2291660851645033
read,14,60,74,0.7347722082780006,2.475582039321798,0.08809490598137308
moving,4,8,12,1.4934461842350606,2.438789949611858,0.3749992179044896
forward,10,39,49,0.8277101299986054,2.3351419551857595,0.12564058999106248
tighter,6,18,24,1.088708391720199,2.309502470673425,0.22222160427074666
space,6,18,24,1.088708391720199,2.309502470673425,0.22222160427074666
effort,4,9,13,1.3755705148601338,2.289090276253625,0.36111029940557104
front,4,9,13,1.3755705148601338,2.289090276253625,0.36111029940557104
left,4,106,110,-1.0996748893477433,-2.1590152067944883,0.2594282188485899
situations,9,39,48,0.7215190935992233,1.951109280603246,0.13675161606463446
consistently,2,3,5,1.7799391337572565,1.9498273912574635,0.8333318270747399
cutback,2,3,5,1.7799391337572565,1.9498273912574635,0.8333318270747399
both,2,3,5,1.7799391337572565,1.9498273912574635,0.8333318270747399
powers,2,3,5,1.7799391337572565,1.9498273912574635,0.8333318270747399
available,2,3,5,1.7799391337572565,1.9498273912574635,0.8333318270747399
physicality,2,3,5,1.7799391337572565,1.9498273912574635,0.8333318270747399
advancing,2,3,5,1.7799391337572565,1.9498273912574635,0.8333318270747399
crowded,3,7,10,1.3385619403119797,1.9397627722003414,0.47618937901068914
solid,17,92,109,0.5009991964263341,1.8977682148860096,0.06969276924442967
ultimately,4,12,16,1.08761044312425,1.883799165552589,0.33333240640612005
demonstrates,4,13,17,1.007475042249692,1.762025348836912,0.3269221066320624
commendable,6,24,30,0.8004692433883225,1.7537433537170926,0.20833259468885484
through,20,263,283,-0.4004669225681421,-1.7265084197547955,0.05380168773982904
option,2,4,6,1.4921647719596445,1.7230052622728647,0.7499984358089792
pick,2,4,6,1.4921647719596445,1.7230052622728647,0.7499984358089792
moves,2,4,6,1.4921647719596445,1.7230052622728647,0.7499984358089792
side,8,130,138,-0.6095698921933081,-1.6734147379122126,0.13269050208236027
further,6,25,31,0.7595543693664846,1.6707999256333426,0.20666590692081846
created,3,9,12,1.0870623790175502,1.6305958356933825,0.44444320854149333
pushing,3,9,12,1.0870623790175502,1.6305958356933825,0.44444320854149333
reflects,3,9,12,1.0870623790175502,1.6305958356933825,0.44444320854149333
benefit,5,20,25,0.8000131132359298,1.6000290629206924,0.2499991136266258
gaining,5,91,96,-0.7217261467271019,-1.5712519436826429,0.21098579789875743
right,10,52,62,0.5388174787296096,1.5604450477987526,0.11923023287825027
traffic,2,54,56,-1.115156972250964,-1.5486695740109553,0.5185068234510625
maximize,3,66,69,-0.9106606605481549,-1.5426543185670716,0.3484784395753864
showing,4,15,19,0.8641887777420463,1.5357063309575194,0.3166656055674345
chains,2,5,7,1.2689288670624919,1.5166619197402247,0.6999983065032425
decisively,2,5,7,1.2689288670624919,1.5166619197402247,0.6999983065032425
help,3,10,13,0.9816092719921503,1.4911737891748758,0.4333320198778551
met,9,47,56,0.5341884142253921,1.4681540093384682,0.13238710895369113
