word,count_a,count_b,total_count,log_odds,z_score,variance
touchback,3,2,5,-2.2134567976367556,-2.4247245444495453,0.8333305095153476
makes,3,2,5,-2.2134567976367556,-2.4247245444495453,0.8333305095153476
powerful,3,2,5,-2.2134567976367556,-2.4247245444495453,0.8333305095153476
tackle,8,3,11,-1.6395617246888579,-2.421798927237678,0.4583311530239124
performance,9,3,12,-1.5216111977957532,-2.2824227460534314,0.44444212747098266
approach,17,4,21,-1.1742730618406476,-2.1130775228867127,0.3088213630785729
lands,5,2,7,-1.7022972534956384,-2.0346389930060598,0.6999968251645172
zone,11,3,14,-1.3206053995369853,-2.02753032537324,0.42423981046943166
teams,19,4,23,-1.062711554381571,-1.9317902298448046,0.3026292311230586
end,12,3,15,-1.233426416892554,-1.9108223390028167,0.4166638971638566
future,6,2,8,-1.519808589926619,-1.8613826278867525,0.666663191206474
demonstrated,58,8,66,-0.64257264277173,-1.7037731240388563,0.1422397358068104
maintain,7,2,9,-1.3654907453063139,-1.7030712196012976,0.6428533366993934
steady,9,2,11,-1.113841853067095,-1.4248365473417952,0.611106597850938
toward,18,3,21,-0.826954997602523,-1.3260845126200282,0.3888851383063343
approaches,27,4,31,-0.7099689859382483,-1.325173525946558,0.28703394038322805
coverage,88,3,91,0.7718276055017279,1.3146542453356118,0.3446811386327318
benefit,10,2,12,-1.0083140481549338,-1.3017331319662406,0.5999951204697784
crucial,19,3,22,-0.7727199506576676,-1.243799612660134,0.3859609939852261
special,19,3,22,-0.7727199506576676,-1.243799612660134,0.3859609939852261
situations,19,3,22,-0.7727199506576676,-1.243799612660134,0.3859609939852261
return,63,2,65,0.8411441808381284,1.1711425154109951,0.5158475771007809
focus,20,3,23,-0.7212588008720502,-1.164944264969144,0.3833292466508023
ability,50,6,56,-0.5000053699599523,-1.1572952038152653,0.18666419883305674
time,62,2,64,0.8249750049615114,1.1483444736902129,0.5161039840119179
position,43,1,44,1.151253309629097,1.1381339856029768,1.023186966957901
form,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
moment,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
timed,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
score,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
speed,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
foot,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
contact,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
instance,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
onto,4,1,5,-1.230162722174878,-1.1002946447966953,1.2499916914915699
returner,57,2,59,0.7400481468311471,1.028717400505509,0.51752076381097
further,22,3,25,-0.6256128218112327,-1.0165064557005905,0.37878345371065625
enhance,22,3,25,-0.6256128218112327,-1.0165064557005905,0.37878345371065625
execution,23,3,26,-0.5809931156556729,-0.946480140222829,0.3768069992717384
snap,121,6,127,0.39583369242525235,0.9464247150242941,0.1749255987677087
drop,5,1,6,-1.0068528482037005,-0.919130432527354,1.1999902409395569
cardinals,5,1,6,-1.0068528482037005,-0.919130432527354,1.1999902409395569
crowd,5,1,6,-1.0068528482037005,-0.919130432527354,1.1999902409395569
while,5,1,6,-1.0068528482037005,-0.919130432527354,1.1999902409395569
lines,34,4,38,-0.47826720095799935,-0.9047970604311039,0.27940799893073626
strong,14,2,16,-0.6711723221096948,-0.887882484889618,0.5714221879714853
reliability,14,2,16,-0.6711723221096948,-0.887882484889618,0.5714221879714853
work,32,1,33,0.8539483998706068,0.8409313168142183,1.0311983413771673
maintaining,25,3,28,-0.497275532142746,-0.8138635110504697,0.3733283976661135
territory,31,1,32,0.8220325369796146,0.8091059671986416,1.0322079680238359
ensure,15,2,17,-0.6020120000824596,-0.7997309564761641,0.5666599017324719
unit,15,2,17,-0.6020120000824596,-0.7997309564761641,0.5666599017324719
hold,15,2,17,-0.6020120000824596,-0.7997309564761641,0.5666599017324719
yardage,15,2,17,-0.6020120000824596,-0.7997309564761641,0.5666599017324719
fair,6,1,7,-0.8243649144661562,-0.7632172877382074,1.166655414919003
slightly,6,1,7,-0.8243649144661562,-0.7632172877382074,1.166655414919003
accurate,6,1,7,-0.8243649144661562,-0.7632172877382074,1.166655414919003
holder,6,1,7,-0.8243649144661562,-0.7632172877382074,1.166655414919003
effectiveness,6,1,7,-0.8243649144661562,-0.7632172877382074,1.166655414919003
potential,6,1,7,-0.8243649144661562,-0.7632172877382074,1.166655414919003
kick,119,11,130,-0.23899284062312054,-0.7583797771948493,0.09931075763299282
hang,47,2,49,0.5454591543459388,0.7555028670455307,0.5212574032007659
longer,47,2,49,0.5454591543459388,0.7555028670455307,0.5212574032007659
goal,60,6,66,-0.315992433301604,-0.7380051557750434,0.183330437438595
soaring,16,2,18,-0.5373059982289643,-0.7164125493977892,0.5624928522848974
snapped,28,1,29,0.719748520389798,0.7072457046132407,1.0356688749002412
which,28,1,29,0.719748520389798,0.7072457046132407,1.0356688749002412
showcasing,38,4,42,-0.3663677162057617,-0.6969756540302362,0.2763116386405341
demonstrating,26,1,27,0.6453064762912604,0.633256503070812,1.0384192506906904
distance,43,2,45,0.45583834124141376,0.6301749528562313,0.5232381818897178
delivering,7,1,8,-0.6700478145703688,-0.6267758396016067,1.1428443759429705
confidence,7,1,8,-0.6700478145703688,-0.6267758396016067,1.1428443759429705
stands,7,1,8,-0.6700478145703688,-0.6267758396016067,1.1428443759429705
situation,7,1,8,-0.6700478145703688,-0.6267758396016067,1.1428443759429705
composed,7,1,8,-0.6700478145703688,-0.6267758396016067,1.1428443759429705
progresses,7,1,8,-0.6700478145703688,-0.6267758396016067,1.1428443759429705
sends,7,1,8,-0.6700478145703688,-0.6267758396016067,1.1428443759429705
landing,25,1,26,0.6059187700592314,0.5941638708378711,1.0399592734708567
