word,count_a,count_b,total_count,log_odds,z_score,variance
skills,8,18,26,-1.081584430250964,-2.5453978638392187,0.18055499313329754
momentum,1,5,6,-1.8780412204552137,-1.714414387072593,1.199992786175666
reliability,8,1,9,1.8133209801900652,1.709623444650941,1.1249894329119348
spot,26,11,37,0.5951028827434532,1.6545309978638643,0.12937021258730838
defender,55,57,112,-0.3072254739676721,-1.6254270635901704,0.03572559517571186
positively,3,7,10,-1.1160303732964136,-1.617284241912546,0.4761889557417768
over,11,3,14,1.033247419112639,1.5863472869838593,0.4242404921621092
moving,11,3,14,1.033247419112639,1.5863472869838593,0.4242404921621092
additional,59,32,91,0.3478652323331195,1.584498829975529,0.04819901958426655
speed,1,4,5,-1.654631896593381,-1.4799513951120038,1.249993858415437
looks,1,4,5,-1.654631896593381,-1.4799513951120038,1.249993858415437
soft,42,22,64,0.38187124901639624,1.4509871658021636,0.06926387445242131
making,12,4,16,0.8325152105111062,1.441961421015526,0.33333204881736156
looking,10,3,13,0.9377331367913326,1.4245218869306107,0.4333315131749368
crucial,8,2,10,1.119911795639835,1.4165923011372001,0.6249969292077185
effectiveness,8,2,10,1.119911795639835,1.4165923011372001,0.6249969292077185
crisp,2,5,7,-1.1846930176289971,-1.4159813615524275,0.6999976531879006
utilizing,2,5,7,-1.1846930176289971,-1.4159813615524275,0.6999976531879006
better,6,1,7,1.5252325218083582,1.4120959589688151,1.1666583494556433
target,17,7,24,0.6214291292820731,1.3837581114151494,0.20168001002749236
davis,3,6,9,-0.9616130323474437,-1.3599281573098585,0.4999985549178054
receiving,3,6,9,-0.9616130323474437,-1.3599281573098585,0.4999985549178054
catch,167,148,315,-0.15228810621002697,-1.3489638396598103,0.012744751026019394
seam,4,7,11,-0.8281449133477237,-1.3212639769967836,0.39285608853667764
showing,5,8,13,-0.7385959216921352,-1.2955846185782738,0.32499916401958917
thomas,6,9,15,-0.6741205257036595,-1.279055369112824,0.2777770819970947
towards,11,4,15,0.7452995963324893,1.2764751848033473,0.3409078637846026
scans,8,11,19,-0.5872353751605042,-1.2637968629858845,0.21590856617075022
offense,10,13,23,-0.5312721745719875,-1.263063973500616,0.1769226536932681
taken,7,2,9,0.9861766283423572,1.2299810468924322,0.6428543293756501
off,5,1,6,1.3427078491379643,1.225722646087319,1.199992786175666
runs,32,33,65,-0.30053723998905824,-1.2113623651765866,0.061552887916828586
quarterback,84,77,161,-0.18392313148532802,-1.1657593951314398,0.024891717120667796
