word,count_a,count_b,total_count,log_odds,z_score,variance
anderson,21,25,46,1.6040758600527552,5.419081542767895,0.08761902862959847
ryan,12,8,20,2.1834414940930875,4.783681190376919,0.20833328515333366
derek,11,3,14,3.077247642507035,4.724496058961796,0.42424224585701265
justin,16,21,37,1.5061760291739619,4.538836683736296,0.1101190232369042
scott,11,8,19,2.0963562844459567,4.511590557764195,0.21590904246108378
hunt,10,2,12,3.387341052884385,4.373039708840324,0.5999996669799692
wright,10,8,18,2.000972278731701,4.218420418618756,0.22499995076745177
smith,17,29,46,1.2440013378415449,4.072540804048465,0.09330626520495411
explosive,18,283,301,-0.9800916734788858,-4.031932826500082,0.05908902489894542
reed,10,10,20,1.7778038150900546,3.97529060551137,0.1999999573051069
phillips,10,10,20,1.7778038150900546,3.97529060551137,0.1999999573051069
let,12,16,28,1.4901946195691256,3.9022459449505638,0.14583330090448698
simon,9,9,18,1.777742453785712,3.7711616353486477,0.2222221747834521
joe,7,4,11,2.3372728481068945,3.728997917582995,0.3928570455138805
baker,8,8,16,1.7776810977777888,3.555362575045161,0.24999994663138358
mike,9,12,21,1.4900230023576153,3.379054928845281,0.19444440120598266
strike,8,10,18,1.5545126341361417,3.2772007421298204,0.22499995076745177
henry,8,11,19,1.4591899950234462,3.1403382394379804,0.21590904246108378
solid,72,283,355,0.410199338396378,3.1077089749334945,0.01742245001100554
effort,25,72,97,0.7203479892054174,3.103078829814092,0.05388887032606838
enough,13,29,42,0.975441935739469,2.9224528602837183,0.11140580368684108
massive,8,133,141,-1.0347859417328227,-2.8425765192176535,0.13251856098659892
sooner,4,1,5,3.163767125051418,2.829759984474096,1.249999432958619
nick,5,5,10,1.7774970615245316,2.8104699243187814,0.3999999146102138
refined,5,5,10,1.7774970615245316,2.8104699243187814,0.3999999146102138
block,72,295,367,0.36852061126671476,2.8035358085546314,0.017278711390799874
engaging,37,131,168,0.5140092763723301,2.760914225421371,0.03466060066986475
deliver,7,11,18,1.3255848024102752,2.7416794543761656,0.2337661786783738
tenacity,46,175,221,0.44226017133003825,2.669191464725843,0.027453404230934085
tries,9,18,27,1.084483105406699,2.6564305973404183,0.16666662219282302
train,11,149,160,-0.8299082061845571,-2.656194420250696,0.09762035839586776
freight,11,149,160,-0.8299082061845571,-2.656194420250696,0.09762035839586776
defensive,139,651,790,0.23530809221404425,2.518380367265809,0.008730338351354823
trent,4,4,8,1.7774357266942786,2.5136739792401457,0.49999989326276717
value,4,4,8,1.7774357266942786,2.5136739792401457,0.49999989326276717
athleticism,8,118,126,-0.914934163652064,-2.5043262888908315,0.13347436516668926
push,44,172,216,0.414989364088572,2.4564093897144565,0.02854121352763436
bringing,16,47,63,0.7002264976782078,2.419230575374698,0.08377656643320716
future,6,98,104,-1.016796664103203,-2.417722688829388,0.17687043879198
reset,3,2,5,2.1828518954841876,2.39119472219784,0.8333331406133346
stalemated,3,2,5,2.1828518954841876,2.39119472219784,0.8333331406133346
faster,8,17,25,1.023797145465756,2.3878850928931916,0.18382347848421302
incredible,7,105,112,-0.9316526356773123,-2.3866515912642807,0.15238070732618428
like,30,280,310,-0.4576848249479166,-2.3824595075263857,0.03690472471769999
outside,17,52,69,0.6597664643095058,2.361521491695965,0.07805427043486916
