word,count_a,count_b,total_count,log_odds,z_score,variance
kyle,17,4,21,2.7688262984590866,4.982423512835743,0.3088233585326121
speed,125,722,847,-0.4367373268028203,-4.508191657670311,0.009385034663496754
explosive,22,216,238,-0.9653527854483315,-4.313562125033608,0.05008411379254949
ryan,11,4,15,2.3331567695937228,3.9959929471731863,0.3409089599624597
hawk,18,19,37,1.2676647526698233,3.854043921127871,0.10818710777113533
fill,11,7,18,1.7734942706998469,3.6680813515925057,0.23376617009725326
brian,9,4,13,2.132368953762393,3.5484770209813963,0.3611109910788548
gaps,10,6,16,1.8322917870042357,3.5482182843148355,0.2666665921000728
mayo,12,10,22,1.50384248283612,3.51221979572184,0.1833332873460295
reliable,14,15,29,1.2525671709039825,3.3706350071202786,0.13809520394219235
allen,10,8,18,1.544578529896433,3.2562578647252995,0.22499994309842197
good,40,80,120,0.6289214281360422,3.247736790475164,0.037499988434639496
nick,12,12,24,1.321489708590593,3.2369758857120403,0.16666662554538134
packers,8,5,13,1.7913682486377676,3.142268207251581,0.3249999107925152
cole,10,9,19,1.4267798929786348,3.1052851646797084,0.21111105873477776
significantly,7,1,8,3.267277972928488,3.05626003705518,1.1428561358059852
athleticism,33,218,251,-0.5684908807340348,-3.0434911238773723,0.03489015718107504
right,37,76,113,0.6021396981820173,3.0037637030017357,0.04018490916771578
joe,7,4,11,1.880937424541128,3.00093841429794,0.3928570303505714
jacobs,10,10,20,1.3214037723882956,2.9547490252941446,0.19999995065445758
solid,134,377,511,0.28853798801428177,2.868901966752662,0.010115202506786311
zach,8,7,15,1.4548648390106322,2.811066282798591,0.2678570761792936
made,23,43,66,0.6959441163580609,2.694018725144991,0.06673405502825407
gains,11,14,25,1.0802378470305385,2.681080168752487,0.16233762111407707
showed,44,102,146,0.4811759812884473,2.667804560063328,0.032531183261462655
linebacker,104,288,392,0.304002824325746,2.6573427989646032,0.013087601783552958
weaver,9,10,19,1.2159846884807477,2.6465043642674084,0.21111105873477776
effort,27,55,82,0.6102006256153842,2.596743283130068,0.055218837998460196
action,14,22,36,0.8694655847382737,2.5431768603792135,0.11688308504862663
react,20,137,157,-0.6042450435006126,-2.524287049897077,0.05729922062079303
crucial,69,182,251,0.3522748533984892,2.491753645259438,0.0199872516791502
traffic,15,25,40,0.8106368092229435,2.482058533665099,0.10666663684002911
turning,7,7,14,1.3212748920025765,2.47187928475077,0.2857142152206537
especially,7,7,14,1.3212748920025765,2.47187928475077,0.2857142152206537
coverage,49,121,170,0.4179850802784726,2.468465840390117,0.028672615908185303
thunderous,7,69,76,-0.9678898125469155,-2.44001757646833,0.1573497031714205
offensive,59,311,370,-0.34269179843304975,-2.4132882327506033,0.020164573041556402
stepping,13,21,34,0.8418346616570833,2.3854412680075567,0.12454209021231645
saints,13,21,34,0.8418346616570833,2.3854412680075567,0.12454209021231645
volumes,4,2,6,2.014324294598884,2.3259417061151564,0.74999976869279
speaks,4,2,6,2.014324294598884,2.3259417061151564,0.74999976869279
advancement,4,2,6,2.014324294598884,2.3259417061151564,0.74999976869279
style,4,2,6,2.014324294598884,2.3259417061151564,0.74999976869279
far,4,2,6,2.014324294598884,2.3259417061151564,0.74999976869279
increase,4,2,6,2.014324294598884,2.3259417061151564,0.74999976869279
filling,5,4,9,1.544348113240904,2.302178532525913,0.44999988619684395
stay,7,8,15,1.1877279019345899,2.2949086188225882,0.2678570761792936
beyond,7,8,15,1.1877279019345899,2.2949086188225882,0.2678570761792936
jason,7,8,15,1.1877279019345899,2.2949086188225882,0.2678570761792936
execute,6,6,12,1.3212319382504845,2.2884411279434835,0.33333325109076267
deep,6,6,12,1.3212319382504845,2.2884411279434835,0.33333325109076267
agility,25,153,178,-0.4915160115958095,-2.278471270368717,0.04653591164036617
hustle,13,22,35,0.7952990250745211,2.2734191065282254,0.12237758790795653
moment,27,162,189,-0.471737102494699,-2.269387652851152,0.043209843671584744
deliver,5,54,59,-1.0591219829150447,-2.2656986730596524,0.21851822488412492
aggressive,27,60,87,0.5231110629549809,2.257313387659344,0.05370368599997704
rams,10,15,25,0.9158606085382521,2.243391466249826,0.1666666221186089
away,9,74,83,-0.7864952294588372,-2.2278932856703273,0.1246244963450279
should,9,13,22,0.953573596362264,2.199053853098989,0.18803413846875658
route,21,44,65,0.5818499411053484,2.1937663515510777,0.07034629802157626
awareness,132,398,530,0.21884507634235284,2.17885052066054,0.010088316224609883
beautifully,31,73,104,0.46517780337616,2.1699247099222414,0.045956678895055114
want,23,50,73,0.5450117932574381,2.163183992712897,0.06347824024359712
runner,23,50,73,0.5450117932574381,2.163183992712897,0.06347824024359712
exploding,10,77,87,-0.7208634549529762,-2.144563721727219,0.11298690385035019
young,1,33,34,-2.175986526797245,-2.143752274749887,1.0302988320969024
demonstrates,20,42,62,0.5795524395384968,2.133224709567699,0.0738095003522106
navigate,7,9,16,1.0699292651636512,2.1230753372652296,0.2539681893180102
vikings,7,9,16,1.0699292651636512,2.1230753372652296,0.2539681893180102
create,3,40,43,-1.26974088835951,-2.121152335168071,0.35833274061373627
refine,46,242,288,-0.34041325349247753,-2.1163961427495477,0.025871344442540273
lane,10,16,26,0.8513064724351302,2.1118317370839654,0.1624999553962576
edge,31,175,206,-0.41074551146652993,-2.107847773080633,0.03797232295633775
idea,4,3,7,1.6088436703083602,2.1064710994153355,0.5833331834119828
lanes,4,3,7,1.6088436703083602,2.1064710994153355,0.5833331834119828
escapes,4,3,7,1.6088436703083602,2.1064710994153355,0.5833331834119828
tide,4,3,7,1.6088436703083602,2.1064710994153355,0.5833331834119828
bobby,4,3,7,1.6088436703083602,2.1064710994153355,0.5833331834119828
beeline,4,3,7,1.6088436703083602,2.1064710994153355,0.5833331834119828
alec,4,3,7,1.6088436703083602,2.1064710994153355,0.5833331834119828
disciplined,12,21,33,0.7617333718697958,2.1049721065537996,0.13095234345019047
continues,6,7,13,1.1670656663642314,2.0977238508172875,0.3095237322465645
expertly,6,7,13,1.1670656663642314,2.0977238508172875,0.3095237322465645
why,34,188,222,-0.3900559253595359,-2.0929985553319166,0.034730889176219484
slipping,5,5,10,1.3211889876859786,2.088983468014995,0.39999990130891516
powerful,15,99,114,-0.5667641944669057,-2.0455654876247755,0.07676761282846356
attack,11,19,30,0.7747781156289948,2.044984038578243,0.14354062901853754
quick,67,188,255,0.29021408050085284,2.0396929745774135,0.020244514172705574
instance,8,12,20,0.9157903192450378,2.006396331324656,0.2083332776482611
changing,32,176,208,-0.38465185446771333,-2.0015555067210373,0.03693179229517576
showcases,20,121,141,-0.4798042006958383,-1.9877526406093935,0.05826441813613074
eyes,79,229,308,0.2577521734640591,1.9754150198925597,0.01702503326249025
fast,16,33,49,0.5974771857646735,1.9612832358830017,0.09280300113961287
disengaging,7,10,17,0.964553145748205,1.9572701738615272,0.24285707908558368
target,7,10,17,0.964553145748205,1.9572701738615272,0.24285707908558368
plays,77,223,300,0.258636418053773,1.9567120995727123,0.017471310933475877
