word,count_a,count_b,total_count,log_odds,z_score,variance
end,170,262,432,-0.5426499630622326,-5.510018597870989,0.00969914442253535
tackle,477,319,796,0.2975066138510707,4.1133406310041885,0.005231231011582137
frame,16,40,56,-1.0243734779258586,-3.4630149833311847,0.08749997118901065
agility,83,121,204,-0.48553482497320477,-3.406725063113374,0.020312650636762852
protecting,31,58,89,-0.7346476489045433,-3.3020146270723956,0.049499430307339144
power,36,63,99,-0.667819970757547,-3.1964166724800815,0.04365078214544914
before,90,47,137,0.5430073929285877,3.0172806155129277,0.03238769789371803
block,363,257,620,0.239526830630445,2.9381789956569944,0.006645869920259169
potential,76,105,181,-0.43157804221798823,-2.8656394727378514,0.022681698838644345
tua,1,17,18,-2.941065439374529,-2.8582046174175417,1.0588214786082424
second,79,41,120,0.549127742306271,2.8529114786919387,0.0370484614621759
tools,3,16,19,-1.7817627579225048,-2.8320037981847554,0.39583308520921806
being,67,33,100,0.6013701185255753,2.827719183472228,0.04522839048188877
strength,542,575,1117,-0.1687160141670354,-2.8181450033717885,0.003584148069650417
today,19,37,56,-0.7744250213962056,-2.743867186822744,0.07965858371693406
part,10,25,35,-1.0241425955486205,-2.7371366704437916,0.13999995390241707
far,3,15,18,-1.717200270775451,-2.715132828678066,0.3999997638351129
longer,95,54,149,0.4581779855441548,2.6884367547267902,0.029044826631825567
quickness,93,53,146,0.45557355798051535,2.647046360848341,0.029620604882335377
rusher,147,177,324,-0.2942679883369914,-2.6370348298295045,0.01245243572593291
effort,63,32,95,0.570521582058916,2.6281829899555618,0.047123002621783705
pulls,16,32,48,-0.8010378579780495,-2.6161790602350106,0.09374997338886298
slight,13,28,41,-0.8751144280462446,-2.607496127711752,0.1126373291542265
drives,110,66,176,0.404146391521067,2.595677531469043,0.024242418003411585
get,43,19,62,0.7097644795931224,2.5764962301344196,0.0758873695935559
experience,27,9,36,0.9915104994931374,2.5760203295127218,0.14814809207859855
moves,14,29,43,-0.8361002424015576,-2.5691366305593357,0.10591129933448969
grit,23,7,30,1.0824439923869535,2.507597531204773,0.18633532777292297
raw,2,12,14,-1.899471250290146,-2.486992523470188,0.5833329249018522
remains,2,12,14,-1.899471250290146,-2.486992523470188,0.5833329249018522
fierce,81,105,186,-0.3677543040396243,-2.4867865058457297,0.021869483401827875
decent,42,19,61,0.6862124183410119,2.48196222318132,0.07644107964502031
throughout,43,63,106,-0.4899878511664699,-2.477062331219623,0.03912882028506824
veteran,34,14,48,0.780232422767253,2.457009984264522,0.10084030361403362
lack,24,8,32,0.9914698114209797,2.428595592929536,0.16666660358842336
creating,307,223,530,0.21348101834504885,2.4262916416653533,0.007741632074385772
cornerstone,19,34,53,-0.6897956060213035,-2.4082346771785534,0.08204332177822515
upper,4,14,18,-1.3604799493001085,-2.3996615887523345,0.32142843326791715
brought,38,17,55,0.69731632554954,2.389817920286664,0.08513929295271222
tagovailoa,2,11,13,-1.8124359288203458,-2.357775590146509,0.5909087097028776
kind,58,31,89,0.5194946961885982,2.334968454685914,0.049499430307339144
maintaining,257,185,442,0.22235749515132675,2.3061795476220612,0.009296453762919894
powerful,248,272,520,-0.2010302035265914,-2.28965465051445,0.007708726894766339
physical,6,16,22,-1.0885512413919542,-2.273909774521382,0.22916658752318014
