word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,10,27,37,-2.237119847412081,-6.043248678230083,0.13703691406707041
agility,7,19,26,-2.2414644912679016,-5.069570948910656,0.19548854567819587
extend,33,28,61,-1.078829276545802,-4.198787738474985,0.06601727690674347
rolls,13,17,30,-1.5107128257502476,-4.100318166309503,0.1357465241157488
threat,5,12,17,-2.117565979696465,-3.978215400819881,0.28333310009308577
evades,6,11,17,-1.8480650753061036,-3.641370905404322,0.25757557850233126
mobility,17,16,33,-1.1815430424808113,-3.392166465240762,0.12132345836519037
evading,17,16,33,-1.1815430424808113,-3.392166465240762,0.12132345836519037
right,156,72,228,-0.47106244069244596,-3.3062810551293444,0.02029912970694485
evade,18,16,34,-1.1243469598152656,-3.272331274893601,0.11805548607033484
fires,123,15,138,0.8660991043404183,3.166844651109288,0.07479656604871773
incredible,13,13,26,-1.2419268051984442,-3.1663054324673725,0.15384606391976624
dual,2,7,9,-2.4943206260493103,-3.110966119490272,0.6428564315903551
escape,12,12,24,-1.2418339948992019,-3.0418605217616492,0.16666656924641343
tackler,5,8,13,-1.7115793142680804,-3.00230970268902,0.3249997886589583
move,18,14,32,-0.9905545503136697,-2.77973765083684,0.12698405040282648
tucks,3,6,9,-1.9345372546121826,-2.7358498218654743,0.4999996346741251
coming,25,17,42,-0.8563342940175316,-2.7240388244037037,0.09882346729796362
scrambles,11,10,21,-1.1463006046872684,-2.623525828825927,0.19090897881139005
signature,4,6,10,-1.6468176945174404,-2.5512398098052587,0.41666640282016626
dynamic,6,7,13,-1.3955584535548642,-2.508425050908515,0.3095236264466349
intensity,12,10,22,-1.0592515852180524,-2.473879457149306,0.18333322438501837
taking,12,10,22,-1.0592515852180524,-2.473879457149306,0.18333322438501837
steps,102,15,117,0.678093382839112,2.4521257152301947,0.07647043297328641
escaping,3,5,8,-1.7520854380109663,-2.3991425873526233,0.5333329800225879
scoring,3,5,8,-1.7520854380109663,-2.3991425873526233,0.5333329800225879
navigate,3,5,8,-1.7520854380109663,-2.3991425873526233,0.5333329800225879
stepping,43,23,66,-0.6163957695112448,-2.386085381449847,0.06673402792728708
hit,17,12,29,-0.8933390178168699,-2.3693680195273834,0.14215677455982875
charging,5,6,11,-1.4236365956881132,-2.3510591584151572,0.36666644877003673
burst,1,4,5,-2.6274983823842692,-2.3501074570559584,1.249998447365975
spin,1,4,5,-2.6274983823842692,-2.3501074570559584,1.249998447365975
showed,110,18,128,0.5711904923015751,2.246513218583182,0.06464634609391141
desired,2,4,6,-1.934314179766984,-2.233554440746936,0.7499994520111876
powerful,2,4,6,-1.934314179766984,-2.233554440746936,0.7499994520111876
scrambling,2,4,6,-1.934314179766984,-2.233554440746936,0.7499994520111876
minimize,2,4,6,-1.934314179766984,-2.233554440746936,0.7499994520111876
even,48,24,72,-0.5488965191325628,-2.195586878635095,0.06249995433426564
deftly,4,5,9,-1.464365863303196,-2.182948396790735,0.44999973038945507
unleashes,21,13,34,-0.7620524028221505,-2.159368906849996,0.12454204321153436
relying,6,6,12,-1.241277460732836,-2.149956256627295,0.33333313849282686
remarkable,6,6,12,-1.241277460732836,-2.149956256627295,0.33333313849282686
scans,103,17,120,0.5624633298798383,2.1485578849404843,0.06853214261626675
continues,10,8,18,-1.018244109358279,-2.1466477094799843,0.22499986519472753
