word,count_a,count_b,total_count,log_odds,z_score,variance
grit,17,9,26,2.7879012796101277,6.762955492041618,0.16993456488413253
determination,48,155,203,0.9821795692194906,5.946062723845142,0.027284928464550523
leonard,8,3,11,3.131274955629622,4.625200930141933,0.458333076740163
zach,7,2,9,3.4030525472814617,4.244353712409857,0.642856694922895
physicality,8,10,18,1.927158775700729,4.062808195813282,0.2249999151037485
john,6,4,10,2.555537543949754,3.9590225287393923,0.4166665005041802
lowers,7,8,15,2.016635504968505,3.896510705215278,0.2678570433748496
surprising,10,21,31,1.4084921657845726,3.665923003818087,0.1476189776231726
backfield,24,89,113,0.8409234614114247,3.656099704160226,0.05290258298874294
tough,7,10,17,1.7934509277035895,3.6392688690062585,0.24285704771098926
effort,10,22,32,1.3619516118822093,3.5710681256936505,0.14545447438729173
derek,4,2,6,2.8429077417860285,3.282707855259215,0.7499996548933264
willingness,4,2,6,2.8429077417860285,3.282707855259215,0.7499996548933264
peyton,4,3,7,2.4374222497685425,3.191335457614426,0.5833331096530582
situations,20,80,100,0.7646891446822055,3.058757775072682,0.062499951109906624
explosive,6,175,181,-1.2264693519967214,-2.9540186261199204,0.17238002590066218
smith,9,26,35,1.089278342473289,2.816520422930314,0.1495725605123357
carrier,3,2,5,2.555049409923747,2.7989169528010565,0.8333330010083604
agility,39,523,562,-0.45082902061307717,-2.7159851662190233,0.027553003144233028
clean,19,82,101,0.688485246217704,2.7040695618147876,0.06482664663878467
bears,5,10,15,1.4566259132142099,2.659423513569889,0.2999998619573306
trubisky,3,3,6,2.1495639025681896,2.6326678499596503,0.666666421257445
palmer,3,3,6,2.1495639025681896,2.6326678499596503,0.666666421257445
patrick,3,3,6,2.1495639025681896,2.6326678499596503,0.666666421257445
running,22,102,124,0.6169541440376634,2.624542823397006,0.05525841767444538
powering,13,50,63,0.8032896870426258,2.580232011964324,0.09692300367194465
wall,19,85,104,0.6524915068569843,2.571252011666511,0.0643962291556471
left,18,284,302,-0.6121787711337419,-2.518667565265992,0.05907651006819729
met,27,138,165,0.5196112795053116,2.469211183277969,0.044283370594993675
brady,6,16,22,1.1689970884458658,2.441955959260276,0.2291665383700815
nothing,3,4,7,1.8618613844323688,2.4377492467160082,0.5833331096530582
sharpening,3,4,7,1.8618613844323688,2.4377492467160082,0.5833331096530582
decent,5,12,17,1.2742633329425361,2.393924577520718,0.2833331864457187
fights,5,12,17,1.2742633329425361,2.393924577520718,0.2833331864457187
growing,3,5,8,1.6386973686059836,2.2438792523430156,0.533333110828988
tom,3,5,8,1.6386973686059836,2.2438792523430156,0.533333110828988
available,3,5,8,1.6386973686059836,2.2438792523430156,0.533333110828988
barrels,8,28,36,0.89716979449602,2.2379354388595187,0.16071417373072375
tighter,8,28,36,0.89716979449602,2.2379354388595187,0.16071417373072375
approach,4,9,13,1.3386870761516025,2.2277105038718883,0.36111093202489913
shows,10,39,49,0.7890831726103587,2.226164288627287,0.12564092952367123
reliable,7,23,30,0.9602749583425361,2.2245801506149556,0.18633528060083585
accelerates,12,192,204,-0.6253253769951286,-2.1015167179353127,0.08854140490154416
showed,25,136,161,0.4569361499095841,2.0998209449371545,0.047352892161308426
jaguars,4,10,14,1.233306059102845,2.0846682828279506,0.3499998131822716
josh,3,6,9,1.4563553376745508,2.05959794402785,0.4999997699288843
great,15,72,87,0.5816483188121735,2.049334865276329,0.08055548129801243
navigate,4,97,101,-1.0406057124796826,-2.039587550591953,0.2603081145204618
taking,5,15,20,1.0510582355733318,2.0353661455067567,0.26666650306057105
style,6,20,26,0.9457714369300199,2.031843659669253,0.21666652177302756
navigates,2,73,75,-1.4493577306964758,-2.0221941395043483,0.5136951765019495
evading,3,82,85,-1.1601630257858755,-1.973686656772789,0.34552671465094126
charging,11,49,60,0.6561057068034621,1.9664946067995586,0.11131715830705559
aggressive,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
versatility,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
impactful,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
receives,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
advantage,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
commitment,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
advancing,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
separation,2,3,5,1.7439225968308456,1.910371870573089,0.8333330010083604
