word,count_a,count_b,total_count,log_odds,z_score,variance
stands,23,10,33,-1.769976636294892,-4.672772986604374,0.14347812819620798
jake,6,5,11,-2.4187300001694068,-3.9944025048262066,0.36666641457705085
bills,7,5,12,-2.2645430931572124,-3.8674449795597847,0.34285689775234907
today,22,8,30,-1.5903400301165966,-3.8519968719308633,0.17045436600134234
elite,3,4,7,-2.8883527116144396,-3.781742741889504,0.5833329224197559
panthers,8,5,13,-2.130975461964261,-3.737979641810688,0.3249997554946978
justin,4,4,8,-2.6006345052990856,-3.6778538317372784,0.4999996618768136
eagles,9,5,14,-2.0131561797102595,-3.609274228907715,0.3111108633211246
stephen,1,4,5,-3.9870365878041554,-3.5661164979387534,1.2499982037222603
sharp,2,3,5,-3.005682638257304,-3.2925615694161463,0.8333327228331859
stride,3,3,6,-2.6001814821361915,-3.184560011707442,0.6666662158357515
patriots,3,3,6,-2.6001814821361915,-3.184560011707442,0.6666662158357515
finding,4,3,7,-2.3124632758207557,-3.0277262101874975,0.5833329224197559
raiders,4,3,7,-2.3124632758207557,-3.0277262101874975,0.5833329224197559
brett,11,4,15,-1.588780045825036,-2.7211013263727115,0.3409087320026847
directional,31,7,38,-1.113046933136551,-2.6598177976533117,0.1751149317854755
decision,12,4,16,-1.5017324219474553,-2.6010783199941594,0.3333329576411242
plants,7,3,10,-1.7527389334639256,-2.539961208243078,0.476190031493471
mark,13,4,17,-1.421653464488851,-2.48640127642891,0.32692268365506516
showcase,8,3,11,-1.6191713352780335,-2.3916757955932657,0.45833286195695905
near,8,3,11,-1.6191713352780335,-2.3916757955932657,0.45833286195695905
too,15,4,19,-1.278480113847377,-2.2719203248030944,0.31666623659312443
ready,37,7,44,-0.9358982987453262,-2.270662583464931,0.16988385539642326
score,9,3,12,-1.5013520887145972,-2.2520294021771052,0.44444394352149896
trusted,4,2,6,-1.9065093627442211,-2.201448318036712,0.7499993660191756
struggles,4,2,6,-1.9065093627442211,-2.201448318036712,0.7499993660191756
looking,4,2,6,-1.9065093627442211,-2.201448318036712,0.7499993660191756
reinforcing,4,2,6,-1.9065093627442211,-2.201448318036712,0.7499993660191756
breaking,4,2,6,-1.9065093627442211,-2.201448318036712,0.7499993660191756
soars,48,8,56,-0.8092369470630167,-2.119081960708281,0.14583302925777122
kicking,32,6,38,-0.9266214320428094,-2.0828671103659855,0.1979162972118382
consistently,17,4,21,-1.153244455344347,-2.075231321290168,0.30882306105605895
returner,260,10,270,0.6638565445718116,2.0600651003477606,0.10384523957077516
downfield,168,5,173,0.9193668482847741,2.0258528651983947,0.20595003909318352
wall,5,2,7,-1.6833296818815917,-2.011964781149797,0.6999993136102125
bringing,5,2,7,-1.6833296818815917,-2.011964781149797,0.6999993136102125
browns,11,3,14,-1.3006089597921209,-1.9968248965175857,0.4242418591517968
future,11,3,14,-1.3006089597921209,-1.9968248965175857,0.4242418591517968
opponents,11,3,14,-1.3006089597921209,-1.9968248965175857,0.4242418591517968
put,11,3,14,-1.3006089597921209,-1.9968248965175857,0.4242418591517968
coverage,247,10,257,0.6120870569007817,1.8975661631403262,0.1040477126019838
truly,12,3,15,-1.2135613615297975,-1.880042527954184,0.41666606790742017
punter,101,2,103,1.3258306373252537,1.8567303315926915,0.5098922801586347
fine,6,2,8,-1.5009719829483092,-1.838308774176124,0.6666659152822484
slight,6,2,8,-1.5009719829483092,-1.838308774176124,0.6666659152822484
mattered,6,2,8,-1.5009719829483092,-1.838308774176124,0.6666659152822484
makes,20,4,24,-0.9906167386353975,-1.8086120352955304,0.2999994725285097
place,20,4,24,-0.9906167386353975,-1.8086120352955304,0.2999994725285097
rolling,20,4,24,-0.9906167386353975,-1.8086120352955304,0.2999994725285097
deeper,7,2,9,-1.3467851532210533,-1.6797372807121203,0.6428563199763428
timed,7,2,9,-1.3467851532210533,-1.6797372807121203,0.6428563199763428
drop,7,2,9,-1.3467851532210533,-1.6797372807121203,0.6428563199763428
enough,7,2,9,-1.3467851532210533,-1.6797372807121203,0.6428563199763428
advantage,7,2,9,-1.3467851532210533,-1.6797372807121203,0.6428563199763428
flipping,7,2,9,-1.3467851532210533,-1.6797372807121203,0.6428563199763428
poised,14,3,17,-1.0593382319012798,-1.6650803256950568,0.4047612367585479
mechanics,22,4,26,-0.8952340256078761,-1.6469926442644358,0.2954539778415563
poise,49,7,56,-0.6545599087937903,-1.619955081930491,0.16326491181047684
powerful,60,8,68,-0.5856571396085455,-1.5560020500035379,0.14166630102479755
demonstrated,70,9,79,-0.5494160209003534,-1.551524467638143,0.12539649017173998
tighter,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
seam,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
rather,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
balance,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
evident,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
skills,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
invaluable,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
lane,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
continues,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
often,8,2,10,-1.2132176053509296,-1.5346134747668945,0.6249991018611302
expertly,57,1,58,1.4457922803420757,1.4332881786007412,1.0175242428395825
cardinals,25,4,29,-0.7672918425055659,-1.424826725806901,0.2899993714638922
turned,9,2,11,-1.0953984104450063,-1.401239473483739,0.6111101353554733
focused,9,2,11,-1.0953984104450063,-1.401239473483739,0.6111101353554733
build,9,2,11,-1.0953984104450063,-1.401239473483739,0.6111101353554733
chance,55,1,56,1.410002073124037,1.3973690565690882,1.0181628773696272
wants,17,3,20,-0.8650735275232595,-1.3814130087275132,0.39215608796189005
counts,26,4,30,-0.7280348557992182,-1.3555286563937425,0.2884608894762718
set,52,1,53,1.3538044295176386,1.34098366349608,1.0192128423834952
ability,164,17,181,-0.3345380981763748,-1.3129657488071242,0.06492087634681795
refining,18,3,21,-0.807878880114755,-1.2954896274923866,0.3888880780207232
beautifully,18,3,21,-0.807878880114755,-1.2954896274923866,0.3888880780207232
shows,18,3,21,-0.807878880114755,-1.2954896274923866,0.3888880780207232
