word,count_a,count_b,total_count,log_odds,z_score,variance
him,107,130,237,-0.4706904498459119,-3.605993034286998,0.017038093864735517
agility,74,94,168,-0.514610828126103,-3.3113430223923177,0.024151799622382703
brees,29,2,31,2.4019377281567396,3.2854559036938418,0.5344809152780213
allen,1,21,22,-3.3189344462163293,-3.2426349806289614,1.0476138278732827
stafford,3,16,19,-1.948034603530278,-3.0962838613693324,0.39583281601054016
jones,4,16,20,-1.6603111714106902,-2.9700564085228627,0.31249968559915314
davis,11,24,35,-1.0543227328821807,-2.895620533692451,0.13257567471709497
rodgers,6,17,23,-1.315442435315597,-2.7701812120371008,0.22549002599745732
speed,41,55,96,-0.5683757171779176,-2.7546934671281136,0.04257204105252267
soft,183,100,283,0.33317197418387945,2.6791739477425143,0.01546447217452906
become,28,41,69,-0.6557557647609116,-2.674783442812512,0.060104499065596215
broncos,19,2,21,1.978664811970714,2.6616740787723994,0.5526303223702597
flacco,1,12,13,-2.7588272817381636,-2.650599306674965,1.0833302345387998
goff,18,2,20,1.92455599426314,2.5820656023438255,0.5555543573176126
exactly,3,12,15,-1.6601335513452398,-2.5718691324929743,0.41666624746553754
contested,6,15,21,-1.1901697153036874,-2.4638862366438254,0.23333317314912475
athleticism,31,42,73,-0.5780003653236054,-2.441025310524607,0.05606756054692036
cardinals,2,10,12,-1.8832089054093188,-2.4312137390711164,0.5999992614171094
towards,41,15,56,0.7331021959174358,2.4294514472411355,0.09105684376462636
powering,3,11,14,-1.5730674386179269,-2.415129908438159,0.42424202861325927
dynamic,9,18,27,-0.9670657200437054,-2.3688182627938796,0.16666656803105834
off,191,185,376,-0.2435834252486968,-2.3613287857613647,0.010641002459084215
target,141,77,218,0.3333140493161917,2.3522334091773938,0.02007920026879794
tony,1,9,10,-2.4709814749731143,-2.3441813830989506,1.1111087146352252
lines,55,64,119,-0.4260745015747833,-2.317306605867091,0.033806801991788024
falcons,15,2,17,1.742109659705294,2.314259461253886,0.5666656426989125
reliability,15,2,17,1.742109659705294,2.314259461253886,0.5666656426989125
