word,count_a,count_b,total_count,log_odds,z_score,variance
under,270,165,435,1.3516677865980942,13.678838690778779,0.009764308022239326
pressure,367,348,715,0.9128740468388097,12.200581431088485,0.005598357968628778
poise,115,28,143,2.2693294216932465,10.768557611908586,0.044409922550483046
kick,120,13,133,3.0794469157791236,10.546524398634185,0.08525634704998022
quarterback,515,2006,2521,-0.515054696877121,-10.426440747803147,0.002440251255074067
athleticism,68,596,664,-1.321834173698436,-10.326916731025891,0.016383723154213988
pocket,267,258,525,0.8923450071201842,10.2215948851221,0.007621286133590139
reliable,199,162,361,1.0630346233671242,10.04564645486341,0.011197963318701001
interception,37,444,481,-1.6351022705617524,-9.555753514038377,0.029279251194170127
allowing,165,131,296,1.087517511900642,9.293259381174117,0.013694191614544878
accuracy,83,21,104,2.230146335162317,9.129888157907299,0.0596672204709362
precision,100,50,150,1.5491001726797062,8.943734904462644,0.029999994046250016
teams,97,6,103,3.6393215437173447,8.650945740032725,0.1769757170238998
instincts,86,535,621,-0.9778465327895303,-8.416879831175565,0.013497059017653024
secondary,27,339,366,-1.6794311702656666,-8.398536533404659,0.03998684943661947
agility,147,734,881,-0.7586456440971094,-8.395717195830779,0.008165115542325786
goal,69,13,82,2.5247028472010653,8.35025349489269,0.09141579066167853
special,97,5,102,3.821654161957384,8.333405252562184,0.21030895360640167
punt,69,9,78,2.892472714027738,8.161460891642857,0.1256037869905798
leg,71,8,79,3.0388936092604446,8.1484737902373,0.13908440780945194
downfield,158,146,304,0.9354008734807184,8.148280768986362,0.013178426893717945
soft,69,29,98,1.722175490778402,7.781941451169169,0.04897550135948242
hold,59,15,74,2.224744133982191,7.693711871450636,0.08361579141319629
attempt,59,8,67,2.853431748715133,7.573579987814838,0.14194906791006504
incredible,42,336,378,-1.2282766396769418,-7.50489665451006,0.02678569700921611
crucial,373,532,905,0.5027177787214079,7.444066146619346,0.004560663625367418
snap,529,831,1360,0.40692831812304764,7.316053037407543,0.0030937280605244583
deliver,83,55,138,1.266950828645336,7.2868636815893835,0.030230005741246027
engages,102,82,184,1.0738974972499031,7.240373432241101,0.021999039943614174
