word,count_a,count_b,total_count,log_odds,z_score,variance
under,206,117,323,1.4377930752473205,12.420002977091716,0.013401375477351152
pocket,356,337,693,0.9282070604139738,12.212883872247657,0.005776347072357095
quarterback,465,1956,2421,-0.5757697712439702,-11.159954626981587,0.0026617843194013356
speed,146,928,1074,-0.9860605787397461,-11.075209821125261,0.007926897963600708
poise,117,38,155,1.9954598538301598,10.687150424587443,0.03486279040931573
pressure,317,327,644,0.8415395087153463,10.676652599603239,0.006212677310650195
solid,549,745,1294,0.5685707380050342,10.108383360439321,0.0031637750790418752
kick,111,11,122,3.1826218862716855,10.06846126435404,0.09991803461047026
accuracy,95,16,111,2.65188182162182,9.813288253375255,0.07302628718882295
downfield,215,198,413,0.9539195698842562,9.68475382056294,0.00970166659240084
agility,92,612,704,-1.0298567004777457,-9.210011847860388,0.012503546689835538
longer,84,35,119,1.7456503850973908,8.676758148221612,0.04047618316344385
athleticism,22,351,373,-1.903790453249787,-8.662232783426386,0.0483034986773133
leaps,24,310,334,-1.6921474816833575,-7.986410467159237,0.04489243570167183
leg,78,5,83,3.6175944396964512,7.841756507217753,0.21282029899276064
interception,23,289,312,-1.6643914955689887,-7.682299006407889,0.04693843041173887
explosive,45,356,401,-1.2018615564572688,-7.596501453609155,0.025031198081535665
scanning,215,906,1121,-0.5733314093072757,-7.557642059113385,0.005754913906966927
instincts,75,453,528,-0.9322319303169424,-7.478023609113955,0.01554083266622446
goal,56,8,64,2.8157287263457915,7.4497196759139905,0.14285707740569878
strength,333,469,802,0.5291897811613673,7.384699586783435,0.005135198467272636
attempt,54,7,61,2.912858073516423,7.251041924888814,0.16137558018310388
consistency,65,33,98,1.5476665574749582,7.240658140251874,0.0456876384276145
punt,56,6,62,3.103428858125226,7.224631821401518,0.1845236977882119
good,75,48,123,1.316154732336341,7.120421042993326,0.034166661839814566
creating,172,199,371,0.7247919151069082,6.961729990555417,0.010839077711215278
drops,396,1395,1791,-0.3947104890879851,-6.9321128547355055,0.0032420976117835173
steps,78,55,133,1.2192447401915683,6.924584924492777,0.03100232677999077
footwork,207,260,467,0.6428456489160244,6.90112897110272,0.008677070578364194
like,83,450,533,-0.8240335743512777,-6.898055488753005,0.014270409861796163
incredible,11,214,225,-2.1011154215874788,-6.796137426239745,0.09558186851722504
fires,140,151,291,0.7947056858438026,6.773487679399431,0.013765371928205487
