word,count_a,count_b,total_count,log_odds,z_score,variance
receiver,217,1191,1408,-0.8419104759897111,-11.406447545767483,0.005447923640371028
kick,133,15,148,3.0514016795417556,11.203148436482818,0.0741854237023249
pressure,419,473,892,0.7497972286332093,11.176324729626716,0.004500799205823089
pocket,317,319,636,0.8639662106796093,10.894146184629953,0.006289369616220683
impressive,118,786,904,-1.0340646352630491,-10.474078772380485,0.00974683692018186
under,171,120,291,1.223152424842473,10.271237987161228,0.014181284740636523
changing,97,571,668,-0.9090548252786279,-8.277626859677131,0.012060587454247332
leg,73,8,81,3.078961784747791,8.267388244376589,0.1386985533102822
returner,97,4,101,4.056880893284289,7.951475948884586,0.26030889906929217
accuracy,63,19,82,2.0663433240730322,7.8948280880662285,0.06850457995637185
anchor,110,85,195,1.1258684411543145,7.796077942863501,0.020855612387708368
punt,76,5,81,3.589325396869201,7.77431833268454,0.21315769955339262
showcased,101,539,640,-0.8106165230368099,-7.476194756019176,0.011756273773224489
instincts,154,708,862,-0.6618836879297456,-7.443978277497326,0.007905933588728795
burst,144,674,818,-0.6797208826984464,-7.403979693208974,0.00842812149546198
athleticism,31,296,327,-1.3917362419341304,-7.372416944430784,0.035636422260463235
explosive,35,297,332,-1.2736755576421768,-7.126924066387443,0.031938415456268146
poise,61,32,93,1.5126342703788884,6.929986676385249,0.047643435676192517
decent,76,54,130,1.2093625477732548,6.794985627786566,0.031676409231239655
teams,45,9,54,2.4768054059323035,6.78301201473578,0.1333332917456578
hang,42,8,50,2.525543223770492,6.5469573705915165,0.14880947524823537
goal,48,4,52,3.3523771733655083,6.4417219459838515,0.2708331370374224
rusher,92,83,175,0.9706388379166206,6.411676859633903,0.022917755224576918
defensive,292,431,723,0.47943421642859896,6.325428716664675,0.005744842407016891
gain,340,1185,1525,-0.3852533263792841,-6.261958112482133,0.003785057470699052
mechanics,40,13,53,1.9911622133563949,6.236923588277604,0.1019230561251698
distance,38,7,45,2.5589185379071324,6.221442549140465,0.1691728753758602
timing,53,315,368,-0.9173610090074948,-6.178878552773093,0.02204251962232708
time,143,171,314,0.6891574386561565,6.081626218905509,0.012840958644227483
explodes,80,398,478,-0.7396671047193042,-6.036830101079066,0.015012558153145571
first,116,511,627,-0.6182566385765167,-6.011384717855506,0.01057763387861991
precision,65,50,115,1.1297883795653858,6.0060631020277215,0.03538461099277983
throw,225,318,543,0.5224383854448975,5.997082322922004,0.007589097567046391
quarterback,530,1687,2217,-0.294976197564206,-5.923789915559267,0.0024795601603181724
interception,29,219,248,-1.1565230936339672,-5.852610542696415,0.039048950668213865
attempt,59,44,103,1.1607013129256591,5.827123660504957,0.03967642030361551
grit,41,20,61,1.5850326159369548,5.811392988304406,0.07439023257851735
return,33,6,39,2.5718977330583606,5.795008285918719,0.19696962984083227
cut,49,284,333,-0.8920505871575815,-5.7666640910462865,0.023929281459157258
anticipation,22,188,210,-1.280024001103242,-5.680660613423507,0.050773668008985584
secondary,9,145,154,-1.9140298619820584,-5.571778141786955,0.1180075483557012
follow,30,7,37,2.3223675924706315,5.532734200819499,0.17619042843183816
booming,35,3,38,3.323951158438212,5.525322578548599,0.36190450678591185
end,132,165,297,0.6446604641283491,5.5205427367454485,0.013636361959587444
handoff,34,223,257,-1.0154912512161003,-5.515712258151304,0.03389605599348182
onto,35,16,51,1.6498645478256746,5.467102929387493,0.09107141412462315
hold,41,24,65,1.4026769994272588,5.457560721459417,0.0660569014809162
special,42,2,44,3.911887753288548,5.405053085205593,0.5238088625095411
landing,35,17,52,1.5892314143252912,5.375810922528463,0.08739494464435726
changer,36,224,260,-0.9627751140886769,-5.361835981192587,0.03224205114777999
inconsistency,47,34,81,1.1909823515938642,5.289945911258575,0.05068835404821634
arm,49,37,86,1.1481126690971593,5.271500023587715,0.04743518437580607
reliable,103,121,224,0.7065286706733271,5.270078749101987,0.01797319848982282
wobbly,30,3,33,3.169699183229092,5.234587506238654,0.3666664445325637
misses,23,172,195,-1.1464680143321093,-5.163841192868943,0.049292191851924044
defender,273,437,710,0.39788853678762415,5.157679172903752,0.0059513323880272875
showcasing,91,389,480,-0.5876613663112131,-5.046637115386839,0.013559701409336437
protection,39,26,65,1.2725662804321969,5.026234407334511,0.06410255577169782
lacked,28,12,40,1.7142951904259283,4.968499903282367,0.11904759932556921
refine,181,651,832,-0.4153673653954888,-4.943113026465664,0.0070609585476769385
strides,24,6,30,2.2532615976298676,4.936649449164441,0.2083332802240689
near,20,151,171,-1.155896971680403,-4.857632351692857,0.05662249046404762
high,146,206,352,0.5234691377777008,4.838712471181025,0.011703682512476974
duress,23,6,29,2.210681718318841,4.82243982699266,0.2101448759289636
sustain,29,15,44,1.5262377031368297,4.798886738707929,0.10114941041930617
zone,63,64,127,0.8515158706387398,4.797899802558817,0.03149801209390432
placement,97,120,217,0.6546961565151799,4.794976038128248,0.018642609396577962
punter,28,2,30,3.5061391427022732,4.79030004477437,0.5357138335526123
sending,22,5,27,2.3485397217240616,4.7403720712482,0.24545447732762485
struggles,86,103,189,0.6870168623072086,4.703318171024363,0.021336642239427207
through,240,805,1045,-0.34567757077840433,-4.700203534369476,0.0054089015065652305
begins,39,30,69,1.1294313671355178,4.650806357593587,0.05897435165463304
spiraling,22,7,29,2.0120505252546135,4.63660702386602,0.18831164921802374
immediately,94,118,212,0.6400432219727215,4.629630489338661,0.01911287179112746
steps,70,78,148,0.7590733556705205,4.610512855727674,0.027106223835384698
protect,54,53,107,0.8858675128616902,4.581542579844742,0.0373864385609918
closes,32,181,213,-0.8671232938580316,-4.521738095146474,0.036774849011699876
unit,20,4,24,2.4763410268264217,4.5211601733198785,0.29999990642773006
agility,51,242,293,-0.6916095927945181,-4.488694349600249,0.02374006748518153
fires,107,144,251,0.5704908364964334,4.469767921091112,0.016290236795900352
confidence,43,38,81,0.990694027461843,4.449621681582226,0.049571597434848264
tools,26,158,184,-0.9387860597303455,-4.435810854211318,0.0447906356169618
jump,6,92,98,-1.8641586464325233,-4.424249099410545,0.17753606790471557
clean,217,354,571,0.378519371086111,4.390374658063364,0.00743315268728673
talent,20,136,156,-1.0511441112530093,-4.389191252132803,0.05735291727750031
own,19,5,24,2.2018754627498893,4.380755213768666,0.2526315173766906
lack,72,85,157,0.7012827191398445,4.37843642895677,0.025653591651229875
