word,count_a,count_b,total_count,log_odds,z_score,variance
under,221,140,361,1.3441607169501504,12.443936563993503,0.011667742098046514
kick,124,14,138,3.06771013786968,10.88052331409797,0.07949303443999127
snap,515,682,1197,0.6086060044342316,10.4252143469823,0.0034080227047341444
pocket,327,360,687,0.7918932220919341,10.366052797123043,0.005835880879828085
downfield,166,122,288,1.1943891229723267,10.01575261473046,0.014220815477049255
longer,104,40,144,1.8412131087346397,9.896224201569678,0.03461537691925721
clean,187,162,349,1.0300502298352852,9.596746723646028,0.011520431354974648
allowing,263,291,554,0.7859543078064366,9.237763033212348,0.007238706401671601
quarterback,775,2672,3447,-0.3628463278019205,-8.893469685605394,0.0016645736141697133
accuracy,81,10,91,2.97729401051689,8.882672906510043,0.1123456101906579
punt,85,7,92,3.382304440833188,8.601564746753906,0.15462170792687183
receiver,259,1098,1357,-0.5659553711769405,-8.193008144637899,0.004771749082605984
return,74,35,109,1.6337055284870514,7.963618624873786,0.04208493397381291
deeper,63,19,82,2.0835719712874106,7.960653373768845,0.06850457636053557
incomplete,66,446,512,-1.030217403973512,-7.8114815385495175,0.017393658670325163
deep,72,36,108,1.5780741181801803,7.7309534515441385,0.04166665890699222
intended,27,300,327,-1.526949819466493,-7.5996497872807165,0.040370336685236985
defense,207,247,454,0.7094835994503521,7.529187567968626,0.00887949952672908
end,118,104,222,1.0116788132057986,7.521836233866799,0.018089958169902023
goal,61,6,67,3.204075957992253,7.488694441832136,0.18305996930887586
interception,22,277,299,-1.6518636967933427,-7.457444749792627,0.04906460744818713
consistency,57,20,77,1.9320316649389326,7.433979426356209,0.06754384354379417
agility,28,293,321,-1.4668729394690283,-7.415714089035964,0.039127224218772606
pass,540,1855,2395,-0.3564735969740567,-7.290268214921944,0.0023909347461225916
drops,326,1235,1561,-0.45320766117536326,-7.278437139655925,0.0038772000913629475
pressure,414,636,1050,0.45802049101430864,7.253022458422001,0.003987785331497326
poise,54,20,74,1.8778879344829633,7.174072134313006,0.0685185028469148
shotgun,57,25,82,1.7088355080505453,7.1236210677175995,0.057543847995566874
disrupting,34,297,331,-1.286165881862761,-7.103965020077774,0.03277874646365877
offensive,165,733,898,-0.6112650381411164,-7.09390589885592,0.007424859959218901
uprights,53,5,58,3.245621994641242,6.937564773083104,0.21886775016682433
modest,104,94,198,0.9862289945367504,6.92988137096452,0.02025367945478157
accurate,49,18,67,1.8859782375161753,6.842796400477825,0.07596370133774528
where,137,148,285,0.8081754343557774,6.816703260370801,0.014056024729353092
forcing,91,477,568,-0.7759002129285628,-6.782841626030791,0.013085441752227488
disrupt,82,441,523,-0.8014177296913108,-6.663991164013093,0.01446268965290287
composure,42,10,52,2.3195198372870536,6.592059767397694,0.12380948287730087
break,69,391,460,-0.8534961617111074,-6.536355657971518,0.017050290958704722
impressive,22,227,249,-1.4522685573217347,-6.503867703485092,0.04985979311440199
formation,87,78,165,0.9940667093088953,6.375004825992128,0.024314762049902253
distance,48,24,72,1.577588254341327,6.310353604960811,0.06249998836048833
delivering,121,133,254,0.7905974796022601,6.292990922990017,0.015783257440397137
sending,44,4,48,3.2824442407327235,6.285404788032038,0.27272704740187254
points,44,4,48,3.2824442407327235,6.285404788032038,0.27272704740187254
drives,47,23,70,1.5990794844891472,6.283967343588198,0.06475484439639495
breaking,28,237,265,-1.2541693811780084,-6.276052739050547,0.03993366946619672
hang,50,3,53,3.698122799522408,6.221416741149165,0.3533328930743113
time,156,195,351,0.6622532878541962,6.165243058329189,0.01153845977641846
positioning,93,452,545,-0.7000103786660459,-6.14776136872717,0.012965072659834006
opponent,65,50,115,1.1469651995376786,6.09737681168521,0.0353846099303262
returner,63,2,65,4.335040653188461,6.035625418386711,0.5158718041465256
blocking,73,63,136,1.0319928448767772,6.0012120069151855,0.02957164155634907
reads,82,409,491,-0.7257496167182351,-5.998114241870154,0.014640104068012388
decision,108,118,226,0.7964287049244296,5.980611599237743,0.01773383287799078
cleanly,39,16,55,1.7752687082982455,5.979640768876192,0.08814100694300403
anticipation,19,192,211,-1.4311245463653695,-5.950641448479779,0.05783986831419436
protection,86,84,170,0.9083091756603272,5.921042000627867,0.023532665374502937
solid,651,1185,1836,0.28864833426953496,5.916739176170203,0.0023799797467141193
develops,68,58,126,1.043657913460744,5.839039105009831,0.03194725684325819
attempt,74,67,141,0.9840239876024235,5.835115041944116,0.028438882389915703
high,39,18,57,1.6574646360291654,5.8166836113850096,0.08119656529970726
quicker,91,94,185,0.8523656716926222,5.79595148667438,0.021627305637495348
backfield,37,248,285,-1.0207113954954368,-5.791717184431535,0.031059269238347842
footwork,162,217,379,0.5930171515608667,5.711301108030428,0.010781132761704712
handoff,31,222,253,-1.0867692463669947,-5.668061212874826,0.036762549026683765
intentions,8,151,159,-2.0557536256134936,-5.666387569019211,0.13162233096882558
awareness,236,863,1099,-0.41621031010879594,-5.6659853959509485,0.0053960351073320265
timing,81,389,470,-0.687697978784584,-5.63074954092065,0.014916367532048634
center,37,18,55,1.6047699208996127,5.584298007703223,0.08258256694441289
approaches,40,22,62,1.482095155418886,5.58369409568309,0.07045453302547071
soft,60,50,110,1.0667949449598204,5.571155324048065,0.03666666111280874
closes,76,368,444,-0.6958230144571527,-5.522530093205587,0.015875280070706693
vision,28,205,233,-1.1087816105276627,-5.503311819130881,0.040592311942944215
middle,65,59,124,0.981355975971514,5.457559076510723,0.032333763087106976
zone,59,51,110,1.030149160982078,5.3878425670947285,0.036556990175234186
over,32,14,46,1.710816971239776,5.339046274685696,0.10267855059919066
deliver,42,28,70,1.289711103697603,5.286242899363382,0.05952379991659322
executes,30,3,33,3.1867877315453255,5.26280870918095,0.3666663907948894
execution,41,27,68,1.3019662276076067,5.253141609522315,0.06142727097750073
travels,37,2,39,3.8021617134754386,5.237384285599299,0.5270262986002585
sustaining,43,30,73,1.244253172442563,5.230488075050555,0.05658913830358321
