word,count_a,count_b,total_count,log_odds,z_score,variance
secures,3,7,10,1.961653928551562,2.842708291990574,0.47618991349376016
playmaking,4,15,19,1.4875867925696387,2.6435133728884668,0.31666612247380077
hit,2,3,5,2.402915010729102,2.6322627303352073,0.8333325608377948
showcase,3,9,12,1.7102490580814171,2.5653754164210554,0.44444381060235527
today,3,9,12,1.7102490580814171,2.5653754164210554,0.44444381060235527
surveying,2,5,7,1.891999177207599,2.261372948331,0.6999991314776829
excellent,2,5,7,1.891999177207599,2.261372948331,0.6999991314776829
reaction,6,39,45,0.9379598075151137,2.1388804890033635,0.19230714484618838
time,4,21,25,1.150842802174214,2.109532156731689,0.29761835486025096
return,5,30,35,1.0176568174191427,2.106752541984764,0.23333271771502306
leaving,2,6,8,1.7096324839242198,2.093865109728499,0.6666657159035329
both,2,6,8,1.7096324839242198,2.093865109728499,0.6666657159035329
spectacular,12,108,120,0.6139362073402781,2.017604190210655,0.09259223165568722
slant,2,7,9,1.5554366573987144,1.939971924017959,0.6428561016262198
towards,5,33,38,0.9222106031894572,1.9216793012156703,0.23030236505276766
defenders,4,24,28,1.0171754987135166,1.883445528019539,0.29166589714377883
feet,5,36,41,0.8350631721141513,1.749703001797042,0.22777706258074126
anticipation,3,133,136,-0.9885014538852159,-1.6931616646046355,0.3408456619621392
offensive,2,9,11,1.3040319159599738,1.6681249169153494,0.6111098764403684
under,2,9,11,1.3040319159599738,1.6681249169153494,0.6111098764403684
reflexes,2,9,11,1.3040319159599738,1.6681249169153494,0.6111098764403684
sprints,2,9,11,1.3040319159599738,1.6681249169153494,0.6111098764403684
moments,4,28,32,0.8628435721630607,1.6142349792754007,0.28571341256601157
reads,20,229,249,0.37372395607131104,1.6028211878224923,0.05436654386405914
critical,6,50,56,0.6889991938052118,1.5947261397010895,0.18666599155036445
hands,2,10,12,1.1986262365586553,1.5474215388464196,0.5999986651297493
made,2,10,12,1.1986262365586553,1.5474215388464196,0.5999986651297493
turned,2,10,12,1.1986262365586553,1.5474215388464196,0.5999986651297493
demonstrates,5,40,45,0.7295212208374471,1.5379684460093823,0.22499921785048757
lurking,6,53,59,0.6305940809344177,1.4639905564079174,0.18553388102259022
landing,2,11,13,1.1032708892220118,1.4352328009211806,0.590907654452956
first,2,11,13,1.1032708892220118,1.4352328009211806,0.590907654452956
left,2,11,13,1.1032708892220118,1.4352328009211806,0.590907654452956
completion,2,11,13,1.1032708892220118,1.4352328009211806,0.590907654452956
presence,2,11,13,1.1032708892220118,1.4352328009211806,0.590907654452956
position,5,43,48,0.6570644601284634,1.3906165649894247,0.2232549813893845
elite,1,67,68,-1.399944502463578,-1.389632588807819,1.0148962741013245
bounds,2,12,14,1.0162143413432174,1.3305386527967762,0.5833317942875577
fast,2,12,14,1.0162143413432174,1.3305386527967762,0.5833317942875577
knack,2,12,14,1.0162143413432174,1.3305386527967762,0.5833317942875577
