word,count_a,count_b,total_count,log_odds,z_score,variance
aggressive,10,10,20,1.342212789944039,3.001280940896799,0.19999974646669652
stepping,8,7,15,1.4753715619581103,2.850690508988901,0.26785680027188924
demonstrates,9,9,18,1.3419865065255703,2.846785081462864,0.22222194051855165
towards,7,6,13,1.4957647076725378,2.6885401684725507,0.309523412479742
turning,4,2,6,2.034162628704637,2.3488505434906024,0.7499988115631671
timing,13,22,35,0.8160789330390079,2.332821318138116,0.12237744527537545
disrupting,5,4,9,1.5643055217727904,2.331930504515067,0.44999941528884635
races,4,3,7,1.6286181050170772,2.132363049139883,0.5833325630499193
route,4,3,7,1.6286181050170772,2.132363049139883,0.5833325630499193
fast,9,14,23,0.8997540615916328,2.105937475080437,0.18253942818399138
showcased,15,30,45,0.6489974182533294,2.052311663278617,0.09999984154175562
favor,11,20,31,0.743882244994917,1.981686781564639,0.1409088794000503
explosive,6,53,59,-0.8409867196364358,-1.9524410192158945,0.18553353910485296
component,5,6,11,1.1586809061049896,1.9134997725022103,0.3666661941087742
forces,3,2,5,1.746175215952639,1.9128404237247143,0.8333321889123484
reliable,3,2,5,1.746175215952639,1.9128404237247143,0.8333321889123484
deflects,3,2,5,1.746175215952639,1.9128404237247143,0.8333321889123484
disruptive,3,2,5,1.746175215952639,1.9128404237247143,0.8333321889123484
aggression,3,2,5,1.746175215952639,1.9128404237247143,0.8333321889123484
leaps,9,16,25,0.7660627074187873,1.8385518614093495,0.1736108535858622
eyes,39,106,145,0.34354735790104485,1.8343756323562463,0.03507491930104973
why,26,146,172,-0.3893256003381511,-1.8289955033891503,0.04531068714488042
showcases,13,85,98,-0.5405869627551345,-1.815242243990016,0.08868740666111219
momentum,31,81,112,0.382507467829341,1.8111510658349415,0.0446036588383866
iq,6,9,15,0.9356035147211381,1.7751840749617664,0.27777739630411613
charging,6,9,15,0.9356035147211381,1.7751840749617664,0.27777739630411613
intended,8,14,22,0.7816649634275823,1.7636753151060396,0.19642828240392352
shifts,8,14,22,0.7816649634275823,1.7636753151060396,0.19642828240392352
offensive,16,98,114,-0.4753911176095915,-1.7630820826594764,0.0727037918560578
handoff,5,7,12,1.0044504063015536,1.7154267927959568,0.3428566833927561
today,9,17,26,0.7053580907146095,1.7110749231553677,0.16993438004726114
valuable,2,26,28,-1.2264578864800173,-1.671387293540495,0.5384570754090096
deflecting,3,3,6,1.340630639445699,1.6419315408026955,0.6666658215556549
action,3,3,6,1.340630639445699,1.6419315408026955,0.6666658215556549
snagging,3,3,6,1.340630639445699,1.6419315408026955,0.6666658215556549
anticipation,3,3,6,1.340630639445699,1.6419315408026955,0.6666658215556549
diagnosing,3,3,6,1.340630639445699,1.6419315408026955,0.6666658215556549
through,40,202,242,-0.2834266134516614,-1.63771884837782,0.0299503954233361
thunderous,4,36,40,-0.8589260250841981,-1.6297022542041928,0.27777617363989987
disrupt,15,90,105,-0.45443410894878067,-1.6294611286994272,0.0777774737734997
interception,8,15,23,0.7125921218553088,1.627676349507335,0.19166637409110224
significant,1,20,21,-1.6570611567096005,-1.6171363791953854,1.0499866563855944
first,2,25,27,-1.1871573481385873,-1.6155229670485736,0.5399956942750759
asset,9,61,70,-0.5758292500450537,-1.6126192030832074,0.12750399405515964
football,6,10,16,0.830163105543245,1.6076050960165962,0.266666283549768
crucial,23,60,83,0.3833443783336623,1.5631116776795182,0.06014481347463119
such,8,55,63,-0.5898956547464893,-1.5589501455286938,0.143181181054026
deliver,2,24,26,-1.1462555350153902,-1.5574605451948629,0.5416625181686636
swift,5,8,13,0.8708391684326573,1.527554029539896,0.3249995416594195
defense,52,248,300,-0.2262526495288939,-1.4834101417093317,0.023262953882046054
sails,3,28,31,-0.8949577317027648,-1.4732030855577023,0.3690454107934051
decisive,10,22,32,0.5527955388827888,1.4494433503955808,0.14545430072171128
tight,6,11,17,0.734773018128843,1.447774871694478,0.2575753692147863
end,6,11,17,0.734773018128843,1.447774871694478,0.2575753692147863
stop,2,22,24,-1.0590845406600309,-1.4340122873907555,0.5454507110493311
air,7,14,21,0.6478276372570804,1.3994687535623695,0.2142853747323335
perfect,3,4,7,1.0528689337368489,1.3785299346553825,0.5833325630499193
outside,3,4,7,1.0528689337368489,1.3785299346553825,0.5833325630499193
react,8,51,59,-0.5140671420711183,-1.3518385297663822,0.144607244446593
frenzy,9,20,29,0.542599125479863,1.351813287123023,0.1611108382304028
being,5,9,14,0.7529762685507064,1.3499691752544156,0.3111106466132079
growing,5,9,14,0.7529762685507064,1.3499691752544156,0.3111106466132079
made,7,15,22,0.5787548039849284,1.2643819205340638,0.20952346297098937
dropping,4,7,11,0.7810013110011065,1.2460479513605653,0.39285656480784703
explode,4,7,11,0.7810013110011065,1.2460479513605653,0.39285656480784703
proving,8,49,57,-0.4739013665173033,-1.2427805053910508,0.1454075837121156
off,25,125,150,-0.27186367180625925,-1.240884258386306,0.047999841795601204
halts,11,27,38,0.4432172278020241,1.2390917153906946,0.12794589585190666
agility,18,49,67,0.3400931020321787,1.2339431171326234,0.07596357006339767
tracks,2,19,21,-0.9122416904594157,-1.2271379554198834,0.55262821446948
force,2,19,21,-0.9122416904594157,-1.2271379554198834,0.55262821446948
highlighting,5,10,15,0.6475358734579082,1.182234285629908,0.2999995246252669
intercept,5,10,15,0.6475358734579082,1.182234285629908,0.2999995246252669
linebacker,25,73,98,0.2701814070423909,1.1659349063882032,0.053698519095890664
edge,9,52,61,-0.41547666145978823,-1.1508148604496315,0.13034138871334555
confidence,3,5,8,0.8296456793811844,1.1360399494024183,0.533332567099536
free,3,5,8,0.8296456793811844,1.1360399494024183,0.533332567099536
need,9,22,31,0.44712888213903224,1.1300167079866406,0.1565653733909444
move,8,19,27,0.47588337389954294,1.1291218943024985,0.17763126414336644
disrupts,6,37,43,-0.4803301278134944,-1.0913975092350692,0.1936929167089794
exploding,5,32,37,-0.5173744635596984,-1.0758829392611273,0.23124903902779725
powerful,8,46,54,-0.41048185249993807,-1.0715731086951197,0.14673857946424326
exemplifies,2,17,19,-0.8008565052115868,-1.0713183697299309,0.5588204770473757
moment,2,17,19,-0.8008565052115868,-1.0713183697299309,0.5588204770473757
change,4,8,12,0.6473900935053205,1.0571844333454283,0.37499940578158353
athleticism,21,103,124,-0.252086995623241,-1.0528549968448682,0.057327599854510004
time,11,29,40,0.37159807664448596,1.0493955503965264,0.12539160985168296
closing,10,26,36,0.38542121439918464,1.035789370442293,0.13846127652734966
coverage,10,26,36,0.38542121439918464,1.035789370442293,0.13846127652734966
tackle,37,170,207,-0.18724837706292874,-1.0321881635388415,0.032909279589584395
keep,2,3,5,0.9348603901386126,1.0240889507875695,0.8333321889123484
