word,count_a,count_b,total_count,log_odds,z_score,variance
determination,16,46,62,1.0881314050022386,3.7490822186121813,0.084238914161949
backfield,12,30,42,1.2262742114944336,3.590167424359644,0.11666639714347055
tough,4,2,6,2.832137007617411,3.270273383920212,0.7499985063363601
shoulder,4,2,6,2.832137007617411,3.270273383920212,0.7499985063363601
churning,5,7,12,1.802830511843184,3.0789218419287354,0.3428565653882454
legs,4,6,10,1.733170169229667,2.685017997815564,0.41666594749502306
bears,4,7,11,1.5789306424490377,2.5191041761343818,0.3928564163471383
brady,4,7,11,1.5789306424490377,2.5191041761343818,0.3928564163471383
powers,5,11,16,1.3504896649544849,2.5038774999512454,0.29090847573373824
style,3,4,7,1.8503750873396871,2.422711696626781,0.5833323652175665
reliable,3,4,7,1.8503750873396871,2.422711696626781,0.5833323652175665
physical,3,4,7,1.8503750873396871,2.422711696626781,0.5833323652175665
running,8,26,34,0.9612282951947781,2.37749367819465,0.16346107519060166
surge,5,13,18,1.1832576232792373,2.2485381124429384,0.2769224185093962
growing,3,5,8,1.6271428149640697,2.2280590716705775,0.5333323703072896
surprising,3,5,8,1.6271428149640697,2.2280590716705775,0.5333323703072896
evades,4,9,13,1.327438445850106,2.208993469917682,0.36111033600433273
powering,5,14,19,1.109060654723386,2.1287666809730608,0.27142788877393104
situations,4,10,14,1.221989018940616,2.065540823084743,0.34999919143041164
agility,13,197,210,-0.5899447113471421,-2.060198595786013,0.08199822487145793
vikings,3,6,9,1.4447324893368698,2.043162314953764,0.4999990042242401
way,5,16,21,0.9753512372257713,1.9036933505079987,0.26249926549163244
versatility,2,3,5,1.7319257817875116,1.8972312745422075,0.8333318949900461
fakes,3,7,10,1.2904930099735648,1.8701040968780718,0.476189428481115
smith,3,7,10,1.2904930099735648,1.8701040968780718,0.476189428481115
contact,6,22,28,0.8394414218425341,1.8226321507510101,0.21212054644283457
picking,6,22,28,0.8394414218425341,1.8226321507510101,0.21212054644283457
snap,9,39,48,0.6731448784156351,1.8202970903752858,0.13675163954172542
need,4,13,17,0.9593579403435744,1.6778707417029755,0.3269221503812033
chargers,2,4,6,1.4441551422602439,1.6675683807960664,0.7499985063363601
slips,2,4,6,1.4441551422602439,1.6675683807960664,0.7499985063363601
displayed,2,4,6,1.4441551422602439,1.6675683807960664,0.7499985063363601
cornerback,2,4,6,1.4441551422602439,1.6675683807960664,0.7499985063363601
great,2,4,6,1.4441551422602439,1.6675683807960664,0.7499985063363601
asset,15,81,96,0.45388900593954506,1.6147420388469669,0.07901199413245502
clean,4,14,18,0.8851610072411251,1.5612796178428685,0.3214276020725547
barrels,3,9,12,1.0390009208539634,1.558503450507226,0.4444432642667375
momentum,1,38,39,-1.504043848872711,-1.484658504934053,1.0262847006529536
find,7,32,39,0.6187644225648237,1.4829205007384056,0.17410647847354105
excellent,2,5,7,1.220922962823014,1.459283740578143,0.6999983828608233
burst,3,60,63,-0.8626618953627165,-1.4581763875670675,0.34999440979615726
keep,4,15,19,0.8160791645175234,1.4502130519585452,0.31666565341097813
valuable,9,45,54,0.5295081613098329,1.4501208251680016,0.1333327810110826
darting,1,35,36,-1.421540059519553,-1.4016769573176904,1.0285427275793646
offensive,3,58,61,-0.8285817942594482,-1.3994211928734757,0.35056929895678834
defenders,5,80,85,-0.6398012760037837,-1.3879327168904827,0.21249728094065592
chains,7,34,41,0.557961372685468,1.3443165956001357,0.1722682127507224
moving,4,16,20,0.7514516622916609,1.3442398745041721,0.3124989419900077
yardage,4,16,20,0.7514516622916609,1.3442398745041721,0.3124989419900077
snapped,1,33,34,-1.362522472189574,-1.3423534982158007,1.030275921006123
open,3,56,59,-0.7933119571839864,-1.3386772212549305,0.3511852389829468
strength,9,48,57,0.4647015931930305,1.279321097626961,0.13194386415310908
showed,2,6,8,1.0385127434111254,1.2719148450899445,0.6666648964001063
short,2,6,8,1.0385127434111254,1.2719148450899445,0.6666648964001063
kind,2,6,8,1.0385127434111254,1.2719148450899445,0.6666648964001063
shed,2,6,8,1.0385127434111254,1.2719148450899445,0.6666648964001063
really,2,6,8,1.0385127434111254,1.2719148450899445,0.6666648964001063
why,5,74,79,-0.5613025815694179,-1.2147500563457516,0.21351098472612945
sprints,1,29,30,-1.2329566624283164,-1.2122472448842823,1.0344588321052377
him,3,52,55,-0.7188470469914279,-1.2106551555093104,0.3525592181842087
bounds,14,84,98,0.3474973132624619,1.2037689608761466,0.08333292396020514
side,4,62,66,-0.6071962174483874,-1.1770248241923038,0.2661257325564943
exactly,3,12,15,0.7510522501243173,1.1635271123842004,0.4166652559866769
zone,2,39,41,-0.8362212918728247,-1.1534000778465592,0.525632838921883
traffic,2,39,41,-0.8362212918728247,-1.1534000778465592,0.525632838921883
defense,6,82,88,-0.4815963506304879,-1.1387457769548086,0.17885983091588573
left,6,82,88,-0.4815963506304879,-1.1387457769548086,0.17885983091588573
hole,6,31,37,0.49569439862686604,1.1114003998301982,0.19892388176492498
panthers,2,7,9,0.8842733778499081,1.102884335079574,0.6428552041451094
shakes,2,7,9,0.8842733778499081,1.102884335079574,0.6428552041451094
ravens,2,7,9,0.8842733778499081,1.102884335079574,0.6428552041451094
touchdown,2,37,39,-0.7833996114413466,-1.0791209343502743,0.5270192373859308
accelerates,6,80,86,-0.4567245696893263,-1.0790165048114255,0.17916475294158044
quick,3,48,51,-0.638447529949655,-1.0728132967150428,0.3541621349010932
after,10,59,69,0.36350126074731115,1.0629392201116907,0.11694858708544698
fantastic,6,32,38,0.46385651690968466,1.0426617304479127,0.19791579622966363
end,2,36,38,-0.7559116758524533,-1.0405156741631267,0.5277701866225362
tackler,5,68,73,-0.4762083307037104,-1.027726091489944,0.2147035436663941
read,5,68,73,-0.4762083307037104,-1.027726091489944,0.2147035436663941
navigate,1,24,25,-1.0432722459352783,-1.0222036546795574,1.0416467169296613
pushed,12,75,87,0.30595965452907237,0.9840720548224959,0.09666617305571336
cut,1,23,24,-1.0006241723547653,-0.9795650315672818,1.043459106157754
remarkable,1,23,24,-1.0006241723547653,-0.9795650315672818,1.043459106157754
gap,3,45,48,-0.5736414862586052,-0.9620317918010913,0.35555128807444397
forced,2,8,10,0.7506532820641381,0.9495112491105823,0.6249978839800154
giants,2,8,10,0.7506532820641381,0.9495112491105823,0.6249978839800154
balance,2,8,10,0.7506532820641381,0.9495112491105823,0.6249978839800154
charging,2,8,10,0.7506532820641381,0.9495112491105823,0.6249978839800154
raiders,2,8,10,0.7506532820641381,0.9495112491105823,0.6249978839800154
vital,2,8,10,0.7506532820641381,0.9495112491105823,0.6249978839800154
confidence,2,8,10,0.7506532820641381,0.9495112491105823,0.6249978839800154
demonstrated,3,14,17,0.5967237825547107,0.9379385280999893,0.4047603309429196
season,3,14,17,0.5967237825547107,0.9379385280999893,0.4047603309429196
line,37,267,304,0.16405377025715762,0.9352057941956597,0.03077216508531419
miss,1,22,23,-0.9560839587202903,-0.93507676891167,1.0454361856208674
skill,1,22,23,-0.9560839587202903,-0.93507676891167,1.0454361856208674
like,5,27,32,0.4511232932998803,0.9265910761614794,0.23703598239736504
plays,5,27,32,0.4511232932998803,0.9265910761614794,0.23703598239736504
changer,2,33,35,-0.6686334629992787,-0.9181823034896771,0.530296034351808
powerful,6,34,40,0.4030535034991063,0.9102250834754557,0.1960775186765768
showcased,4,54,58,-0.46833121642173836,-0.9037916681390027,0.2685156149509477
formation,4,21,25,0.47907290302588024,0.8781570395685898,0.2976177577429151
vision,9,103,112,-0.30375348434326455,-0.8738846661690906,0.12081873907364574
make,5,63,68,-0.39938818776825435,-0.8596036085763334,0.21587083543543442
off,12,78,90,0.2664701010437698,0.8593425322382201,0.09615333648352697
