word,count_a,count_b,total_count,log_odds,z_score,variance
decision,2,3,5,-3.02722854385521,-3.316167973356296,0.833330693254912
bills,3,3,6,-2.6216076838695024,-3.2108052604557766,0.6666647170695996
executing,3,2,5,-2.21398633970381,-2.425304362327415,0.833330693254912
place,3,2,5,-2.21398633970381,-2.425304362327415,0.833330693254912
quick,8,3,11,-1.639996560024147,-2.422440848212288,0.4583312948915672
stands,9,3,12,-1.5220569543316094,-2.2830909953744776,0.44444227823097127
showcase,4,2,6,-1.9261482470230185,-2.2241284829800043,0.7499972583819308
eagles,4,2,6,-1.9261482470230185,-2.2241284829800043,0.7499972583819308
consistency,4,2,6,-1.9261482470230185,-2.2241284829800043,0.7499972583819308
ready,10,3,13,-1.4165398317613498,-2.1518841950963172,0.43333103119114136
back,17,4,21,-1.1746565140811427,-2.113767054023032,0.30882150403648584
powerful,27,5,32,-0.9357705788252133,-1.922042803309495,0.23703510125155192
invaluable,6,2,8,-1.52037078079087,-1.862070854241117,0.666663417346457
placement,7,2,9,-1.3660638326816246,-1.7037856590649252,0.6428535843568952
forward,7,2,9,-1.3660638326816246,-1.7037856590649252,0.6428535843568952
air,31,5,36,-0.7969909407425764,-1.6537505565709643,0.232255904191879
make,15,3,18,-1.0102912209699806,-1.5974167520685454,0.39999695864554263
rolling,8,2,10,-1.232376129691911,-1.5588510451433493,0.6249961160528776
snapped,8,2,10,-1.232376129691911,-1.5588510451433493,0.6249961160528776
zone,9,2,11,-1.1144367473817534,-1.4255971989817198,0.6111068915174414
forcing,9,2,11,-1.1144367473817534,-1.4255971989817198,0.6111068915174414
splitting,9,2,11,-1.1144367473817534,-1.4255971989817198,0.6111068915174414
swing,9,2,11,-1.1144367473817534,-1.4255971989817198,0.6111068915174414
asset,26,4,30,-0.7483597694174691,-1.393376839444402,0.2884587319721959
showcasing,72,2,74,0.9749070119693739,1.3600034785878652,0.5138618187414307
giving,18,3,21,-0.827499226781371,-1.3269568086675116,0.3888853823467699
adds,10,2,12,-1.0089198522552403,-1.302514880252073,0.599995437968314
skill,11,2,13,-0.9134532623750049,-1.1883046579999361,0.5909041817016889
end,11,2,13,-0.9134532623750049,-1.1883046579999361,0.5909041817016889
stakes,11,2,13,-0.9134532623750049,-1.1883046579999361,0.5909041817016889
every,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
exceptional,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
perform,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
advantage,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
tough,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
potential,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
phenomenal,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
standing,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
determination,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
showing,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
exemplifies,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
gain,4,1,5,-1.2308515464300687,-1.100910511919235,1.2499922321057553
sets,12,2,14,-0.826285446171446,-1.0818664782874778,0.5833280735201548
display,31,4,35,-0.571682898667647,-1.0760551317410103,0.28225481273611996
precision,57,2,59,0.738925439549587,1.0271552695234716,0.5175222665460478
role,23,3,26,-0.5815921828394242,-0.9474556884561733,0.3768072982509505
kickoff,5,1,6,-1.0075525107302203,-0.9197688933488555,1.199990875936628
delivering,5,1,6,-1.0075525107302203,-0.9197688933488555,1.199990875936628
full,5,1,6,-1.0075525107302203,-0.9197688933488555,1.199990875936628
browns,5,1,6,-1.0075525107302203,-0.9197688933488555,1.199990875936628
eyes,5,1,6,-1.0075525107302203,-0.9197688933488555,1.199990875936628
stopping,5,1,6,-1.0075525107302203,-0.9197688933488555,1.199990875936628
build,5,1,6,-1.0075525107302203,-0.9197688933488555,1.199990875936628
own,45,5,50,-0.4221099219324165,-0.8954363291764544,0.22221926175713333
steady,14,2,16,-0.6718218042691149,-0.8887413508230414,0.571422603325447
