word,count_a,count_b,total_count,log_odds,z_score,variance
soft,57,17,74,0.9400365052230333,3.4016661077443353,0.07636706021284793
him,30,43,73,-0.6426192588820543,-2.701392611939545,0.05658900506297489
separation,34,47,81,-0.6066765194335542,-2.694657692939907,0.05068823456648679
make,19,31,50,-0.7711409667945404,-2.6467138842842113,0.08488941875213692
create,34,46,80,-0.5848933214430883,-2.586131350557923,0.0511507689334872
coverage,38,13,51,0.799955902622373,2.489689971094658,0.10323846883542687
find,40,15,55,0.7080176062640255,2.3385093831520605,0.09166633783268668
exactly,2,9,11,-1.7831481483955995,-2.28101712745738,0.6111077076620779
athleticism,15,24,39,-0.750499545504784,-2.2801842958772793,0.10833304905334112
vital,4,11,15,-1.2908075022636751,-2.2107670699295197,0.3409078390367044
breaks,4,11,15,-1.2908075022636751,-2.2107670699295197,0.3409078390367044
defense,40,16,56,0.6432046243018057,2.1744322180604745,0.0874997007323514
remarkable,7,14,21,-0.9725554705164106,-2.1009630370410766,0.21428508247467548
clean,6,12,18,-0.9722140929025072,-1.944431052337468,0.24999926288712138
zone,70,36,106,0.3926732953594927,1.914605642713665,0.04206337008866737
dynamic,3,8,11,-1.259420740441401,-1.8602910572299685,0.4583316891634334
lines,10,16,26,-0.7493387205293391,-1.8588830253359279,0.16249957358001169
spot,28,11,39,0.6600900107202117,1.8550130438064916,0.12662293782455825
off,43,47,90,-0.3699564251826688,-1.7531254344303604,0.04453230424096359
finding,18,6,24,0.823679925520107,1.7472924171246667,0.2222213486080233
delivering,6,11,17,-0.88492858069419,-1.7436380515946621,0.2575750349477874
counts,1,5,6,-1.8876192638236216,-1.723158035158344,1.1999926406920594
stretch,1,5,6,-1.8876192638236216,-1.723158035158344,1.1999926406920594
powering,1,5,6,-1.8876192638236216,-1.723158035158344,1.1999926406920594
tough,8,1,9,1.8037929604687921,1.7006404603981018,1.1249892198027076
shake,2,6,8,-1.37686268664402,-1.6863088287434729,0.66666404582407
making,19,24,43,-0.5132790702949093,-1.6714841988790277,0.09429801708959173
side,13,18,31,-0.6046839559314563,-1.6613306098624272,0.1324783033003629
running,54,28,82,0.3833234194205959,1.6460194006961413,0.0542326477141836
delivers,31,14,45,0.5205135719331899,1.6164837697277874,0.10368630994268502
downfield,15,5,20,0.8233297066461001,1.5943742550951439,0.266665618329628
towards,11,3,14,1.023715589333766,1.5717131176143981,0.42424045319713605
why,37,18,55,0.44628404988437254,1.5529868787115955,0.08258233499711884
spinning,1,4,5,-1.6642030914671366,-1.488512226835063,1.2499937345558971
move,1,4,5,-1.6642030914671366,-1.488512226835063,1.2499937345558971
rumbles,1,4,5,-1.6642030914671366,-1.488512226835063,1.2499937345558971
underscores,1,4,5,-1.6642030914671366,-1.488512226835063,1.2499937345558971
highlights,36,18,54,0.41867623674224586,1.4503391660475422,0.08333308762904046
offense,37,39,76,-0.3326929765300246,-1.4496745508648405,0.05266792826440601
yardage,2,5,7,-1.194267863757334,-1.4274255590151832,0.6999976058588112
fight,2,5,7,-1.194267863757334,-1.4274255590151832,0.6999976058588112
becoming,10,3,13,0.9281980431207897,1.4100370691388229,0.4333314764671191
set,10,3,13,0.9281980431207897,1.4100370691388229,0.4333314764671191
showing,10,3,13,0.9281980431207897,1.4100370691388229,0.4333314764671191
barrels,6,1,7,1.5156980145234895,1.4032687898951968,1.1666581817198716
expertly,6,1,7,1.5156980145234895,1.4032687898951968,1.1666581817198716
diving,6,1,7,1.5156980145234895,1.4032687898951968,1.1666581817198716
spiral,6,1,7,1.5156980145234895,1.4032687898951968,1.1666581817198716
contested,3,6,9,-0.9711915076264743,-1.3734742265595072,0.49999852577424275
need,3,6,9,-0.9711915076264743,-1.3734742265595072,0.49999852577424275
target,69,40,109,0.2716084268249581,1.3667375371256725,0.03949264627669904
big,4,7,11,-0.8377270136613966,-1.3365517771367574,0.3928560672737603
keep,4,7,11,-0.8377270136613966,-1.3365517771367574,0.3928560672737603
space,4,7,11,-0.8377270136613966,-1.3365517771367574,0.3928560672737603
chemistry,15,6,21,0.6407348837589248,1.3264494962181317,0.2333325352862704
additional,5,8,13,-0.7481816466736086,-1.3123991481763815,0.32499914716002337
snapped,14,17,31,-0.4729351311283514,-1.3104176364929625,0.1302517877974566
moving,13,16,29,-0.4863516079847452,-1.302517442764165,0.1394227409421953
turning,11,14,25,-0.5197406336136812,-1.2899638945570178,0.16233726823249872
through,10,13,23,-0.5408760453100934,-1.2858965632639292,0.1769226451578137
timed,18,8,26,0.5354507746050876,1.2601284398712105,0.1805549817907015
demonstrating,18,8,26,0.5354507746050876,1.2601284398712105,0.1805549817907015
awareness,31,16,47,0.3864332835214972,1.2553564629985945,0.09475779030877601
hitting,9,3,12,0.8226302113707922,1.2339477425456764,0.4444426972160466
ends,7,2,9,0.976638587191732,1.2180850472413567,0.6428542726351241
changer,5,1,6,1.3331701003814294,1.2170159601209556,1.1999926406920594
targets,5,1,6,1.3331701003814294,1.2170159601209556,1.1999926406920594
strides,5,1,6,1.3331701003814294,1.2170159601209556,1.1999926406920594
moved,5,1,6,1.3331701003814294,1.2170159601209556,1.1999926406920594
perfect,14,6,20,0.5715342779785582,1.1712986291588336,0.23809446253913957
spectacular,22,11,33,0.41767820541218725,1.1310795946505798,0.1363632343020662
drive,12,5,17,0.5995631972844224,1.1263849854227599,0.2833323921225401
barreling,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
cut,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
launches,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
taken,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
phenomenal,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
tremendous,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
opening,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
slipping,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
lined,2,4,6,-0.9708511606831234,-1.1210440106000974,0.749997788661364
quickly,17,8,25,0.47808444463873645,1.1150766660747524,0.1838229666937548
plays,12,14,26,-0.4325216310657538,-1.099452110413296,0.1547615353694471
potential,10,4,14,0.6402432870131252,1.0822105268517503,0.3499988029294056
such,15,7,22,0.48631069429516227,1.0624238158817803,0.20952316468888055
left,4,6,10,-0.6833027315327884,-1.058569392353632,0.416665601947491
secures,7,9,16,-0.5293519610997288,-1.0504015119732468,0.25396763589987087
determination,7,9,16,-0.5293519610997288,-1.0504015119732468,0.25396763589987087
sprints,6,8,14,-0.5656529757680682,-1.0473870756636363,0.2916659500286584
away,6,8,14,-0.5656529757680682,-1.0473870756636363,0.2916659500286584
agility,42,40,82,-0.23049057071922707,-1.0432812223724652,0.048809408542358074
role,8,3,11,0.7046399126011993,1.040823996212653,0.4583316891634334
defender,47,44,91,-0.213383260932142,-1.0172212687351392,0.04400376445139169
trusted,4,1,5,1.109820254455884,0.9926559004829286,1.2499937345558971
strategy,4,1,5,1.109820254455884,0.9926559004829286,1.2499937345558971
come,4,1,5,1.109820254455884,0.9926559004829286,1.2499937345558971
needle,4,1,5,1.109820254455884,0.9926559004829286,1.2499937345558971
effectively,4,1,5,1.109820254455884,0.9926559004829286,1.2499937345558971
tagovailoa,4,1,5,1.109820254455884,0.9926559004829286,1.2499937345558971
tua,4,1,5,1.109820254455884,0.9926559004829286,1.2499937345558971
fires,24,13,37,0.3375035478848938,0.9800661488060197,0.11858940962327272
pass,44,41,85,-0.20852139647210066,-0.9606383979698274,0.047117405213418784
textbook,11,5,16,0.512344265958232,0.9499131794745279,0.2909081801545647
shaking,14,15,29,-0.34722283694148004,-0.934371198224269,0.13809491158572373
solid,40,24,64,0.2355405193633242,0.9122457281887113,0.06666648844908654
makes,40,24,64,0.2355405193633242,0.9122457281887113,0.06666648844908654
pressure,25,14,39,0.30415152505423393,0.9111551155729941,0.11142826316247484
situations,28,16,44,0.28402502957493336,0.9062956114320426,0.09821401681844008
turns,14,7,21,0.41711006605053846,0.901062055292975,0.21428508247467548
extra,12,13,25,-0.358139298907032,-0.8946327404246505,0.16025603103793742
example,9,4,13,0.5346753700861377,0.8897550118322839,0.361109963581403
momentum,9,4,13,0.5346753700861377,0.8897550118322839,0.361109963581403
reliable,80,52,132,0.1561570170577653,0.8766409719406045,0.03173068733268954
laser,11,12,23,-0.36504132591537974,-0.8745116410538802,0.17424201168901338
perfectly,23,13,36,0.2947356974354971,0.8494106091063003,0.12040100630324457
sprinting,12,6,18,0.41696827611611553,0.833937781645695,0.24999926288712138
scheme,7,3,10,0.5709013140365853,0.8273159500838279,0.47618892507827915
racing,7,3,10,0.5709013140365853,0.8273159500838279,0.47618892507827915
precise,7,3,10,0.5709013140365853,0.8273159500838279,0.47618892507827915
value,7,3,10,0.5709013140365853,0.8273159500838279,0.47618892507827915
display,49,44,93,-0.1712918160582504,-0.8247456488340583,0.04313533365640179
spots,52,33,85,0.17948219001567445,0.8064382250213926,0.04953367040551389
creating,7,8,15,-0.4112950488747771,-0.7946984798998484,0.26785650540442785
offensive,18,10,28,0.31175949044183593,0.7904556773788394,0.15555512340710656
pushed,6,7,13,-0.43184782149881507,-0.776218913146385,0.3095230707388942
snags,6,7,13,-0.43184782149881507,-0.776218913146385,0.3095230707388942
once,5,2,7,0.639752469566707,0.764651762151205,0.6999976058588112
rolls,5,2,7,0.639752469566707,0.764651762151205,0.6999976058588112
trips,5,2,7,0.639752469566707,0.764651762151205,0.6999976058588112
builds,5,2,7,0.639752469566707,0.764651762151205,0.6999976058588112
again,5,2,7,0.639752469566707,0.764651762151205,0.6999976058588112
where,5,2,7,0.639752469566707,0.764651762151205,0.6999976058588112
alive,10,5,15,0.4168265839386125,0.7610188638844333,0.29999911546454566
keeps,10,5,15,0.4168265839386125,0.7610188638844333,0.29999911546454566
trust,5,6,11,-0.45995219763956996,-0.75958696571119,0.36666578737222955
displayed,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
dimension,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
reception,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
significant,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
looks,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
finally,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
become,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
evade,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
decision,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
stunning,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
sees,2,3,5,-0.6828960900757108,-0.7480761417229194,0.833331203894982
firing,4,5,9,-0.5007076924271487,-0.7464118603952492,0.4499989120205884
crowd,3,4,7,-0.5651796868215699,-0.7399948222753507,0.5833319000573168
placed,3,4,7,-0.5651796868215699,-0.7399948222753507,0.5833319000573168
importance,3,4,7,-0.5651796868215699,-0.7399948222753507,0.5833319000573168
moment,3,4,7,-0.5651796868215699,-0.7399948222753507,0.5833319000573168
demonstrated,3,4,7,-0.5651796868215699,-0.7399948222753507,0.5833319000573168
launching,3,4,7,-0.5651796868215699,-0.7399948222753507,0.5833319000573168
leaping,13,7,20,0.34279438642768145,0.7312064491754448,0.21977959882860937
demonstrates,13,7,20,0.34279438642768145,0.7312064491754448,0.21977959882860937
secure,13,7,20,0.34279438642768145,0.7312064491754448,0.21977959882860937
upfield,25,15,40,0.2348842297054352,0.7191841005412571,0.10666638151853847
bullet,16,9,25,0.29919509426996527,0.7180692172124555,0.1736106319307429
sideline,41,26,67,0.17984885443014242,0.7173802946945077,0.06285161846578685
free,26,24,50,-0.1981640783877472,-0.7000559293265398,0.08012801551896871
valuable,19,18,37,-0.22394706619397198,-0.6808604089421507,0.10818687894201653
between,8,4,12,0.416684989415546,0.6804447414933018,0.374998894330682
