word,count_a,count_b,total_count,log_odds,z_score,variance
find,13,17,30,1.4795268799388719,4.015675850605214,0.13574643155809402
soft,11,12,23,1.6603056861625074,3.9775108563225987,0.1742422069185986
reliable,31,82,113,0.7778803213601391,3.6894509775594857,0.044453102973908976
timing,6,3,9,2.4390262613881974,3.449306696534546,0.4999992234108454
crisp,9,12,21,1.4587970249188063,3.308242833461238,0.19444419277194308
route,49,167,216,0.5258181764697527,3.2364246038485747,0.026396126514586275
awareness,12,26,38,0.9735241862713675,2.789540036109427,0.12179467292475721
fantastic,13,33,46,0.815063643399883,2.4890960026159727,0.10722591187987097
sees,5,7,12,1.4086978047992238,2.4058110883872073,0.3428566924986795
athleticism,6,93,99,-1.0015428620342846,-2.377777110461962,0.17741763924588383
beyond,3,2,5,2.1501631704897166,2.355387326868224,0.8333322115931253
manages,3,2,5,2.1501631704897166,2.355387326868224,0.8333322115931253
finding,4,5,9,1.5217542464138951,2.2684987379416888,0.44999942687698113
running,27,95,122,0.4899279711104052,2.24644876186118,0.04756324045693897
full,5,8,13,1.2750935594852724,2.236663609329643,0.32499955074306974
situations,10,25,35,0.8296581451065048,2.2173566597306507,0.13999974776392257
spots,19,61,80,0.5806576071387894,2.210127455615129,0.06902487053549825
target,29,105,134,0.46141284508632996,2.1995379296977067,0.04400646160383441
incredible,4,70,74,-1.122050065681071,-2.1826181376142775,0.26428283155157295
touchdown,11,124,135,-0.6832783682041494,-2.1718983997839283,0.0989729084335734
footwork,7,15,22,0.9832830130775898,2.148138098494576,0.20952346983916498
become,3,3,6,1.7446255743523675,2.1367225521721056,0.6666658383045416
near,3,3,6,1.7446255743523675,2.1367225521721056,0.6666658383045416
being,11,30,41,0.7427004315908086,2.1070708320998923,0.12424218542675113
upfield,13,38,51,0.6736194059636045,2.096493001360004,0.10323865697023124
stay,4,6,10,1.3393599060255115,2.0749288407650304,0.41666610579656266
coverage,16,51,67,0.587327191521898,2.0496903584224393,0.08210766453550823
spectacular,16,155,171,-0.5319168790010567,-2.0256895038761384,0.06895119349349929
precision,7,17,24,0.8579739261796435,1.9104792841085265,0.20168031637937914
additional,3,4,7,1.4568708532232542,1.9074929380695802,0.5833325783158293
sharply,3,4,7,1.4568708532232542,1.9074929380695802,0.5833325783158293
crossing,3,4,7,1.4568708532232542,1.9074929380695802,0.5833325783158293
darting,3,4,7,1.4568708532232542,1.9074929380695802,0.5833325783158293
survey,3,4,7,1.4568708532232542,1.9074929380695802,0.5833325783158293
scheme,3,4,7,1.4568708532232542,1.9074929380695802,0.5833325783158293
keep,8,21,29,0.780322662374985,1.878149969084269,0.17261872525103056
agility,12,119,131,-0.5543221672794791,-1.830172619070835,0.09173612374919003
turns,7,18,25,0.8007425295139132,1.7976641733723626,0.1984123335000637
precise,7,18,25,0.8007425295139132,1.7976641733723626,0.1984123335000637
elite,1,34,35,-1.7848150904948614,-1.7591515541640812,1.029390001835756
changer,1,34,35,-1.7848150904948614,-1.7591515541640812,1.029390001835756
free,14,47,61,0.534926982741248,1.756883756317977,0.09270495666260978
big,4,56,60,-0.8978820825729388,-1.7348805875695397,0.2678548012209015
leaping,6,71,77,-0.730010032978349,-1.7170774062701504,0.18074983539718284
launches,8,86,94,-0.6342600871120707,-1.7159283042020126,0.13662698659351705
reliability,3,5,8,1.2336545857734702,1.6892523014104208,0.5333325822851858
evident,3,5,8,1.2336545857734702,1.6892523014104208,0.5333325822851858
extra,3,5,8,1.2336545857734702,1.6892523014104208,0.5333325822851858
critical,11,36,47,0.5599402395593556,1.6253272827875387,0.11868660483614575
skill,3,45,48,-0.9664864137208369,-1.6208545762575735,0.3555522274094282
brought,7,20,27,0.6952360279142056,1.5831236546933387,0.1928567585883611
defense,7,20,27,0.6952360279142056,1.5831236546933387,0.1928567585883611
skills,2,36,38,-1.1485650167849508,-1.5810021846440994,0.5277718575436636
leaps,5,59,64,-0.7267274136477093,-1.5602499139933368,0.21694755067535543
sprinting,4,51,55,-0.8039904125171615,-1.5484113264903907,0.2696056943945024
breaking,13,46,59,0.4819788533204843,1.5344512163084818,0.09866197314177033
solid,10,33,43,0.5514417875905773,1.527646613151583,0.1303027386252308
turning,9,29,38,0.5751665602970748,1.5073793467466532,0.1455935501997186
placed,5,13,18,0.7892212722189269,1.4997525563784937,0.2769225634370097
moment,5,13,18,0.7892212722189269,1.4997525563784937,0.2769225634370097
especially,3,6,9,1.0512602764484926,1.4867076950990679,0.4999992234108454
first,6,17,23,0.7034050382991026,1.4812967584069574,0.22548974971158522
showcased,13,47,60,0.4603994586004214,1.4691979349399353,0.09819943522357423
weaves,2,3,5,1.3387431872917013,1.4665206718055108,0.8333322115931253
progresses,2,3,5,1.3387431872917013,1.4665206718055108,0.8333322115931253
remarkable,6,64,70,-0.6257004928966046,-1.4654956744899652,0.18229044802838199
defender,23,181,204,-0.3230603095586426,-1.4593948367604934,0.04900287929743605
cut,5,56,61,-0.6743221358162463,-1.444717846281892,0.21785561487936977
cornerback,8,78,86,-0.5360347890955772,-1.4439008600252619,0.1378196692093963
crucial,22,90,112,0.33746023986149787,1.4188836344362266,0.056565504210179064
demonstrates,3,40,43,-0.8483383208068798,-1.4171874225330225,0.3583303483617786
tackle,2,32,34,-1.0304905318368611,-1.4138284000748111,0.5312446986124937
dropping,4,10,14,0.8282429288753086,1.3999873317450935,0.3499993694098064
delivering,4,10,14,0.8282429288753086,1.3999873317450935,0.3499993694098064
contested,4,47,51,-0.7220199891593984,-1.3862598799928514,0.27127460111116597
demonstrating,7,22,29,0.5997798364010434,1.3821452635099074,0.18831128339585973
races,3,39,42,-0.8229475176111896,-1.373542776816424,0.3589714425730972
across,6,18,24,0.6461736543951071,1.370742737879034,0.22222176202153718
end,11,96,107,-0.4252862598566365,-1.336049703051207,0.10132520097634676
threat,1,22,23,-1.348626781229056,-1.3189920447487202,1.0454402268710576
explosive,1,22,23,-1.348626781229056,-1.3189920447487202,1.0454402268710576
showcases,4,45,49,-0.6783887135157398,-1.3002245327912292,0.27222030455683505
tapping,3,7,10,0.8970368210069459,1.299930968112542,0.4761896590991108
left,3,37,40,-0.7701578099712485,-1.282959338777255,0.3603575810201413
launching,2,29,31,-0.9318319290451962,-1.2745964445801519,0.5344779209055891
snag,1,21,22,-1.3020342810385417,-1.2721067740403382,1.0476053488206523
spiral,4,44,48,-0.6558427839369241,-1.2558476462042376,0.2727253935206338
where,4,11,15,0.7328598785611042,1.255168625699205,0.3409084314504347
post,5,15,20,0.6459745747457566,1.2509256803054611,0.2666661144258446
between,5,15,20,0.6459745747457566,1.2509256803054611,0.2666661144258446
scanning,12,100,112,-0.3789718252181409,-1.2404797397450553,0.09333284316604952
tough,8,28,36,0.4921293302865548,1.2275876728919135,0.16071390772176702
above,1,20,21,-1.2531716377926534,-1.222977909682315,1.0499869208337547
secondary,2,4,6,1.0509885179350071,1.2135779499418045,0.7499988351162681
effortless,2,4,6,1.0509885179350071,1.2135779499418045,0.7499988351162681
dangerous,2,4,6,1.0509885179350071,1.2135779499418045,0.7499988351162681
much,2,4,6,1.0509885179350071,1.2135779499418045,0.7499988351162681
needed,2,4,6,1.0509885179350071,1.2135779499418045,0.7499988351162681
going,2,4,6,1.0509885179350071,1.2135779499418045,0.7499988351162681
bounds,14,56,70,0.35906391211876354,1.2016592753943056,0.08928547853573979
phenomenal,3,35,38,-0.7144420063846351,-1.1876033613756147,0.3619021195033062
creating,3,35,38,-0.7144420063846351,-1.1876033613756147,0.3619021195033062
changing,1,19,20,-1.201805869828262,-1.1713823982472629,1.052619119234943
hauls,8,29,37,0.4569649496596817,1.1442648216693405,0.15948237211562769
scans,14,57,71,0.3412910874138033,1.144189085901686,0.08897219244907997
concentration,14,57,71,0.3412910874138033,1.144189085901686,0.08897219244907997
make,23,169,192,-0.25357508030107123,-1.1409437595085887,0.04939519096741728
stunning,3,34,37,-0.6853815014558196,-1.1379761059315578,0.36274252405405827
strike,5,16,21,0.5813631156959902,1.1347058521206892,0.26249942716886726
moves,5,16,21,0.5813631156959902,1.1347058521206892,0.26249942716886726
slant,5,16,21,0.5813631156959902,1.1347058521206892,0.26249942716886726
great,3,8,11,0.7634326363405739,1.1276658031085676,0.45833246722107496
spot,3,8,11,0.7634326363405739,1.1276658031085676,0.45833246722107496
