word,count_a,count_b,total_count,log_odds,z_score,variance
after,14,59,73,1.3527467353437181,4.550356479164749,0.08837758847265359
effort,6,17,23,1.746542842869272,3.6780332377042626,0.225489948627843
thompson,3,2,5,3.1922273860488746,3.49691120079139,0.8333327114789644
smith,4,10,14,1.8707736017776693,3.1621861175381687,0.34999965042229114
releases,6,27,33,1.2835539767792365,2.8439046222209243,0.20370337240272182
snatching,4,13,17,1.6082998806283282,2.812836616442964,0.326922676340981
balance,3,7,10,1.9392824961083264,2.8102886634580955,0.4761900232228965
chris,3,8,11,1.8057146598297384,2.6672187142097314,0.4583328531901967
eye,2,3,5,2.380667881183899,2.6078919739424924,0.8333327114789644
carr,2,3,5,2.380667881183899,2.6078919739424924,0.8333327114789644
hard,2,3,5,2.380667881183899,2.6078919739424924,0.8333327114789644
moving,2,3,5,2.380667881183899,2.6078919739424924,0.8333327114789644
gaines,2,3,5,2.380667881183899,2.6078919739424924,0.8333327114789644
tackle,6,31,37,1.145257454999915,2.5677878432386914,0.19892436394424226
eric,2,4,6,2.092949466781974,2.4167309165316277,0.7499993542282568
colts,2,4,6,2.092949466781974,2.4167309165316277,0.7499993542282568
arises,2,4,6,2.092949466781974,2.4167309165316277,0.7499993542282568
nelson,2,4,6,2.092949466781974,2.4167309165316277,0.7499993542282568
tackling,10,73,83,0.8004538014388878,2.3738824598425805,0.11369833891164582
athleticism,4,204,208,-1.1518663341059137,-2.2814939042194515,0.2548974817881857
yardage,3,12,15,1.4001037329738066,2.1690329637678243,0.4166660567715682
line,9,68,77,0.7656326516083336,2.158496604371168,0.12581666032586544
little,4,20,24,1.1772614816714047,2.149377490013458,0.2999994627184861
knocking,2,6,8,1.6874116133587576,2.066649905684652,0.666665901307836
most,2,6,8,1.6874116133587576,2.066649905684652,0.666665901307836
anticipated,2,6,8,1.6874116133587576,2.066649905684652,0.666665901307836
statement,2,6,8,1.6874116133587576,2.066649905684652,0.666665901307836
closing,8,60,68,0.7727105486998669,2.0529745910677177,0.14166629422452062
away,5,199,204,-0.9031332840586854,-1.9945791878197578,0.2050223134921943
momentum,4,22,26,1.0818782903771105,1.9903685149403163,0.29545396728497475
commendable,3,14,17,1.2458801265177089,1.9582891055983718,0.4047612243348822
easily,2,7,9,1.5332245465669505,1.9122682300644909,0.6428563046722278
improvement,2,7,9,1.5332245465669505,1.9122682300644909,0.6428563046722278
eagles,2,7,9,1.5332245465669505,1.9122682300644909,0.6428563046722278
raiders,2,7,9,1.5332245465669505,1.9122682300644909,0.6428563046722278
preventing,2,7,9,1.5332245465669505,1.9122682300644909,0.6428563046722278
help,2,7,9,1.5332245465669505,1.9122682300644909,0.6428563046722278
lined,5,33,38,0.8997484796035984,1.8748727639880343,0.23030249478024536
explodes,2,8,10,1.399656761539875,1.7704426193100717,0.6249990851573524
catches,2,8,10,1.399656761539875,1.7704426193100717,0.6249990851573524
missed,2,8,10,1.399656761539875,1.7704426193100717,0.6249990851573524
jets,2,8,10,1.399656761539875,1.7704426193100717,0.6249990851573524
gets,2,9,11,1.281837329409547,1.639733154709457,0.6111101172081654
towards,4,27,31,0.8769013215077583,1.636749704902531,0.2870363550949612
forward,3,18,21,0.9944198207156418,1.5946209509842446,0.3888880629400352
deflections,8,72,80,0.5899496520642371,1.5830035140879835,0.13888845306047914
next,1,79,80,-1.5866641443406309,-1.57673776205262,1.012630671239085
become,4,28,32,0.8404971615762129,1.5724281407365706,0.2857135828347266
spectacular,7,61,68,0.6220185731115997,1.5587034409013938,0.15925010122829092
time,4,142,146,-0.7872971581550763,-1.5528842344638032,0.25703910830813725
turn,8,73,81,0.5761197094297525,1.54695377900169,0.1386981890071669
pick,5,39,44,0.7324751257941173,1.5420002402988267,0.22564040951462952
incredible,2,97,99,-1.098857984918432,-1.5382554581364751,0.5103007506770536
snap,17,188,205,0.38505581584518644,1.5203758968682293,0.06414243204528358
jaguars,2,10,12,1.1764404140263158,1.5187794037971978,0.5999989254369722
off,13,136,149,0.44010060602987,1.5160054140455965,0.0842757116731252
breaking,2,95,97,-1.0779508511791427,-1.508667195414131,0.5105179602382927
catch,5,40,45,0.707120768025101,1.4907435576484191,0.22499937037389026
showed,5,40,45,0.707120768025101,1.4907435576484191,0.22499937037389026
interceptions,11,112,123,0.46689073027230776,1.4776406105606625,0.09983730885721052
incomplete,4,30,34,0.7714312541836597,1.4492688758839116,0.28333258844904124
like,4,134,138,-0.7290165711787377,-1.4367551402809502,0.25745971340271856
feels,3,20,23,0.8889863558039837,1.4358441809164324,0.383332433368193
jones,3,20,23,0.8889863558039837,1.4358441809164324,0.383332433368193
moment,2,90,92,-1.0237010364091885,-1.4319203096595632,0.5111031858506879
coverage,12,295,307,-0.4207148538872918,-1.428637779051008,0.08672242836621628
man,2,89,91,-1.0124912211550319,-1.4160673226108755,0.511228115851103
