word,count_a,count_b,total_count,log_odds,z_score,variance
make,18,39,57,1.0395209598653192,3.6480826524744674,0.08119647251261915
tackle,30,92,122,0.6933442276565494,3.297796897915183,0.04420282217218951
quickly,8,13,21,1.325112536511579,2.9488999139102128,0.2019228465259218
break,6,8,14,1.5225094696174528,2.8191412337279265,0.2916663571997801
engaging,7,11,18,1.3583911820682344,2.809533455051529,0.2337659709158827
awareness,7,12,19,1.2713205877741371,2.673118285207497,0.2261902115106167
highlights,7,13,20,1.1912186551223023,2.54095778220291,0.21977995163365807
faster,7,13,20,1.1912186551223023,2.54095778220291,0.21977995163365807
block,13,35,48,0.8207315782408076,2.526891310769908,0.10549434088702872
see,3,2,5,2.214924937644719,2.4263300417495697,0.833332413774641
keeping,3,2,5,2.214924937644719,2.4263300417495697,0.833332413774641
drops,20,214,234,-0.5672519090559573,-2.426001782464302,0.05467259665838143
sheds,7,14,21,1.1170514512064074,2.413108470243658,0.21428544144968215
offense,9,22,31,0.9166317327046194,2.3165781284813836,0.1565654290306839
bigger,11,30,41,0.8073986709770331,2.290621928343683,0.12424222847066166
bringing,8,19,27,0.945267398307478,2.2428224815313538,0.17763132599780668
tenacity,21,75,96,0.5386974797057178,2.1819763155191745,0.06095226139382554
explosive,8,107,115,-0.7883525872866279,-2.1508491236854184,0.13434487414481017
against,14,45,59,0.6432946804574442,2.1021060344282425,0.09365062550434848
powering,10,29,39,0.745686481271945,2.0334023635152314,0.1344825363784902
like,13,142,155,-0.5861191536126995,-2.0227263459730374,0.08396485942757184
getting,3,60,63,-1.1897062367162166,-2.01098084301411,0.3499964260630888
got,4,7,11,1.24991072488542,1.9941688330772709,0.39285667838622185
stopping,4,7,11,1.24991072488542,1.9941688330772709,0.39285667838622185
misses,3,4,7,1.5216599042315453,1.9923215407047306,0.5833327143995602
ferocity,3,4,7,1.5216599042315453,1.9923215407047306,0.5833327143995602
train,8,101,109,-0.7302867879187946,-1.988324573786818,0.13490011727069165
freight,8,101,109,-0.7302867879187946,-1.988324573786818,0.13490011727069165
open,2,51,53,-1.4324763479286498,-1.987249678598468,0.5196010846967437
while,2,51,53,-1.4324763479286498,-1.987249678598468,0.5196010846967437
avoid,2,50,52,-1.4126145210656196,-1.9589563709670907,0.5199933686641968
disrupting,9,26,35,0.7493404621147057,1.9375523622248192,0.14957240313871933
disengage,18,66,84,0.5118232583718676,1.9248151586804183,0.07070692884693465
massive,2,48,50,-1.371674138065356,-1.9006590748456915,0.5208269561791572
gap,4,8,12,1.116320192964368,1.8229444020704817,0.37499952253694385
exploding,4,8,12,1.116320192964368,1.8229444020704817,0.37499952253694385
snapped,37,163,200,0.32942585728113727,1.8089970702661664,0.03316191811474683
tries,3,5,8,1.2984573066266272,1.77798691824614,0.5333327176534653
lined,3,5,8,1.2984573066266272,1.77798691824614,0.5333327176534653
dives,3,5,8,1.2984573066266272,1.77798691824614,0.5333327176534653
scrimmage,12,41,53,0.5817455066985842,1.7724666170923338,0.10772337373001287
solid,8,24,32,0.7113561487325857,1.7424610688274622,0.16666638372574524
running,25,104,129,0.38587899465401776,1.7323811273264127,0.0496152734230112
push,6,16,22,0.8288886084672846,1.731493173254514,0.22916631166416615
level,2,41,43,-1.2136309461292756,-1.6759521417689212,0.5243847560173924
today,1,33,34,-1.689593849328742,-1.6645754461818205,1.0302856986847195
man,4,9,13,0.9984780064103278,1.661568978303203,0.36111061557132795
lines,4,9,13,0.9984780064103278,1.661568978303203,0.36111061557132795
potential,10,34,44,0.5863251294987712,1.6298665132811494,0.12941152123184482
moments,5,13,18,0.8540219771447211,1.622892684827894,0.27692265598725796
eyes,3,6,9,1.116076674561402,1.578371774632266,0.4999993633825917
forces,3,6,9,1.116076674561402,1.578371774632266,0.4999993633825917
dominant,8,26,34,0.6311948522271269,1.5611910421045667,0.16346124228396036
react,2,3,5,1.4035742950344279,1.5375394533644302,0.833332413774641
size,2,3,5,1.4035742950344279,1.5375394533644302,0.833332413774641
staying,2,3,5,1.4035742950344279,1.5375394533644302,0.833332413774641
opponents,2,3,5,1.4035742950344279,1.5375394533644302,0.833332413774641
wraps,37,172,209,0.2751428714269686,1.5182760651290919,0.03284089916558213
timing,4,10,14,0.893058330678512,1.5095452105507048,0.3499994830667989
quarterback,60,448,508,-0.2069279567107425,-1.5052297246067345,0.01889873636791865
charging,1,28,29,-1.5249964272396506,-1.4984834248051333,1.0356994975495464
crucial,7,23,30,0.620081243951847,1.4364856861055297,0.18633506303187794
driving,9,32,41,0.5413451976748904,1.4347592333042758,0.14236083292893564
athleticism,1,26,27,-1.4507707317463794,-1.4236605701768472,1.0384477673540586
pursuit,16,66,82,0.393312671832021,1.4114433592364766,0.07765134243123924
future,2,34,36,-1.0260053308169175,-1.410115575944558,0.5294071652358815
free,3,7,10,0.9618669013953411,1.3938785451107902,0.4761898063709147
gain,3,7,10,0.9618669013953411,1.3938785451107902,0.4761898063709147
scanning,9,89,98,-0.48494288408024744,-1.3864203233026842,0.12234644368600646
even,39,187,226,0.2440072350203808,1.38612419503106,0.03098854025835139
next,1,25,26,-1.4114911622947668,-1.3840897830330292,1.0399867373283935
receiver,4,50,54,-0.7187496163093732,-1.38323871265165,0.26999827014169414
before,5,15,20,0.7108027116059592,1.3764647006195447,0.26666621396119233
capitalize,5,15,20,0.7108027116059592,1.3764647006195447,0.26666621396119233
receives,5,15,20,0.7108027116059592,1.3764647006195447,0.26666621396119233
edge,2,33,35,-0.9960932286420334,-1.367854063304653,0.5302985576462566
erupts,2,33,35,-0.9960932286420334,-1.367854063304653,0.5302985576462566
momentum,4,11,15,0.7976889831667622,1.3662011517930293,0.3409085503106363
wrap,4,11,15,0.7976889831667622,1.3662011517930293,0.3409085503106363
snap,23,189,212,-0.30066892459232974,-1.3614959572517609,0.04876905903597502
trenches,7,24,31,0.5774623494264208,1.344305200862864,0.1845234599077956
maintain,5,57,62,-0.6266888960103438,-1.3436305055272246,0.21754258688766498
opposing,4,49,53,-0.6984875860707307,-1.343229300283661,0.2704064649960061
defensive,25,114,139,0.29347503863488633,1.3288829425789663,0.04877181111054957
overall,11,43,54,0.4466243281431508,1.3218328082139759,0.11416466270070867
hands,1,23,24,-1.327991851536348,-1.3000386253806668,1.0434660148419381
showcases,1,23,24,-1.327991851536348,-1.3000386253806668,1.0434660148419381
downfield,2,4,6,1.1158332731778176,1.2884541015324802,0.7499990450738877
escape,2,4,6,1.1158332731778176,1.2884541015324802,0.7499990450738877
delivering,2,4,6,1.1158332731778176,1.2884541015324802,0.7499990450738877
able,2,4,6,1.1158332731778176,1.2884541015324802,0.7499990450738877
blockers,15,129,144,-0.34550101053626303,-1.266512628497346,0.07441827429710518
quickness,15,129,144,-0.34550101053626303,-1.266512628497346,0.07441827429710518
crowd,6,62,68,-0.5283860531499833,-1.235860673979369,0.1827947279199526
maintaining,8,77,85,-0.45754304878443897,-1.2317254952182495,0.13798632928234367
refining,4,12,16,0.7106184318647308,1.2308282735401372,0.3333327674514905
tackling,4,12,16,0.7106184318647308,1.2308282735401372,0.3333327674514905
run,4,12,16,0.7106184318647308,1.2308282735401372,0.3333327674514905
determination,8,30,38,0.48785678340051764,1.2260455765216232,0.1583330094368431
elevate,5,54,59,-0.5724435659275926,-1.224587323047663,0.21851730628576976
shows,3,8,11,0.828276402820789,1.2234462760163054,0.4583326233283323
immediate,3,8,11,0.828276402820789,1.2234462760163054,0.4583326233283323
proving,1,21,22,-1.236902385943079,-1.2084705239285924,1.0476078178558192
