word,count_a,count_b,total_count,log_odds,z_score,variance
end,38,65,103,-0.6417736064652653,-3.142765262802201,0.04170036115591047
frame,9,25,34,-1.125282439439852,-2.8947672675175453,0.15111089460319851
deliver,6,19,25,-1.255992770492341,-2.6820687513662462,0.2192978968947843
protecting,7,20,27,-1.1531450055921484,-2.6258286112077616,0.1928568604281949
placement,35,54,89,-0.5378055032709899,-2.478342691236755,0.04708989997843298
rusher,24,40,64,-0.6146000662625131,-2.380337053045148,0.06666659766623444
agility,24,40,64,-0.6146000662625131,-2.380337053045148,0.06666659766623444
creating,134,88,222,0.32170480088487263,2.344633717579021,0.018826304195244215
power,14,27,41,-0.7601692121390631,-2.308152452070157,0.10846548726707816
tackle,115,75,190,0.32823759162147415,2.211522109346064,0.022028963523475806
quickness,39,19,58,0.6186805770945387,2.2113721765276604,0.07827251381333586
elite,2,10,12,-1.7122307276508097,-2.210482988664357,0.5999985753462489
sustaining,22,8,30,0.9107371718038904,2.205916544692379,0.17045430311087886
anchors,7,17,24,-0.99033710181698,-2.205216285902043,0.20168041069809445
initial,40,20,60,0.5926959071744857,2.164220689287637,0.0749999143836672
maintaining,72,43,115,0.41558922504138796,2.1563341463865706,0.037144664313002215
running,76,46,122,0.40227508801797196,2.153422066393613,0.03489698920004801
block,78,48,126,0.3856726097582053,2.1023337688420414,0.03365381172577385
pushing,4,12,16,-1.2014249001951125,-2.0809305522752037,0.3333328259775265
making,2,9,11,-1.6067741346221585,-2.055394595123086,0.6111097933962769
strike,19,31,50,-0.5928889642284405,-2.0349148187275383,0.08488955646208801
determination,19,7,26,0.8975002528177303,2.029897140336938,0.1954884466294151
drops,69,86,155,-0.3245428131048449,-2.008075887657007,0.02612063616458591
before,25,11,36,0.7200893389197374,1.990223026574842,0.13090892875375817
guard,17,6,23,0.9403474598679562,1.9802719668658733,0.22548986800879828
ensuring,12,22,34,-0.7092172477280352,-1.9762506674294058,0.12878773889806602
technique,127,88,215,0.267436891392407,1.9281707655110718,0.01923763334755136
holding,33,46,79,-0.43570421570782525,-1.909916195873089,0.05204211056516314
against,124,141,265,-0.2333117101908453,-1.8951090212485646,0.015156700754458963
moving,18,7,25,0.8433460702154099,1.8933085115688606,0.19841243021009816
future,20,31,51,-0.541508678335763,-1.8880626258416684,0.08225798206428853
burst,30,15,45,0.5923062468138198,1.8730378813620565,0.09999988584488961
progresses,5,12,17,-0.9781947309197596,-1.8377090875230708,0.28333296892492077
getting,24,35,59,-0.48058592650132503,-1.8133636198450593,0.0702380264738629
showing,28,14,42,0.592228378002452,1.809288613296106,0.10714273483381027
prevent,18,28,46,-0.544971070325265,-1.8038898662238876,0.09126974964949042
opening,6,13,19,-0.8759254149571172,-1.7747528776831671,0.24358945125961795
expertly,14,23,37,-0.5994408943694491,-1.768372141931795,0.11490671416182605
