word,count_a,count_b,total_count,log_odds,z_score,variance
agility,2,5,7,-2.162592900695069,-2.5847974432672935,0.6999975420848659
evades,2,5,7,-2.162592900695069,-2.5847974432672935,0.6999975420848659
unleashes,8,8,16,-1.2469971934176955,-2.493997406562812,0.24999939460129653
fires,53,5,58,1.1225259231997011,2.399430257728726,0.21886509051049652
athleticism,2,4,6,-1.9389076318840335,-2.2388610749128057,0.7499977297567861
extend,12,9,21,-0.959234551254454,-2.1753422335886303,0.194443953959457
even,30,16,46,-0.6193056540223862,-2.000540652599804,0.09583305388316901
gain,76,12,88,0.6073225186019702,1.955136908031075,0.09649046969613417
stride,24,1,25,1.937326685526906,1.8982123653700038,1.0416363450224049
crucial,19,11,30,-0.700367221153769,-1.84858291095661,0.14354026903868505
missed,2,3,5,-1.6506842167417934,-1.8082363335138292,0.8333311471719933
threat,2,3,5,-1.6506842167417934,-1.8082363335138292,0.8333311471719933
downfield,22,12,34,-0.6408503597708819,-1.7857463158556597,0.12878750784938314
incredible,4,4,8,-1.245450159076416,-1.7613346388463007,0.49999878920259305
refine,6,5,11,-1.0633592843310975,-1.7560822237375227,0.3666657639499876
solid,62,10,72,0.584926516093633,1.7164556179750696,0.11612813781056966
deeper,19,1,20,1.7029353711255721,1.659835229447864,1.052607296446723
bit,27,3,30,0.9559020717107556,1.570716046108543,0.3703662845910002
big,22,2,24,1.15632927935369,1.5656877582431825,0.5454472207184575
shotgun,22,2,24,1.15632927935369,1.5656877582431825,0.5454472207184575
opportunities,7,5,12,-0.9090528513029641,-1.5525052890117488,0.34285626515275247
taking,7,5,12,-0.9090528513029641,-1.5525052890117488,0.34285626515275247
playmaker,3,3,6,-1.2450640755859856,-1.5248876874590214,0.6666650522701241
evading,3,3,6,-1.2450640755859856,-1.5248876874590214,0.6666650522701241
reliable,5,4,9,-1.0221510618621164,-1.5237347294566037,0.44999888303949276
completion,5,4,9,-1.0221510618621164,-1.5237347294566037,0.44999888303949276
