word,count_a,count_b,total_count,log_odds,z_score,variance
clean,11,33,44,1.0894625930157993,3.1292470710918034,0.12121181034096368
surprising,4,4,8,2.185214102172039,3.090361797727994,0.49999923059285895
openings,4,5,9,1.9619852482475277,2.9247572305436185,0.44999929022195306
linebacker,5,9,14,1.5977619766797204,2.864538833969834,0.3111105472593816
showed,5,9,14,1.5977619766797204,2.864538833969834,0.3111105472593816
lowers,3,5,8,1.6735423307941026,2.2915942120476815,0.5333324032058646
small,3,6,9,1.4911354512293702,2.1087860066075486,0.4999990382415917
running,3,6,9,1.4911354512293702,2.1087860066075486,0.4999990382415917
hard,3,6,9,1.4911354512293702,2.1087860066075486,0.4999990382415917
toward,2,3,5,1.7783132169744489,1.9480461502373452,0.8333319441262559
difference,2,3,5,1.7783132169744489,1.9480461502373452,0.8333319441262559
stiff,2,3,5,1.7783132169744489,1.9480461502373452,0.8333319441262559
taking,3,7,10,1.3368994193104928,1.9373533741647644,0.47618946427259534
want,5,17,22,0.9610889521914201,1.8891320872852013,0.2588227937639132
good,5,17,22,0.9610889521914201,1.8891320872852013,0.2588227937639132
bursts,9,40,49,0.6942897984176319,1.8818923398660534,0.13611062210541083
push,4,12,16,1.0859184690160886,1.8808683731342009,0.33333247843765007
agility,12,184,196,-0.5542279429807007,-1.8602122060608086,0.08876706425069526
explosive,3,79,82,-1.0928066566718444,-1.8578685563376665,0.3459845410549335
snap,13,66,79,0.5620664072728827,1.8523310607114147,0.09207421845812408
safety,5,18,23,0.9038449604895309,1.787935821002733,0.25555479308396334
navigating,3,8,11,1.2032826535159007,1.777368350458932,0.45833226070611754
alive,2,4,6,1.4905460159513888,1.7211359424158776,0.7499985573623875
accelerating,2,4,6,1.4905460159513888,1.7211359424158776,0.7499985573623875
utilizing,2,4,6,1.4905460159513888,1.7211359424158776,0.7499985573623875
body,2,4,6,1.4905460159513888,1.7211359424158776,0.7499985573623875
last,2,4,6,1.4905460159513888,1.7211359424158776,0.7499985573623875
decisively,2,4,6,1.4905460159513888,1.7211359424158776,0.7499985573623875
backfield,5,19,24,0.8496921526811017,1.690512817684112,0.252630789166354
barrels,4,14,18,0.9315967880429792,1.6431846753274553,0.3214276351873244
