word,count_a,count_b,total_count,log_odds,z_score,variance
today,7,5,12,-2.306747452832057,-3.939527743014091,0.3428560149661929
stands,6,4,10,-2.2355771507402915,-3.4633470673843205,0.41666526200722015
opponents,4,3,7,-2.3513544930965704,-3.0786506898443693,0.583331442445263
directional,10,4,14,-1.7240855097706191,-2.9142429830155536,0.34999842073295473
most,5,3,8,-2.128044794356118,-2.913950481554027,0.5333314523866954
consistently,6,3,9,-1.9455569844777951,-2.751438425128184,0.4999980550883013
counts,8,3,11,-1.6575422055404987,-2.4483578908663906,0.45833116421884496
need,4,2,6,-1.9435571389464172,-2.2442308395473245,0.749997082632452
performance,10,3,13,-1.4340657583862217,-2.178508430534911,0.43333088361426914
flip,17,4,21,-1.1922901839537525,-2.1454988834965443,0.30882137420171507
confidently,5,2,7,-1.7202476217217288,-2.0560938113710616,0.6999968414659095
punting,6,2,8,-1.5377600192909986,-1.8833685810369432,0.6666632090514282
executed,6,2,8,-1.5377600192909986,-1.8833685810369432,0.6666632090514282
power,6,2,8,-1.5377600192909986,-1.8833685810369432,0.6666632090514282
poise,20,4,24,-1.0292706052318774,-1.8791900296262132,0.29999757276196565
shows,7,2,9,-1.383443236318958,-1.7254619498613086,0.6428533562423175
pin,14,3,17,-1.0969272950884932,-1.7241683827655838,0.40475883084442416
onto,8,2,10,-1.249745694146137,-1.5808223825396182,0.624995867076012
solidify,8,2,10,-1.249745694146137,-1.5808223825396182,0.624995867076012
kicking,8,2,10,-1.249745694146137,-1.5808223825396182,0.624995867076012
him,16,3,19,-0.9630625964842352,-1.5307356596157435,0.3958299331327409
solid,62,1,63,1.502390713657575,1.4904911878898857,1.016030992403937
beautifully,9,2,11,-1.1317964687029622,-1.4478042261959732,0.6111066210244804
back,26,4,30,-0.7659042480044986,-1.4260434844424728,0.2884585520654929
ready,10,2,12,-1.0262697267151353,-1.3249138799079625,0.5999951455239313
returner,67,2,69,0.885360829070323,1.2338418187677007,0.5148985107647074
while,29,4,33,-0.6562035198627552,-1.2303058141771634,0.28447948849083615
strides,11,2,13,-0.9307932863857511,-1.2108624906564838,0.5909038670022134
showing,11,2,13,-0.9307932863857511,-1.2108624906564838,0.5909038670022134
through,50,6,56,-0.518112420774993,-1.199205119130481,0.186664211504185
special,43,1,44,1.1332893125224865,1.1203745070845346,1.023187320434703
trademark,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
makes,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
tighter,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
quicker,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
lined,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
enough,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
league,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
straight,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
demeanor,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
refining,4,1,5,-1.248085220261232,-1.1163250486421243,1.249991734152024
opponent,12,2,14,-0.8436156162383242,-1.1045574187102654,0.5833277363457409
toward,12,2,14,-0.8436156162383242,-1.1045574187102654,0.5833277363457409
making,12,2,14,-0.8436156162383242,-1.1045574187102654,0.5833277363457409
like,12,2,14,-0.8436156162383242,-1.1045574187102654,0.5833277363457409
impressive,53,6,59,-0.45933964402354555,-1.0664107304396455,0.18553200854724206
launches,22,3,25,-0.6436082305216466,-1.0457456734210198,0.37878347643131666
comes,22,3,25,-0.6436082305216466,-1.0457456734210198,0.37878347643131666
high,54,6,60,-0.44047949792751506,-1.0235891111611195,0.18518255998395455
takes,39,1,40,1.0349853800803483,1.021997204883882,1.0255787511597694
taking,13,2,15,-0.7634065838529889,-1.0050766734386851,0.5769171041309858
sky,13,2,15,-0.7634065838529889,-1.0050766734386851,0.5769171041309858
leg,75,3,78,0.5917209648309614,1.0050076659182186,0.34665316085879233
got,5,1,6,-1.0247764031901268,-0.9354923718225002,1.1999902910478626
poised,5,1,6,-1.0247764031901268,-0.9354923718225002,1.1999902910478626
setting,5,1,6,-1.0247764031901268,-0.9354923718225002,1.1999902910478626
room,5,1,6,-1.0247764031901268,-0.9354923718225002,1.1999902910478626
certainly,5,1,6,-1.0247764031901268,-0.9354923718225002,1.1999902910478626
season,14,2,16,-0.6891322562013169,-0.9116413510353722,0.5714222207475095
strength,34,1,35,0.8969530652361817,0.8840699965793826,1.0293572628063175
landing,25,3,28,-0.5152741491197803,-0.8433208288281641,0.37332842300837
bounce,15,2,17,-0.619972998990864,-0.8235908656447057,0.5666599364671725
flawlessly,6,1,7,-0.8422895268433521,-0.7798123148740477,1.1666554726914817
sailing,6,1,7,-0.8422895268433521,-0.7798123148740477,1.1666554726914817
weapon,6,1,7,-0.8422895268433521,-0.7798123148740477,1.1666554726914817
role,6,1,7,-0.8422895268433521,-0.7798123148740477,1.1666554726914817
erupts,29,1,30,0.737057882684546,0.7246858414922192,1.0344360272195927
attempt,50,5,55,-0.3334433623003754,-0.7109092229441781,0.2199965427690846
focus,28,1,29,0.7018005499295752,0.6896094323252387,1.035669108055575
hang,39,4,43,-0.35826439526185627,-0.682393764653633,0.275636800145655
moments,17,2,19,-0.4944769954850514,-0.661472298674969,0.558816036532319
soars,17,2,19,-0.4944769954850514,-0.661472298674969,0.558816036532319
unit,7,1,8,-0.687973484771847,-0.6435438438842228,1.142844441495019
breath,7,1,8,-0.687973484771847,-0.6435438438842228,1.142844441495019
swing,7,1,8,-0.687973484771847,-0.6435438438842228,1.142844441495019
stakes,7,1,8,-0.687973484771847,-0.6435438438842228,1.142844441495019
follow,7,1,8,-0.687973484771847,-0.6435438438842228,1.142844441495019
teams,44,2,46,0.4610041113845318,0.6376386991706083,0.5227093431352989
consistency,52,5,57,-0.29388686767671945,-0.6276723135942568,0.21922718896096288
coverage,60,3,63,0.36605511096908394,0.6187557202729111,0.34998908157576425
however,92,5,97,0.28339755182251025,0.617156600201793,0.21086351053687352
position,26,1,27,0.627360636557869,0.61564570624007,1.0384194678118819
territory,18,2,20,-0.4371521073792062,-0.5865052543537005,0.5555476799518637
giving,18,2,20,-0.4371521073792062,-0.5865052543537005,0.5555476799518637
goal,54,5,59,-0.2558106445652548,-0.5472404211679728,0.21851481509571963
clean,54,5,59,-0.2558106445652548,-0.5472404211679728,0.21851481509571963
ability,42,4,46,-0.28365387637324435,-0.5420857958600627,0.27380500999964225
precision,41,2,43,0.3898849888290128,0.5384137663441423,0.5243734783502895
lines,24,1,25,0.5469861006190477,0.5359447609901348,1.0416277022504767
spirals,8,1,9,-0.5542766927592471,-0.5225803806615664,1.124985777969932
maintain,8,1,9,-0.5542766927592471,-0.5225803806615664,1.124985777969932
showcases,8,1,9,-0.5542766927592471,-0.5225803806615664,1.124985777969932
moving,8,1,9,-0.5542766927592471,-0.5225803806615664,1.124985777969932
