word,count_a,count_b,total_count,log_odds,z_score,variance
agility,23,39,62,-0.8009901236477512,-3.0466887253743615,0.0691191122530017
break,19,4,23,1.2933884134755926,2.3511104537448793,0.3026299229046677
enhance,3,9,12,-1.3677574693890069,-2.051639976161857,0.44444281016382653
delivers,20,6,26,0.938904192115019,2.0170938141469636,0.21666579825113816
blocking,10,17,27,-0.8004526038617552,-2.008531968272565,0.15882312850207064
display,24,31,55,-0.5266071685723563,-1.936833930228287,0.07392456271306855
sideline,39,18,57,0.5087814313171313,1.7855129752936685,0.08119634578500248
showing,5,10,15,-0.9621589305227456,-1.7566562561415584,0.29999917264449405
lined,12,3,15,1.1204263884899337,1.7357611662306498,0.4166647131928698
keeping,10,2,12,1.3434330766487461,1.7343696186511783,0.5999965582129236
after,76,42,118,0.32978897435191445,1.7152488449995382,0.03696732221702824
needle,1,5,6,-1.8779507490054428,-1.7143315621672364,1.1999931164258473
marker,1,5,6,-1.8779507490054428,-1.7143315621672364,1.1999931164258473
powering,1,5,6,-1.8779507490054428,-1.7143315621672364,1.1999931164258473
him,24,29,53,-0.45940312555078044,-1.664796362496338,0.07614925426280948
clean,39,19,58,0.45445870831394597,1.6243893945625114,0.07827238528665803
explosive,9,2,11,1.237878034602053,1.5835030268734327,0.6111079276741546
slipping,9,2,11,1.237878034602053,1.5835030268734327,0.6111079276741546
towards,7,1,8,1.6795724002080545,1.5711023092521856,1.1428481376784339
wrist,7,1,8,1.6795724002080545,1.5711023092521856,1.1428481376784339
flick,7,1,8,1.6795724002080545,1.5711023092521856,1.1428481376784339
moving,20,8,28,0.6507133364957847,1.5555048806250091,0.17499944015642283
threat,6,10,16,-0.779642901426719,-1.509773874167793,0.26666599987918227
spectacular,6,10,16,-0.779642901426719,-1.509773874167793,0.26666599987918227
lines,7,11,18,-0.7208626922376569,-1.4909469413131666,0.23376566442706248
rounded,1,4,5,-1.6545536119481286,-1.4798812085885917,1.2499941395786094
get,1,4,5,-1.6545536119481286,-1.4798812085885917,1.2499941395786094
wants,1,4,5,-1.6545536119481286,-1.4798812085885917,1.2499941395786094
under,8,12,20,-0.6744029615678366,-1.4775446253657918,0.20833283538763925
over,8,12,20,-0.6744029615678366,-1.4775446253657918,0.20833283538763925
traffic,16,20,36,-0.49256418674067515,-1.4685443336254134,0.11249974558800635
become,16,20,36,-0.49256418674067515,-1.4685443336254134,0.11249974558800635
bit,16,20,36,-0.49256418674067515,-1.4685443336254134,0.11249974558800635
open,9,13,22,-0.636722922997607,-1.468360143563521,0.18803374481137763
big,12,4,16,0.8324908319454565,1.4419190688301868,0.33333210762286986
even,28,31,59,-0.3716739043120114,-1.425595803102925,0.06797219948669819
past,10,3,13,0.9377153031030305,1.4244946585950509,0.4333315965022763
showcased,51,28,79,0.33501119841519955,1.4243294379046907,0.05532198418758685
might,8,2,10,1.1199005167433356,1.4165778749845939,0.6249970697893047
showcases,2,5,7,-1.1846117484939978,-1.4158841175372745,0.6999977606256913
precision,22,10,32,0.5227613657050476,1.3706938715102732,0.14545411951470344
middle,23,26,49,-0.3921904974224715,-1.3700931701590995,0.08193961718831497
catch,152,98,250,0.17626736938111653,1.3606213351231946,0.016782988348713692
getting,3,6,9,-0.9615288316333794,-1.3598089893857317,0.49999862107415677
valuable,3,6,9,-0.9615288316333794,-1.3598089893857317,0.49999862107415677
fantastic,21,24,45,-0.4029985398107563,-1.3486925771285412,0.0892855155373265
quickly,4,7,11,-0.8280577931348017,-1.3211248998765197,0.3928561368038377
highlights,5,8,13,-0.7385058855519873,-1.2954266082637833,0.32499920229107065
technique,7,10,17,-0.6252976062233051,-1.268854532337872,0.24285657260063184
catches,10,13,23,-0.5311675490681482,-1.2628151642319707,0.1769226730688846
free,26,28,54,-0.34362165479854045,-1.261681732556704,0.07417566007336607
awareness,29,15,44,0.39364367026324665,1.2377192619812096,0.10114915184719808
today,7,2,9,0.9861746887146943,1.2299785045275384,0.6428544581775625
tighter,7,2,9,0.9861746887146943,1.2299785045275384,0.6428544581775625
beautiful,5,1,6,1.3427124942211872,1.225726717795304,1.1999931164258473
receiver,5,1,6,1.3427124942211872,1.225726717795304,1.1999931164258473
showcasing,39,39,78,-0.2697891217878343,-1.1913578182203834,0.051281938139330616
forward,19,9,28,0.4811870289871347,1.1891415949711677,0.16374222316380027
releases,19,9,28,0.4811870289871347,1.1891415949711677,0.16374222316380027
hands,92,58,150,0.19711512824392852,1.1756627789616163,0.028110875788925106
snapped,29,30,59,-0.3033406408693562,-1.1648357733470054,0.06781594224653953
breaking,44,43,87,-0.24684655296439395,-1.151140903349259,0.04598298520224563
make,17,19,36,-0.3801954305664106,-1.1388260314834344,0.11145486093501145
gains,25,13,38,0.38805216360991057,1.1348555257356352,0.11692276180863234
picking,2,4,6,-0.9612141150264861,-1.1099159866117123,0.7499979316112352
maximize,20,10,30,0.42706037425937904,1.1026666653843975,0.14999958632224702
turns,14,16,30,-0.402320360453551,-1.0993497370898546,0.13392827330598975
cut,10,4,14,0.649779581088489,1.0983297120233755,0.34999888031284565
