word,count_a,count_b,total_count,log_odds,z_score,variance
clearly,3,2,5,3.1775462786658935,3.4808287371535966,0.8333327642784375
really,6,19,25,1.6204414219324565,3.4603178719169403,0.21929800492079504
lack,5,17,22,1.548876268045218,3.0444938479150836,0.25882322807125097
turning,5,19,24,1.4375837472166308,2.8601552936662675,0.25263125543244025
defensive,14,100,114,0.8085922898610409,2.833620504657208,0.08142838452348262
trajectory,4,13,17,1.5935946347686523,2.7871177267758265,0.32692271035298287
react,3,8,11,1.7910519253714101,2.6455602910524547,0.4583328939574516
swung,2,3,5,2.3660476218179314,2.5918761941543207,0.8333327642784375
committed,2,3,5,2.3660476218179314,2.5918761941543207,0.8333327642784375
timing,6,263,269,-1.0154712388188276,-2.459506576957199,0.17046659182959908
situational,2,4,6,2.078332264982116,2.399852330754289,0.7499994090584624
valuable,4,17,21,1.3251969565474466,2.3846549417958296,0.30882309285146975
valiant,3,10,13,1.5678416064712062,2.381723738009288,0.43333283711775183
wait,7,45,52,0.912034602559757,2.2447365159043486,0.16507902252176537
us,2,5,7,1.8551554071506553,2.2173358306988473,0.6999993602073983
trailing,5,28,33,1.049517157624991,2.161707783273572,0.23571385642591375
sprints,3,12,15,1.385453269722464,2.1463364137069445,0.4166661085555803
past,8,58,66,0.7918865192524693,2.0996672674746266,0.1422410481096098
reaction,6,39,45,0.9006493939663169,2.0537987647547515,0.19230728902273742
edge,2,6,8,1.672800532211789,2.0487549488602412,0.6666659662917391
prevented,2,6,8,1.672800532211789,2.0487549488602412,0.6666659662917391
fingertip,2,6,8,1.672800532211789,2.0487549488602412,0.6666659662917391
urgency,2,6,8,1.672800532211789,2.0487549488602412,0.6666659662917391
yardage,4,21,25,1.1137541445946448,2.0415468195571624,0.29761853730159565
favor,3,13,16,1.3053771685694748,2.0380209170258983,0.41025582011826883
like,5,197,202,-0.9071526872925642,-2.0032055747692574,0.20507359395772382
quicker,4,22,26,1.0672006957779345,1.9633654787496773,0.2954540163752617
breakup,3,14,17,1.2312358009478341,1.9352708435005277,0.4047612821074952
open,8,62,70,0.725061073129659,1.9300428313383486,0.14112868180353555
tightly,2,7,9,1.518616527114295,1.894048712049638,0.6428563758395237
separates,2,7,9,1.518616527114295,1.894048712049638,0.6428563758395237
find,2,7,9,1.518616527114295,1.894048712049638,0.6428563758395237
safety,4,23,27,1.0227154986647111,1.887849088155405,0.2934777129367313
breaks,8,64,72,0.6932453321140217,1.848656585938222,0.14062463989570181
space,3,15,18,1.1622095321775907,1.8376161258333032,0.39999934444949803
should,3,15,18,1.1622095321775907,1.8376161258333032,0.39999934444949803
must,10,87,97,0.6096665218178172,1.825856786319173,0.11149394312145586
showcased,3,138,141,-1.0611109009755095,-1.818253951159559,0.3405747702355371
leap,6,44,50,0.7798539884150868,1.791970145980805,0.1893934935205497
fundamentals,2,8,10,1.3850518043453457,1.751968524974938,0.6249991628333704
faster,2,8,10,1.3850518043453457,1.751968524974938,0.6249991628333704
precise,2,8,10,1.3850518043453457,1.751968524974938,0.6249991628333704
ground,2,8,10,1.3850518043453457,1.751968524974938,0.6249991628333704
effectively,3,16,19,1.097637612071158,1.7446293580456016,0.39583264458625045
commendable,12,114,126,0.5218665466789894,1.7195622072619368,0.09210498433020024
back,45,554,599,0.2656747791929752,1.7139529839475254,0.02402718253133626
himself,4,26,30,0.900012865054812,1.6757345157578187,0.2884609335341061
area,4,26,30,0.900012865054812,1.6757345157578187,0.2884609335341061
refine,3,125,128,-0.9617350162176033,-1.6461481982779054,0.3413288484069339
intensity,2,9,11,1.2672354349209378,1.6210542214028396,0.6111102015968971
fantastic,2,9,11,1.2672354349209378,1.6210542214028396,0.6111102015968971
arms,2,9,11,1.2672354349209378,1.6210542214028396,0.6111102015968971
reading,8,71,79,0.5892138529275606,1.5799166874579296,0.1390841130674524
feels,3,18,21,0.9797877737952403,1.571157310213871,0.3888881330683535
reaches,3,18,21,0.9797877737952403,1.571157310213871,0.3888881330683535
focus,1,74,75,-1.5354453954702816,-1.5251925310303687,1.013489872074029
looks,6,50,56,0.651819677011412,1.508671405729871,0.18666616934529764
decisively,2,10,12,1.1618415826218191,1.4999322625773794,0.599999016674247
playing,2,10,12,1.1618415826218191,1.4999322625773794,0.599999016674247
delay,2,10,12,1.1618415826218191,1.4999322625773794,0.599999016674247
trusted,2,10,12,1.1618415826218191,1.4999322625773794,0.599999016674247
decisions,2,10,12,1.1618415826218191,1.4999322625773794,0.599999016674247
improvement,4,29,33,0.7907132501514189,1.4824892290863163,0.2844820962192196
flat,4,29,33,0.7907132501514189,1.4824892290863163,0.2844820962192196
easy,4,29,33,0.7907132501514189,1.4824892290863163,0.2844820962192196
intended,4,30,34,0.7567782550258055,1.4217404889881189,0.28333265169443156
every,3,20,23,0.8743604497126993,1.412221043009179,0.3833325097809491
technique,4,130,134,-0.7129089595908216,-1.4043830260887482,0.2576896656800893
jump,2,87,89,-1.004052224236725,-1.403908818394473,0.5114872367537887
tighter,2,11,13,1.0664980637803847,1.3873949981311307,0.5909080327505234
looking,1,62,63,-1.358115665891769,-1.347307021400513,1.0161091718343853
scanning,24,291,315,0.2784008895007153,1.3108961634588514,0.045102919253743975
pick,4,32,36,0.6921728433449159,1.3051753011957676,0.28124927979140363
disrupt,2,81,83,-0.9323926959663229,-1.3026270646291571,0.5123391353522524
effort,8,79,87,0.48217759703292273,1.2995907869272632,0.13765779502311162
staying,2,12,14,0.9794533456761068,1.2824067022721624,0.5833321996025302
charges,2,12,14,0.9794533456761068,1.2824067022721624,0.5833321996025302
counts,2,12,14,0.9794533456761068,1.2824067022721624,0.5833321996025302
attempt,2,12,14,0.9794533456761068,1.2824067022721624,0.5833321996025302
slot,2,12,14,0.9794533456761068,1.2824067022721624,0.5833321996025302
receivers,3,22,25,0.7789834560360243,1.2656997925459208,0.3787869870410994
playmaker,3,22,25,0.7789834560360243,1.2656997925459208,0.3787869870410994
misjudges,6,56,62,0.538290010191143,1.2531145138434998,0.1845232605033504
athleticism,5,140,145,-0.5636751803912867,-1.23849954132915,0.2071410268472456
defenders,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
takeaway,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
details,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
seize,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
teachable,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
shot,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
covering,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
suddenly,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
struggles,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
bright,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
real,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
waiting,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
otherwise,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
tremendous,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
acceleration,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
tipping,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
loss,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
marker,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
slow,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
surges,1,4,5,1.3846506075906557,1.238469982908508,1.2499983256667409
oh,5,45,50,0.5744902343322273,1.2186795710050233,0.22222158410408233
cost,10,107,117,0.4020744486450569,1.215923274995692,0.10934542242526463
tackling,3,23,26,0.7344982845638199,1.1965454256688852,0.3768106682265618
come,2,13,15,0.899377295030706,1.184086471864188,0.5769218670682122
prey,2,13,15,0.899377295030706,1.184086471864188,0.5769218670682122
upfield,2,13,15,0.899377295030706,1.184086471864188,0.5769218670682122
making,7,70,77,0.46936411363856045,1.1840314826453937,0.1571423569262087
man,7,70,77,0.46936411363856045,1.1840314826453937,0.1571423569262087
mistimes,1,52,53,-1.181892605778918,-1.1706991760256307,1.019214059370613
however,6,59,65,0.4860037507569004,1.1341885368354234,0.18361524427059853
offense,1,50,51,-1.1426054274528914,-1.1313568742597062,1.0199839202054108
anticipates,3,24,27,0.6919052599645692,1.1298780048377344,0.37499903972187154
being,5,47,52,0.5309381654603929,1.1286956591526034,0.2212759327760284
secondary,4,113,117,-0.5721920028605236,-1.1246567806560457,0.25884724998157677
position,3,92,95,-0.654104105920779,-1.1149148875210246,0.34419956826164766
showed,15,178,193,0.2988877554802363,1.1116956793450623,0.07228437193099159
high,1,49,50,-1.1223694892446998,-1.1110976905491152,1.0203923984959347
cut,2,70,72,-0.7860711878212578,-1.0961299519768697,0.514280036675438
tracking,2,14,16,0.8252359782052556,1.0916858144405543,0.5714272850273177
routes,2,14,16,0.8252359782052556,1.0916858144405543,0.5714272850273177
momentum,4,36,40,0.5742560122372975,1.0895757396059538,0.277776980130103
footed,3,25,28,0.6510498540033822,1.065531861250473,0.3733323386905953
make,17,208,225,0.26836397565303294,1.0638733479724083,0.0636309747075461
essential,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
backpedal,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
matters,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
results,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
explosiveness,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
charging,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
ones,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
gone,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
harmlessly,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
needed,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
secures,1,5,6,1.1614738915848175,1.0602766194553008,1.199998033348494
aggressive,2,68,70,-0.7570168300941278,-1.0551842446421345,0.5147003621835805
snapped,6,148,154,-0.4366574156415073,-1.0485488142150936,0.1734220729951557
snap,19,237,256,0.24916901497008226,1.0450230874215043,0.05685076329517159
initial,8,87,95,0.3854489775493084,1.043303022859884,0.1364937810904513
moments,5,128,133,-0.4736600805976945,-1.0390410497924503,0.20781082075606755
fires,4,37,41,0.5468235862278163,1.038931247549923,0.2770262099698934
sharpen,9,101,110,0.35408657511340014,1.0178782496658252,0.12101166980581801
split,4,107,111,-0.5174318055500935,-1.016050628537574,0.2593436048704797
work,11,128,139,0.31801519219056384,1.0121446808204186,0.09872122618292892
room,2,15,17,0.7562097604620828,1.0045671390705777,0.5666653033888631
attack,2,15,17,0.7562097604620828,1.0045671390705777,0.5666653033888631
second,5,126,131,-0.45784458264036854,-1.004047904512761,0.2079348538635219
where,1,44,45,-1.0145726875664645,-1.003243283803728,1.0227130829937212
highlights,5,50,55,0.4689623176816502,0.9998326120684305,0.21999929969669224
deflection,4,38,42,0.5201218861500543,0.9894706918680616,0.27631495299060066
perfectly,6,63,69,0.4202724438997061,0.9836780829800466,0.18253907298865807
made,1,43,44,-0.9915499452404175,-0.9802242193454103,1.0232419392059449
away,7,77,84,0.37381923937395634,0.9469284132903749,0.15584361109112976
getting,1,41,42,-0.9438554514476669,-0.9325574143126075,1.024376999101415
far,2,16,18,0.6916378915703065,0.9221850361666588,0.5624985595828073
eyeing,2,16,18,0.6916378915703065,0.9221850361666588,0.5624985595828073
zone,2,16,18,0.6916378915703065,0.9221850361666588,0.5624985595828073
especially,2,16,18,0.6916378915703065,0.9221850361666588,0.5624985595828073
side,2,16,18,0.6916378915703065,0.9221850361666588,0.5624985595828073
reminder,2,16,18,0.6916378915703065,0.9221850361666588,0.5624985595828073
exploit,2,16,18,0.6916378915703065,0.9221850361666588,0.5624985595828073
lined,5,121,126,-0.4171853886349002,-0.9141619972672339,0.20826287165799384
too,5,121,126,-0.4171853886349002,-0.9141619972672339,0.20826287165799384
recurring,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
determination,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
contributor,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
remarkable,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
define,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
place,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
savvy,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
doubt,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
learn,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
knocking,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
statement,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
brought,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
feel,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
tips,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
overlook,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
movement,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
new,1,6,7,0.979119163724314,0.9064890827471144,1.1666643992050605
break,6,139,145,-0.37361667787230957,-0.8960389059125383,0.17385963948432584
defense,3,81,84,-0.5263963739397566,-0.8953198909070723,0.34567606675839546
