word,count_a,count_b,total_count,log_odds,z_score,variance
let,12,16,28,1.4754986553030154,3.863763885218369,0.14583322448437472
strike,8,10,18,1.5393097461177954,3.245151073186949,0.2249998347486181
enough,13,25,38,1.1091213712958936,3.2436138480560825,0.1169229745829356
anderson,6,6,12,1.7621317770361333,3.052102860930995,0.33333309448760784
solid,36,122,158,0.5441129875656241,2.868745364730493,0.03597445160830966
refined,4,2,6,2.454957272152109,2.834741753350723,0.7499993282465655
oh,5,6,11,1.5795657636516305,2.608567955766139,0.3666663995575351
deliver,5,6,11,1.5795657636516305,2.608567955766139,0.3666663995575351
initial,61,247,308,0.3669914841189712,2.566813748777254,0.02044199415511194
pushing,3,77,80,-1.4867718966526402,-2.526430406683922,0.34631715690469633
block,23,74,97,0.5948693333612125,2.4918148290055235,0.056991702343019424
way,4,4,8,1.7617266484908658,2.4914586121014,0.4999996417314118
charges,5,7,12,1.425373201705015,2.434289092130311,0.34285688314899004
explosive,8,113,121,-0.8898237586509072,-2.432185146425985,0.13384887677877827
scott,3,2,5,2.1670309701784527,2.3738644117126575,0.83333268645955
wright,3,2,5,2.1670309701784527,2.3738644117126575,0.83333268645955
reset,3,2,5,2.1670309701784527,2.3738644117126575,0.83333268645955
ryan,3,2,5,2.1670309701784527,2.3738644117126575,0.83333268645955
phillips,3,2,5,2.1670309701784527,2.3738644117126575,0.83333268645955
reed,3,2,5,2.1670309701784527,2.3738644117126575,0.83333268645955
stalemated,3,2,5,2.1670309701784527,2.3738644117126575,0.83333268645955
showing,20,64,84,0.5999738167566333,2.3420594398048364,0.06562491741634893
clean,11,28,39,0.8281228198113437,2.3272231885315366,0.12662324332640282
cuts,4,5,9,1.5385412655005224,2.2935227461381977,0.4499996694972362
delivers,4,5,9,1.5385412655005224,2.2935227461381977,0.4499996694972362
develops,4,5,9,1.5385412655005224,2.2935227461381977,0.4499996694972362
tries,5,8,13,1.2917999145345913,2.265967851920898,0.3249997409270574
smith,5,8,13,1.2917999145345913,2.265967851920898,0.3249997409270574
intensity,5,8,13,1.2917999145345913,2.265967851920898,0.3249997409270574
momentum,10,26,36,0.8067598124389459,2.1681030087867277,0.13846139040552413
opportunity,15,46,61,0.6420643171685354,2.159426498876898,0.08840568964276493
engaging,15,46,61,0.6420643171685354,2.159426498876898,0.08840568964276493
good,12,34,46,0.720971009144904,2.1471837676531718,0.11274496933601491
wants,6,12,18,1.0687331288749036,2.1374672149839835,0.24999977608218849
justin,4,6,10,1.3561778513823715,2.1009825086021734,0.416666343229775
costly,4,6,10,1.3561778513823715,2.1009825086021734,0.416666343229775
lineman,28,105,133,0.4416070857465426,2.07627172829097,0.04523803013847678
outside,12,35,47,0.6919414598742577,2.068451409967858,0.11190463122413731
promising,7,16,23,0.9352784701738548,2.063888553019332,0.20535694250213202
air,5,10,15,1.0685725496436698,1.9509385062687798,0.2999997312986262
carriers,3,4,7,1.4738003166614888,1.9296582945277656,0.5833328979374989
concerning,3,4,7,1.4738003166614888,1.9296582945277656,0.5833328979374989
anticipate,3,4,7,1.4738003166614888,1.9296582945277656,0.5833328979374989
opening,4,7,11,1.201985298818947,1.9177059231650313,0.3928568161199
power,7,85,92,-0.7376835251672782,-1.8760119681182328,0.15462117151259025
forcing,4,61,65,-0.9652438284645708,-1.8701500787487604,0.2663919809058526
pursuit,4,60,64,-0.9486725245908341,-1.8371014026114978,0.2666652272302802
against,10,30,40,0.6634909929661559,1.8170460027291524,0.13333317410294857
step,20,178,198,-0.4277352708371316,-1.8137113402079739,0.05561779794674395
easily,5,11,16,0.9732204542978664,1.8043998732219797,0.29090881424292503
disengage,26,102,128,0.39612145937543364,1.8030612105997055,0.04826538778463233
shed,26,102,128,0.39612145937543364,1.8030612105997055,0.04826538778463233
time,12,39,51,0.5835598061108724,1.7677607486038156,0.10897422007471592
throw,8,89,97,-0.6500614610230517,-1.7612030211301488,0.1362354076699875
read,4,8,12,1.0684120231642655,1.7447103092149976,0.3749996641232827
stalled,3,5,8,1.2506149456133961,1.7124757364936956,0.5333329002264775
watching,3,5,8,1.2506149456133961,1.7124757364936956,0.5333329002264775
allow,3,5,8,1.2506149456133961,1.7124757364936956,0.5333329002264775
left,15,53,68,0.5001194759218173,1.7100278058576308,0.08553447424540442
misses,2,40,42,-1.2360002109604311,-1.7058484806148286,0.5249962288008769
critical,18,67,85,0.44818686914694617,1.6881989665327468,0.07048082791587938
harness,3,47,50,-0.9918548317549138,-1.665612192400562,0.35460793059813084
near,2,38,40,-1.184623168135916,-1.6328959232584324,0.5263121968865648
runner,8,24,32,0.6632535935930823,1.6246338444621482,0.1666664676286857
sharpen,8,24,32,0.6632535935930823,1.6246338444621482,0.1666664676286857
impressive,31,244,275,-0.30495747057627565,-1.5993713502474733,0.03635632099502795
tools,2,37,39,-1.157913049526191,-1.5950009578373527,0.5270235237238524
raw,5,61,66,-0.741856847589637,-1.5947735244323162,0.21639249044300107
grasping,4,9,13,0.9505870970269816,1.5818733112687204,0.36111076251810525
powers,4,9,13,0.9505870970269816,1.5818733112687204,0.36111076251810525
freight,1,28,29,-1.5722093854385912,-1.5448722860929525,1.0357038827734426
train,1,28,29,-1.5722093854385912,-1.5448722860929525,1.0357038827734426
first,20,167,187,-0.36348052885233706,-1.5361521757845995,0.05598785405972556
consistent,5,13,18,0.8060825257423314,1.5317932963905605,0.27692278081104826
stay,2,35,37,-1.1022594607082672,-1.5161192394031224,0.5285681037854003
discipline,3,43,46,-0.9027395678070862,-1.5117484715338954,0.356587307231886
aggressive,3,6,9,1.0682515494086307,1.5107365057615336,0.49999955216437697
sacks,1,27,28,-1.5358000665120857,-1.5081330307544882,1.0370269918493453
inability,10,34,44,0.5381598415819173,1.4959762353342765,0.12941159343131498
most,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
hold,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
giving,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
mike,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
lets,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
henry,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
stronger,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
reliable,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
focused,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
battle,2,3,5,1.3558149530885277,1.485221443669391,0.83333268645955
looking,8,26,34,0.5831269265170018,1.4422999273577135,0.1634613301120739
where,8,26,34,0.5831269265170018,1.4422999273577135,0.1634613301120739
leverage,30,131,161,0.28875817832140616,1.4266517978818143,0.04096685366821767
effort,10,35,45,0.5091302976802288,1.419897524126311,0.12857125418981796
escape,12,45,57,0.4402068015270393,1.3549289213238167,0.10555540365644582
sails,2,31,33,-0.9807311500205769,-1.3442809842074983,0.5322550965129591
changing,16,132,148,-0.35093482313896107,-1.3256937711555603,0.07007554740912247
teams,3,7,10,0.9140590181706685,1.3245980154035677,0.4761900049984038
trademark,3,7,10,0.9140590181706685,1.3245980154035677,0.4761900049984038
decisive,3,7,10,0.9140590181706685,1.3245980154035677,0.4761900049984038
fighting,3,7,10,0.9140590181706685,1.3245980154035677,0.4761900049984038
nfl,3,7,10,0.9140590181706685,1.3245980154035677,0.4761900049984038
undeniable,1,22,23,-1.330797307234321,-1.301550582591326,1.0454462883138458
break,6,19,25,0.6089071973469604,1.3002707700038452,0.21929797200574733
line,84,567,651,-0.15198525464966028,-1.2999979585886705,0.013668396555145585
driving,8,28,36,0.5089349865819903,1.2695077622060134,0.16071406773727248
wraps,1,21,22,-1.2842356277444003,-1.254713753435279,1.0476111478937675
close,1,21,22,-1.2842356277444003,-1.254713753435279,1.0476111478937675
modest,2,29,31,-0.913956059558303,-1.250142730581819,0.5344799688464603
counts,2,4,6,1.0680911283487307,1.233325953269802,0.7499993282465655
highlight,2,4,6,1.0680911283487307,1.233325953269802,0.7499993282465655
utilizing,2,4,6,1.0680911283487307,1.233325953269802,0.7499993282465655
forward,2,4,6,1.0680911283487307,1.233325953269802,0.7499993282465655
sizable,2,4,6,1.0680911283487307,1.233325953269802,0.7499993282465655
work,18,76,94,0.32176733637217847,1.2274997834468995,0.06871334051984643
which,4,44,48,-0.6378458087924495,-1.221384162406959,0.27272618904266355
open,4,44,48,-0.6378458087924495,-1.221384162406959,0.27272618904266355
awareness,1,20,21,-1.2354038015634732,-1.2056349902550536,1.0499924576017539
releases,2,28,30,-0.8788228845013188,-1.2007036705051775,0.5357115850031269
lined,6,20,26,0.5575719489628774,1.19785747762914,0.21666638462988294
approach,6,20,26,0.5575719489628774,1.19785747762914,0.21666638462988294
defensive,25,112,137,0.2627073645056228,1.1876578553236952,0.04892848898334322
effectively,20,87,107,0.29198049810854254,1.1774349874692307,0.06149415197212624
center,4,43,47,-0.614814319109187,-1.176142955626882,0.2732547524363023
demonstrated,5,16,21,0.5983173701461508,1.1677966651321408,0.26249966966539573
getting,12,48,60,0.37554217465470074,1.1635757564427611,0.10416650805833502
through,27,199,226,-0.23832153975790238,-1.1620319812065505,0.042062049552641194
loses,3,35,38,-0.6965520441082145,-1.157863427859419,0.36190323810730646
being,3,35,38,-0.6965520441082145,-1.157863427859419,0.36190323810730646
footing,1,19,20,-1.1840688470200549,-1.1540914930721968,1.0526243937731297
apply,3,8,11,0.7804857659739914,1.152854507614641,0.45833283387233736
once,3,8,11,0.7804857659739914,1.152854507614641,0.45833283387233736
bounces,3,8,11,0.7804857659739914,1.152854507614641,0.45833283387233736
deep,3,8,11,0.7804857659739914,1.152854507614641,0.45833283387233736
hustle,4,12,16,0.6627793226435816,1.14796814649276,0.3333329352573714
snap,40,191,231,0.1992917130799956,1.146120597231223,0.03023554810070336
presence,1,18,19,-1.1299599674643588,-1.09982582768457,1.0555487274842532
improve,1,18,19,-1.1299599674643588,-1.09982582768457,1.0555487274842532
consistency,2,26,28,-0.804631207360444,-1.0965300706195247,0.5384590157526705
talent,2,26,28,-0.804631207360444,-1.0965300706195247,0.5384590157526705
receiver,8,70,78,-0.40912080708301346,-1.0962231498768973,0.13928527194403192
double,14,59,73,0.3233837034178597,1.087795029950637,0.08837758302108051
potential,18,79,97,0.28292652106040705,1.083273077110142,0.06821367057601557
defense,4,41,45,-0.5671023326209053,-1.082624636489286,0.2743892266845996
truly,5,17,22,0.5376508125006216,1.0568143854113639,0.25882318686262995
elite,1,17,18,-1.0727598972277725,-1.042538411705781,1.058817058299829
trust,2,25,27,-0.7653686444817174,-1.0415371493878356,0.5399975662197849
opportunities,2,25,27,-0.7653686444817174,-1.0415371493878356,0.5399975662197849
hesitation,13,55,68,0.3194032714149122,1.0357102446617854,0.0951047428960105
scanning,4,40,44,-0.5423677539953147,-1.0342565973264406,0.2749990049121699
position,4,13,17,0.5826947067144763,1.0191041281520639,0.3269226602241478
completion,4,13,17,0.5826947067144763,1.0191041281520639,0.3269226602241478
finesse,4,13,17,0.5826947067144763,1.0191041281520639,0.3269226602241478
weakness,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
sensing,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
exploding,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
potentially,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
underscores,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
able,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
disruptor,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
tight,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
contain,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
chris,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
us,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
idea,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
putting,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
wash,2,5,7,0.8449057990985622,1.009856107884645,0.6999992727150812
too,15,115,130,-0.27713148543296917,-1.0095070349234487,0.07536210831971145
gets,31,148,179,0.19906134695895883,1.0077957330779597,0.039014751612545244
big,6,22,28,0.4621778543254207,1.0035000268168095,0.21212091274184458
past,11,88,99,-0.3195326827844731,-0.9991622083182055,0.10227242956447785
side,3,9,12,0.6626608647164067,0.9939918906012043,0.44444391367649516
decisiveness,3,9,12,0.6626608647164067,0.9939918906012043,0.44444391367649516
drive,3,9,12,0.6626608647164067,0.9939918906012043,0.44444391367649516
gaining,3,9,12,0.6626608647164067,0.9939918906012043,0.44444391367649516
techniques,3,9,12,0.6626608647164067,0.9939918906012043,0.44444391367649516
penetration,3,9,12,0.6626608647164067,0.9939918906012043,0.44444391367649516
scramble,4,39,43,-0.5170079817893045,-0.9847502185259162,0.2756400526686436
disruptive,14,61,75,0.2899631551292776,0.9784563975894608,0.08782186973789728
sack,10,80,90,-0.3194405017604449,-0.9523889551047966,0.11249967252092564
instead,17,77,94,0.2512495285789029,0.9375868802434315,0.07181042018856706
away,7,59,66,-0.3714761372795321,-0.9292544381542768,0.15980580604214722
dominant,2,23,25,-0.6819033416786509,-0.9249806158763623,0.5434760047678988
reaches,1,15,16,-0.9475134472448428,-0.9174284264622911,1.0666609089211208
hurried,1,15,16,-0.9475134472448428,-0.9174284264622911,1.0666609089211208
errant,1,15,16,-0.9475134472448428,-0.9174284264622911,1.0666609089211208
containment,1,15,16,-0.9475134472448428,-0.9174284264622911,1.0666609089211208
nightmare,1,15,16,-0.9475134472448428,-0.9174284264622911,1.0666609089211208
backfield,28,135,163,0.18902713549295846,0.9102834399907895,0.0431216154305623
strength,17,125,142,-0.23528160600239634,-0.9101728017765395,0.06682335012113455
letting,4,14,18,0.508544823228168,0.8969893634882019,0.32142813547454496
hands,3,30,33,-0.5421917548573303,-0.8954018337800634,0.36666533988289307
offense,7,28,35,0.3751590782256322,0.887789091146621,0.17857115667143147
powerful,5,44,49,-0.4144585256612512,-0.8782033139643571,0.22272656145505088
missed,8,33,41,0.344421980738546,0.8739794776025195,0.1553027872989366
level,13,58,71,0.266167278773648,0.8673842413453485,0.09416429815684599
overcommits,2,22,24,-0.6374097349950922,-0.8630585757859048,0.5454523780853271
drops,22,105,127,0.19897085494008593,0.8485823278031276,0.05497825684299352
rather,5,19,24,0.42634129835652157,0.8482305330282592,0.25263121119145215
motor,3,10,13,0.5572584787077162,0.8465369495149265,0.4333327692597659
brute,3,10,13,0.5572584787077162,0.8465369495149265,0.4333327692597659
cut,3,10,13,0.5572584787077162,0.8465369495149265,0.4333327692597659
caliber,3,10,13,0.5572584787077162,0.8465369495149265,0.4333327692597659
maintain,24,116,140,0.18637970517273938,0.8311312468194497,0.05028726551525993
deal,2,6,8,0.662542450662845,0.8114459530543715,0.6666658705147428
dominate,2,6,8,0.662542450662845,0.8114459530543715,0.6666658705147428
sealed,2,6,8,0.662542450662845,0.8114459530543715,0.6666658705147428
incredible,2,6,8,0.662542450662845,0.8114459530543715,0.6666658705147428
target,2,6,8,0.662542450662845,0.8114459530543715,0.6666658705147428
bounce,2,6,8,0.662542450662845,0.8114459530543715,0.6666658705147428
push,12,54,66,0.2575068777478444,0.8068721686169609,0.10185167953665941
need,2,21,23,-0.5908478771483763,-0.7984307065344817,0.5476169688964608
slips,2,21,23,-0.5908478771483763,-0.7984307065344817,0.5476169688964608
himself,2,21,23,-0.5908478771483763,-0.7984307065344817,0.5476169688964608
edge,2,21,23,-0.5908478771483763,-0.7984307065344817,0.5476169688964608
showcasing,17,121,138,-0.20258968858172377,-0.7821598234669108,0.06708781776881462
around,4,15,19,0.4395100375939309,0.7810303945666953,0.31666621096933745
makes,1,13,14,-0.8043293045002278,-0.7750729271530573,1.076918031505341
formidable,1,13,14,-0.8043293045002278,-0.7750729271530573,1.076918031505341
engage,1,13,14,-0.8043293045002278,-0.7750729271530573,1.076918031505341
rolls,1,13,14,-0.8043293045002278,-0.7750729271530573,1.076918031505341
stops,1,13,14,-0.8043293045002278,-0.7750729271530573,1.076918031505341
especially,1,13,14,-0.8043293045002278,-0.7750729271530573,1.076918031505341
gravity,1,13,14,-0.8043293045002278,-0.7750729271530573,1.076918031505341
allows,4,35,39,-0.4086265584710356,-0.774210387486806,0.27857054388806385
rush,4,35,39,-0.4086265584710356,-0.774210387486806,0.27857054388806385
blocker,7,55,62,-0.3011037436994597,-0.7503282472036122,0.16103850037760864
capitalize,5,20,25,0.3750060609718666,0.750012692943608,0.24999961934000403
hesitates,11,50,61,0.24737991885699717,0.742815984590183,0.1109089015528215
showcased,13,94,107,-0.2181997673336289,-0.7373922529059659,0.08756114362467553
struggles,6,25,31,0.3342185943891103,0.735183470147332,0.2066663403878278
flashes,7,30,37,0.30608224278214013,0.7292010273349522,0.17619019093262875
momentarily,8,35,43,0.2854974852815406,0.7285299883700544,0.15357117528404982
athleticism,5,41,46,-0.3437149963456205,-0.7255997810518021,0.22438957488603456
relentless,8,61,69,-0.27112093162368733,-0.7210228317139126,0.1413930497220253
transform,4,34,38,-0.37959706650290137,-0.718126864943134,0.27941090204327285
bit,3,27,30,-0.43670549566289907,-0.717581524054522,0.37036916140159776
must,14,66,80,0.21097192547536014,0.7169948593985529,0.08657993376843044
great,10,74,84,-0.2412264520737395,-0.7159813870968638,0.11351320707286798
unable,3,11,14,0.46190642461696285,0.7091649478433504,0.42424182548368916
johnson,3,11,14,0.46190642461696285,0.7091649478433504,0.42424182548368916
throughout,3,11,14,0.46190642461696285,0.7091649478433504,0.42424182548368916
