word,count_a,count_b,total_count,log_odds,z_score,variance
good,16,18,34,1.1878415727223262,3.457128224525684,0.11805545685881755
makes,13,16,29,1.0975062508105067,2.9392725254700824,0.13942295866219478
especially,7,5,12,1.6410299237653367,2.802593368962186,0.3428568419325272
against,8,7,15,1.4381782925158282,2.778825625870273,0.2678569184821193
showed,36,77,113,0.5461234637010737,2.704882861682063,0.04076474665748203
speed,36,214,250,-0.48333326124918585,-2.683090777499777,0.032450592629538706
reliable,6,4,10,1.7098809245865416,2.6489373292509275,0.41666629189937165
changing,16,116,132,-0.6805655121259049,-2.55195271802918,0.07112047153363156
bursting,9,11,20,1.1039599194660203,2.456156805582698,0.202020030903724
stay,6,5,11,1.4866847673805959,2.4551801247753686,0.3666663571665126
route,8,9,17,1.1867584546922032,2.4423297715452588,0.2361109137176351
right,22,43,65,0.6353161433528296,2.4237007825145276,0.06871028906411283
kyle,4,1,5,2.690478244516097,2.406439021514701,1.2499977946409315
mayo,4,2,6,1.9972792067354606,2.3062605720495624,0.7499992216373039
pushed,4,2,6,1.9972792067354606,2.3062605720495624,0.7499992216373039
limit,4,2,6,1.9972792067354606,2.3062605720495624,0.7499992216373039
middle,9,12,21,1.016895797766269,2.306103903062636,0.19444427627962418
should,9,12,21,1.016895797766269,2.306103903062636,0.19444427627962418
explosive,6,59,65,-0.9842658992246616,-2.2969856769022057,0.18361506192553992
athleticism,6,59,65,-0.9842658992246616,-2.2969856769022057,0.18361506192553992
gains,8,10,18,1.081345214265105,2.279676846014573,0.22499980852272705
gaps,5,4,9,1.5273649557871476,2.2768622138772603,0.4499996170454541
sack,2,38,40,-1.6425897615274003,-2.2641626891341753,0.5263116267364206
counts,6,6,12,1.3043105603942724,2.25913309727861,0.3333330565820721
off,38,203,241,-0.3755176001138194,-2.1245261995189364,0.031241826136788744
wants,13,23,36,0.7342311930260932,2.1160083898081767,0.12040122111266688
deep,4,3,7,1.5917616851176106,2.0841061613264675,0.5833328288388726
idea,4,3,7,1.5917616851176106,2.0841061613264675,0.5833328288388726
nick,4,3,7,1.5917616851176106,2.0841061613264675,0.5833328288388726
lane,4,3,7,1.5917616851176106,2.0841061613264675,0.5833328288388726
aggressive,10,16,26,0.8345578217900744,2.070284114618241,0.1624998499057035
attack,10,16,26,0.8345578217900744,2.070284114618241,0.1624998499057035
misstep,6,7,13,1.1501072038648577,2.067242739091193,0.3095235494811742
yardage,15,29,44,0.6456031398356803,2.0299444103912156,0.10114932238812732
coverage,9,14,23,0.8626396080180827,2.0190680085039396,0.18253951595029536
impressive,25,141,166,-0.4290212167771603,-1.976991542007766,0.04709208485789205
beat,8,12,20,0.8989181811139382,1.9694319462850924,0.20833314594968583
moment,20,118,138,-0.4738430158273843,-1.9595280704248044,0.05847442893839881
hawk,10,17,27,0.773880423655882,1.941854320275095,0.1588233785440486
tackling,12,80,92,-0.5955536320787607,-1.9238145052804454,0.09583306214654738
valuable,7,10,17,0.9476192904002279,1.9229086104658606,0.24285692826197255
forward,13,25,38,0.6507439586519954,1.903094031952933,0.11692295834125127
qb,8,60,68,-0.713055624356083,-1.894481027055518,0.14166621775424568
linebackers,6,8,14,1.0165231169236728,1.8822358809865718,0.2916664144194363
allen,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
steelers,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
mistimes,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
developing,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
jump,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
games,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
decent,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
fingers,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
cole,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
us,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
downhill,3,2,5,1.709402915583932,1.872557915589185,0.8333325837987433
fill,4,4,8,1.3040270579932045,1.8441735166816553,0.4999995848731082
simply,4,4,8,1.3040270579932045,1.8441735166816553,0.4999995848731082
effort,10,18,28,0.7166692290109031,1.8170890328190457,0.15555540344489432
beautifully,14,29,43,0.5764154275335827,1.7711878128545875,0.10591121775026506
shows,3,32,35,-1.0647661066022192,-1.7634241439531693,0.36458170476854174
ultimately,7,11,18,0.8522563799671596,1.7627047307894643,0.23376601951625403
forcing,1,21,22,-1.7419680276348988,-1.7019248671515321,1.0476098941939658
caliber,10,19,29,0.6625492227157821,1.6958841025239864,0.15263142521246453
highlights,8,14,22,0.7446619979550295,1.6801848770762753,0.1964283821328629
run,8,14,22,0.7446619979550295,1.6801848770762753,0.1964283821328629
near,3,30,33,-1.0001221176131487,-1.6516507807866234,0.3666651293190918
away,4,35,39,-0.8666611433351195,-1.6420328409408609,0.27857040348659556
initially,4,5,9,1.080830893868458,1.6112082528252176,0.4499996170454541
strong,4,5,9,1.080830893868458,1.6112082528252176,0.4499996170454541
pursue,4,5,9,1.080830893868458,1.6112082528252176,0.4499996170454541
hands,4,5,9,1.080830893868458,1.6112082528252176,0.4499996170454541
burst,24,126,150,-0.35676326264170033,-1.601864885285718,0.04960306257519085
rather,1,19,20,-1.6417797156777176,-1.600215253043358,1.0526232534728412
jacobs,3,3,6,1.3038853593722095,1.596927569701409,0.6666661131641441
today,3,3,6,1.3038853593722095,1.596927569701409,0.6666661131641441
steps,3,3,6,1.3038853593722095,1.596927569701409,0.6666661131641441
chasing,3,3,6,1.3038853593722095,1.596927569701409,0.6666661131641441
beeline,3,3,6,1.3038853593722095,1.596927569701409,0.6666661131641441
saints,3,3,6,1.3038853593722095,1.596927569701409,0.6666661131641441
reads,43,120,163,0.2792079952472992,1.5709384980515362,0.031589105992015275
explodes,11,67,78,-0.504737132372524,-1.551501723694708,0.10583418922835813
afford,8,15,23,0.6756163666628954,1.5432173020411466,0.1916664750452925
really,6,10,16,0.7932741419225833,1.5361694930542626,0.2666664157455632
block,4,33,37,-0.8077150897777052,-1.525615367321254,0.2803020562205739
need,9,18,27,0.611114096753731,1.4969184884323459,0.16666649369717867
momentary,9,18,27,0.611114096753731,1.4969184884323459,0.16666649369717867
still,1,17,18,-1.5304492388259199,-1.4873345811606233,1.0588160313216781
meet,5,8,13,0.8340071515836058,1.4629459965420935,0.324999699811407
instinct,7,13,20,0.6850968134844955,1.4613621738953597,0.21978000121328017
snap,24,122,146,-0.32428993269993356,-1.4522555700006368,0.049863278683124304
backfield,8,51,59,-0.5500606920165589,-1.446489466433525,0.14460745102643668
release,1,16,17,-1.4697722005673208,-1.4258932311916404,1.0624929153197518
deliver,1,16,17,-1.4697722005673208,-1.4258932311916404,1.0624929153197518
get,8,16,24,0.6110250809524436,1.4111027121113557,0.18749980540932598
ability,11,64,75,-0.4587688020819538,-1.405562346936764,0.10653382599834561
plays,21,54,75,0.36023517687889406,1.400755323777409,0.06613748486066595
linebacker,35,98,133,0.27548146402945584,1.3989877332591454,0.0387754593843523
delivers,4,6,10,0.8984566938008767,1.3918837509108994,0.41666629189937165
pass,28,76,104,0.3063697611978178,1.3858471023584207,0.04887211790872813
technique,23,116,139,-0.31629524107902274,-1.3857300747962344,0.0520988371579626
action,6,11,17,0.697911237599584,1.37514315945447,0.2575755032200581
seasoned,6,11,17,0.697911237599584,1.37514315945447,0.2575755032200581
relentless,6,11,17,0.697911237599584,1.37514315945447,0.2575755032200581
snapped,45,131,176,0.23677239415439377,1.3703040136547344,0.029855769670881195
opening,1,15,16,-1.4051812659824474,-1.3605651652510276,1.066659995154853
blocks,2,20,22,-0.9997880069346134,-1.3481166997074008,0.5499976939786376
clean,3,25,28,-0.8175369419200695,-1.33801124759194,0.37333202323368775
refinement,3,4,7,1.0161507322477883,1.3304541890374386,0.5833328288388726
pursuing,3,4,7,1.0161507322477883,1.3304541890374386,0.5833328288388726
anticipating,3,4,7,1.0161507322477883,1.3304541890374386,0.5833328288388726
inability,3,4,7,1.0161507322477883,1.3304541890374386,0.5833328288388726
prey,3,4,7,1.0161507322477883,1.3304541890374386,0.5833328288388726
flash,3,4,7,1.0161507322477883,1.3304541890374386,0.5833328288388726
excellent,3,4,7,1.0161507322477883,1.3304541890374386,0.5833328288388726
line,49,222,271,-0.2096133220547003,-1.3280339913469632,0.024912618631981034
finally,7,14,21,0.6109360918812206,1.3197734831020986,0.21428549189637258
disciplined,7,14,21,0.6109360918812206,1.3197734831020986,0.21428549189637258
aggression,13,31,44,0.4353156211356053,1.3174395273770456,0.10918101435203889
closing,17,43,60,0.3765118079055183,1.314201406747415,0.08207924370893412
pressure,16,40,56,0.38817155396490044,1.3122601514858963,0.08749989466160413
highlight,1,14,15,-1.3361359840863694,-1.2908337654441935,1.0714223127888707
fraction,5,9,14,0.7161714170096287,1.2839834779706956,0.31111080688978865
trying,5,9,14,0.7161714170096287,1.2839834779706956,0.31111080688978865
hustle,8,17,25,0.5503476901439788,1.2836210542173216,0.18382333134225964
significant,8,17,25,0.5503476901439788,1.2836210542173216,0.18382333134225964
go,5,34,39,-0.6142834615759885,-1.2825124990330932,0.22941110310433938
force,10,57,67,-0.4380712841245371,-1.2777483885958878,0.11754357295401044
gap,32,91,123,0.25976174904806637,1.2639171811463614,0.04223895495917742
refine,26,125,151,-0.26830881273120877,-1.244768519845746,0.04646144172184911
sharpen,14,74,88,-0.3627342742757982,-1.244593786771501,0.08494189188777114
difference,11,26,37,0.44402689067691625,1.2345016590560145,0.1293704797096254
glaring,11,26,37,0.44402689067691625,1.2345016590560145,0.1293704797096254
runner,13,32,45,0.40351408519823195,1.226872313291578,0.10817294814351217
edge,10,56,66,-0.42031880485558304,-1.2243381641176547,0.11785686013718778
recognition,6,12,18,0.6108471295276727,1.2216948930033305,0.249999740545768
under,6,12,18,0.6108471295276727,1.2216948930033305,0.249999740545768
improvement,6,12,18,0.6108471295276727,1.2216948930033305,0.249999740545768
like,35,102,137,0.23526391386365741,1.2009624696263967,0.03837529824725934
finishing,2,18,20,-0.8943222308709542,-1.1998614503030667,0.5555534543028633
short,3,23,26,-0.7340499059912853,-1.1958154538411556,0.37681037454753274
even,3,23,26,-0.7340499059912853,-1.1958154538411556,0.37681037454753274
presence,4,7,11,0.744253352097374,1.187418146668483,0.3928567642657258
promising,4,7,11,0.744253352097374,1.187418146668483,0.3928567642657258
relying,4,7,11,0.744253352097374,1.187418146668483,0.3928567642657258
case,4,7,11,0.744253352097374,1.187418146668483,0.3928567642657258
slightly,4,7,11,0.744253352097374,1.187418146668483,0.3928567642657258
role,4,7,11,0.744253352097374,1.187418146668483,0.3928567642657258
new,4,7,11,0.744253352097374,1.187418146668483,0.3928567642657258
past,36,106,142,0.22495192364963845,1.1661381896007812,0.03721168931102904
crucial,28,80,108,0.25486451248252084,1.160704822174789,0.04821422152321427
passer,1,12,13,-1.1818804928012971,-1.1355168959163546,1.083327899231635
surveying,1,12,13,-1.1818804928012971,-1.1355168959163546,1.083327899231635
see,4,27,31,-0.6067278033679777,-1.1324669845639517,0.2870362150777395
sideline,4,27,31,-0.6067278033679777,-1.1324669845639517,0.2870362150777395
shed,2,17,19,-0.8371111914229674,-1.1198157796288353,0.5588215302730783
recover,2,17,19,-0.8371111914229674,-1.1198157796288353,0.5588215302730783
disengage,2,17,19,-0.8371111914229674,-1.1198157796288353,0.5588215302730783
signal,5,10,15,0.6107581938794162,1.1150873785246622,0.29999968865492155
caller,5,10,15,0.6107581938794162,1.1150873785246622,0.29999968865492155
issue,5,10,15,0.6107581938794162,1.1150873785246622,0.29999968865492155
closes,11,58,69,-0.36001121747964415,-1.0947181521198788,0.1081502249798098
disrupted,3,5,8,0.7929545819605712,1.085798289885527,0.5333328314911264
unfolds,3,5,8,0.7929545819605712,1.085798289885527,0.5333328314911264
standout,3,5,8,0.7929545819605712,1.085798289885527,0.5333328314911264
turnover,3,5,8,0.7929545819605712,1.085798289885527,0.5333328314911264
inch,3,5,8,0.7929545819605712,1.085798289885527,0.5333328314911264
situations,3,5,8,0.7929545819605712,1.085798289885527,0.5333328314911264
dart,3,5,8,0.7929545819605712,1.085798289885527,0.5333328314911264
comes,5,31,36,-0.5217517630526585,-1.0826276069816134,0.2322574511836304
wrapping,5,31,36,-0.5217517630526585,-1.0826276069816134,0.2322574511836304
awareness,20,56,76,0.2747764543776281,1.0548288879365524,0.06785705392261651
split,25,116,141,-0.23252325870600288,-1.0545235453244612,0.04862059165273835
charges,7,16,23,0.4772991859980573,1.0532610703935974,0.20535691070520162
fundamentals,1,11,12,-1.0948167149420982,-1.0482096139522437,1.0909040682374438
often,1,11,12,-1.0948167149420982,-1.0482096139522437,1.0909040682374438
hit,1,11,12,-1.0948167149420982,-1.0482096139522437,1.0909040682374438
