word,count_a,count_b,total_count,log_odds,z_score,variance
end,53,85,138,-0.6039386621470113,-3.4506497181704803,0.0306326038265568
position,26,6,32,1.339375621624999,2.957263929597526,0.20512784034180453
strength,63,89,152,-0.4766810998283608,-2.8951535092523804,0.02710894853050182
tools,3,16,19,-1.803453833690667,-2.866482631694849,0.3958324818528668
dominant,4,17,21,-1.5764069502471418,-2.8367007888198392,0.3088229897033525
throughout,19,36,55,-0.7690550468748807,-2.712091500191157,0.08040928082697937
wall,8,21,29,-1.0946100749922953,-2.634603942580067,0.1726188454433368
slight,2,12,14,-1.920976403851225,-2.5151515298874645,0.5833319317309051
today,6,17,23,-1.170795919929719,-2.4655717069320926,0.22548991613583727
physical,1,11,12,-2.5271001272825178,-2.41951939372868,1.090904376661125
get,26,9,35,0.9336611735484093,2.4141457103288526,0.14957246103836885
lack,24,8,32,0.9713380410676438,2.3792841134585676,0.16666645020270895
potential,30,46,76,-0.5574477696835816,-2.375401980246193,0.0550724168711114
far,3,12,15,-1.5154388608816474,-2.3477097320001916,0.4166659766880828
left,32,48,80,-0.5354892639634743,-2.3463973838232537,0.0520832893640664
decent,41,19,60,0.6421902198683949,2.31396620932611,0.07702174418321825
grit,20,6,26,1.0765716332608202,2.312848515761435,0.2166663599372804
effort,30,12,42,0.7891236416859195,2.3103187637236773,0.11666653484008957
bull,25,9,34,0.8943671388774437,2.3007418901622985,0.1511109263643978
tackle,147,96,243,0.3005162279294211,2.2901253856439783,0.017219373099941822
releases,36,16,52,0.6838702601478523,2.276058999740843,0.09027768299960634
second,42,20,62,0.6149845617410152,2.2636445359682593,0.07380944972139411
flashes,14,26,40,-0.7485461301336898,-2.2580807493839408,0.10989000731735804
raw,2,10,12,-1.7384885692536995,-2.244381365769996,0.5999987843393998
impressive,15,27,42,-0.7173037525257442,-2.227440790604012,0.10370360852365429
force,20,33,53,-0.6304266521717521,-2.224686344937742,0.08030295971338061
highlights,19,6,25,1.025205072044094,2.189240440995439,0.2192979480510664
loss,11,1,12,2.2702476260993585,2.1736013150458815,1.090904376661125
trying,20,7,27,0.9223378494863805,2.1002569863168876,0.19285690185985294
mounts,2,9,11,-1.633044927276023,-2.0890000118377183,0.6111099867017945
engaged,8,17,25,-0.8829676278060488,-2.059417746355616,0.1838233435050181
snap,97,113,210,-0.28336713015051895,-2.047222681414662,0.019158820768370572
showcased,17,28,45,-0.6284451502055735,-2.04392421669896,0.0945377320919163
leaning,3,10,13,-1.3329509028999968,-2.0248992139340007,0.4333327198745608
pushed,32,15,47,0.6304155080702252,2.0146462418975584,0.0979165673925404
opening,6,14,20,-0.9763900153339229,-2.0010051597767786,0.23809498187252484
become,14,24,38,-0.6683366204759782,-1.9873451215218563,0.11309513684858799
bit,20,31,51,-0.5677393767363474,-1.9795202967365013,0.08225799415978446
power,10,19,29,-0.7710700357241507,-1.9736577000542284,0.1526314346527904
vulnerable,1,7,8,-2.074783277017901,-1.9407847443066029,1.1428539621673721
inside,11,20,31,-0.7270633011608592,-1.9368809060183478,0.14090896088843283
showed,77,91,168,-0.2973709224153831,-1.9204813297266088,0.023976005030897425
manages,20,8,28,0.7887232995886038,1.88541037023641,0.17499980226013434
refinement,9,17,26,-0.7651114282614424,-1.8560254840660189,0.16993448040106116
ready,9,17,26,-0.7651114282614424,-1.8560254840660189,0.16993448040106116
defenders,82,52,134,0.3287932454703979,1.854723919859395,0.03142586410824454
fires,52,30,82,0.4229942216512592,1.8449729500039413,0.052564055248131694
behind,8,1,9,1.9515752246392903,1.8399656795821606,1.1249964384985864
finds,8,1,9,1.9515752246392903,1.8399656795821606,1.1249964384985864
comes,31,42,73,-0.4332785943476978,-1.8298330727841032,0.056067542603595075
job,24,11,35,0.65263468805726,1.792413960410595,0.13257562119559235
being,16,6,22,0.8531350515092448,1.782142055808999,0.2291663950720078
talent,1,6,7,-1.9205496871327794,-1.7780856391056805,1.1666638634618103
attempting,1,6,7,-1.9205496871327794,-1.7780856391056805,1.1666638634618103
disrupting,1,6,7,-1.9205496871327794,-1.7780856391056805,1.1666638634618103
give,7,14,21,-0.822166225149009,-1.7760829037574257,0.21428550555252818
manage,9,2,11,1.3762024858612367,1.7604457545761674,0.6111099867017945
burst,31,16,47,0.5339716093835492,1.7346437018304066,0.09475797392548063
losing,14,5,19,0.9018618313481523,1.731061485066573,0.2714282375350982
using,8,15,23,-0.7576378567975208,-1.7305676284554679,0.19166648681209486
misstep,2,7,9,-1.3815642746058439,-1.7231146619652973,0.6428561946126728
forcing,52,63,115,-0.3217009117302725,-1.7170205398735177,0.035103757243242995
protecting,5,11,16,-0.9173727881830853,-1.7008555505580194,0.29090879002051423
goes,5,11,16,-0.9173727881830853,-1.7008555505580194,0.29090879002051423
us,7,1,8,1.8179709551711642,1.700558479755983,1.1428539621673721
veteran,7,1,8,1.8179709551711642,1.700558479755983,1.1428539621673721
onto,7,1,8,1.8179709551711642,1.700558479755983,1.1428539621673721
stance,63,74,137,-0.29085248024075927,-1.6966755208795687,0.029386506189286093
locked,22,31,53,-0.47228258499466236,-1.6941675671936787,0.07771254581525769
faltered,9,16,25,-0.7044034841989468,-1.6905691328544923,0.1736109528029748
where,32,17,49,0.5050857373481641,1.6829325840501055,0.09007344470437467
receiver,12,4,16,0.9707913047674692,1.681460955330773,0.3333329004054179
getting,29,15,44,0.5317553406834099,1.6719772274887035,0.10114932870681106
himself,20,9,29,0.6708570687934321,1.671350285835191,0.16111094336351678
displayed,10,17,27,-0.6596777249457766,-1.6552919077122557,0.1588233878083111
right,78,51,129,0.2979899003320883,1.6547761920743251,0.03242832837179368
pulls,6,12,18,-0.8220727850030274,-1.6441463707780406,0.24999975647794953
highlighted,3,8,11,-1.109640987916797,-1.6390493351055218,0.4583327901440156
swift,10,3,13,1.0760883812481863,1.6346967563263946,0.4333327198745608
scrambles,15,6,21,0.7885232886387747,1.6323992149455164,0.23333306968017914
cut,8,2,10,1.2583463770403345,1.5916975726326168,0.624998965032124
toward,8,2,10,1.2583463770403345,1.5916975726326168,0.624998965032124
truly,20,28,48,-0.465706361089258,-1.5906907063646274,0.08571421510281613
oh,20,28,48,-0.465706361089258,-1.5906907063646274,0.08571421510281613
backfield,13,20,33,-0.5598627692414491,-1.5714894767375733,0.12692296869551956
powerful,22,30,52,-0.4394093132270358,-1.5654519101968933,0.07878781441396243
cornerstone,8,14,22,-0.6885616843286329,-1.5536053912904186,0.19642839375685472
firm,6,1,7,1.6637474061883237,1.5403326401095394,1.1666638634618103
initially,51,60,111,-0.2921512897586549,-1.5339358699960184,0.03627448116212582
forward,9,15,24,-0.6397816494856841,-1.5173760832189453,0.17777762076917128
hesitation,9,15,24,-0.6397816494856841,-1.5173760832189453,0.17777762076917128
longer,11,4,15,0.8837067420756721,1.513523402529641,0.34090867732424524
stable,2,6,8,-1.2273304991807255,-1.5031677105192844,0.6666658008108358
inch,5,10,15,-0.8219793672762421,-1.5007228684551366,0.29999970777353946
collapse,29,16,45,0.4671335085826289,1.5000093107655639,0.09698266928160768
every,10,16,26,-0.5989697779864853,-1.4858617928658466,0.16249985912247328
start,14,6,20,0.7194571821853897,1.474449258167674,0.23809498187252484
low,19,26,45,-0.44279813698841775,-1.467111698709609,0.09109304290213617
edge,39,47,86,-0.3160127268360249,-1.4589377184889978,0.04691758418589516
commendable,37,22,59,0.39238883767446264,1.4574814422116322,0.07248150819253157
space,9,3,12,0.9706547242812089,1.4559830319256688,0.4444438672072239
tenacity,9,3,12,0.9706547242812089,1.4559830319256688,0.4444438672072239
critical,65,43,108,0.28600555578160236,1.4549688043185605,0.03864039661961251
engages,76,84,160,-0.22988687001390762,-1.452114242863135,0.02506263701311056
quickness,30,17,47,0.440400476199569,1.4507217966247745,0.09215677903117911
consistency,21,28,49,-0.4168428935117392,-1.4439867267439754,0.08333326568830413
lateral,49,31,80,0.33047706859366954,1.4400428341317189,0.05266618236317548
point,3,7,10,-0.9760264301335679,-1.4143974323721626,0.4761899637450497
attack,3,7,10,-0.9760264301335679,-1.4143974323721626,0.4761899637450497
classic,7,2,9,1.1247419197130712,1.4028006719683823,0.6428561946126728
sluggish,7,2,9,1.1247419197130712,1.4028006719683823,0.6428561946126728
slip,118,124,242,-0.17966224109104623,-1.3970152449939126,0.016539079495932286
concerning,18,9,27,0.5653499887400688,1.3848196729698006,0.16666650431863303
tries,8,13,21,-0.6143704204256251,-1.3672171888339701,0.20192290065775792
slightly,8,13,21,-0.6143704204256251,-1.3672171888339701,0.20192290065775792
shows,56,37,93,0.2870913994204898,1.3551075578240643,0.04488413186027579
desired,1,4,5,-1.5149187936431705,-1.3549856830850302,1.249997930064248
composure,1,4,5,-1.5149187936431705,-1.3549856830850302,1.249997930064248
narrowly,1,4,5,-1.5149187936431705,-1.3549856830850302,1.249997930064248
frustration,1,4,5,-1.5149187936431705,-1.3549856830850302,1.249997930064248
importance,1,4,5,-1.5149187936431705,-1.3549856830850302,1.249997930064248
hurt,1,4,5,-1.5149187936431705,-1.3549856830850302,1.249997930064248
establish,25,14,39,0.4521181326331858,1.3544215099562538,0.11142846958585258
maintains,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
after,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
urgency,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
near,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
escape,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
small,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
brief,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
train,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
remind,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
duress,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
counters,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
bigger,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
freight,5,1,6,1.4813529893175739,1.3522854497290528,1.1999975686787996
rather,4,8,12,-0.8218859719601772,-1.3421348257149,0.3749996347169243
formidable,9,14,23,-0.5707054734606043,-1.3357758219588756,0.1825395261799716
between,10,4,14,0.788323384302374,1.332510477520319,0.3499996045202687
snapped,134,99,233,0.17593811988029717,1.3275538901534114,0.017563682349367445
lineman,53,35,88,0.28754792143783536,1.3202039794839404,0.047439312903151946
positioning,20,26,46,-0.39143154632562727,-1.3160692881458043,0.08846146713982123
before,13,6,19,0.6452759821520413,1.3074233100919994,0.24358949414376732
scrimmage,26,15,41,0.42233600697862617,1.3025628275323273,0.10512811049626339
sustain,26,15,41,0.42233600697862617,1.3025628275323273,0.10512811049626339
engage,26,15,41,0.42233600697862617,1.3025628275323273,0.10512811049626339
focus,50,33,83,0.2880659820810969,1.2843845865675396,0.0503029876704114
avoid,23,13,36,0.4427811376205897,1.2760675153486865,0.12040122827757876
unfolds,38,24,62,0.3319523481238811,1.2731439390281178,0.06798239747094065
punch,27,33,60,-0.3298087929533775,-1.2709417008005524,0.06734001380379803
locking,8,3,11,0.8527985559328348,1.2596676954992492,0.4583327901440156
release,8,3,11,0.8527985559328348,1.2596676954992492,0.4583327901440156
grip,2,5,7,-1.0449258611503867,-1.2489259894875409,0.6999992090405374
matters,2,5,7,-1.0449258611503867,-1.2489259894875409,0.6999992090405374
towards,2,5,7,-1.0449258611503867,-1.2489259894875409,0.6999992090405374
handle,2,5,7,-1.0449258611503867,-1.2489259894875409,0.6999992090405374
made,2,5,7,-1.0449258611503867,-1.2489259894875409,0.6999992090405374
nearly,2,5,7,-1.0449258611503867,-1.2489259894875409,0.6999992090405374
really,13,18,31,-0.4543355500380395,-1.2482569135125587,0.1324785237271303
league,6,10,16,-0.639584716624908,-1.2385510249163172,0.2666664311537569
intent,6,10,16,-0.639584716624908,-1.2385510249163172,0.2666664311537569
gets,104,76,180,0.1865885334503954,1.2364379946671031,0.022773260725534043
head,11,5,16,0.660480145391217,1.2245635970377393,0.29090879002051423
front,11,5,16,0.660480145391217,1.2245635970377393,0.29090879002051423
anticipate,7,11,18,-0.5807543365517622,-1.2011624808239874,0.2337660326726018
lost,7,11,18,-0.5807543365517622,-1.2011624808239874,0.2337660326726018
pocket,160,122,282,0.14436289717424966,1.2010777374183235,0.014446709637164042
develops,17,22,39,-0.3867826700252879,-1.197762410745079,0.10427799088951958
little,21,12,33,0.43178872489573106,1.1932042579536337,0.13095226250456982
dominance,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
falter,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
change,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
surveying,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
bolster,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
looks,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
fine,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
close,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
timing,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
demonstrates,6,2,8,0.9705181851902358,1.1886379417960837,0.6666658008108358
anchor,107,79,186,0.1762819611850679,1.1883845937218376,0.022004004298353756
awareness,20,25,45,-0.35212742359697646,-1.173758547427981,0.08999992811227317
look,3,6,9,-0.8217925990463648,-1.1621908050675178,0.49999951295589906
apply,3,6,9,-0.8217925990463648,-1.1621908050675178,0.49999951295589906
minimal,3,6,9,-0.8217925990463648,-1.1621908050675178,0.49999951295589906
unnecessary,3,6,9,-0.8217925990463648,-1.1621908050675178,0.49999951295589906
especially,23,28,51,-0.32572448557386746,-1.1574664858704196,0.07919248367358071
gravity,23,28,51,-0.32572448557386746,-1.1574664858704196,0.07919248367358071
moment,50,55,105,-0.22459777571321382,-1.149416211843707,0.038181788292597996
fierce,28,33,61,-0.29336779662415324,-1.1417832790379845,0.06601726387599186
quicker,22,13,35,0.3982560609726944,1.1384437613810816,0.12237751350780776
kind,9,4,13,0.6828896991951217,1.1363977469552013,0.36111073199842536
assignment,12,6,18,0.5651600541130675,1.130320658742278,0.24999975647794953
relentless,12,6,18,0.5651600541130675,1.130320658742278,0.24999975647794953
which,26,16,42,0.35771417155768237,1.1257925117239374,0.10096145032887896
due,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
want,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
valuable,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
clearly,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
serviceable,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
puts,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
tasked,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
dictate,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
leads,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
feel,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
faced,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
skills,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
credit,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
presence,4,1,5,1.2581365897876804,1.1253125076282309,1.249997930064248
throw,71,75,146,-0.18422546240841609,-1.1125850063520386,0.02741781897756616
balance,143,143,286,-0.1298166393757274,-1.0976997170824598,0.01398600308712204
off,181,141,322,0.12290509988305676,1.09418557873716,0.012617050319702793
slips,15,19,34,-0.36523877546364947,-1.0574504430431657,0.11929815003884028
linebacker,15,19,34,-0.36523877546364947,-1.0574504430431657,0.11929815003884028
consistently,5,8,13,-0.5986693678721942,-1.0501359952133826,0.32499971824494656
trenches,5,8,13,-0.5986693678721942,-1.0501359952133826,0.32499971824494656
showcasing,20,12,32,0.38292526102901014,1.0486844796059407,0.13333321557687844
keeping,17,21,38,-0.34017927844179763,-1.042678307659789,0.10644249222445562
firing,7,3,10,0.7191940406242496,1.04221174041065,0.4761899637450497
help,7,3,10,0.7191940406242496,1.04221174041065,0.4761899637450497
barely,7,3,10,0.7191940406242496,1.04221174041065,0.4761899637450497
overpowered,7,3,10,0.7191940406242496,1.04221174041065,0.4761899637450497
effective,7,3,10,0.7191940406242496,1.04221174041065,0.4761899637450497
passer,7,3,10,0.7191940406242496,1.04221174041065,0.4761899637450497
through,37,25,62,0.2643052950206872,1.0208949787796548,0.06702697072918704
engagement,28,32,60,-0.26251267239289255,-1.0144457418050183,0.06696423306505309
while,165,129,294,0.11912479028865608,1.0135973945387184,0.013812532953700513
dearly,6,9,15,-0.5341409620861652,-1.0134616468588362,0.2777775432750208
plays,6,9,15,-0.5341409620861652,-1.0134616468588362,0.2777775432750208
late,6,9,15,-0.5341409620861652,-1.0134616468588362,0.2777775432750208
recover,21,13,34,0.35166273759454025,0.9964795873064796,0.12454201611403806
find,14,8,22,0.4316087678031444,0.9738411588222259,0.19642839375685472
reliable,14,8,22,0.4316087678031444,0.9738411588222259,0.19642839375685472
moves,8,11,19,-0.44714978244837766,-0.9623160677691238,0.21590891405367965
leaving,8,11,19,-0.44714978244837766,-0.9623160677691238,0.21590891405367965
costly,8,11,19,-0.44714978244837766,-0.9623160677691238,0.21590891405367965
move,30,20,50,0.27763151179047885,0.9617441743636086,0.08333326298250626
past,123,122,245,-0.12136435744571639,-0.9498187946693436,0.01632678988886438
seasoned,2,4,6,-0.8216992485263344,-0.9488170267750329,0.7499992694338486
successful,2,4,6,-0.8216992485263344,-0.9488170267750329,0.7499992694338486
finishing,2,4,6,-0.8216992485263344,-0.9488170267750329,0.7499992694338486
athleticism,2,4,6,-0.8216992485263344,-0.9488170267750329,0.7499992694338486
seep,2,4,6,-0.8216992485263344,-0.9488170267750329,0.7499992694338486
frame,2,4,6,-0.8216992485263344,-0.9488170267750329,0.7499992694338486
rhythm,5,2,7,0.7881235864901921,0.9419883904606224,0.6999992090405374
mount,5,2,7,0.7881235864901921,0.9419883904606224,0.6999992090405374
doesn,5,2,7,0.7881235864901921,0.9419883904606224,0.6999992090405374
because,5,2,7,0.7881235864901921,0.9419883904606224,0.6999992090405374
leaves,5,2,7,0.7881235864901921,0.9419883904606224,0.6999992090405374
rushes,5,2,7,0.7881235864901921,0.9419883904606224,0.6999992090405374
unfortunately,5,2,7,0.7881235864901921,0.9419883904606224,0.6999992090405374
barreling,11,6,17,0.4780754648552721,0.9419853841689324,0.2575755188391575
dominate,10,13,23,-0.3910804927062914,-0.9297669123790677,0.17692293427964245
tighten,45,32,77,0.21319323310841742,0.9219544787084195,0.05347217810770518
leading,27,18,45,0.2775781443438685,0.9122152518160369,0.09259251442500693
blocks,27,18,45,0.2775781443438685,0.9122152518160369,0.09259251442500693
holds,12,15,27,-0.35187994866930605,-0.9085504835605954,0.14999988018712196
agility,15,9,24,0.3828086354212772,0.9079107978556118,0.17777762076917128
need,19,12,31,0.33155867349485835,0.8991810743007471,0.1359647949418813
collapses,14,17,31,-0.322912578835985,-0.8947315815643176,0.13025199741953403
lined,26,29,55,-0.23807691977860657,-0.8814989380698693,0.07294423989961885
make,18,21,39,-0.28294758273044973,-0.88088609717986,0.10317452181649722
qb,24,27,51,-0.24664047485436225,-0.8791580015622891,0.07870364194629494
enough,20,23,43,-0.26857901951903074,-0.8784497892306838,0.09347818731207642
rushers,22,25,47,-0.25667062726193457,-0.8780287939534015,0.0854544783174708
adjustments,3,5,8,-0.6393879090647321,-0.8755183385943834,0.5333328623075138
fiercely,3,5,8,-0.6393879090647321,-0.8755183385943834,0.5333328623075138
formation,3,5,8,-0.6393879090647321,-0.8755183385943834,0.5333328623075138
franchise,3,5,8,-0.6393879090647321,-0.8755183385943834,0.5333328623075138
making,3,5,8,-0.6393879090647321,-0.8755183385943834,0.5333328623075138
immediate,3,5,8,-0.6393879090647321,-0.8755183385943834,0.5333328623075138
leverage,137,108,245,0.11053393362815811,0.8589836923841013,0.016558516061956765
moments,58,43,101,0.17154643936426783,0.8524509964424422,0.04049716028201672
forced,20,13,33,0.3027992721578636,0.849933047708453,0.12692296869551956
improve,16,10,26,0.3419766632347354,0.8483400609299337,0.16249985912247328
solid,126,123,249,-0.10529252971245562,-0.8306840736025701,0.016066576713462146
caller,4,6,10,-0.5340375343853978,-0.827327739988945,0.4166663149125312
signal,4,6,10,-0.5340375343853978,-0.827327739988945,0.4166663149125312
keep,54,40,94,0.17236465499547116,0.8262497481050234,0.043518483067178565
able,6,3,9,0.5649702504393295,0.7989889796515879,0.49999951295589906
led,6,3,9,0.5649702504393295,0.7989889796515879,0.49999951295589906
gaps,6,3,9,0.5649702504393295,0.7989889796515879,0.49999951295589906
show,6,3,9,0.5649702504393295,0.7989889796515879,0.49999951295589906
loses,36,38,74,-0.1829623649904173,-0.786663723944194,0.054093525036298065
maintain,143,138,281,-0.09380447460286856,-0.7861005979503577,0.014239372701236874
footed,26,18,44,0.23976447240907106,0.7819547104189393,0.09401701574276933
flat,26,18,44,0.23976447240907106,0.7819547104189393,0.09401701574276933
immediately,41,30,71,0.18451445521039833,0.7679871512760961,0.05772353004093446
prevent,22,15,37,0.2549886185609873,0.7615125863314437,0.11212111826166904
improvement,22,15,37,0.2549886185609873,0.7615125863314437,0.11212111826166904
reminder,7,9,16,-0.37991714097785056,-0.7538750084399393,0.2539680497753653
protect,50,51,101,-0.14875575034387367,-0.7474520468382011,0.03960781226596832
split,18,12,30,0.27741816582318446,0.7443913665800954,0.1388887716375104
center,42,31,73,0.1758121716292047,0.7424943914652524,0.056067542603595075
lanes,8,10,18,-0.35175634294532276,-0.7415677795769731,0.22499982028068297
forces,8,10,18,-0.35175634294532276,-0.7415677795769731,0.22499982028068297
missed,10,6,16,0.382692081696681,0.7410803568196527,0.2666664311537569
opponent,10,12,22,-0.3109544983403003,-0.7262335336030397,0.18333318808592242
too,45,46,91,-0.15088146475705333,-0.7196155467340873,0.0439613183909327
pad,12,14,26,-0.2828037673872448,-0.7188749141676117,0.15476178272474583
put,12,14,26,-0.2828037673872448,-0.7188749141676117,0.15476178272474583
ability,16,18,34,-0.24647641823938304,-0.7173520272996644,0.11805546291944241
body,16,18,34,-0.24647641823938304,-0.7173520272996644,0.11805546291944241
back,176,143,319,0.08026782125809362,0.7129690194079605,0.012674815084016893
intensity,7,4,11,0.43142896296840316,0.6883228177953805,0.39285678751370945
drive,15,10,25,0.2773648808825291,0.6794027175093521,0.16666652596501252
open,15,10,25,0.2773648808825291,0.6794027175093521,0.16666652596501252
see,15,10,25,0.2773648808825291,0.6794027175093521,0.16666652596501252
big,11,7,18,0.3238416135272928,0.6697950775677347,0.2337660326726018
role,11,7,18,0.3238416135272928,0.6697950775677347,0.2337660326726018
around,11,7,18,0.3238416135272928,0.6697950775677347,0.2337660326726018
needed,11,7,18,0.3238416135272928,0.6697950775677347,0.2337660326726018
defender,167,158,325,-0.07390493430745959,-0.665914855368873,0.012317128263028283
under,40,30,70,0.1597484116930934,0.6614215308656102,0.05833328598181288
him,210,197,407,-0.06550281648270584,-0.6603979242634062,0.009838039211722898
protection,35,26,61,0.16928451444892012,0.6538425619349513,0.06703291247131168
looked,4,2,6,0.5649070116248129,0.6522987481557203,0.7499992694338486
almost,4,2,6,0.5649070116248129,0.6522987481557203,0.7499992694338486
risk,4,2,6,0.5649070116248129,0.6522987481557203,0.7499992694338486
betrayed,4,2,6,0.5649070116248129,0.6522987481557203,0.7499992694338486
fell,4,2,6,0.5649070116248129,0.6522987481557203,0.7499992694338486
face,4,2,6,0.5649070116248129,0.6522987481557203,0.7499992694338486
