word,count_a,count_b,total_count,log_odds,z_score,variance
elite,2,3,5,-3.0116919491237306,-3.2991473740715755,0.833331241638636
accuracy,20,6,26,-1.4050873419322683,-3.018618187523043,0.21666575468972188
soars,13,4,17,-1.4278938586003083,-2.4973190599778707,0.3269217295107364
too,14,4,18,-1.3536615540700554,-2.387639789964521,0.3214271617544135
truly,9,3,12,-1.5067469439776744,-2.260124779801055,0.4444427281850908
brought,4,2,6,-1.9111485007047442,-2.2068073983567835,0.7499978278566553
extra,4,2,6,-1.9111485007047442,-2.2068073983567835,0.7499978278566553
fine,4,2,6,-1.9111485007047442,-2.2068073983567835,0.7499978278566553
become,5,2,7,-1.6878811366940933,-2.017407212555663,0.6999976482941958
poised,5,2,7,-1.6878811366940933,-2.017407212555663,0.6999976482941958
impressive,19,4,23,-1.0476579692645762,-1.9044240043327596,0.30262983983447855
board,6,2,8,-1.5054357130828286,-1.843778228763206,0.6666640922776361
head,6,2,8,-1.5054357130828286,-1.843778228763206,0.6666640922776361
solid,64,9,73,-0.6469997828259215,-1.8174219576412025,0.12673504641192024
get,21,4,25,-0.9473256161070092,-1.7364820096505897,0.2976171718336549
mechanics,21,4,25,-0.9473256161070092,-1.7364820096505897,0.2976171718336549
ability,7,2,9,-1.3511611288632102,-1.6851977015277912,0.642854323508827
hangs,7,2,9,-1.3511611288632102,-1.6851977015277912,0.642854323508827
defenders,7,2,9,-1.3511611288632102,-1.6851977015277912,0.642854323508827
tighten,31,5,36,-0.7814477059086826,-1.6214968879882055,0.23225635292099844
rather,8,2,10,-1.2175058025422558,-1.5400403514109535,0.624996922804341
being,8,2,10,-1.2175058025422558,-1.5400403514109535,0.624996922804341
directional,8,2,10,-1.2175058025422558,-1.5400403514109535,0.624996922804341
mark,8,2,10,-1.2175058025422558,-1.5400403514109535,0.624996922804341
line,95,11,106,-0.4521952555757274,-1.4198204126436649,0.10143437823654478
turned,9,2,11,-1.099598808478639,-1.40661536952544,0.6111077679869743
avoid,9,2,11,-1.099598808478639,-1.40661536952544,0.6111077679869743
something,9,2,11,-1.099598808478639,-1.40661536952544,0.6111077679869743
under,26,4,30,-0.733128991189079,-1.3650171564471447,0.28845931491850335
steps,36,5,41,-0.6312923614445038,-1.322746755089403,0.2277758412391058
few,10,2,12,-0.9941143124571932,-1.2833999244332503,0.5999963855665191
kicking,10,2,12,-0.9941143124571932,-1.2833999244332503,0.5999963855665191
