word,count_a,count_b,total_count,log_odds,z_score,variance
turning,25,6,31,1.158705806314222,2.5488175198284724,0.20666592637448278
after,105,53,158,0.4179518577160648,2.4804514990705107,0.028391676680393857
should,28,8,36,0.9844082748905318,2.4555494404711316,0.1607137911473358
target,26,7,33,1.0437319500015168,2.4511416251509175,0.18131809419193393
him,43,53,96,-0.4837858801477939,-2.357165606525072,0.04212366849668582
commendable,15,2,17,1.7458047088639894,2.319173151266457,0.5666631505504897
modest,28,9,37,0.8664374202434306,2.2611908263120513,0.1468249871502027
become,9,17,26,-0.9087641817056316,-2.204502875176713,0.1699343064697246
sharpen,4,11,15,-1.2839624391078406,-2.199042269896764,0.3409082280705712
weapon,5,12,17,-1.147875483600222,-2.15648500165458,0.28333268461479955
league,21,6,27,0.9837779560693702,2.12520654932247,0.21428505486311442
himself,11,1,12,2.128407781540284,2.037804492285116,1.0908992558770534
turns,10,17,27,-0.8032603853328082,-2.0155767114790413,0.15882323399240822
impressive,4,10,14,-1.1884642571037611,-2.0088736147625696,0.34999917493305865
cut,5,11,16,-1.0606760295596969,-1.9665481131506162,0.2909084631822304
quite,2,7,9,-1.5246577922875737,-1.9015852894867369,0.6428551645893432
gain,100,56,156,0.31280558613012666,1.8741598446033496,0.027857089739954162
settling,9,1,10,1.9274517434986258,1.8285480481127354,1.1111028820626705
wrapped,24,9,33,0.7117118549523322,1.8208519787967716,0.1527774000361132
yardage,24,9,33,0.7117118549523322,1.8208519787967716,0.1527774000361132
left,4,9,13,-1.0829157812406907,-1.8020827625502456,0.36111032018972256
focus,20,26,46,-0.5352585471326643,-1.7996445360057718,0.08846138966701367
wants,22,8,30,0.7423840797000185,1.798145812972746,0.1704541140352856
minimal,20,7,27,0.7805058846451942,1.7772923994816907,0.19285664007823988
instead,27,11,38,0.6288793960736196,1.758143412347458,0.12794583029140066
afford,10,2,12,1.3396239677844255,1.7294507609449528,0.5999974638390089
scrimmage,1,5,6,-1.8810986134728145,-1.7172038684096425,1.1999949276780177
stafford,1,5,6,-1.8810986134728145,-1.7172038684096425,1.1999949276780177
quickness,1,5,6,-1.8810986134728145,-1.7172038684096425,1.1999949276780177
brees,8,1,9,1.8095260705118008,1.7060431741066198,1.1249925698593488
something,8,1,9,1.8095260705118008,1.7060431741066198,1.1249925698593488
changer,7,12,19,-0.8111171197454441,-1.7054807271002994,0.22619005374004447
go,8,13,21,-0.7576733983834378,-1.6861237951638617,0.20192270919060112
lined,9,14,23,-0.7140432935069043,-1.6712687285964396,0.18253935633515522
breaking,12,17,29,-0.6206521285612299,-1.6461321937565705,0.14215661747247987
quick,36,17,53,0.4814089972646691,1.635883741629315,0.08660112487321059
off,71,71,142,-0.2740707526736701,-1.6329662995338352,0.028168968288753038
tools,3,7,10,-1.1190504105479535,-1.621659930102342,0.47618940710455837
slips,3,7,10,-1.1190504105479535,-1.621659930102342,0.47618940710455837
refine,3,7,10,-1.1190504105479535,-1.621659930102342,0.47618940710455837
looking,15,5,20,0.8289538356450015,1.605264374910152,0.26666594411245487
managing,11,3,14,1.0294257331490977,1.5804787748086115,0.42424106572184683
dynamic,4,8,12,-0.964944829823497,-1.5757499097783592,0.37499923793046464
hit,4,8,12,-0.964944829823497,-1.5757499097783592,0.37499923793046464
precise,7,1,8,1.6758520643614823,1.567620614921088,1.1428505071774724
chance,6,10,16,-0.7827132099805549,-1.5157190099239655,0.26666617532926384
better,6,10,16,-0.7827132099805549,-1.5157190099239655,0.26666617532926384
agility,6,10,16,-0.7827132099805549,-1.5157190099239655,0.26666617532926384
seam,7,11,18,-0.7239176315713074,-1.4972649359361605,0.23376581423582926
forcing,1,4,5,-1.657767893052351,-1.4827552411591007,1.2499956816132656
even,1,4,5,-1.657767893052351,-1.4827552411591007,1.2499956816132656
