word,count_a,count_b,total_count,log_odds,z_score,variance
finds,8,8,16,1.749538991401792,3.499079679490358,0.24999975755248263
soft,8,9,17,1.6316991049477227,3.3580106941126044,0.23611088054277612
defense,8,12,20,1.3438464067526859,2.944221509811316,0.2083331144571282
middle,11,22,33,1.0565781713082059,2.8612289479805404,0.13636347105856697
threading,4,1,5,3.1349204462184375,2.803960977923811,1.2499974239985994
needle,4,3,7,2.0361958046464013,2.6660074621818475,0.5833327440512082
linebacker,6,9,15,1.3433622305934474,2.5488519617114322,0.27777748594283763
security,4,4,8,1.7484570659837502,2.4726928949380866,0.49999951510496526
across,10,23,33,0.9164314736003236,2.419397525103836,0.14347807060564577
able,3,2,5,2.1537084942369784,2.359270688500198,0.8333324578285128
managed,3,2,5,2.1537084942369784,2.359270688500198,0.8333324578285128
stronger,3,2,5,2.1537084942369784,2.359270688500198,0.8333324578285128
managing,7,14,21,1.0557230983878183,2.2806239323193696,0.21428545452060524
showcasing,2,59,61,-1.6397103475673704,-2.2805853658433235,0.5169417494981224
expertly,4,5,9,1.5252567805626036,2.273719693065489,0.44999955268434655
safety,4,5,9,1.5252567805626036,2.273719693065489,0.44999955268434655
transform,6,11,17,1.1425778152281962,2.2513008997266066,0.2575754604718755
solid,32,120,152,0.42927922643530003,2.157665482090026,0.039583256238484285
darting,3,3,6,1.748186844384671,2.1410839100955803,0.6666660201399537
firing,3,3,6,1.748186844384671,2.1410839100955803,0.6666660201399537
plays,20,67,87,0.5411531953288513,2.123798864131423,0.06492525827216601
receiver,14,42,56,0.6509572065365496,2.1093441353450735,0.09523794130329294
bobbling,4,6,10,1.3428784540915952,2.080379448300632,0.4166662289142564
playmaker,4,6,10,1.3428784540915952,2.080379448300632,0.4166662289142564
yardage,10,27,37,0.7558609731929273,2.041847325840436,0.1370368330154298
gains,12,35,47,0.6788710966523288,2.0293800101249775,0.11190458503641541
high,3,56,59,-1.1815663109153824,-1.9938326611355714,0.3511872883386571
delivers,15,48,63,0.5864046409761432,1.9824111974685104,0.08749985097068208
caliber,5,10,15,1.055296127985578,1.9266994816272554,0.29999963632884735
over,5,10,15,1.055296127985578,1.9266994816272554,0.29999963632884735
find,7,17,24,0.861396370509385,1.9180997840584906,0.20168039450135195
impactful,3,4,7,1.4604481057219676,1.9121763924173554,0.5833327440512082
couple,3,4,7,1.4604481057219676,1.9121763924173554,0.5833327440512082
stepping,3,4,7,1.4604481057219676,1.9121763924173554,0.5833327440512082
chains,3,4,7,1.4604481057219676,1.9121763924173554,0.5833327440512082
quicker,4,7,11,1.1886709828709403,1.896463893380018,0.39285670063791767
leave,4,7,11,1.1886709828709403,1.896463893380018,0.39285670063791767
impressive,6,76,82,-0.793964918206524,-1.872311696863157,0.17982345004272143
streaking,9,25,34,0.7272477715040839,1.8708308811423187,0.15111088119680105
skills,6,14,20,0.9012451227240943,1.8470041169080622,0.23809491923018294
launches,2,43,45,-1.3224632479312879,-1.8282216558847022,0.5232503471374433
oh,7,18,25,0.8041810425250988,1.805383258602816,0.1984124136027096
make,12,118,130,-0.5412085095860455,-1.7861816077580892,0.09180746732675801
deep,5,65,70,-0.8196387877346636,-1.7661050799166245,0.21538324965265063
next,1,33,34,-1.750668635117349,-1.7247451814147754,1.0302865289885959
fight,4,8,12,1.0550827840633783,1.7229440158756195,0.3749995454110592
quickly,11,35,46,0.5915318328478678,1.7113149244220476,0.11948031693214395
space,7,19,26,0.7500569026942863,1.6964211691781461,0.1954884295902834
rather,3,5,8,1.2372478364639141,1.6941723041679573,0.5333327471492227
moving,3,5,8,1.2372478364639141,1.6941723041679573,0.5333327471492227
changer,3,47,50,-1.005849735020929,-1.6891153798873997,0.3546072242604208
significant,8,23,31,0.6926327223450928,1.6874519266702699,0.16847799758333828
gain,41,177,218,0.2881612408279688,1.6625945756558114,0.03003989515909248
talent,1,31,32,-1.6880351655627548,-1.6614627733590033,1.0322425319543749
sideline,20,169,189,-0.3898972873270239,-1.6488401868761482,0.05591692744248412
tighten,4,53,57,-0.8383285828711289,-1.6167623214689222,0.2688661872605463
burst,3,45,48,-0.9622507732430412,-1.613749500077524,0.3555529579724458
immediately,13,45,58,0.5073571263845,1.6113062662931859,0.09914511884346079
brought,12,41,53,0.5203049911483291,1.5852691171055486,0.10772338347948111
fingers,2,36,38,-1.1443843097573536,-1.5752454931520008,0.5277731570953117
spots,14,50,64,0.4761474244330275,1.574711060983,0.09142840068237904
surveys,4,9,13,0.9372429312823156,1.559667532549434,0.36111063931145326
secures,4,9,13,0.9372429312823156,1.559667532549434,0.36111063931145326
modest,9,29,38,0.5785999044362518,1.5163769872825632,0.14559362034077244
top,9,29,38,0.5785999044362518,1.5163769872825632,0.14559362034077244
well,5,13,18,0.7927612853326229,1.5064793159508703,0.2769226761532823
tackles,5,13,18,0.7927612853326229,1.5064793159508703,0.2769226761532823
after,42,187,229,0.25705592732531013,1.5054135552624457,0.029157051268712545
drop,2,34,36,-1.087112279570598,-1.4940990978889634,0.5294073855838826
eyes,3,6,9,1.0548695342375671,1.491811706068036,0.49999939388141224
hesitated,3,6,9,1.0548695342375671,1.491811706068036,0.49999939388141224
solidify,3,6,9,1.0548695342375671,1.491811706068036,0.49999939388141224
