word,count_a,count_b,total_count,log_odds,z_score,variance
eyes,10,40,50,1.389417686628808,3.9298696248978744,0.12499981217991786
sanford,3,2,5,3.178386086158574,3.4817488452301766,0.8333326949899983
carr,3,2,5,3.178386086158574,3.4817488452301766,0.8333326949899983
accordingly,3,2,5,3.178386086158574,3.4817488452301766,0.8333326949899983
limited,3,4,7,2.4851642641082066,3.2538450139315,0.5833329036791473
smith,4,12,16,1.6745356589476552,2.90038254940419,0.33333294050687245
chris,3,7,10,1.925436219251072,2.790223527656201,0.4761900112121021
defense,5,21,26,1.3383274304827202,2.689494717801262,0.24761865908979952
snapped,6,29,35,1.198177236768049,2.671542290309544,0.20114906685096887
line,7,38,45,1.0823018645720577,2.6313789668895495,0.16917259663039166
prevented,2,3,5,2.366817749941382,2.5927199353205177,0.8333326949899983
defenders,2,3,5,2.366817749941382,2.5927199353205177,0.8333326949899983
creating,2,3,5,2.366817749941382,2.5927199353205177,0.8333326949899983
mistake,2,3,5,2.366817749941382,2.5927199353205177,0.8333326949899983
arrives,7,41,48,1.0062032455794538,2.4604044638669857,0.16724703033607757
gain,12,91,103,0.749048311713632,2.4389513002648306,0.09432208704332237
forces,2,4,6,2.0790983413074233,2.4007370350088744,0.7499993371051051
stop,3,11,14,1.4733013034221303,2.2619595151600986,0.424241833379629
reads,20,189,209,0.5301345335675691,2.2545485194310264,0.0552908184962493
tackle,11,86,97,0.7181332818929675,2.2426699592019594,0.10253670983012164
displayed,10,76,86,0.7462097519316959,2.218293897419052,0.1131575854256963
through,2,5,7,1.8559174288296871,2.218246744658826,0.6999992823059233
significantly,2,5,7,1.8559174288296871,2.218246744658826,0.6999992823059233
nelson,2,5,7,1.8559174288296871,2.218246744658826,0.6999992823059233
additional,6,37,43,0.9542547327718438,2.1682385811018965,0.19369326030101444
keen,3,12,15,1.3862524691407643,2.147574704079672,0.41666604059972623
opposing,3,12,15,1.3862524691407643,2.147574704079672,0.41666604059972623
scanning,6,230,236,-0.880182240228101,-2.1284286098669614,0.17101217352942633
delivering,5,29,34,1.015253809084001,2.0966195384450788,0.2344822635085187
intentions,1,128,129,-2.0850106876515477,-2.0769605244764264,1.007766892083977
favor,2,6,8,1.6735584976755513,2.049683394757111,0.6666658810137449
faces,2,6,8,1.6735584976755513,2.049683394757111,0.6666658810137449
marker,4,21,25,1.1145824048422348,2.0430652602450747,0.29761847516514417
tackling,8,60,68,0.7588505592500487,2.016150774025159,0.14166628434894052
return,5,32,37,0.9167011240172256,1.9062830947369898,0.23124946398128843
pivotal,2,7,9,1.5193704353419806,1.894989139023045,0.6428562824471
zone,2,7,9,1.5193704353419806,1.894989139023045,0.6428562824471
returns,2,7,9,1.5193704353419806,1.894989139023045,0.6428562824471
impact,7,54,61,0.7303026936060775,1.8179606853460408,0.16137521385464929
demonstrates,4,24,28,0.9809384896369844,1.8163471206798611,0.2916660307795321
definitive,2,8,10,1.385801654590221,1.7529171624266895,0.6249990608995893
balance,2,8,10,1.385801654590221,1.7529171624266895,0.6249990608995893
decisively,2,8,10,1.385801654590221,1.7529171624266895,0.6249990608995893
interference,2,8,10,1.385801654590221,1.7529171624266895,0.6249990608995893
