word,count_a,count_b,total_count,log_odds,z_score,variance
beyond,7,2,9,2.556345189645233,3.1883261528116473,0.6428557184936843
runner,8,7,15,1.437017203897823,2.776582665229588,0.26785682651814724
agility,1,48,49,-2.5726636990689684,-2.5463124889376525,1.0208046432583335
fill,5,3,8,1.8137863947369022,2.4836309546516375,0.5333326258024882
advancement,4,2,6,1.9959081511698082,2.304677902795757,0.7499989026120584
right,6,6,12,1.3030120583054892,2.256884408755728,0.3333329431507942
react,1,36,37,-2.284092464617032,-2.2530386821241053,1.0277561063812295
solid,70,189,259,0.31373720208219646,2.24231410829725,0.019576684397239617
offensive,17,109,126,-0.5598001620404931,-2.146773826082739,0.06799757996096846
crucial,8,11,19,0.984734620732544,2.119258870491284,0.21590882525345353
over,4,3,7,1.5903691167986,2.0822832296711558,0.5833326220631311
get,5,5,10,1.302812453098933,2.059928563534549,0.39999953178095304
demonstrating,7,58,65,-0.8151224575898253,-2.0371840417124307,0.16009773447837045
timing,7,57,64,-0.7976560307495149,-1.9916506593723706,0.16040022654125594
traffic,8,12,20,0.897648839673507,1.9666513197789235,0.2083330691472768
delivering,14,27,41,0.6468633824604453,1.9641147175721811,0.10846545311930648
made,6,8,14,1.0151813518162784,1.8797517468616862,0.29166631103156554
passing,11,20,31,0.7055040562970909,1.8794479794651906,0.1409088956042482
skills,9,15,24,0.7923391993228188,1.8791986584626779,0.17777754193416273
target,3,2,5,1.7079525344547752,1.8709694468200717,0.8333322765891072
execute,3,2,5,1.7079525344547752,1.8709694468200717,0.8333322765891072
demonstrate,4,4,8,1.3026129174474779,1.8421739325530773,0.49999941472619136
reflects,4,4,8,1.3026129174474779,1.8421739325530773,0.49999941472619136
limiting,16,34,50,0.5498985313776688,1.8138331603175968,0.09191162508004792
showcasing,19,109,128,-0.44802487893070264,-1.8021375962249002,0.06180567704818931
running,37,97,134,0.3409534509113259,1.7645330699774628,0.037336239754734366
tight,7,11,18,0.8509291613434771,1.759960001765932,0.23376593170221993
end,7,11,18,0.8509291613434771,1.759960001765932,0.23376593170221993
impressive,5,42,47,-0.8281738451484859,-1.750585439348175,0.22380840790549092
efficiently,9,16,25,0.7277262302484102,1.7465441487198858,0.17361087331546893
tackle,59,168,227,0.259082531944121,1.7120098429136963,0.022901490621176943
manages,3,31,34,-1.0350426850710006,-1.7118338178191082,0.3655891661202633
decisive,8,56,64,-0.6460767433167627,-1.7093619636872357,0.14285654564102004
create,1,21,22,-1.7439856462476815,-1.7038991570978144,1.0476061425486265
showcases,1,21,22,-1.7439856462476815,-1.7038991570978144,1.0476061425486265
showcased,9,60,69,-0.5973115553499548,-1.6709910254432008,0.12777726799509997
move,2,24,26,-1.1843250836556036,-1.6091866019261516,0.5416628359927788
allows,4,5,9,1.0793951556514587,1.609068260369813,0.449999460084935
sideline,4,5,9,1.0793951556514587,1.609068260369813,0.449999460084935
capability,4,5,9,1.0793951556514587,1.609068260369813,0.449999460084935
instance,7,12,19,0.7638433863018133,1.6060810473918636,0.2261901720240193
interception,1,19,20,-1.6437542413120587,-1.6021423870285676,1.0526198411693508
fundamentals,3,3,6,1.302413451310807,1.5951251285095625,0.6666658863015884
halting,3,3,6,1.302413451310807,1.5951251285095625,0.6666658863015884
commendable,16,37,53,0.46511733684868783,1.5544823495307163,0.08952688319862587
time,17,40,57,0.44783136993835093,1.5467919157198553,0.08382339312684305
offense,14,80,94,-0.4432855456565905,-1.530133781443639,0.0839282821405918
well,13,75,88,-0.4527552456786861,-1.5070415208338708,0.09025609634301338
improvement,2,22,24,-1.0971651431605176,-1.4855734481148528,0.545451004810389
