word,count_a,count_b,total_count,log_odds,z_score,variance
williams,2,15,17,-2.0993443127894693,-2.78882048210574,0.5666647882839018
end,29,49,78,-0.6098043230834209,-2.6027979238292414,0.054890867503043166
second,18,4,22,1.4219639582220687,2.5724322274741325,0.30555492897143427
tackle,96,59,155,0.40623518141008397,2.4556898590641394,0.027365792569319015
potentially,18,5,23,1.1987301642179338,2.3712597859945364,0.2555551252160657
larger,13,3,16,1.3838969067245008,2.1606104942602897,0.41025559713839477
forward,10,1,11,2.2200733017808165,2.116761480634853,1.099995175461437
provided,10,1,11,2.2200733017808165,2.116761480634853,1.099995175461437
drives,33,16,49,0.6419715323600963,2.1073415569578144,0.092802927644799
enhancing,9,1,10,2.1146297771982425,2.0061179198140198,1.1111067149788785
late,9,1,10,2.1146297771982425,2.0061179198140198,1.1111067149788785
strength,111,131,242,-0.2515618581938437,-1.9499992281466303,0.01664258214224818
sustaining,42,24,66,0.477695163611183,1.8668497308955307,0.06547612447039886
enhance,74,91,165,-0.2921365628373138,-1.8662967156556074,0.024502502765262134
anticipate,2,8,10,-1.4701022174160938,-1.8595502760905382,0.6249988465153348
providing,19,30,49,-0.5411458360056649,-1.84566942325959,0.08596482969501223
commendable,71,87,158,-0.28845663139855304,-1.8036031170680067,0.025578737240134566
quick,28,40,68,-0.4412196513920774,-1.7906454472470863,0.060714229593662544
moves,3,9,12,-1.1824279066500472,-1.773643143659361,0.44444380110629966
upper,1,6,7,-1.8754684567717197,-1.736348718646884,1.1666635424600194
thanks,1,6,7,-1.8754684567717197,-1.736348718646884,1.1666635424600194
longer,46,28,74,0.41448774168453717,1.7292348319837532,0.05745335997429546
key,10,3,13,1.121282720778896,1.7033520732087408,0.4333326496258238
footwork,145,161,306,-0.19045491513655932,-1.6635221987399849,0.013107720401783762
gain,76,52,128,0.297872025808978,1.655134931421935,0.032388633787884
towards,8,2,10,1.3035277185257668,1.6488481550192666,0.6249988465153348
work,53,34,87,0.36202313159908783,1.647609530035283,0.04827964310282851
through,16,7,23,0.7441271915644023,1.6420732439941548,0.20535690000896706
block,126,93,219,0.22252937349301583,1.6277669710934504,0.01868917912261353
