word,count_a,count_b,total_count,log_odds,z_score,variance
receivers,12,11,23,-1.2098396473929132,-2.8983534047744812,0.17424203988455833
evade,3,6,9,-1.9886958907738457,-2.812444562982749,0.49999862652863236
stepping,17,13,30,-1.0289125289784984,-2.792636818837918,0.1357462972255461
modest,43,4,47,1.0859862468563382,2.077505618001595,0.27325255839784574
work,29,15,44,-0.6372737309841936,-2.0037562581636994,0.10114915292881738
minimize,2,3,5,-1.6996205075105317,-1.861843198556105,0.8333313494292519
after,20,11,31,-0.6978924233351931,-1.8591718796604093,0.14090872424891973
well,24,1,25,1.887979045808196,1.8498585558144631,1.0416391502223097
center,33,3,36,1.1080787526482956,1.8375519268757798,0.363631932249625
remain,6,5,11,-1.112297194535416,-1.8369004128385777,0.36666584746671455
making,103,18,121,0.4567491447736858,1.7878921995455763,0.06526387054365534
accuracy,52,7,59,0.7161516057646233,1.7788177752646077,0.16208656510408503
pocket,112,42,154,-0.31793100982723566,-1.757142209371983,0.032737985823742155
demonstrated,72,12,84,0.5028409222432941,1.612684135948165,0.0972215634676572
completion,19,1,20,1.6536674069189639,1.6118124840847485,1.0526095429490216
showcased,25,12,37,-0.5615714381924208,-1.5990623141461295,0.12333298596109107
delivers,25,12,37,-0.5615714381924208,-1.5990623141461295,0.12333298596109107
identify,3,3,6,-1.2940162302018674,-1.58484148282703,0.6666652016294145
highlighted,3,3,6,-1.2940162302018674,-1.58484148282703,0.6666652016294145
mobility,3,3,6,-1.2940162302018674,-1.58484148282703,0.6666652016294145
releasing,43,6,49,0.6795021135060662,1.5592091262094732,0.18992095595289263
manages,18,1,19,1.5994608880809897,1.5568163525102021,1.0555346147300906
timely,28,3,31,0.943074368033435,1.5524119953165518,0.36904379095608547
secure,33,4,37,0.8198886204971272,1.5486132102738492,0.28030045206703463
while,70,12,82,0.47438734941800664,1.5183337600523004,0.09761840354164816
time,17,1,18,1.5421631967619476,1.4987272815061432,1.0588036833204928
scanning,56,22,78,-0.36201277113523833,-1.4387410848489706,0.06331148390688895
additional,16,8,24,-0.6016059961487903,-1.3893514435261258,0.18749948494823715
throws,16,8,24,-0.6016059961487903,-1.3893514435261258,0.18749948494823715
good,93,18,111,0.35320043712742866,1.3716356009815698,0.06630785319457136
accurate,42,17,59,-0.3912630405318325,-1.361108078556337,0.08263279215313006
deeper,62,11,73,0.43942056819646425,1.3431129167122209,0.10703743940493578
forced,4,3,7,-1.0061946942284843,-1.3174196079140463,0.5833319980131021
resulted,4,3,7,-1.0061946942284843,-1.3174196079140463,0.5833319980131021
scans,14,1,15,1.3475894711699699,1.3019051795796885,1.0714120059046721
routes,14,7,21,-0.6013744956082263,-1.2991191738617909,0.2142851256551282
poise,52,20,72,-0.34034358861337655,-1.293506773737581,0.06923054219366735
pressure,146,49,195,-0.20578180263334556,-1.2464214678816115,0.027257379043777105
allowing,33,5,38,0.5962355394717358,1.242423461581675,0.23030132182960827
quicker,20,9,29,-0.4961966450095181,-1.2362084694629953,0.16111063806055814
reading,13,1,14,1.2733423027708248,1.2270321606504535,1.0769076032116374
footwork,13,1,14,1.2733423027708248,1.2270321606504535,1.0769076032116374
commendable,13,1,14,1.2733423027708248,1.2270321606504535,1.0769076032116374
showed,18,2,20,0.9058130647705731,1.215281835749765,0.5555499938882867
looking,18,2,20,0.9058130647705731,1.215281835749765,0.5555499938882867
open,29,12,41,-0.4125896029130782,-1.2020337139681732,0.1178157255409212
precision,7,4,11,-0.7343523161374952,-1.1716224800501285,0.3928561407833807
decisive,7,4,11,-0.7343523161374952,-1.1716224800501285,0.3928561407833807
slightly,7,4,11,-0.7343523161374952,-1.1716224800501285,0.3928561407833807
effectiveness,7,4,11,-0.7343523161374952,-1.1716224800501285,0.3928561407833807
benefit,27,4,31,0.6183758431784865,1.1542109555870683,0.2870348614437471
