word,count_a,count_b,total_count,log_odds,z_score,variance
tighter,8,21,29,1.1851039147678843,2.852414491063109,0.1726186028747676
physicality,3,3,6,2.1477980424741707,2.6305068919580106,0.666665523844135
moving,4,8,12,1.4549938761066592,2.375997595858183,0.3749991964533895
determination,6,17,23,1.1074687133112215,2.332213080844208,0.22548958026333532
situations,11,44,55,0.7641570821017885,2.2668603672678085,0.11363594968884753
space,6,18,24,1.0502145595807253,2.227844692877558,0.22222158732175898
effort,4,9,13,1.3371152854967763,2.225096903101154,0.3611102771423401
forward,10,41,51,0.7389275335943664,2.095122872832677,0.12438978076982381
front,4,10,14,1.231659196179998,2.081886607462263,0.3499991300272503
read,14,66,80,0.6002176164636452,2.039861338694476,0.08657972099620037
left,6,116,122,-0.8224326855614557,-1.9643943410278502,0.17528444392241563
showing,5,16,21,0.9850459932865983,1.9226158075452493,0.26249920971275065
cutback,2,3,5,1.7415136464841616,1.9077343881793556,0.8333317857614781
advancing,2,3,5,1.7415136464841616,1.9077343881793556,0.8333317857614781
consistently,2,3,5,1.7415136464841616,1.9077343881793556,0.8333317857614781
available,2,3,5,1.7415136464841616,1.9077343881793556,0.8333317857614781
crowded,3,7,10,1.3001186757737626,1.8840531845750186,0.4761893489175531
reliable,4,12,16,1.0491464454682617,1.817177544018619,0.3333323809826385
further,7,29,36,0.7272094238373867,1.7268598128352037,0.1773392350710642
help,4,13,17,0.9690081204626901,1.6947486234169122,0.32692208001921746
moves,2,4,6,1.4537363744751772,1.678631972747661,0.749998392906779
option,2,4,6,1.4537363744751772,1.678631972747661,0.749998392906779
side,10,143,153,-0.5201883616368228,-1.590323985870294,0.10699168920612298
solid,18,103,121,0.40620418899918054,1.5900386279166754,0.06526396354902604
commendable,6,25,31,0.7210400180927596,1.5860795723528092,0.20666588608275904
demonstrates,4,14,18,0.8948045186483364,1.5782893795204698,0.32142752845926115
ultimately,4,14,18,0.8948045186483364,1.5782893795204698,0.32142752845926115
created,3,9,12,1.0486132760122269,1.5729221609802149,0.44444317464351796
reflects,3,9,12,1.0486132760122269,1.5729221609802149,0.44444317464351796
navigate,1,41,42,-1.5710239967297603,-1.5522359490535589,1.024354224811667
through,24,283,307,-0.3293884291141831,-1.5493166936582359,0.04519977545854968
maximize,4,74,78,-0.7759588390222323,-1.5116132568840808,0.26350932292254553
defensive,7,32,39,0.6284816799815411,1.506208936121958,0.17410642802002596
displayed,13,71,84,0.4517758542441346,1.4975635942427372,0.09100714366190119
navigates,1,38,39,-1.4947523557337092,-1.4754884652181428,1.0262823398254002
pick,2,5,7,1.2304975572893504,1.4707277120366427,0.6999982600545006
chains,2,5,7,1.2304975572893504,1.4707277120366427,0.6999982600545006
both,2,5,7,1.2304975572893504,1.4707277120366427,0.6999982600545006
decisively,2,5,7,1.2304975572893504,1.4707277120366427,0.6999982600545006
pushing,3,10,13,0.943157248597486,1.432760943451143,0.433331983852803
hole,4,69,73,-0.7055193313137265,-1.3718456493742064,0.2644888299396948
scrimmage,13,74,87,0.41010161807313406,1.3637051627869596,0.09043613558320941
find,1,34,35,-1.3831458716514895,-1.3632633354511783,1.0293817405121295
benefit,5,22,27,0.6660178836570338,1.3443155200423964,0.24545357195658832
maintaining,2,45,47,-0.9705483209449017,-1.3430546483547288,0.5222121313906557
running,2,45,47,-0.9705483209449017,-1.3430546483547288,0.5222121313906557
pushes,3,11,14,0.8477515426578721,1.3015542482537346,0.42424099178190594
gaining,7,99,106,-0.5073489427429276,-1.2972482389126962,0.15295628953787183
right,10,55,65,0.4438211357993538,1.2910221825083457,0.11818124264058202
exploiting,2,6,8,1.0480806968781744,1.2836332920109628,0.666664761965277
quicker,2,6,8,1.0480806968781744,1.2836332920109628,0.666664761965277
impressive,1,31,32,-1.2904870121281524,-1.2701800038264395,1.0322306089397575
free,4,17,21,0.7003615467767998,1.2602825905796258,0.30882234216707727
decisiveness,2,41,43,-0.877075077208846,-1.21119283570792,0.5243810081246975
decision,8,43,51,0.4663160321923252,1.2110874820907407,0.14825510729959726
seam,6,30,36,0.5382392518054333,1.2035422372884068,0.19999910860134035
tight,1,29,30,-1.2236053244252334,-1.2030540336299054,1.0344570151558736
met,9,50,59,0.4334272255645013,1.197009249948495,0.13111046656585945
accelerates,5,74,79,-0.5519971213778172,-1.1946120646165603,0.2135107926908668
snapped,3,12,15,0.7606446264514783,1.1783877345324225,0.41666514885910766
allowing,1,28,29,-1.188418861941745,-1.167763161428131,1.035689398194834
traffic,4,61,65,-0.5815177043771795,-1.1266889287105775,0.2663899456555864
utilized,2,7,9,0.8938346879308607,1.1148095295485365,0.6428550569185223
agility,5,71,76,-0.5103231977465148,-1.1029487856929707,0.214081888514136
showed,5,25,30,0.5378971855012846,1.0979804789796588,0.23999893032160846
future,4,19,23,0.5889445531539259,1.0705777446556086,0.30263029223719384
while,15,96,111,0.29245206675467905,1.0533572088234486,0.07708290016759818
which,2,35,37,-0.7182771197052702,-0.987969319464325,0.5285634744637897
gain,35,252,287,0.17618986032516926,0.9767324609242295,0.03253947785684754
advance,2,8,10,0.7602079468039564,0.9615971943292325,0.6249977232886614
offense,2,8,10,0.7602079468039564,0.9615971943292325,0.6249977232886614
carry,2,8,10,0.7602079468039564,0.9615971943292325,0.6249977232886614
maintain,3,14,17,0.606302832278649,0.952995148968117,0.40476021142658447
navigating,9,55,64,0.33763642334213184,0.938994549531067,0.1292922339336727
after,8,96,104,-0.34193443791599964,-0.9291996387134291,0.13541526419250424
similar,1,22,23,-0.9466861445838193,-0.9258860620563347,1.0454347913899085
opening,4,55,59,-0.4774006763590837,-0.9218726641299635,0.2681786408804591
contact,10,115,125,-0.29956406232309885,-0.9086273007747823,0.10869457268613152
decisive,3,44,47,-0.5417009406309532,-0.9078213010786443,0.35605610924999886
strength,4,21,25,0.4886696952424865,0.8957484358000728,0.2976176597893448
quarterback,19,200,219,-0.21190530058050827,-0.8827008361470581,0.057631054290472015
shoulder,1,21,22,-0.9000710515522465,-0.879384928862301,1.0476001486118143
extra,1,21,22,-0.9000710515522465,-0.879384928862301,1.0476001486118143
back,2,32,34,-0.6283781104809858,-0.8621335896868532,0.5312426861410449
break,15,102,117,0.23124786568960065,0.8362416814166288,0.07647013289785755
potentially,1,20,21,-0.851185819375428,-0.8306794408295659,1.0499819558395729
lateral,2,9,11,0.6423295466623644,0.8216723797637514,0.6111086376480418
absorb,2,9,11,0.6423295466623644,0.8216723797637514,0.6111086376480418
demonstrating,2,31,33,-0.5965338139667411,-0.8176676917630628,0.5322509639568378
balance,3,41,44,-0.47079584472324854,-0.7871570614887792,0.3577193644970195
openings,1,18,19,-0.7456351959873304,-0.7257536225498152,1.0555392203086988
evident,1,18,19,-0.7456351959873304,-0.7257536225498152,1.0555392203086988
off,3,39,42,-0.4205937849138621,-0.7019942751264832,0.3589703354686971
manages,2,10,12,0.5368736525755002,0.6931024497256941,0.5999973258040211
tackles,13,91,104,0.20166783481801875,0.6801640406832654,0.08791154969382002
modest,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
once,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
indicating,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
looked,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
need,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
wraps,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
made,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
aspect,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
longer,1,4,5,0.759771792131759,0.67956178757133,1.2499954465773229
might,1,17,18,-0.6883817425009973,-0.6689916950527997,1.0588080481346769
pad,5,31,36,0.32221089029815975,0.6685840282766015,0.23225679816483535
momentum,3,17,20,0.41186006387915164,0.6576894270817641,0.39215489873240694
identify,4,24,28,0.3548511291883383,0.6570583521129566,0.29166512505308745
lowering,4,24,28,0.3548511291883383,0.6570583521129566,0.29166512505308745
overall,13,92,105,0.1906422465713602,0.6434153696480803,0.08779209898203513
before,29,280,309,-0.1250134848879103,-0.6408515705453014,0.03805386889460757
showcased,6,67,73,-0.2688094730652839,-0.6308095520635782,0.18159028783511666
accelerating,2,27,29,-0.45800117615863023,-0.6249812677503153,0.537030788909514
open,2,27,29,-0.45800117615863023,-0.6249812677503153,0.537030788909514
initial,8,86,94,-0.23096881916102685,-0.6248642299812057,0.13662663720322143
breaking,3,37,40,-0.36775844948134484,-0.612627466446816,0.3603565259453151
quickness,1,16,17,-0.6276620905850203,-0.608925861442544,1.0624853722820897
making,9,62,71,0.21716195923202974,0.6087976754122925,0.12723937624171505
brought,21,205,226,-0.13533939306467113,-0.590688368160631,0.052496652545353135
navigated,2,11,13,0.44146808169520924,0.574301606523641,0.59090621320291
effectiveness,2,11,13,0.44146808169520924,0.574301606523641,0.59090621320291
extend,3,18,21,0.3546060445957018,0.5686362139843144,0.3888868334041166
contributing,1,15,16,-0.5630285489630085,-0.5451535683904533,1.0666528920102625
showcases,1,15,16,-0.5630285489630085,-0.5451535683904533,1.0666528920102625
areas,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
asset,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
runs,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
body,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
drive,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
well,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
contributed,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
bounds,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
rhythm,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
limit,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
able,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
hits,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
most,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
locating,1,5,6,0.5365333606458451,0.48978679895576294,1.1999946516080422
exploit,6,63,69,-0.20686680274439606,-0.484188119243214,0.18253802484491105
blocks,3,19,22,0.3004432077995638,0.4836037789279902,0.38596276488132947
past,1,14,15,-0.4939406666949928,-0.47719489708976526,1.0714156492226121
power,1,14,15,-0.4939406666949928,-0.47719489708976526,1.0714156492226121
unable,1,14,15,-0.4939406666949928,-0.47719489708976526,1.0714156492226121
evade,3,34,37,-0.28291372855011954,-0.4697376513145249,0.36274154693392463
effectively,14,105,119,0.13214982668039443,0.4644652269325689,0.08095185131145
effective,2,12,14,0.35436130184670045,0.4639690801849933,0.5833302501061749
highlights,2,12,14,0.35436130184670045,0.4639690801849933,0.5833302501061749
utilizing,2,12,14,0.35436130184670045,0.4639690801849933,0.5833302501061749
positively,2,12,14,0.35436130184670045,0.4639690801849933,0.5833302501061749
burst,6,62,68,-0.1907702903644859,-0.44620013317171825,0.18279406477676674
positive,10,74,84,0.1452605544712089,0.4311469486689828,0.11351278039137305
make,3,33,36,-0.2529650064684015,-0.4194969996729232,0.3636329068636894
gap,18,139,157,0.10297399902588023,0.41107670508995425,0.06274937786609977
small,6,61,67,-0.17441360777828496,-0.40764809535287005,0.18305849867918317
security,1,13,14,-0.4197376935795534,-0.40447162883912946,1.0769110064060914
picking,2,13,15,0.2742231801289936,0.3610326223522066,0.5769197866743392
understanding,2,13,15,0.2742231801289936,0.3610326223522066,0.5769197866743392
improving,2,13,15,0.2742231801289936,0.3610326223522066,0.5769197866743392
highlighted,2,13,15,0.2742231801289936,0.3610326223522066,0.5769197866743392
swiftly,2,13,15,0.2742231801289936,0.3610326223522066,0.5769197866743392
run,5,36,41,0.17219979800271634,0.3608098023457478,0.2277763449979328
him,9,87,96,-0.12402002517190525,-0.3541921226275522,0.12260433727887925
quickly,12,114,126,-0.10676223965574572,-0.3517849371079806,0.09210450487606825
acceleration,4,41,45,-0.18229604650897802,-0.34801249985924837,0.2743878103354251
strong,1,6,7,0.35411690021931364,0.32784941032265574,1.1666605002123498
want,1,6,7,0.35411690021931364,0.32784941032265574,1.1666605002123498
approaching,1,6,7,0.35411690021931364,0.32784941032265574,1.1666605002123498
valuable,1,6,7,0.35411690021931364,0.32784941032265574,1.1666605002123498
opportunity,1,12,13,-0.33959999491886617,-0.32627881090697075,1.083322113540034
style,1,12,13,-0.33959999491886617,-0.32627881090697075,1.083322113540034
shows,1,12,13,-0.33959999491886617,-0.32627881090697075,1.083322113540034
where,1,12,13,-0.33959999491886617,-0.32627881090697075,1.083322113540034
patience,3,21,24,0.20016848844216817,0.32431101015175656,0.3809500486732201
being,25,228,253,-0.06623472364026295,-0.31438702470943114,0.044385613782284755
work,10,77,87,0.1052311796209171,0.3130629204894969,0.1129862547225608
additional,8,61,69,0.11491233676403567,0.3056000812760236,0.1413925026551663
offensive,14,130,144,-0.08384342566024294,-0.29807476523686216,0.07912024210356322
identifying,2,21,23,-0.2061135811177639,-0.27852828700094034,0.5476140745347331
managing,2,14,16,0.20001978317217972,0.264602111762428,0.57142507300983
crease,10,93,103,-0.08510589153115422,-0.25573150729827104,0.11075179514059806
tackle,5,48,53,-0.11663369259097767,-0.24819527973909808,0.22083149654222212
secondary,1,11,12,-0.25249363712895523,-0.24174540175697068,1.0908987205910683
lanes,1,11,12,-0.25249363712895523,-0.24174540175697068,1.0908987205910683
room,1,11,12,-0.25249363712895523,-0.24174540175697068,1.0908987205910683
defense,10,80,90,0.06672083653694028,0.19892379400687957,0.11249921654620397
locate,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
illustrates,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
development,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
contributor,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
opportunities,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
makes,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
blocking,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
showcase,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
despite,1,7,8,0.19987129941911252,0.18696305328545146,1.14285014601966
handoff,26,214,240,0.03855991308600659,0.18566307567824872,0.04313412686599059
defender,13,117,130,-0.05215909828021026,-0.17841226279623637,0.08546941801414719
better,3,23,26,0.10900541038199485,0.17757727074408935,0.3768090759748021
hands,2,15,17,0.13093147643541414,0.17393286576495515,0.56666295918015
improve,7,64,71,-0.06773927905640686,-0.17015790303489214,0.15848088606365443
however,15,134,149,-0.044715915196739786,-0.16423612959550538,0.07412877852341848
yardage,21,186,207,-0.03622313634130592,-0.1573506954699665,0.05299498425916668
limited,1,10,11,-0.1570884870091529,-0.1497786438688,1.099990477503912
create,1,10,11,-0.1570884870091529,-0.1497786438688,1.099990477503912
linebacker,13,116,129,-0.04347860257993208,-0.14865621624139924,0.08554310411668284
takes,26,228,254,-0.026178550047907923,-0.12646911547978248,0.04284717713518633
plays,4,32,36,0.06640283691883386,0.12521082605451947,0.2812480413655099
snap,3,24,27,0.06635013156142122,0.10834968840411033,0.37499738848734654
enhance,3,24,27,0.06635013156142122,0.10834968840411033,0.37499738848734654
gains,6,49,55,0.04579317165939134,0.10587528374975842,0.18707350082176943
vision,23,201,224,-0.022606230164079033,-0.1026993583995506,0.04845301755989639
allowed,4,36,40,-0.05176353588283611,-0.09821478737207075,0.2777756085459784
awareness,2,16,18,0.06629750983501914,0.08839698758036353,0.5624960827310198
larger,3,27,30,-0.05171995462820256,-0.08498488930314244,0.37036747806130454
may,1,8,9,0.0662449715406579,0.06245657560310733,1.1249921654620396
tackler,1,8,9,0.0662449715406579,0.06245657560310733,1.1249921654620396
avoid,1,8,9,0.0662449715406579,0.06245657560310733,1.1249921654620396
secure,1,8,9,0.0662449715406579,0.06245657560310733,1.1249921654620396
cut,5,44,49,-0.029238359887241216,-0.06195380248070096,0.2227255710958081
spaces,0,27,27,-11.826651654035803,-0.056893663813573414,43211.1481481164
lower,0,23,23,-11.826267779715966,-0.05250876953597493,50726.13043474535
first,0,22,22,-11.826171834156849,-0.05135417306651827,53031.86363632467
ability,28,237,265,0.010007006699608745,0.05007673897337215,0.039933401240782714
hitting,1,9,10,-0.05163301195177539,-0.048983567329146695,1.1111024341839135
situation,1,9,10,-0.05163301195177539,-0.048983567329146695,1.1111024341839135
scheme,1,9,10,-0.05163301195177539,-0.048983567329146695,1.1111024341839135
outside,0,20,20,-11.825979970651247,-0.04896348844187354,58335.04999995714
showcasing,7,61,68,-0.019441486208563674,-0.048718127314305956,0.15924938035607966
slight,0,15,15,-11.825500472878598,-0.042401905545498414,77780.06666660952
push,3,25,28,0.025432463058310262,0.04162378903248456,0.37333062836532094
ground,0,14,14,-11.82540460090847,-0.04096380042905053,83335.78571422449
sideline,0,14,14,-11.82540460090847,-0.04096380042905053,83335.78571422449
easily,0,14,14,-11.82540460090847,-0.04096380042905053,83335.78571422449
footwork,0,14,14,-11.82540460090847,-0.04096380042905053,83335.78571422449
bursts,0,14,14,-11.82540460090847,-0.04096380042905053,83335.78571422449
second,0,13,13,-11.825308738129035,-0.039473385804584565,89746.23076916483
performance,0,13,13,-11.825308738129035,-0.039473385804584565,89746.23076916483
stopped,0,13,13,-11.825308738129035,-0.039473385804584565,89746.23076916483
