word,count_a,count_b,total_count,log_odds,z_score,variance
lands,5,3,8,-2.052504064068679,-2.8105121934540565,0.5333313388041578
future,7,3,10,-1.7156772826508604,-2.4862582525040877,0.4761883062743698
touchback,3,2,5,-2.155913239219651,-2.3616888475218496,0.8333303543713271
powerful,3,2,5,-2.155913239219651,-2.3616888475218496,0.8333303543713271
near,3,2,5,-2.155913239219651,-2.3616888475218496,0.8333303543713271
makes,3,2,5,-2.155913239219651,-2.3616888475218496,0.8333303543713271
performance,10,3,13,-1.358470071730201,-2.063670366386692,0.4333307356863467
tackle,10,3,13,-1.358470071730201,-2.063670366386692,0.4333307356863467
timed,5,2,7,-1.6447339043781426,-1.9658377201967834,0.6999966507354435
zone,11,3,14,-1.2629823804652602,-1.9390618205122383,0.42423966686605896
approach,18,4,22,-1.0592538820885826,-1.9162698383584345,0.3055531749440716
end,12,3,15,-1.1757934527863139,-1.8215377708009761,0.416663745004615
teams,21,4,25,-0.9045693149049407,-1.6581103844637226,0.29761637615704634
coverage,94,3,97,0.8972656148163978,1.5299278447861209,0.34395383186455725
maintain,8,2,10,-1.1741990585548328,-1.4852625879150123,0.6249956175069226
demonstrated,61,8,69,-0.5335080774956209,-1.4188260171793214,0.14139163326306656
ensure,16,3,19,-0.8874008131871198,-1.410475732710601,0.3958297278100595
ability,52,7,59,-0.5588890273142404,-1.3882030007005328,0.16208588951016184
steady,9,2,11,-1.0562388506653662,-1.3511505411063214,0.6111063498881432
returner,63,2,65,0.8992881428095725,1.2520992575781782,0.5158461795331538
benefit,10,2,12,-0.9507011219014156,-1.2273551357537131,0.5999948523839884
approaches,27,4,31,-0.6521862169406543,-1.2173210125081337,0.2870337702507788
toward,19,3,22,-0.7150172686954521,-1.150919487857427,0.3859607787110255
crucial,19,3,22,-0.7150172686954521,-1.150919487857427,0.3859607787110255
bounce,11,2,13,-0.8552136906064618,-1.1125418189039626,0.5909035515542758
situations,20,3,23,-0.6635461449053439,-1.071729733482995,0.38332902212541187
deliver,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
consistent,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
score,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
away,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
moment,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
onto,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
left,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
additional,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
foot,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
form,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
instance,4,1,5,-1.1726094661554525,-1.0488174681080131,1.2499912350138451
refining,12,2,14,-0.7680250253969545,-1.0055859196845225,0.5833273983694442
focus,21,3,24,-0.6145781182616528,-0.9957362231334111,0.3809478915065213
special,21,3,24,-0.6145781182616528,-0.9957362231334111,0.3809478915065213
return,69,3,72,0.583581406648185,0.9895292279998008,0.3478128633860211
time,66,3,69,0.5385914975878157,0.9123793368524348,0.34847217365241206
territory,32,1,33,0.9117791804056719,0.8978817947890633,1.0311955033329943
snap,126,7,133,0.3394985540492721,0.8742846826230797,0.15078915883186217
contact,5,1,6,-0.94928973091465,-0.8665827160871321,1.1999897047679768
drop,5,1,6,-0.94928973091465,-0.8665827160871321,1.1999897047679768
while,5,1,6,-0.94928973091465,-0.8665827160871321,1.1999897047679768
crowd,5,1,6,-0.94928973091465,-0.8665827160871321,1.1999897047679768
enhance,23,3,26,-0.5232505164940768,-0.8524135222560278,0.37680674682321247
longer,47,2,49,0.603441762280065,0.8358140824579706,0.5212563487775291
reliability,14,2,16,-0.6135196631823847,-0.8116150089868448,0.571421837259782
position,46,2,48,0.5817571276651625,0.8054215834908565,0.5217192950790316
under,55,6,61,-0.3457851078862486,-0.8042696139631098,0.1848456559732583
which,29,1,30,0.812807832830476,0.7991653648091732,1.034433205433215
cleanly,34,4,38,-0.42041429376790695,-0.7953498739544085,0.279407792036873
further,24,3,27,-0.4805129412211455,-0.7846796066013847,0.37499497305664653
execution,24,3,27,-0.4805129412211455,-0.7846796066013847,0.37499497305664653
executes,28,1,29,0.7775394855732447,0.7640336980217112,1.035666380084457
kick,124,12,136,-0.22757241250885318,-0.7527579687651839,0.09139627666625608
lines,35,4,39,-0.3912483038715546,-0.7412886624718712,0.27856735449542447
landing,27,1,28,0.7409948460315805,0.7276587231047773,1.0369907788036477
placement,15,2,17,-0.5443493989338455,-0.7231304495153907,0.566659530062455
favorable,15,2,17,-0.5443493989338455,-0.7231304495153907,0.566659530062455
hold,15,2,17,-0.5443493989338455,-0.7231304495153907,0.566659530062455
fair,6,1,7,-0.766791931032035,-0.7099149935190671,1.1666547967388885
plays,6,1,7,-0.766791931032035,-0.7099149935190671,1.1666547967388885
accurate,6,1,7,-0.766791931032035,-0.7099149935190671,1.1666547967388885
resulting,6,1,7,-0.766791931032035,-0.7099149935190671,1.1666547967388885
holder,6,1,7,-0.766791931032035,-0.7099149935190671,1.1666547967388885
slightly,6,1,7,-0.766791931032035,-0.7099149935190671,1.1666547967388885
displayed,26,1,27,0.7030775547590791,0.6899495791937864,1.0384169274434858
maintaining,26,3,29,-0.4001142141286991,-0.6561987953206143,0.3717894847792617
soaring,16,2,18,-0.47963345129568324,-0.6395155548198997,0.5624924595849699
yardage,16,2,18,-0.47963345129568324,-0.6395155548198997,0.5624924595849699
strong,16,2,18,-0.47963345129568324,-0.6395155548198997,0.5624924595849699
pressure,71,7,78,-0.24404236029992532,-0.6160270446846484,0.15693899805883796
technique,83,8,91,-0.2215841860450407,-0.5985574733874744,0.13704582507968704
sends,7,1,8,-0.6124649607277002,-0.5729118869463784,1.142843674519564
composed,7,1,8,-0.6124649607277002,-0.5729118869463784,1.142843674519564
stands,7,1,8,-0.6124649607277002,-0.5729118869463784,1.142843674519564
situation,7,1,8,-0.6124649607277002,-0.5729118869463784,1.142843674519564
effectiveness,7,1,8,-0.6124649607277002,-0.5729118869463784,1.142843674519564
progresses,7,1,8,-0.6124649607277002,-0.5729118869463784,1.142843674519564
potential,7,1,8,-0.6124649607277002,-0.5729118869463784,1.142843674519564
limit,23,1,24,0.5799445353896173,0.5677446015055484,1.0434385901580632
goal,61,6,67,-0.24116833979344943,-0.5636728443773964,0.18305700900467647
unit,17,2,19,-0.4188313695749404,-0.5602797773764434,0.558815584073746
better,17,2,19,-0.4188313695749404,-0.5602797773764434,0.558815584073746
opposing,39,4,43,-0.2823205841592582,-0.5377422316626745,0.2756365449890583
showcasing,39,4,43,-0.2823205841592582,-0.5377422316626745,0.2756365449890583
downfield,38,2,40,0.3892756143181417,0.5365878381302067,0.5262992453872046
travels,37,2,39,0.36242922740914807,0.4992446468629088,0.5270108940882016
accuracy,29,3,32,-0.29038064965817956,-0.47880183922327685,0.36781016299369595
kickoff,21,1,22,0.48861911967045213,0.4773932833660905,1.0475826689884322
