word,count_a,count_b,total_count,log_odds,z_score,variance
skills,11,18,29,-0.7672455097863411,-2.0047880611554776,0.14646429861008212
additional,65,33,98,0.4095422749780955,1.9160194673576285,0.04568752607889141
momentum,1,6,7,-2.0654451018116733,-1.9122368208485143,1.166659064011669
moving,13,3,16,1.1956117750054727,1.866652786953248,0.4102544315581207
looks,1,5,6,-1.882879869435989,-1.7188310184771611,1.1999934059371733
executed,1,5,6,-1.882879869435989,-1.7188310184771611,1.1999934059371733
reliability,8,1,9,1.8082688046282396,1.7048594975845905,1.1249903407595507
making,15,5,20,0.8277724296161493,1.6029772404043827,0.26666572733941096
positively,4,8,12,-0.9667683972310721,-1.5787282671678282,0.3749990093022032
over,11,3,14,1.0281853056608394,1.578575103011811,0.4242406581532262
better,7,1,8,1.6745520773573546,1.5664059491764375,1.14284851641999
showing,5,9,14,-0.8614667929766444,-1.544476557708368,0.31111033668696964
speed,1,4,5,-1.659492720050185,-1.484298745189774,1.2499943860581542
defender,62,61,123,-0.2595643824170608,-1.439308080503206,0.03252240613599629
utilizing,2,5,7,-1.1895493400860708,-1.4217855820587726,0.6999978548101942
effectiveness,8,2,10,1.114881454983343,1.4102290543130533,0.6249971930290771
crucial,8,2,10,1.114881454983343,1.4102290543130533,0.6249971930290771
davis,3,6,9,-0.9664649536930536,-1.366789650506188,0.49999867906960427
crisp,3,6,9,-0.9664649536930536,-1.366789650506188,0.49999867906960427
spot,27,13,40,0.46033152906022234,1.3636247378981594,0.11395980585991367
catch,185,162,347,-0.14501075171401512,-1.3476567811706448,0.01157822022510755
seam,4,7,11,-0.8329924568464762,-1.3289978380837855,0.39285617911686466
soft,44,24,68,0.3360647140529842,1.3243444737407302,0.06439377752232187
chains,13,5,18,0.6842987900689774,1.3003698237703372,0.27692220351508706
running,117,74,191,0.18946376484285432,1.2756125342551323,0.022060470457263386
contributing,8,11,19,-0.5920654381185573,-1.2741915710615739,0.21590861125278565
scans,8,11,19,-0.5920654381185573,-1.2741915710615739,0.21590861125278565
target,18,8,26,0.5399169552627114,1.2706389277109846,0.1805550414528441
towards,11,4,15,0.7402596501745426,1.2678430691489257,0.3409079692108468
taken,7,2,9,0.9811642182161178,1.2237292293579631,0.6428545710907683
contributions,5,1,6,1.3377092983055814,1.2211592852823363,1.1999934059371733
runs,37,37,74,-0.27458424907149315,-1.1810327599110553,0.05405393981134072
end,14,6,20,0.5760273851116411,1.1805065737466034,0.23809454318425755
make,19,9,28,0.4761431644101517,1.1766767886535616,0.16374224280065225
displayed,30,16,46,0.35787845282720987,1.156053163906958,0.09583308943818128
quarterback,91,82,173,-0.17143301148748957,-1.1258991376097143,0.023184083674849247
break,25,13,38,0.3829965805346198,1.1200704489845439,0.11692277506185027
able,2,4,6,-0.966161715168175,-1.115628926335245,0.7499980186044064
looking,10,4,14,0.6447632584235992,1.0898504922543375,0.3499989274050971
showcasing,23,24,47,-0.3165629386879836,-1.0848785890446184,0.0851447474202619
offense,11,13,24,-0.44059699727550683,-1.0754850958656887,0.16783180815954035
maintaining,3,5,8,-0.7838990872749916,-1.073399317821537,0.5333320558464445
agility,3,5,8,-0.7838990872749916,-1.073399317821537,0.5333320558464445
impact,10,12,22,-0.455805763558617,-1.0645340607100844,0.1833329394022646
while,9,11,20,-0.4740962149672887,-1.0547986268255232,0.20201976642690284
along,4,6,10,-0.6785973143750814,-1.05127964245518,0.4166657126609208
receiving,4,6,10,-0.6785973143750814,-1.05127964245518,0.4166657126609208
blocking,8,3,11,0.7091733000134095,1.0475200698397518,0.45833186013008204
thomas,7,9,16,-0.5246226183617022,-1.041016870271915,0.2539677001689127
after,106,93,199,-0.14463691174559212,-1.0179992823751725,0.02018660740620106
opportunities,6,2,8,0.8268277415691445,1.0126548195394316,0.6666643183485275
allowing,6,2,8,0.8268277415691445,1.0126548195394316,0.6666643183485275
room,6,2,8,0.8268277415691445,1.0126548195394316,0.6666643183485275
james,4,1,5,1.1143805505035642,0.9967345037381717,1.2499943860581542
quicker,4,1,5,1.1143805505035642,0.9967345037381717,1.2499943860581542
work,40,38,78,-0.2229752817784343,-0.9843094929799103,0.05131568087556218
tight,27,15,42,0.31674050061706716,0.9835739224280469,0.10370344556232321
zone,30,17,47,0.29700855443793905,0.9783756877221031,0.09215663570143492
right,25,25,50,-0.27387535466295887,-0.9682966256534982,0.07999983092078428
quickly,43,40,83,-0.20187874368884806,-0.9190015223747625,0.04825571169846994
first,9,4,13,0.539216574139874,0.897311895925933,0.3611100829056882
tackles,17,9,26,0.36454427135203105,0.8843208694587852,0.16993420625052358
quick,28,27,55,-0.23743857272121538,-0.8803011825071324,0.07275116889042305
linebacker,51,32,83,0.1953646702242322,0.8662985137779371,0.05085772376156644
space,20,20,40,-0.2735810678530255,-0.865140213349795,0.09999978865098035
enhance,23,13,36,0.2992412111919647,0.8623951061768914,0.12040104077272709
back,68,44,112,0.16483231355733352,0.8519510465095934,0.03743306835032361
marker,7,3,10,0.5754559059934587,0.8339160504025689,0.4761890863685151
releases,7,3,10,0.5754559059934587,0.8339160504025689,0.4761890863685151
both,7,3,10,0.5754559059934587,0.8339160504025689,0.4761890863685151
open,15,8,23,0.35703571810776236,0.815528087413061,0.19166617887636256
before,122,83,205,0.11524446722102022,0.8099582043543585,0.020244868081649166
surveying,8,9,17,-0.3909051027328623,-0.8044769205552145,0.23611060862719713
side,24,23,47,-0.23101107118197817,-0.7916876372082517,0.0851447474202619
improving,7,8,15,-0.40659488899534324,-0.7856168002104753,0.26785657168912913
manages,5,2,7,0.6443204428136982,0.7701114068559407,0.6999978548101942
smith,5,2,7,0.6443204428136982,0.7701114068559407,0.6999978548101942
near,5,2,7,0.6443204428136982,0.7701114068559407,0.6999978548101942
graham,5,2,7,0.6443204428136982,0.7701114068559407,0.6999978548101942
allowed,5,2,7,0.6443204428136982,0.7701114068559407,0.6999978548101942
wrapped,5,2,7,0.6443204428136982,0.7701114068559407,0.6999978548101942
similar,10,5,15,0.421375633505491,0.7693241484042801,0.29999920744176256
him,10,5,15,0.421375633505491,0.7693241484042801,0.29999920744176256
demonstrates,6,7,13,-0.42715562025112863,-0.767784885422491,0.3095231475604934
toward,5,6,11,-0.45526795014235066,-0.7518510825523773,0.3666658788045292
ability,94,80,174,-0.1132382585341456,-0.7444369873259862,0.023138248332482673
hit,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
allow,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
initial,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
relatively,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
benefit,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
critical,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
catches,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
motion,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
managing,2,3,5,-0.6782356994299565,-0.7429708343247827,0.8333314253218416
limited,3,4,7,-0.5605113390706453,-0.7338824190326819,0.583332049094666
strong,3,4,7,-0.5605113390706453,-0.7338824190326819,0.583332049094666
turn,3,4,7,-0.5605113390706453,-0.7338824190326819,0.583332049094666
exploiting,3,4,7,-0.5605113390706453,-0.7338824190326819,0.583332049094666
limiting,14,14,28,-0.2732287626058394,-0.7228961208022912,0.14285684092997192
makes,21,20,41,-0.2246041437550801,-0.7188709612848747,0.0976188410565329
plays,8,4,12,0.42124741636759655,0.6878950590396543,0.3749990093022032
technique,8,4,12,0.42124741636759655,0.6878950590396543,0.3749990093022032
surveys,8,4,12,0.42124741636759655,0.6878950590396543,0.3749990093022032
