word,count_a,count_b,total_count,log_odds,z_score,variance
zone,12,20,32,1.252425151571389,3.4299098321134505,0.1333331547785676
contributing,6,6,12,1.7617972213145014,3.0515241028107183,0.33333293946243714
highlights,11,21,32,1.1161501691770894,2.9988444695416927,0.13852793941160282
positively,6,7,13,1.6075774461364087,2.889516196979617,0.30952343943254157
soft,12,26,38,0.9896451192969034,2.8357329075418494,0.12179468267673142
offense,11,24,35,0.9824109110757036,2.6981212180684815,0.13257555078177724
middle,10,21,31,1.0204360096786012,2.655919495063942,0.14761882293858236
first,10,23,33,0.9293256687151654,2.4534388148972552,0.14347802904801477
create,11,132,143,-0.7298504883359769,-2.325684200871578,0.09848414541491442
spot,7,14,21,1.0685000351931535,2.3082255927516635,0.21428539778244643
receiver,6,11,17,1.1553157395287164,2.276399608716497,0.2575753955781378
showing,5,8,13,1.2912523011702328,2.265007860106596,0.3249995727732446
chains,6,12,18,1.0682351856362953,2.136471949073998,0.24999963074618753
offensive,5,9,14,1.1734001368834006,2.103723584552011,0.3111106781450111
pressure,3,60,63,-1.2388806041394371,-2.0941028302986378,0.34999585406289635
under,3,60,63,-1.2388806041394371,-2.0941028302986378,0.34999585406289635
moving,6,13,19,0.9881232921252812,2.0020825237995097,0.24358936535346284
crisp,7,17,24,0.8741363617584685,1.9464686366484913,0.20168033383109613
awareness,16,54,70,0.5461149640169429,1.9186351603831788,0.08101834278753553
across,8,21,29,0.7964850731794524,1.9170510087700947,0.1726187410589548
agility,2,44,46,-1.333480461263858,-1.8443863740199402,0.5227204645008462
creates,5,11,16,0.9725911473771118,1.8032336629607735,0.2909086346701205
improve,11,111,122,-0.5551133775219146,-1.7561472070036603,0.09991749838221232
spots,6,15,21,0.8448840533081361,1.749077658857071,0.23333293355465956
marker,6,15,21,0.8448840533081361,1.749077658857071,0.23333293355465956
focus,1,29,30,-1.6090910142824812,-1.582059110606726,1.03446501364841
reliability,4,9,13,0.9498537739709905,1.5806534825378282,0.36111053626050843
left,2,36,38,-1.1322566199361344,-1.55855321309965,0.5277721478508429
him,2,36,38,-1.1322566199361344,-1.55855321309965,0.5277721478508429
set,3,6,9,1.0674414975155493,1.5095913576714761,0.49999926149237506
evident,3,6,9,1.0674414975155493,1.5095913576714761,0.49999926149237506
delivering,12,43,55,0.4853624675410071,1.486654984939753,0.10658890405794526
taking,2,3,5,1.3549281636448178,1.4842503880347275,0.8333322665998096
nonetheless,2,3,5,1.3549281636448178,1.4842503880347275,0.8333322665998096
running,59,279,338,0.21064349398959203,1.470003744487889,0.02053332200135835
finding,9,30,39,0.5573730996767337,1.4665472144938678,0.14444413438090384
hands,42,191,233,0.2489255166425135,1.4606070653787402,0.029045044093167577
showcases,4,49,53,-0.747511281274674,-1.437505232678485,0.2704061931907516
execute,4,10,14,0.844424139651542,1.4273385316005416,0.34999940033198934
making,12,44,56,0.46230354604033863,1.419549946948099,0.10606035921349818
situations,2,32,34,-1.0141971281498199,-1.3914735826454352,0.5312449585739493
demonstrating,6,63,69,-0.5935284272317665,-1.389198284358021,0.18253853989619628
throw,9,31,40,0.524513954617146,1.3852546993470563,0.14336885928011672
reliable,28,123,151,0.28259566757510957,1.3496128045073832,0.0438442473280779
yardage,25,192,217,-0.2820930279438221,-1.3267347557163554,0.045208124728395783
coverage,18,74,92,0.3482366831230399,1.325053077126893,0.06906889138365498
slot,7,23,30,0.5714400013071446,1.3238031475051633,0.1863350085039271
openings,3,7,10,0.9132217786043269,1.3233851643752659,0.4761896991667356
placed,1,22,23,-1.332356192996758,-1.3030785489802705,1.0454409290016924
clean,17,70,87,0.3465212335445269,1.2815757040942937,0.07310905535277788
tackles,3,37,40,-0.753860453154445,-1.255810319771121,0.3603577173095375
gained,2,4,6,1.0671772212395139,1.232271021953222,0.7499988922385625
dependable,2,4,6,1.0671772212395139,1.232271021953222,0.7499988922385625
looked,2,4,6,1.0671772212395139,1.232271021953222,0.7499988922385625
inbounds,2,4,6,1.0671772212395139,1.232271021953222,0.7499988922385625
precise,42,199,241,0.20733267855854187,1.2209870435860286,0.028834565125628247
while,14,57,71,0.35749853515727725,1.1985249845040689,0.08897220415067408
space,13,107,120,-0.3502712119463611,-1.192555112392568,0.08626844561752808
side,4,43,47,-0.6164751818636267,-1.1793216813923113,0.2732540634520485
overall,12,48,60,0.37501450613337806,1.1619414082461441,0.10416640511220415
towards,3,35,38,-0.6981521584149615,-1.160524849108028,0.3619022490777422
off,1,19,20,-1.185546459008381,-1.1555342557533776,1.0526197302144678
excellent,9,34,43,0.4319326368606706,1.1522402042842355,0.1405225402032022
maintaining,2,27,29,-0.8439526312698877,-1.1516425274099684,0.5370327302200762
delivered,3,8,11,0.7796213315458482,1.1515780599044672,0.45833250969252337
catching,3,8,11,0.7796213315458482,1.1515780599044672,0.45833250969252337
toward,3,34,37,-0.6690954070982995,-1.1109352262624026,0.3627426502736154
catches,6,21,27,0.5079964742608283,1.0973990356968533,0.21428523500977825
reception,13,104,117,-0.32162414508167636,-1.0933144853214687,0.08653804612943895
sideline,22,163,185,-0.2453670008983222,-1.0802801619032893,0.05158928484202702
beyond,5,17,22,0.5368579944547669,1.0552564637837467,0.2588229645280228
future,5,17,22,0.5368579944547669,1.0552564637837467,0.2588229645280228
surveying,7,26,33,0.44862985900891683,1.053579738855997,0.18131825458818185
keep,1,17,18,-1.0741833422405733,-1.0439238263447366,1.0588128582004457
looking,1,17,18,-1.0741833422405733,-1.0439238263447366,1.0588128582004457
gaining,13,102,115,-0.3020666625889774,-1.0257148946751913,0.08672658993489828
cornerback,8,68,76,-0.381761241478376,-1.0213758703613731,0.13970517106302607
cut,7,61,68,-0.40657539206002014,-1.0188299502625924,0.15924975479252265
contested,4,13,17,0.5818524661471756,1.0176315121346453,0.3269223897619223
completion,2,5,7,0.8439647557867538,1.0087316855353603,0.6999988006639787
face,2,5,7,0.8439647557867538,1.0087316855353603,0.6999988006639787
hauls,2,5,7,0.8439647557867538,1.0087316855353603,0.6999988006639787
quickly,26,122,148,0.2159073642186824,0.9995483729392963,0.046658124550438315
deep,3,9,12,0.6617692296215569,0.9926548218764264,0.44444356917668254
secure,8,67,75,-0.3668766583495602,-0.9807830113472383,0.1399246709152539
unable,5,18,23,0.4796303773752433,0.9487778026975964,0.2555549700745793
wide,9,73,82,-0.3348743144053916,-0.9478915515587532,0.12480913405932167
separation,51,340,391,-0.14040973327407302,-0.9350487559589061,0.022548928795798277
modest,9,37,46,0.3471672053922603,0.9340765151213847,0.13813778276730995
right,7,59,66,-0.37310007099530207,-0.9333176659287219,0.15980548842129946
releasing,5,45,50,-0.438530823448783,-0.9302668608193494,0.22222102602729976
top,2,23,25,-0.6833337019102617,-0.9269221036660549,0.5434745404318999
work,25,119,144,0.20138714835132543,0.9153656876484761,0.04840321921527983
plays,7,28,35,0.37438331351992105,0.8859537331794503,0.17857098019234996
well,9,71,80,-0.3069556956001849,-0.8675253218637065,0.1251950252672777
target,10,43,53,0.3022329570171651,0.860872222390769,0.12325548389177128
body,1,14,15,-0.8798211433226779,-0.8499915103214768,1.0714196641866753
defender,41,274,315,-0.14227622745969892,-0.8496599556942105,0.02803976575014054
commendable,3,10,13,0.55633963797123,0.8451414863520094,0.4333324031427115
pushed,4,36,40,-0.43830899044529303,-0.8316350755393986,0.2777762825341247
tackle,6,24,30,0.37425733284830454,0.8199577634769267,0.2083328102244083
routes,2,6,8,0.6615742603621069,0.8102604802678037,0.6666653537650239
acceleration,2,6,8,0.6615742603621069,0.8102604802678037,0.6666653537650239
third,2,6,8,0.6615742603621069,0.8102604802678037,0.6666653537650239
lines,16,115,131,-0.21407971031819795,-0.802323868009544,0.07119534399610962
tackled,8,34,42,0.3137461033163209,0.7984334493800308,0.15441135552467128
route,91,485,576,0.08965422691676395,0.7847870022449304,0.01305082411789094
maximize,20,96,116,0.19259310015312447,0.7835432728111977,0.06041648789684341
footwork,3,28,31,-0.4745242093831852,-0.7811211219175378,0.36904556069703026
makes,21,145,166,-0.17401690470002507,-0.7453014193642942,0.054515372289638965
both,6,25,31,0.33336607798524565,0.7333085583162636,0.20666612861370304
immediately,2,20,22,-0.5433646025831278,-0.7326748666378878,0.549996718088018
gains,3,27,30,-0.4380873853350895,-0.71985296676211,0.3703683767121663
gain,62,327,389,0.09933464887438914,0.7171275090187932,0.01918707429680397
turn,3,11,14,0.4609603737918846,0.7077128001353783,0.42424143685399274
showcasing,19,93,112,0.1728520761180885,0.6865695178008211,0.06338407617193907
potential,12,86,98,-0.21077349742753704,-0.6839805468515263,0.09496083040657483
allowing,3,26,29,-0.4002778824685711,-0.656464163255306,0.3717929427489072
turning,5,21,26,0.32527205346713917,0.6536650974274006,0.2476183983494754
forced,2,7,9,0.5073546258514385,0.6327831021587155,0.6428557050293349
momentum,2,7,9,0.5073546258514385,0.6327831021587155,0.6428557050293349
potentially,2,7,9,0.5073546258514385,0.6327831021587155,0.6428557050293349
extend,1,11,12,-0.6384529493345372,-0.6112741634226867,1.0909019426824489
control,1,11,12,-0.6384529493345372,-0.6112741634226867,1.0909019426824489
however,43,275,318,-0.09754326971064176,-0.5948194547746614,0.026892073496113948
crucial,4,17,21,0.3133118369716321,0.563796255731281,0.30882271104934256
skills,10,48,58,0.1918850419798126,0.5520118310877913,0.12083297579368682
find,15,75,90,0.15120774178535257,0.5346009191190143,0.07999975422511477
timing,1,10,11,-0.5430740682809407,-0.5178023521900825,1.099993436176036
even,1,10,11,-0.5430740682809407,-0.5178023521900825,1.099993436176036
get,1,10,11,-0.5430740682809407,-0.5178023521900825,1.099993436176036
despite,1,10,11,-0.5430740682809407,-0.5178023521900825,1.099993436176036
make,10,69,79,-0.17247927642714966,-0.509740129703846,0.11449227708445849
enhance,12,60,72,0.15103749173985914,0.4776232196510861,0.09999969278139348
opportunity,5,23,28,0.23416181843162942,0.4745550557441815,0.2434775678964392
taken,2,8,10,0.3737542667101703,0.47276650074454923,0.624998430673225
drops,29,185,214,-0.09441578591306499,-0.4727411719877452,0.039888009996434784
executed,3,13,16,0.29376809853367636,0.4586459152028303,0.41025530400173493
outside,3,23,26,-0.2774680659150732,-0.4520139921123183,0.3768098583979816
open,5,36,41,-0.214763375880759,-0.44999271996136925,0.22777679016827995
scanning,14,92,106,-0.12367345758717452,-0.4311043093961193,0.08229780973025419
passing,2,16,18,-0.31994491381192525,-0.42659424230346865,0.5624972998413531
few,2,16,18,-0.31994491381192525,-0.42659424230346865,0.5624972998413531
execution,1,9,10,-0.43764485736957326,-0.4151874841173281,1.1111051301364987
formation,1,9,10,-0.43764485736957326,-0.4151874841173281,1.1111051301364987
downfield,1,9,10,-0.43764485736957326,-0.4151874841173281,1.1111051301364987
concentration,1,9,10,-0.43764485736957326,-0.4151874841173281,1.1111051301364987
extends,1,9,10,-0.43764485736957326,-0.4151874841173281,1.1111051301364987
quicker,1,9,10,-0.43764485736957326,-0.4151874841173281,1.1111051301364987
rather,1,9,10,-0.43764485736957326,-0.4151874841173281,1.1111051301364987
limiting,6,29,35,0.18466897929614845,0.41175150699491814,0.20114882630592867
defenders,7,48,55,-0.16600003256758544,-0.4102960780277993,0.1636897989393355
demonstrated,24,128,152,0.08662371590997164,0.3894272427900809,0.04947900527871989
dropping,3,22,25,-0.2329471486847039,-0.37849515160772856,0.3787862071484131
catch,101,610,711,-0.040205595256076254,-0.37426403585237905,0.011540292053887643
takes,19,121,140,-0.09229146896540374,-0.3739967803566915,0.06089580698703413
quarterback,48,295,343,-0.057110014255113306,-0.3669421865789677,0.024223073559229202
further,7,35,42,0.1507545936356669,0.36410749473560566,0.17142804476810308
effectively,21,112,133,0.08652268253741013,0.3638509576196297,0.0565474346042513
creating,29,181,210,-0.07227653237061205,-0.3613489261461892,0.04000746918653316
benefit,3,14,17,0.21959102122098884,0.34515596964166423,0.4047607375533518
decisive,3,14,17,0.21959102122098884,0.34515596964166423,0.4047607375533518
finds,3,14,17,0.21959102122098884,0.34515596964166423,0.4047607375533518
looks,2,15,17,-0.25533737155740877,-0.33919663048504106,0.5666641111106214
slant,6,30,36,0.15069814137824533,0.3369718058250711,0.19999938556278696
enough,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
stays,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
focusing,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
exploiting,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
read,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
keeping,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
limited,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
shows,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
moment,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
secondary,1,4,5,0.3736287138711276,0.3341841005801728,1.24999686134645
demonstrates,5,34,39,-0.15746637263709395,-0.328761438250661,0.22941082311908542
risk,2,9,11,0.2559022550475101,0.32735172120066863,0.6111094061640266
extra,2,9,11,0.2559022550475101,0.32735172120066863,0.6111094061640266
