word,count_a,count_b,total_count,log_odds,z_score,variance
speed,94,541,635,-0.4495600535464108,-4.023126024233125,0.012486713708583643
explosive,15,154,169,-1.026163142595518,-3.7938437858257648,0.0731600400266043
gaps,10,5,15,1.9988040267804008,3.6493009792780584,0.2999998683125306
fill,10,5,15,1.9988040267804008,3.6493009792780584,0.2999998683125306
athleticism,19,168,187,-0.876769921050295,-3.622401806542144,0.05858386778340597
reliable,14,14,28,1.3057857310816257,3.4547849165812843,0.1428570926904817
significantly,6,1,7,3.0971754054472767,2.867428795257397,1.166665403443342
right,31,61,92,0.6292511847122215,2.852830618733832,0.04865148598864162
stepping,13,17,30,1.0373724608770205,2.8155957636694264,0.13574655693956533
turning,7,5,12,1.6418821395481435,2.804048095054409,0.34285701557716053
especially,6,4,10,1.7108149587517678,2.650383641618682,0.41666650815395934
effort,25,48,73,0.6536081925974706,2.650005487253349,0.06083330726201849
moment,20,137,157,-0.6207172111818577,-2.593101459246261,0.057299199687883176
aggressive,25,49,74,0.632966570178108,2.5753309800390616,0.060408137064680734
made,19,34,53,0.7238298460546302,2.527056199565409,0.082043309824994
filling,5,3,8,1.8161154133587258,2.4868189421865985,0.5333331210726302
against,16,27,43,0.7824123002091783,2.47995272424201,0.09953699718776393
solid,110,309,419,0.27425882700088344,2.4701840076060857,0.012327148194973481
continues,6,5,11,1.4876491672159897,2.456772181045523,0.3666665357595525
gains,8,9,17,1.1876200908089745,2.4441024152504864,0.23611102762097458
beyond,7,7,14,1.3053653775111336,2.4421154323965024,0.2857141853809634
leap,7,7,14,1.3053653775111336,2.4421154323965024,0.2857141853809634
thunderous,5,57,62,-1.1295274756046902,-2.421719410827927,0.2175434208526781
style,4,1,5,2.6915459864298317,2.4073928143225296,1.249999067214099
highlights,29,63,92,0.5300892742552374,2.3622424915673013,0.05035575121606354
slipping,4,2,6,1.9983768802665143,2.3075273659825144,0.7499996707813265
advancement,4,2,6,1.9983768802665143,2.3075273659825144,0.7499996707813265
runner,21,42,63,0.6125904276623455,2.292104001798837,0.07142854007441204
offensive,44,236,280,-0.37634938340172575,-2.291895144357231,0.026964534585895896
run,31,70,101,0.49142869591163496,2.2778745143103283,0.04654375672907543
expertly,6,6,12,1.305305352143848,2.260855586273281,0.3333332162777906
action,11,17,28,0.8701536669409418,2.248732651587463,0.14973256267847673
showcases,14,98,112,-0.6420004340402041,-2.2470029281976376,0.08163255068038872
powerful,11,83,94,-0.7169472136684556,-2.2343897784917672,0.10295714488094132
train,6,57,63,-0.9471239137552203,-2.206733798235837,0.18421021564078524
freight,6,57,63,-0.9471239137552203,-2.206733798235837,0.18421021564078524
react,18,115,133,-0.5507014558814216,-2.1725802459606816,0.06425113388787934
beautifully,27,61,88,0.4907709033821188,2.123168064109082,0.05343045431228231
showed,33,79,112,0.4329603005164282,2.088861703759001,0.042961236941989896
simply,4,3,7,1.5928896119457754,2.08558244443738,0.5833331199508381
tide,4,3,7,1.5928896119457754,2.08558244443738,0.5833331199508381
capability,4,3,7,1.5928896119457754,2.08558244443738,0.5833331199508381
towards,20,42,62,0.5637178416599244,2.0749406402252872,0.0738094904228192
released,14,26,40,0.6864787955749305,2.070846529433636,0.10989006366723982
refine,31,171,202,-0.4039993927154457,-2.0695891882046697,0.03810597961237314
halting,6,7,13,1.1511324035067574,2.0690849670918836,0.3095236995353964
exploit,6,7,13,1.1511324035067574,2.0690849670918836,0.3095236995353964
target,5,5,10,1.3052453330589726,2.0637744412501,0.3999998595333487
component,5,5,10,1.3052453330589726,2.0637744412501,0.3999998595333487
overall,38,95,133,0.3896647961312185,2.030107626464502,0.036842086503470955
plays,64,176,240,0.29469020562913695,2.0188614745041544,0.021306806533328473
exploding,9,67,76,-0.7032769657920861,-1.9809729358448418,0.1260363165281139
blocker,8,62,70,-0.7434723141248352,-1.9790506955687595,0.14112883701663495
awareness,108,322,430,0.2142411378095863,1.9266755159187503,0.012364842120212374
need,16,33,49,0.5816076802658436,1.909190001246242,0.09280298879484916
wrap,11,75,86,-0.6154159748338666,-1.9061048200908015,0.10424229676332537
linebacker,84,244,328,0.24007099595535575,1.8977432369891751,0.016003113431129902
decisively,8,60,68,-0.710637835255242,-1.888055600656316,0.14166647679303412
develop,9,15,24,0.7945260552310094,1.8843843711410386,0.17777770702421006
disengaging,6,8,14,1.0175787353032328,1.884190037106767,0.29166655997541907
stay,6,8,14,1.0175787353032328,1.884190037106767,0.29166655997541907
chasing,3,2,5,1.7106125966847525,1.8738825691545247,0.8333330163079187
mistimes,3,2,5,1.7106125966847525,1.8738825691545247,0.8333330163079187
races,3,2,5,1.7106125966847525,1.8738825691545247,0.8333330163079187
backs,3,2,5,1.7106125966847525,1.8738825691545247,0.8333330163079187
putting,3,2,5,1.7106125966847525,1.8738825691545247,0.8333330163079187
escapes,3,2,5,1.7106125966847525,1.8738825691545247,0.8333330163079187
flies,5,6,11,1.12290151798683,1.85441115569374,0.3666665357595525
jump,4,4,8,1.3051853202554167,1.8458111054091413,0.49999982441668595
sense,4,4,8,1.3051853202554167,1.8458111054091413,0.49999982441668595
direction,4,4,8,1.3051853202554167,1.8458111054091413,0.49999982441668595
deep,4,4,8,1.3051853202554167,1.8458111054091413,0.49999982441668595
away,7,54,61,-0.7387569391478488,-1.8390047658087858,0.16137543911956995
favor,12,23,35,0.6548326623661849,1.8388696512849976,0.12681153990936103
linebackers,12,23,35,0.6548326623661849,1.8388696512849976,0.12681153990936103
coverage,39,102,141,0.3444703666271325,1.8296786255305308,0.03544492855311396
tackles,11,73,84,-0.5883426213863414,-1.8190670177661143,0.10460759638596284
create,3,33,36,-1.093437910316001,-1.8132634055871668,0.36363565549993243
difference,13,26,39,0.6122884592370452,1.8025288133487765,0.1153845647355887
determination,17,37,54,0.5278150422935033,1.8014006138846606,0.08585051670498543
route,17,37,54,0.5278150422935033,1.8014006138846606,0.08585051670498543
deliver,5,43,48,-0.8473639921352927,-1.7933660699604037,0.22325547227583542
scrimmage,59,166,225,0.271651223829255,1.7922582061271424,0.02297323614513902
backfield,46,226,272,-0.2882113203844927,-1.781803934301546,0.026163885690553123
sheds,2,27,29,-1.298180193213745,-1.7714682674772801,0.5370357570760068
should,7,11,18,0.8532911203381071,1.764844396808583,0.23376614314641378
ultimately,9,16,25,0.7299652325442043,1.751916918049453,0.17361103977192827
attack,9,16,25,0.7299652325442043,1.751916918049453,0.17361103977192827
scanning,54,258,312,-0.26035024040211674,-1.739753060094518,0.02239446790108956
disciplined,10,19,29,0.6634909020422199,1.6982939642454637,0.15263151392318342
bursting,28,71,99,0.37519155440863106,1.6812943683262112,0.0497987671363985
