word,count_a,count_b,total_count,log_odds,z_score,variance
end,144,222,366,-0.5674932668008577,-5.303688020914622,0.011448945470552946
tackle,398,259,657,0.300546346741128,3.7646122622070437,0.006373564741218273
frame,11,33,44,-1.2310763301975376,-3.5359983682068687,0.12121206516781804
protecting,22,46,68,-0.8701631801036509,-3.3568859006591536,0.06719365194360424
power,28,52,80,-0.7516256410159787,-3.2065451055074563,0.05494503668717021
rusher,110,142,252,-0.3884753062258426,-3.0584664743265737,0.016133157989679046
today,11,28,39,-1.0666247375535072,-2.997469653793226,0.1266233250152067
creating,258,171,429,0.2811729353818109,2.8513651834125286,0.00972391927961404
upper,3,14,17,-1.6725524977478727,-2.6289364609901584,0.40476163072391447
strength,441,459,900,-0.17395431202058464,-2.6087931273304767,0.004446221699162369
agility,67,89,156,-0.4166149232130527,-2.575757603827945,0.026161320638307214
before,74,39,113,0.5095021535451583,2.57486840746348,0.03915452598700635
part,10,23,33,-0.9651021089715952,-2.54788777543891,0.14347820644241013
bull,29,10,39,0.93339818087256,2.545269323790911,0.13448269809149188
tools,2,12,14,-1.9238333514698223,-2.518890208039402,0.583332834364112
remains,2,12,14,-1.9238333514698223,-2.518890208039402,0.583332834364112
throughout,35,53,88,-0.54737773539531,-2.513146552299033,0.047439338789800625
grit,20,5,25,1.2548957357850519,2.5097922113514555,0.2499998526210179
far,3,13,16,-1.598414866596051,-2.4955252005654915,0.4102561505292519
decent,38,16,54,0.7337411918613528,2.462055818281959,0.08881575502741124
wall,17,31,48,-0.7330224135800183,-2.4288573820743156,0.09108156396134214
showed,73,93,166,-0.3747738793485187,-2.396725168617739,0.024451311325928968
raw,2,11,13,-1.8367923401805584,-2.3894607167287685,0.5909086252002054
flashes,11,23,34,-0.8697659276269434,-2.372593137874029,0.1343873038872085
potentially,17,4,21,1.3154718944691393,2.367154027210397,0.3088233372761355
physicality,17,4,21,1.3154718944691393,2.367154027210397,0.3088233372761355
burrow,3,12,15,-1.5183425011879974,-2.3522067817077965,0.4166664210350298
cornerstone,12,24,36,-0.8253178597785285,-2.3343518258815625,0.12499995665322806
slight,12,24,36,-0.8253178597785285,-2.3343518258815625,0.12499995665322806
longer,82,47,129,0.4255411702889278,2.3259622045526767,0.03347170693446064
left,114,134,248,-0.2944270278516239,-2.310769998872302,0.01623461182896294
onto,20,6,26,1.0725445779372267,2.304195956626118,0.21666655747135277
become,13,25,38,-0.7861008393715689,-2.298943064921151,0.11692303730037193
larger,13,2,15,1.740310003054594,2.291225643675878,0.5769225444506481
experience,25,9,34,0.890264223404019,2.2901863191422387,0.15111104534150016
fierce,62,80,142,-0.38742586419272573,-2.2897356119278256,0.02862902405641254
pulls,14,26,40,-0.7512172715849168,-2.2661378924314928,0.10989007337434042
body,40,56,96,-0.4688651000795616,-2.264833934903676,0.042857130288347325
block,301,216,517,0.20149223140773653,2.2595565861885936,0.007951886437261394
drives,92,55,147,0.38344789009957303,2.249691730190275,0.029051374249542485
kind,48,24,72,0.5619138780789639,2.2476559020304006,0.06249997832661403
deftly,16,4,20,1.25482126872779,2.244693186831587,0.3124998157762724
veteran,31,13,44,0.7376883550617785,2.232539734460494,0.10918109897453693
potential,58,75,133,-0.3895341770761336,-2.227739668253826,0.03057470387990187
adapt,14,3,17,1.4089494705762862,2.214602315848588,0.40476163072391447
second,65,36,101,0.45972155083758004,2.2128000673023287,0.043162379036557265
first,38,53,91,-0.46506149895776083,-2.1878597951818146,0.04518370076696573
swiftly,19,6,25,1.0212252661814292,2.1807409426979305,0.2192981396819601
positively,9,19,28,-0.8793145987932895,-2.1730183861938297,0.16374263135081385
massive,42,57,99,-0.43775215306851134,-2.1526470564197155,0.04135337144730884
gain,302,219,521,0.19095223434510444,2.1514510779897975,0.00787746602463081
powerful,201,217,418,-0.209581909096328,-2.1408863206774886,0.009583416642556812
maintaining,212,148,360,0.22873244841565477,2.13538103236545,0.011473734498029403
scans,14,25,39,-0.7119668532117789,-2.1328561430509154,0.1114285351726934
refinement,10,20,30,-0.8252510735064558,-2.1307894788716117,0.14999994798387367
pass,338,348,686,-0.1624778697615925,-2.1275520360952354,0.005832141481410397
edge,114,131,245,-0.2716951187078287,-2.1212259336166777,0.016405513015575576
footwork,453,456,909,-0.14014332632375837,-2.112623285446429,0.004400486754096963
tenacity,42,21,63,0.561846664579928,2.1022380872607602,0.07142854665898746
locked,28,41,69,-0.5136269602607841,-2.0950494350876356,0.06010451171524189
