word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,10,26,36,-2.245617514100158,-6.034918557172065,0.13846140892700926
agility,6,16,22,-2.2696425022625,-4.741130819936315,0.22916644817690968
extend,30,26,56,-1.1462053382333641,-4.277754453847492,0.07179482632505185
rolls,12,16,28,-1.576255761433651,-4.12760782849545,0.14583323810114757
threat,5,11,16,-2.076585155288548,-3.8500935235120903,0.2909088488532646
right,142,68,210,-0.5546167362315177,-3.760816353866268,0.021748118374216387
incredible,11,13,24,-1.4552324265209515,-3.5521794652105734,0.1678320611466762
evading,16,15,31,-1.2237301260072178,-3.4049486135628704,0.12916658552339957
mobility,15,14,29,-1.2191706565880054,-3.280766232105308,0.138095151317224
evades,6,9,15,-1.6932630715959611,-3.2127418814109627,0.2777775891273598
escape,12,12,24,-1.2879933209975354,-3.154927417468698,0.16666656218335024
tackler,5,8,13,-1.7576965367430972,-3.0832047612713223,0.32499977333652863
evade,17,14,31,-1.0939275384914442,-3.031072509412108,0.1302520176414112
dual,2,6,8,-2.386134706571349,-2.922407771036583,0.6666659701116023
fires,114,14,128,0.8129455229309066,2.8706051848257683,0.08020029346435628
deftly,2,5,7,-2.203668368526812,-2.633888676657106,0.6999993636968445
signature,4,6,10,-1.692908087965188,-2.6226428231125536,0.41666638369103964
remarkable,4,6,10,-1.692908087965188,-2.6226428231125536,0.41666638369103964
scrambles,10,9,19,-1.1822777177856194,-2.5731440268960335,0.2111109780303247
even,46,24,70,-0.6377872241795917,-2.532861823174131,0.06340574863925565
hit,17,12,29,-0.9394867256917321,-2.4917638301765965,0.14215676816631126
stepping,39,21,60,-0.6691800947853794,-2.4723474431695838,0.07326001824894181
tucks,3,5,8,-1.7981635787649566,-2.4622377601279184,0.5333329544072182
escaping,3,5,8,-1.7981635787649566,-2.4622377601279184,0.5333329544072182
dynamic,5,6,11,-1.469724674174576,-2.427171189944274,0.36666643297231927
spin,1,4,5,-2.673566546669865,-2.3913122090963834,1.2499983347985952
coming,25,15,40,-0.7770830078083772,-2.3793219163853108,0.10666659088144363
move,18,12,30,-0.8822883206917815,-2.3674287968948637,0.1388887945636799
showed,104,15,119,0.6515985724991582,2.3592253409125012,0.07628188205351834
placement,2,4,6,-1.9803800674204108,-2.2867468260217114,0.7499994122814742
scrambling,2,4,6,-1.9803800674204108,-2.2867468260217114,0.7499994122814742
steps,97,14,111,0.6507755320160893,2.2762507027233903,0.08173766856655691
