word,count_a,count_b,total_count,log_odds,z_score,variance
great,5,13,18,1.7072768057908823,3.244329174102936,0.2769223808003039
push,5,16,21,1.4993672644761435,2.9264695743701883,0.2624992234244185
tenacity,5,24,29,1.0931812527894733,2.2237436212178894,0.2416656472600261
block,7,41,48,0.8951901138707079,2.18895437476574,0.16724653765608408
momentum,4,18,22,1.1569685033113943,2.0930389366897155,0.30555434028157663
loses,2,5,7,1.7433456192661403,2.0836991048342117,0.6999982902429789
huge,2,5,7,1.7433456192661403,2.0836991048342117,0.6999982902429789
escape,2,5,7,1.7433456192661403,2.0836991048342117,0.6999982902429789
tone,2,6,8,1.5609343654436296,1.9117490422579417,0.6666647950122956
allow,2,6,8,1.5609343654436296,1.9117490422579417,0.6666647950122956
scheme,2,6,8,1.5609343654436296,1.9117490422579417,0.6666647950122956
season,3,13,16,1.193868822037059,1.8639306835509357,0.41025483319564204
work,6,38,44,0.8160009470175824,1.8575175907018449,0.19298140106955355
falls,5,30,35,0.8694966504549297,1.8000337518657255,0.2333321214403015
highlights,4,22,26,0.9559375146773315,1.7586734472169707,0.2954531315658412
determination,2,7,9,1.4066939644125238,1.7544584180017642,0.6428550931100336
disengage,6,41,47,0.7397441160309342,1.6923937801237525,0.19105578742713403
closes,2,8,10,1.273072832423435,1.6103267932097716,0.6249977627901058
ground,2,8,10,1.273072832423435,1.6103267932097716,0.6249977627901058
got,2,8,10,1.273072832423435,1.6103267932097716,0.6249977627901058
talent,2,8,10,1.273072832423435,1.6103267932097716,0.6249977627901058
engaging,3,16,19,0.9859595933147363,1.567126104404706,0.395831492755109
comes,2,9,11,1.155200042582548,1.4777397983566203,0.6111086805631533
demonstrates,2,9,11,1.155200042582548,1.4777397983566203,0.6111086805631533
backfield,14,133,147,0.41232632456548,1.4674860801977216,0.07894672974202549
solid,5,36,41,0.6866337369063178,1.438701858256961,0.22777636985691055
quickly,5,37,42,0.6591445072454434,1.3833855484202262,0.22702558622233324
instead,2,10,12,1.0497497599241603,1.3552240803398372,0.5999973722018712
critical,2,10,12,1.0497497599241603,1.3552240803398372,0.5999973722018712
errant,6,49,55,0.5607730545744491,1.2965252342542926,0.18707352388204196
explosive,1,50,51,-1.2577000585034463,-1.245334854359775,1.0199570300603118
plays,7,61,68,0.4960798533457149,1.24311894715673,0.15924940126516235
lines,2,11,13,0.9543498015778766,1.2415044797164239,0.5909062631316824
penetrates,2,11,13,0.9543498015778766,1.2415044797164239,0.5909062631316824
opportunity,2,11,13,0.9543498015778766,1.2415044797164239,0.5909062631316824
