word,count_a,count_b,total_count,log_odds,z_score,variance
snap,14,21,35,1.137576376345442,3.2970151346553753,0.11904721715356131
grit,4,1,5,2.9242670801298116,2.6155526502595197,1.2499917225608619
identify,4,2,6,2.230933958991703,2.576065660787233,0.7499970785414272
clean,6,7,13,1.384456359833778,2.4884729510635544,0.30952283349506726
commendable,4,3,7,1.8252807969327067,2.3898574263925596,0.5833314397936681
displayed,7,11,18,1.0867478029588584,2.247701461072504,0.23376542961319813
quickly,10,20,30,0.8465330987646,2.185743319395621,0.14999941570828543
valuable,4,4,8,1.537410115249072,2.174229623612767,0.4999984418870618
become,3,2,5,1.9423714863378967,2.127764947818811,0.8333305200749292
defensive,3,2,5,1.9423714863378967,2.127764947818811,0.8333305200749292
openings,3,2,5,1.9423714863378967,2.127764947818811,0.8333305200749292
showing,7,12,19,0.9995469252788274,2.1016810456385047,0.22618966644042773
exploit,7,12,19,0.9995469252788274,2.1016810456385047,0.22618966644042773
brought,16,43,59,0.5520212836564173,1.8850595360455182,0.08575540513999866
wrapped,3,3,6,1.536718194435684,1.8820906599213396,0.6666645891827491
fantastic,3,3,6,1.536718194435684,1.8820906599213396,0.6666645891827491
comes,3,3,6,1.536718194435684,1.8820906599213396,0.6666645891827491
defenders,3,40,43,-1.0605645161444466,-1.7717319802563127,0.35832584728466876
proving,4,6,10,1.1315671615191905,1.753019267691819,0.4166652600374646
determination,7,15,22,0.7758345895347301,1.6949361017362714,0.20952295761519696
work,12,32,44,0.5583429119374994,1.6494581847970522,0.11458279029427469
explosive,1,24,25,-1.6470463003882818,-1.6137994328442224,1.0416276476125663
picking,5,10,15,0.8440096247541495,1.5409467019752858,0.29999883141657085
backfield,5,10,15,0.8440096247541495,1.5409467019752858,0.29999883141657085
agility,9,70,79,-0.5220180284156362,-1.474160961713115,0.12539528065122915
modest,6,14,20,0.6899832754385367,1.414047973127619,0.23809421348747967
tighter,3,5,8,1.0255151604677017,1.40424694583531,0.5333314497490426
much,3,5,8,1.0255151604677017,1.40424694583531,0.5333314497490426
vision,19,63,82,0.340789113932094,1.3020482742055635,0.06850420871044201
potential,2,24,26,-0.9530379937771754,-1.2949358294820066,0.5416564687745594
evade,1,17,18,-1.3008858321396337,-1.264250585963769,1.0587953870328022
defense,5,42,47,-0.597154905524973,-1.2622651881510596,0.2238065530765699
asset,5,12,17,0.6613092452524025,1.2423864661082986,0.28333208987479075
break,12,37,49,0.41220843944951113,1.2408276918187535,0.11035977440198036
navigated,2,3,5,1.1303737220613677,1.2382644621046788,0.8333305200749292
turning,2,3,5,1.1303737220613677,1.2382644621046788,0.8333305200749292
showed,7,19,26,0.5386868378244181,1.2183625850825701,0.1954877828341448
quarterback,5,40,45,-0.5479836244998291,-1.155258228466635,0.2249971516053139
being,18,62,80,0.3020208640445592,1.1280421122943243,0.07168417066889729
bursts,7,20,27,0.48720370016818304,1.109414400500352,0.19285617913487016
tight,1,14,15,-1.106164661172377,-1.0686683049289936,1.071405080964383
decisiveness,1,14,15,-1.106164661172377,-1.0686683049289936,1.071405080964383
tackles,9,28,37,0.4022941718336295,1.049891236300987,0.14682461156366755
finally,4,10,14,0.6199847917332155,1.047967936834792,0.3499984185183501
effectively,2,20,22,-0.769958839304195,-1.0382204562481872,0.5499913448026781
maximize,2,20,22,-0.769958839304195,-1.0382204562481872,0.5499913448026781
needs,7,21,28,0.4382236538531483,1.004099140047202,0.1904752012008062
races,3,7,10,0.6886650137510255,0.9979725639348008,0.47618842697495933
additional,3,7,10,0.6886650137510255,0.9979725639348008,0.47618842697495933
showcasing,5,37,42,-0.4694506827407583,-0.9852665608522858,0.22702436162147102
good,8,25,33,0.39752554806517626,0.978642874800499,0.16499911433222594
second,8,25,33,0.39752554806517626,0.978642874800499,0.16499911433222594
let,2,4,6,0.842503170217487,0.9728407589808539,0.7499970785414272
avoid,2,4,6,0.842503170217487,0.9728407589808539,0.7499970785414272
diving,2,4,6,0.842503170217487,0.9728407589808539,0.7499970785414272
hit,2,4,6,0.842503170217487,0.9728407589808539,0.7499970785414272
consistently,2,4,6,0.842503170217487,0.9728407589808539,0.7499970785414272
really,2,4,6,0.842503170217487,0.9728407589808539,0.7499970785414272
want,2,4,6,0.842503170217487,0.9728407589808539,0.7499970785414272
making,10,33,43,0.3432856200347283,0.9509979324585228,0.13030229879351699
allowing,1,12,13,-0.951637396123254,-0.9143122428614974,1.0833129375491188
spaces,1,12,13,-0.951637396123254,-0.9143122428614974,1.0833129375491188
while,4,30,34,-0.482421548114206,-0.9063176655664005,0.28332996351474815
off,7,22,29,0.39151371755474074,0.9022139037800264,0.1883106728081877
traffic,7,22,29,0.39151371755474074,0.9022139037800264,0.1883106728081877
scrimmage,7,22,29,0.39151371755474074,0.9022139037800264,0.1883106728081877
highlights,4,11,15,0.5244852882263462,0.898286913818331,0.34090743702750625
quick,3,24,27,-0.5466985202372019,-0.8927605961273699,0.3749952526755232
initial,8,26,34,0.35811473722919906,0.8857590661812935,0.16346063235023028
however,5,35,40,-0.41350008147780937,-0.8649022857343833,0.22856888473680811
line,35,139,174,0.16008686881535317,0.8464941035176572,0.035765437829151855
breaks,1,11,12,-0.8644377831130488,-0.8276433176478273,1.0908902393213369
trust,1,11,12,-0.8644377831130488,-0.8276433176478273,1.0908902393213369
power,1,11,12,-0.8644377831130488,-0.8276433176478273,1.0908902393213369
gain,26,101,127,0.18142654220342624,0.8249881781462398,0.048362216441308586
contact,3,23,26,-0.5039491944336527,-0.820969957276237,0.3768070164541753
navigating,3,8,11,0.55494456205495,0.8197093850567387,0.45833116117709877
positive,3,8,11,0.55494456205495,0.8197093850567387,0.45833116117709877
finding,7,23,30,0.34687199609665686,0.8035682424697401,0.18633436142152046
gap,10,35,45,0.2840642186475657,0.792219592180262,0.128570670186472
before,21,81,102,0.18789175090976418,0.7672928957888921,0.05996434203004287
potentially,2,5,7,0.6191709997118879,0.7400525648985024,0.6999968370367002
dodges,2,5,7,0.6191709997118879,0.7400525648985024,0.6999968370367002
cost,2,5,7,0.6191709997118879,0.7400525648985024,0.6999968370367002
reliable,2,5,7,0.6191709997118879,0.7400525648985024,0.6999968370367002
help,2,5,7,0.6191709997118879,0.7400525648985024,0.6999968370367002
confidence,2,5,7,0.6191709997118879,0.7400525648985024,0.6999968370367002
evading,1,10,11,-0.7689394056713246,-0.7331607255004506,1.0999826896053562
decisive,2,16,18,-0.5460582815984836,-0.7280823174032394,0.5624928790132847
extra,2,16,18,-0.5460582815984836,-0.7280823174032394,0.5624928790132847
gaining,5,16,21,0.37286899748849933,0.7277677551850154,0.2624985633755294
tackle,9,32,41,0.26800163528087495,0.7103020329418452,0.14236026005435007
tackler,7,24,31,0.3041223848097152,0.7079839951628709,0.1845227399257542
past,4,27,31,-0.3764909630589992,-0.7027290724266635,0.2870339519629741
back,3,21,24,-0.41259810441869593,-0.66848905175813,0.38094814122801346
open,3,21,24,-0.41259810441869593,-0.66848905175813,0.38094814122801346
opening,3,9,12,0.43697241279878263,0.6554603213311324,0.44444213613521444
make,4,26,30,-0.33856068562560715,-0.6303689587664475,0.2884585478776998
maintaining,1,9,10,-0.663390731532532,-0.6293521742331717,1.111095337816055
navigates,1,9,10,-0.663390731532532,-0.6293521742331717,1.111095337816055
footwork,1,9,10,-0.663390731532532,-0.6293521742331717,1.111095337816055
close,1,9,10,-0.663390731532532,-0.6293521742331717,1.111095337816055
even,1,9,10,-0.663390731532532,-0.6293521742331717,1.111095337816055
runs,1,9,10,-0.663390731532532,-0.6293521742331717,1.111095337816055
full,1,9,10,-0.663390731532532,-0.6293521742331717,1.111095337816055
run,8,29,37,0.24834492686989051,0.6218701957803165,0.15948178929069562
cut,7,25,32,0.2631103556422021,0.6152948497545163,0.1828560455426044
pushed,5,17,22,0.31205472972289705,0.6133807493657932,0.2588220396667024
bounds,5,17,22,0.31205472972289705,0.6133807493657932,0.2588220396667024
through,31,128,159,0.11968741508850966,0.5979119536711319,0.04007029160260095
turn,3,20,23,-0.36361834003921345,-0.5872997194773264,0.38332926193270184
yardage,6,36,42,-0.25865867575841595,-0.586585558482796,0.1944425761657117
offensive,4,25,29,-0.29915005995811583,-0.5555104895625681,0.2899971036468655
find,2,14,16,-0.4121486107143477,-0.5452243975604368,0.5714222118420202
left,5,30,35,-0.25839816928940085,-0.5349376015953367,0.23333109139885405
shotgun,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
opportunities,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
seam,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
further,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
safety,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
significant,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
makes,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
hesitation,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
missed,2,6,8,0.4366607358507357,0.5347993855657218,0.6666632042028217
side,6,35,41,-0.230297391388552,-0.5212052352406873,0.19523626858479237
quickness,1,8,9,-0.5454195777183459,-0.5142297642930914,1.1249857580265694
remarkable,1,8,9,-0.5454195777183459,-0.5142297642930914,1.1249857580265694
secondary,1,8,9,-0.5454195777183459,-0.5142297642930914,1.1249857580265694
free,1,8,9,-0.5454195777183459,-0.5142297642930914,1.1249857580265694
shows,1,8,9,-0.5454195777183459,-0.5142297642930914,1.1249857580265694
gains,5,18,23,0.25470663064911836,0.503847258206611,0.2555540114905523
where,3,10,13,0.3314227345639793,0.5034687007609112,0.4333308801790352
season,3,10,13,0.3314227345639793,0.5034687007609112,0.4333308801790352
formation,3,10,13,0.3314227345639793,0.5034687007609112,0.4333308801790352
like,3,10,13,0.3314227345639793,0.5034687007609112,0.4333308801790352
offense,3,19,22,-0.31213548275673286,-0.5024252122008984,0.3859610086374603
situations,4,14,18,0.2827549955617945,0.4987344043854488,0.32142667546618003
level,8,31,39,0.18127302012831858,0.45711777140713,0.15725705181276645
showcased,8,31,39,0.18127302012831858,0.45711777140713,0.15725705181276645
weaving,2,13,15,-0.33785155674051115,-0.4448045489939235,0.5769170957553996
instead,2,13,15,-0.33785155674051115,-0.4448045489939235,0.5769170957553996
changer,2,13,15,-0.33785155674051115,-0.4448045489939235,0.5769170957553996
linebacker,6,23,29,0.19183846130953874,0.41848279909059166,0.21014358697874166
right,6,23,29,0.19183846130953874,0.41848279909059166,0.21014358697874166
moments,1,7,8,-0.41170010910042976,-0.3851123316045819,1.1428444236840405
forward,1,7,8,-0.41170010910042976,-0.3851123316045819,1.1428444236840405
carry,1,7,8,-0.41170010910042976,-0.3851123316045819,1.1428444236840405
cuts,1,7,8,-0.41170010910042976,-0.3851123316045819,1.1428444236840405
