word,count_a,count_b,total_count,log_odds,z_score,variance
bounce,3,5,8,-2.0597350603417963,-2.8204217116925507,0.5333282942467383
directional,1,4,5,-2.93382253419378,-2.6241138918178324,1.2499778557975663
stands,2,4,6,-2.2401780287999733,-2.586748254067221,0.7499921843313976
placement,3,4,7,-1.8342097812048728,-2.401554759918492,0.5833282676100254
distance,4,4,8,-1.5460229226662072,-2.1864156987801104,0.4999958316312494
hang,9,6,15,-1.142794514788612,-2.1683099300878608,0.2777752690398733
favorable,2,3,5,-1.950120661474073,-2.1362597990829495,0.8333258071196199
rolling,2,3,5,-1.950120661474073,-2.1362597990829495,0.8333258071196199
booming,10,6,16,-1.0369262057681876,-2.0080084492359553,0.26666414712336917
high,13,7,20,-0.9295809803924104,-1.9828738986018886,0.2197780251122723
bounds,3,3,6,-1.5441520664972943,-1.891200207327561,0.6666611088416659
back,6,4,10,-1.1395460804351618,-1.765385168722167,0.41666290355980995
takes,12,6,18,-0.8535881460838768,-1.7071851873867059,0.24999739477713254
opposing,12,6,18,-0.8535881460838768,-1.7071851873867059,0.24999739477713254
giving,4,3,7,-1.2559652079361276,-1.6444516076180071,0.5833282676100254
deep,16,7,23,-0.7204136320595147,-1.5897523675384992,0.20535481178362047
landing,7,4,11,-0.9848888490349141,-1.5713466164124625,0.3928533413546641
air,7,4,11,-0.9848888490349141,-1.5713466164124625,0.3928533413546641
ability,13,6,19,-0.7730367497308199,-1.5662930479996666,0.2435870749938211
opponent,5,3,8,-1.0323161962636647,-1.4135638458233348,0.5333282942467383
ready,5,3,8,-1.0323161962636647,-1.4135638458233348,0.5333282942467383
impressive,8,4,12,-0.8508505473936347,-1.3894403652772598,0.3749960921656988
special,32,3,35,0.8377422619986259,1.387464113603773,0.36456698118949116
teams,32,3,35,0.8377422619986259,1.387464113603773,0.36456698118949116
punt,25,9,34,-0.5256462628773995,-1.3522226986482415,0.15110913467856357
downfield,17,1,18,1.3008544792463992,1.264248261671329,1.0587482441554048
crowd,3,2,5,-1.1363180000557556,-1.2447796233585624,0.8333258071196199
powerful,3,2,5,-1.1363180000557556,-1.2447796233585624,0.8333258071196199
truly,3,2,5,-1.1363180000557556,-1.2447796233585624,0.8333258071196199
leg,9,4,13,-0.7325602780964102,-1.2190608359158246,0.3611070553301449
crucial,16,1,17,1.2397234563141115,1.2027486762361417,1.0624288653548453
ensure,6,3,9,-0.8494887130192588,-1.2013647186966843,0.4999947895542651
time,16,6,22,-0.5638696389450084,-1.1778927272524338,0.22916376112778217
returner,33,4,37,0.5789787515706992,1.0935944717565353,0.2802932496160575
work,10,4,14,-0.6266922237600427,-1.0593096012291048,0.34999576912706354
line,44,13,57,-0.3279539712801687,-1.0389073333142644,0.09964882103871141
own,7,3,10,-0.6948317297096942,-1.006912633144645,0.4761849940058568
needs,7,3,10,-0.6948317297096942,-1.006912633144645,0.4761849940058568
while,4,2,6,-0.8481314888313758,-0.979342989596783,0.7499921843313976
focus,4,2,6,-0.8481314888313758,-0.979342989596783,0.7499921843313976
lands,4,2,6,-0.8481314888313758,-0.979342989596783,0.7499921843313976
inside,8,3,11,-0.560793700969918,-0.8283524446494455,0.45832752225556433
display,8,3,11,-0.560793700969918,-0.8283524446494455,0.45832752225556433
territory,8,3,11,-0.560793700969918,-0.8283524446494455,0.45832752225556433
spiraling,8,3,11,-0.560793700969918,-0.8283524446494455,0.45832752225556433
through,11,1,12,0.8625019466428636,0.8258018324623462,1.0908586591755243
performance,11,1,12,0.8625019466428636,0.8258018324623462,1.0908586591755243
good,11,1,12,0.8625019466428636,0.8258018324623462,1.0908586591755243
pin,5,2,7,-0.6244829634383562,-0.7464044153031387,0.6999915382541271
being,5,2,7,-0.6244829634383562,-0.7464044153031387,0.6999915382541271
make,15,2,17,0.47919633834183983,0.6365852429184534,0.5666486366349018
gain,9,1,10,0.6608218806441535,0.6269225856554373,1.1110689141982502
effectively,9,1,10,0.6608218806441535,0.6269225856554373,1.1110689141982502
return,20,3,23,0.36159864148005294,0.5840427906199351,0.3833224414049769
under,14,2,16,0.40969552704724155,0.5419843073114678,0.5714115580943501
technique,14,2,16,0.40969552704724155,0.5419843073114678,0.5714115580943501
strength,6,2,8,-0.4416560359436401,-0.5409197228484636,0.6666574036919252
where,6,2,8,-0.4416560359436401,-0.5409197228484636,0.6666574036919252
better,6,2,8,-0.4416560359436401,-0.5409197228484636,0.6666574036919252
sending,6,2,8,-0.4416560359436401,-0.5409197228484636,0.6666574036919252
launches,6,2,8,-0.4416560359436401,-0.5409197228484636,0.6666574036919252
momentum,8,1,9,0.542534563748589,0.5115151538945433,1.124961899596863
himself,8,1,9,0.542534563748589,0.5115151538945433,1.124961899596863
punter,8,1,9,0.542534563748589,0.5115151538945433,1.124961899596863
showcasing,14,4,18,-0.28818697526760495,-0.5083180557692141,0.3214234992520797
solid,23,4,27,0.21284003211424363,0.39288975959333305,0.2934710141335569
snap,32,8,40,-0.15500588278547767,-0.3921407857351158,0.15624723197469578
clean,15,4,19,-0.21868516166742502,-0.3886169835651937,0.31666136478885654
potential,7,1,8,0.40849916490180505,0.3821216680219934,1.1428231161887001
unit,11,3,14,-0.2408182660851459,-0.36973106600706357,0.4242354578932699
refine,7,2,9,-0.2869996480800552,-0.3579542753691896,0.6428469985041594
allowing,7,2,9,-0.2869996480800552,-0.3579542753691896,0.6428469985041594
get,6,1,7,0.25384476187721017,0.23501760328311042,1.166636678174574
sends,6,1,7,0.25384476187721017,0.23501760328311042,1.166636678174574
improve,6,1,7,0.25384476187721017,0.23501760328311042,1.166636678174574
overall,6,1,7,0.25384476187721017,0.23501760328311042,1.166636678174574
showcased,6,1,7,0.25384476187721017,0.23501760328311042,1.166636678174574
comes,6,1,7,0.25384476187721017,0.23501760328311042,1.166636678174574
before,8,2,10,-0.15296223959555721,-0.19348534308797394,0.6249889278987831
