word,count_a,count_b,total_count,log_odds,z_score,variance
soft,39,7,46,1.2250702689500388,2.984455334611494,0.16849686816209097
spot,27,6,33,1.0092466088625986,2.236141142321938,0.20370241287262927
tackles,15,2,17,1.518890348373322,2.017738187128487,0.5666608621753029
focus,6,10,16,-1.0116196778586444,-1.9589960618422713,0.2666658555521867
weapon,3,7,10,-1.3476699629942512,-1.952962935409843,0.47618871131207785
moment,5,9,14,-1.0884401245576178,-1.9514052487878535,0.3111101277012329
away,4,8,12,-1.193660021694014,-1.949241922659828,0.3749987419530284
overall,4,8,12,-1.193660021694014,-1.949241922659828,0.3749987419530284
gains,12,1,13,1.9885941762676103,1.9105949745141815,1.0833157675109155
zone,39,13,52,0.6038964481369664,1.8856702722807646,0.10256364378977471
find,22,6,28,0.8033691395118323,1.744312297674858,0.21212009077922606
need,10,1,11,1.8058428945064549,1.721815310068829,1.0999850914687768
lines,23,23,46,-0.5017607137435318,-1.7015556499382836,0.08695628836208169
modest,12,2,14,1.2950998571301184,1.6956907668333512,0.5833285061873413
turns,12,2,14,1.2950998571301184,1.6956907668333512,0.5833285061873413
him,27,26,53,-0.4642276867384334,-1.6895157428446543,0.07549837272845626
phenomenal,1,4,5,-1.886028156256268,-1.6869196763153111,1.2499928710870531
improving,1,4,5,-1.886028156256268,-1.6869196763153111,1.2499928710870531
become,11,13,24,-0.667838332097304,-1.630175386465561,0.16783171109839273
wrapped,9,1,10,1.7002675901991395,1.6130253256818452,1.111097526405776
right,33,30,63,-0.40679006096072534,-1.6125687574081864,0.06363619207048307
stumbles,8,1,9,1.5822698163315945,1.4917864215432446,1.1249877341437289
left,8,1,9,1.5822698163315945,1.4917864215432446,1.1249877341437289
defense,26,9,35,0.5647583756941268,1.4602846822731816,0.14957200025492962
showcasing,25,23,48,-0.41794567880865596,-1.4465509266540049,0.08347803604832515
technique,5,7,12,-0.8364141974599244,-1.4284512099541,0.34285617010372105
target,36,14,50,0.4487372100758522,1.424699304067312,0.09920595510947156
securing,16,16,32,-0.5007738870316345,-1.416404346144665,0.12499966452049242
showing,3,5,8,-1.0104871093788255,-1.3836685640270467,0.5333317111043734
big,3,5,8,-1.0104871093788255,-1.3836685640270467,0.5333317111043734
spots,21,7,28,0.6021267782905335,1.3796488553605288,0.19047533846672446
demonstrating,12,3,15,0.8892821165598415,1.3776738595389464,0.4166642903623511
towards,12,3,15,0.8892821165598415,1.3776738595389464,0.4166642903623511
consistency,2,4,6,-1.192668222650231,-1.3771769488750374,0.7499974839060568
opening,2,4,6,-1.192668222650231,-1.3771769488750374,0.7499974839060568
refine,2,4,6,-1.192668222650231,-1.3771769488750374,0.7499974839060568
past,2,4,6,-1.192668222650231,-1.3771769488750374,0.7499974839060568
strike,2,4,6,-1.192668222650231,-1.3771769488750374,0.7499974839060568
display,15,15,30,-0.5006332351551066,-1.3710424194839785,0.13333297548852527
traffic,10,11,21,-0.595597549045678,-1.3631391231361563,0.1909085762114492
cousins,7,1,8,1.4485237375115743,1.3549763793704168,1.1428461885104255
sideline,27,10,37,0.4969991019803208,1.342571793585747,0.13703647242011843
elevate,14,4,18,0.7558285065432369,1.3331595610493294,0.3214269385383637
size,9,2,11,1.0067712955003003,1.2878702489407081,0.6111072386178878
additional,18,6,24,0.6018328714246843,1.2766831689129212,0.2222212282111785
gain,80,38,118,0.24972586857168722,1.2675353273381282,0.03881565507409415
side,28,24,52,-0.3468840723523776,-1.247004192263801,0.07738074223081737
shaking,11,3,14,0.8020549784319249,1.2313974187376555,0.4242401815584521
reliable,53,24,77,0.2966414920554463,1.20567669241651,0.060534375022374715
hitting,6,1,7,1.2941584261468542,1.1981628406901284,1.1666570123746827
crisp,17,6,23,0.5444581876874715,1.1465727859991777,0.2254892319476839
across,19,7,26,0.5016104759618507,1.1345055970042808,0.19548791312009287
laser,8,2,10,0.8887728693221915,1.124221841644954,0.6249964355435266
moments,10,10,20,-0.499931183798874,-1.1178816111527201,0.1999994632327879
make,18,16,34,-0.38255817536639736,-1.113409338583743,0.11805523651351732
valuable,4,5,9,-0.722589998932265,-1.0771750532678759,0.44999876208074063
extra,4,5,9,-0.722589998932265,-1.0771750532678759,0.44999876208074063
bigger,10,3,13,0.7065290903385248,1.073297352162672,0.433331220563851
why,10,3,13,0.7065290903385248,1.073297352162672,0.433331220563851
critical,9,9,18,-0.4997910146391895,-1.0602182696093945,0.22222162581420876
catches,9,9,18,-0.4997910146391895,-1.0602182696093945,0.22222162581420876
improve,12,4,16,0.6012459433635406,1.0413908508494512,0.3333318423167678
turn,12,4,16,0.6012459433635406,1.0413908508494512,0.3333318423167678
flat,3,4,7,-0.7869885257102611,-1.0304112946644721,0.5833317025304414
changer,3,4,7,-0.7869885257102611,-1.0304112946644721,0.5833317025304414
determination,3,4,7,-0.7869885257102611,-1.0304112946644721,0.5833317025304414
opportunity,3,4,7,-0.7869885257102611,-1.0304112946644721,0.5833317025304414
point,3,4,7,-0.7869885257102611,-1.0304112946644721,0.5833317025304414
coverage,30,13,43,0.3395773682125851,1.022674936745383,0.11025600470833412
opportunities,5,1,6,1.1116222972458836,1.0147712198903258,1.1999916264743629
chemistry,5,1,6,1.1116222972458836,1.0147712198903258,1.1999916264743629
managing,5,1,6,1.1116222972458836,1.0147712198903258,1.1999916264743629
after,58,28,86,0.23230002612679446,1.0094708667386498,0.052955483518755106
upfield,24,10,34,0.3785658443220692,1.0057925414800408,0.14166613120489224
touchdown,8,8,16,-0.49965092568584435,-0.99930319235556,0.24999932904098485
