word,count_a,count_b,total_count,log_odds,z_score,variance
soft,10,10,20,1.5952211622730275,3.5670252252116352,0.19999974575764856
spot,7,9,16,1.3428521742852952,2.664641422940203,0.25396792087171877
streaking,7,9,16,1.3428521742852952,2.664641422940203,0.25396792087171877
find,11,20,31,0.9969965844582829,2.6559781069200428,0.1409088788085304
cost,4,2,6,2.2867180324835568,2.6404766411083003,0.7499988082395078
reliable,21,53,74,0.6703154486868019,2.5996288856983134,0.06648684874815741
coverage,18,44,62,0.7018218481861771,2.508384011218792,0.07828268629949996
solid,27,78,105,0.5355674348664801,2.3985520220637166,0.04985744733995393
finding,5,6,11,1.4113209904880213,2.330721413345343,0.3666661927871877
shy,4,4,8,1.5934187836421438,2.253435886664312,0.49999936439412135
little,7,12,19,1.0549408335016102,2.21815179284182,0.226190145866479
defense,7,12,19,1.0549408335016102,2.21815179284182,0.226190145866479
progresses,3,2,5,1.9986599498313122,2.189423786187974,0.8333321857117858
tannehill,3,2,5,1.9986599498313122,2.189423786187974,0.8333321857117858
leave,3,2,5,1.9986599498313122,2.189423786187974,0.8333321857117858
awareness,12,28,40,0.747300628605629,2.165884891444201,0.11904741006169704
throw,8,16,24,0.9008610886752404,2.080451221130142,0.18749970205987695
offense,24,73,97,0.483279848612419,2.0539049219693166,0.05536517819650929
burrow,4,5,9,1.3701989987236933,2.04257339996104,0.44999941365360474
created,4,5,9,1.3701989987236933,2.04257339996104,0.44999941365360474
long,4,5,9,1.3701989987236933,2.04257339996104,0.44999941365360474
first,11,26,37,0.7341729787336719,2.0411782658737554,0.12937040022288354
receiver,8,17,25,0.8401599750491906,1.9595745758191139,0.18382322614516994
bobbles,3,3,6,1.593118863476505,1.9511653977326375,0.6666658191921618
left,1,34,35,-1.9363471659652571,-1.9085052425401408,1.0293894997226014
target,18,53,71,0.5150289273232831,1.8878917505268988,0.07442332473450865
deep,5,58,63,-0.8613428822695246,-1.8480188910767792,0.21723976569087583
toward,2,37,39,-1.32762119479953,-1.8287750763058725,0.5270208118315238
surveys,5,9,14,1.0056268287094952,1.8029322836613577,0.3111106453141629
impressive,9,81,90,-0.607825056681361,-1.7299054472195399,0.12345607517941541
gains,8,19,27,0.7287813328158359,1.7291693852163608,0.17763126326296544
athleticism,3,40,43,-0.9999747907948935,-1.670503144551162,0.35833027949157875
displayed,9,23,32,0.6555799437219099,1.6673863772816515,0.15458908242860397
turns,9,23,32,0.6555799437219099,1.6673863772816515,0.15458908242860397
showing,6,13,19,0.8202943849257576,1.6620366731589313,0.24358933667266067
chains,5,10,15,0.9001899265697695,1.6435157351892056,0.29999952329580315
zone,13,38,51,0.5215729614255995,1.6232817511435658,0.10323865213824408
perfectly,11,31,42,0.5578993424906864,1.589676784247955,0.1231669070231145
crucial,13,39,52,0.49552081026527883,1.5472648732191872,0.10256388526318688
huddle,3,5,8,1.0821408842909674,1.481783499219677,0.5333325649566367
acceleration,3,5,8,1.0821408842909674,1.481783499219677,0.5333325649566367
launching,1,22,23,-1.500116842287544,-1.46715349371527,1.0454398965100349
leaps,2,28,30,-1.048220508200786,-1.4321482630317541,0.5357094943879175
scans,2,28,30,-1.048220508200786,-1.4321482630317541,0.5357094943879175
quick,22,77,99,0.3418566357693038,1.4141114625362932,0.05844141781838169
short,8,22,30,0.5819482931911164,1.4095501595386013,0.17045420811754675
across,8,22,30,0.5819482931911164,1.4095501595386013,0.17045420811754675
away,6,15,21,0.6770406416826713,1.4016085790628243,0.23333290324035305
plays,13,41,54,0.445357041700678,1.3991862452710317,0.10131309731474714
go,2,27,29,-1.0117765289756164,-1.3806524088153422,0.537032403646281
great,9,26,35,0.5327479514597853,1.3775143808525767,0.1495723420198618
effectively,9,26,35,0.5327479514597853,1.3775143808525767,0.1495723420198618
crisp,10,30,40,0.4950783584316589,1.3558293595159348,0.13333305084214297
him,21,74,95,0.33492877602048665,1.3546175330714771,0.06113241318411069
enhance,5,12,17,0.7177155615746846,1.348353963215587,0.2833328260848875
showed,5,12,17,0.7177155615746846,1.348353963215587,0.2833328260848875
agility,8,65,73,-0.5046931497203611,-1.347003704716092,0.14038387941787117
pushed,8,23,31,0.5374199949529146,1.3093095328852005,0.16847791575109383
reliability,2,3,5,1.1872779927514268,1.3005987728762374,0.8333321857117858
situation,2,3,5,1.1872779927514268,1.3005987728762374,0.8333321857117858
delivered,2,3,5,1.1872779927514268,1.3005987728762374,0.8333321857117858
hesitates,2,3,5,1.1872779927514268,1.3005987728762374,0.8333321857117858
chance,2,3,5,1.1872779927514268,1.3005987728762374,0.8333321857117858
become,9,27,36,0.4949310535884761,1.2858699587649818,0.14814783426904773
extra,6,16,22,0.6124256582803032,1.2793167131385117,0.22916622361886152
delivering,6,16,22,0.6124256582803032,1.2793167131385117,0.22916622361886152
afford,3,6,9,0.8997430774434267,1.2724298737266366,0.49999920549300525
sails,3,6,9,0.8997430774434267,1.2724298737266366,0.49999920549300525
sprinting,2,25,27,-0.9346628357603741,-1.2719201012577779,0.5399956822334895
momentum,1,18,19,-1.2991422536686015,-1.2644994716248497,1.0555434419011447
open,3,31,34,-0.7443941476303833,-1.2311370618398725,0.36558897419831343
well,2,24,26,-0.8937645242471266,-1.2143915170701791,0.5416625065667814
marker,5,13,18,0.6375964348963867,1.211620792911722,0.2769225515896157
overall,5,13,18,0.6375964348963867,1.211620792911722,0.2769225515896157
showcasing,14,97,111,-0.34559989251358303,-1.2088237122300352,0.08173748232158769
side,1,17,18,-1.2419078816833053,-1.206924062423038,1.0588120490343664
upfield,16,56,72,0.3411993478947686,1.2036396108136256,0.08035694950027482
moment,6,17,23,0.5517245664640216,1.1618737228217624,0.22548973941279932
excellent,6,17,23,0.5517245664640216,1.1618737228217624,0.22548973941279932
balance,6,17,23,0.5517245664640216,1.1618737228217624,0.22548973941279932
gain,43,174,217,0.19726539292654266,1.1583251326112318,0.029002861239601503
contested,4,36,40,-0.606251680836122,-1.1502850187305327,0.2777761691536847
where,1,16,17,-1.1812073078480774,-1.1459452605029614,1.0624891525948537
modest,4,10,14,0.6766701809246642,1.1437824190549677,0.3499993548605295
stretches,4,10,14,0.6766701809246642,1.1437824190549677,0.3499993548605295
cut,8,60,68,-0.4242665420767908,-1.1272130297930512,0.1416659793323153
