word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,96,755,851,0.6998191879777895,6.458479734210617,0.01174116225319792
experience,20,93,113,1.2205880098171251,4.952066143141336,0.06075266383970074
savvy,27,163,190,0.959895598156602,4.619798088211377,0.04317198431707302
sprinting,5,1,6,4.365628861224279,3.985256528002615,1.1999994862931578
younger,5,11,16,1.96764656401922,3.648114766425008,0.2909090273352685
shotgun,4,6,10,2.3505447164696847,3.641448541324653,0.41666659234563175
cut,4,7,11,2.1963853086997496,3.5042190375444657,0.39285706777773144
reliable,12,65,77,1.067115800405718,3.3963589979897906,0.09871790319668503
visiting,5,14,19,1.7264582941426427,3.313815825079913,0.27142850088123244
sometimes,3,4,7,2.4682074557278746,3.2316424190517403,0.5833332332857853
whiffs,3,5,8,2.2450551879930014,3.0741687100939328,0.5333332338117518
offense,66,702,768,0.394199081064051,3.0617922059441027,0.016576001933158273
times,14,92,106,0.8739046376617301,3.046275398434986,0.08229809109235957
experienced,4,11,15,1.7443652581638407,2.987570708669108,0.34090900352400494
completely,4,11,15,1.7443652581638407,2.987570708669108,0.34090900352400494
shine,4,11,15,1.7443652581638407,2.987570708669108,0.34090900352400494
trying,9,50,59,1.0415156443471103,2.876379278072244,0.13111104920326008
tremendous,5,270,275,-1.235146385386308,-2.7366542678099917,0.20370279782385814
running,7,37,44,1.0911444078983967,2.647316539175969,0.16988409331390855
guys,3,8,11,1.7750253905021447,2.621886590383351,0.4583332185645152
impeccably,2,3,5,2.3502954274543804,2.574619874454128,0.8333331846912635
window,2,3,5,2.3502954274543804,2.574619874454128,0.8333331846912635
unfolds,2,3,5,2.3502954274543804,2.574619874454128,0.8333331846912635
toughness,2,3,5,2.3502954274543804,2.574619874454128,0.8333331846912635
week,4,15,19,1.4341753927168117,2.548596974530593,0.31666656195406506
right,42,440,482,0.4083480914686506,2.5284722024221713,0.026082228382651063
place,5,23,28,1.2299427519576396,2.4926131862793284,0.24347816430831262
west,3,9,12,1.6572336291998733,2.485850784878566,0.44444432248173543
shore,3,9,12,1.6572336291998733,2.485850784878566,0.44444432248173543
positioning,19,166,185,0.5891287683828415,2.432514116574162,0.05865563259161118
ability,19,526,545,-0.5673447825541551,-2.4295116296461194,0.05453259518446379
gets,10,70,80,0.8103667383118749,2.3970978434995978,0.11428564708179545
tends,2,4,6,2.0626046537514924,2.3816909492408054,0.7499998456409332
cleaner,2,4,6,2.0626046537514924,2.3816909492408054,0.7499998456409332
effective,2,4,6,2.0626046537514924,2.3816909492408054,0.7499998456409332
resulted,2,4,6,2.0626046537514924,2.3816909492408054,0.7499998456409332
tackles,3,10,13,1.55186438713344,2.357451588410669,0.4333332037174681
falls,12,92,104,0.7194781119569083,2.3441510493609914,0.09420283808237521
fundamentally,5,25,30,1.1465436619675557,2.3403729506462123,0.23999989725863155
skills,19,510,529,-0.5363136328006375,-2.295373532934436,0.05459224245723819
area,6,35,41,0.9924432977282303,2.2460712533590934,0.19523799872392444
lay,3,11,14,1.4565454803448912,2.236233105076803,0.4242422866564009
protect,3,11,14,1.4565454803448912,2.236233105076803,0.4242422866564009
impact,4,193,197,-1.1220208763771868,-2.221147181643399,0.2551803330942114
sticking,2,5,7,1.8394523956211781,2.1985663912002185,0.6999998328805909
minutes,5,27,32,1.0695651392614884,2.1968440806587823,0.23703692804756893
second,6,231,237,-0.8963418010562068,-2.1676131705087807,0.17099512865983735
tone,2,146,148,-1.5359458719109744,-2.1574353194467606,0.5068462684958631
formation,5,28,33,1.0331887541252547,2.12807446986126,0.23571417358033367
maintains,3,12,15,1.369525375920153,2.121659960422629,0.41666652088312867
sails,9,67,76,0.7486972636417866,2.1089109474983094,0.12603640560863819
oof,9,67,76,0.7486972636417866,2.1089109474983094,0.12603640560863819
jump,24,241,265,0.44996737546924326,2.1021921654393974,0.045816006009297486
angle,4,20,24,1.1464496426201558,2.0931215490438917,0.29999987157328944
consistency,6,38,44,0.9101789657723174,2.071896210301262,0.19298235301263245
pure,2,6,8,1.6571221291902862,2.029552107466215,0.6666664837226032
elevating,2,6,8,1.6571221291902862,2.029552107466215,0.6666664837226032
gain,20,196,216,0.474170280265497,2.0199967235559178,0.05510199589806057
bounce,3,13,16,1.2894739404469764,2.013190922486691,0.41025625610711053
instinct,4,21,25,1.0976507423780575,2.0120274960084767,0.29761891431958826
sound,11,92,103,0.6323288528716358,1.9820508602566342,0.10177858504652838
turn,11,93,104,0.6215091813940541,1.949255863146701,0.10166170733272084
afc,4,22,26,1.0511219905225282,1.93378365772603,0.29545440725432043
diagnoses,3,14,17,1.2153572401907642,1.91031165030944,0.4047617421190553
comeback,3,14,17,1.2153572401907642,1.91031165030944,0.4047617421190553
defender,3,14,17,1.2153572401907642,1.91031165030944,0.4047617421190553
changing,17,426,443,-0.46710564476174277,-1.8886129418010469,0.06117082085798718
fans,2,7,9,1.5029627380813224,1.8745241691014884,0.6428569425054003
further,2,7,9,1.5029627380813224,1.8745241691014884,0.6428569425054003
stifling,2,7,9,1.5029627380813224,1.8745241691014884,0.6428569425054003
texas,2,7,9,1.5029627380813224,1.8745241691014884,0.6428569425054003
poor,2,7,9,1.5029627380813224,1.8745241691014884,0.6428569425054003
loss,4,23,27,1.0066614915923804,1.8582134237652435,0.2934781177446163
bright,4,23,27,1.0066614915923804,1.8582134237652435,0.2934781177446163
energy,22,229,251,0.4138599269199865,1.8541539272947065,0.049821314594364806
disciplined,14,131,145,0.5201543120909253,1.849899082035196,0.0790620976156972
better,30,334,364,0.34678002299079136,1.8194387527221612,0.03632731174496407
oooh,3,15,18,1.1463556403437023,1.8125478039994154,0.39999982876438595
best,3,15,18,1.1463556403437023,1.8125478039994154,0.39999982876438595
tries,3,15,18,1.1463556403437023,1.8125478039994154,0.39999982876438595
piece,5,33,38,0.8688419963616303,1.810469026511743,0.2303029022966547
hold,9,75,84,0.6358317533526794,1.8024142290057639,0.12444435784120314
secure,11,99,110,0.5589362905149757,1.7586526407231897,0.10101002524542625
final,6,44,50,0.763523021615379,1.7544428713371911,0.1893938229277848
reaching,5,34,39,0.8389802916087401,1.7516367180315695,0.22941163350179744
go,32,365,397,0.3225665659548982,1.7496280158712212,0.03398969386514836
impressive,1,91,92,-1.7560001327493824,-1.7464371210166127,1.0109814362452079
counting,2,8,10,1.3694226331183579,1.7321981430468518,0.6249997813246929
minor,2,8,10,1.3694226331183579,1.7321981430468518,0.6249997813246929
allow,2,8,10,1.3694226331183579,1.7321981430468518,0.6249997813246929
raw,2,8,10,1.3694226331183579,1.7321981430468518,0.6249997813246929
dropping,2,8,10,1.3694226331183579,1.7321981430468518,0.6249997813246929
haunt,4,25,29,0.9232624095484256,1.714455706033463,0.28999984696641856
fingers,4,25,29,0.9232624095484256,1.714455706033463,0.28999984696641856
drive,2,104,106,-1.196363729302063,-1.6758799402705291,0.5096132022094679
hauls,4,26,30,0.8840329596615621,1.6459802448571181,0.2884613804490633
close,14,139,153,0.4608076198860296,1.643408518529093,0.07862275111723913
authoritative,3,123,126,-0.9587217410343909,-1.640669935481744,0.34146226140454494
