word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,85,280,365,0.5765481808183308,4.655622233277445,0.015336128727481321
your,13,14,27,1.6926820355571763,4.394700085472392,0.148351617473694
impressive,24,346,370,-0.9048544383882708,-4.286687807186325,0.0445567730889411
quickness,45,466,511,-0.5739625938404274,-3.676821870586946,0.024368118535106273
hard,28,74,102,0.7952676321008374,3.5843314632402716,0.049227783791982616
incredible,9,173,182,-1.1914941067324714,-3.4849852578104197,0.1168912241052702
integrity,11,17,28,1.331293289930695,3.4404526097062247,0.14973258624919267
displays,11,18,29,1.2741227333524563,3.3292385244353904,0.14646461230115246
absolute,7,140,147,-1.2308996754782093,-3.178172602694566,0.1499996878671696
need,42,141,183,0.5562201225213315,3.1641381382155154,0.030901710668956417
athleticism,5,117,122,-1.3877653039662752,-3.038887140447827,0.2085465011523341
slow,17,42,59,0.8622780995271322,2.999649562478265,0.08263302856207888
dominant,22,249,271,-0.6618394793896556,-2.9756325125918757,0.04947055114696879
gets,46,165,211,0.4899992841569194,2.9388349293537988,0.027799725341960423
agility,5,108,113,-1.307613253851529,-2.8584951514474617,0.2092587891465149
lapse,4,2,6,2.4594428715811514,2.8399203763542524,0.7499998054031037
allowing,22,65,87,0.6834657398029149,2.77092784016078,0.06083914004648127
steady,7,11,18,1.3144147191904976,2.718576594901691,0.23376618020203277
flashiest,7,11,18,1.3144147191904976,2.718576594901691,0.23376618020203277
isn,4,3,7,2.0539657049212092,2.689272667205587,0.5833332072057078
lunge,4,3,7,2.0539657049212092,2.689272667205587,0.5833332072057078
quite,20,59,79,0.6849360116966086,2.6471437922810392,0.06694912968947325
power,44,391,435,-0.4201125526316991,-2.6420190783029898,0.025284793869555833
past,13,162,175,-0.7576563178766422,-2.6283469371170116,0.08309580826762511
look,51,198,249,0.4108166198877248,2.6161708835841946,0.024658337592993417
display,12,153,165,-0.7805021232434912,-2.603566916150004,0.08986916139402637
hold,16,44,60,0.7550380244520918,2.586304159166649,0.08522724518618527
slim,9,19,28,1.0192304867970954,2.5187873494311064,0.16374264613237285
raw,2,70,72,-1.7900175392769162,-2.4960647403159175,0.5142838446369619
wants,29,101,130,0.5190463483309395,2.4637363697574934,0.044383731354214466
forward,15,42,57,0.7369726976774187,2.450102858936556,0.09047616083039284
end,16,46,62,0.7105619565571466,2.4481898143426153,0.08423910225839312
wrecking,2,66,68,-1.7311285935193856,-2.4119182487445983,0.5151497491919017
easily,3,2,5,2.1716897825276167,2.378967231063992,0.8333331459437208
piece,3,2,5,2.1716897825276167,2.378967231063992,0.8333331459437208
punt,21,68,89,0.5917176550790542,2.3701929818827723,0.062324907029125326
showcasing,4,78,82,-1.2050407019162064,-2.3505664196062663,0.26281997952450026
effort,55,227,282,0.3495732010223662,2.3259905664272127,0.0225870942822895
big,152,725,877,0.20575609790220817,2.3064488507291943,0.007958253600531652
stats,6,11,17,1.1601929750254572,2.286008243597606,0.2575756939848026
problem,2,60,62,-1.6357457495963192,-2.2756803296379076,0.5166650562163068
swat,5,8,13,1.296290485144672,2.27384419323502,0.32499992495046076
offenses,10,123,133,-0.7443471963543509,-2.263615041779212,0.108129942354519
set,12,33,45,0.7548872179789301,2.239357739384145,0.11363632691491371
frame,48,196,244,0.3601547996778196,2.2363668478632355,0.025935362499348896
across,2,57,59,-1.5844161251712192,-2.2024005997785987,0.5175423269397861
enough,7,15,22,1.004211246847504,2.19385767177459,0.20952375277859053
fundamentals,15,46,61,0.6459523110860586,2.1725018788600114,0.08840576597227115
man,11,127,138,-0.6810173925554217,-2.166791511437692,0.0987829874028803
regain,3,3,6,1.7662126072189235,2.1631600569821625,0.6666665282866415
upper,3,3,6,1.7662126072189235,2.1631600569821625,0.6666665282866415
production,3,3,6,1.7662126072189235,2.1631600569821625,0.6666665282866415
time,32,122,154,0.42854403151146236,2.1576951571426433,0.039446704629355546
consistent,21,72,93,0.5345106081210913,2.1552161560212166,0.06150791275942123
sheer,6,87,93,-0.9087427094364182,-2.1529554596427136,0.17816065015410426
improving,6,12,18,1.0731694650332342,2.146339208513785,0.2499999351343679
firing,4,70,74,-1.0967300113845617,-2.133355733345329,0.26428523271345816
job,58,249,307,0.3101260807750368,2.127075353182849,0.021257433582018405
exactly,16,51,67,0.6073169538608267,2.119449933710755,0.0821078133013436
may,19,64,83,0.5521651468696342,2.1134735353475693,0.06825655298237902
factor,4,6,10,1.3607822094396163,2.1081149710133085,0.4166665729718604
lunges,4,6,10,1.3607822094396163,2.1081149710133085,0.4166665729718604
generate,9,23,32,0.8281266790255168,2.106235973953263,0.15458932470108283
engages,12,35,47,0.6960224207245531,2.080649944969745,0.11190472404853555
closes,5,76,81,-0.9558266917286975,-2.07027857193372,0.2131575570184424
impact,78,353,431,0.2575364405464766,2.05842389586102,0.015653366299051796
eyes,23,83,106,0.4833164640070162,2.0510757908989525,0.055526431247488725
every,7,91,98,-0.7995211389344288,-2.0383883277158588,0.15384594504814939
force,85,627,712,-0.23384889555385424,-2.0231995925197586,0.013359591798459558
effectively,17,57,74,0.5567141430880174,2.0145514595923064,0.07636736012235074
jump,6,13,19,0.9931146234835868,2.0121944044324716,0.2435896771461847
nightmare,5,74,79,-0.9291341575317649,-2.0107870411606936,0.21351318405605965
valuable,11,32,43,0.698588550111932,1.9987507536850333,0.12215904966865851
push,47,199,246,0.32380338502118633,1.996592332188478,0.026301709170346223
such,3,57,60,-1.178880924100235,-1.9901820260148853,0.3508764991670018
expect,23,208,231,-0.43690228281767407,-1.988264304958059,0.04828590730304248
change,7,17,24,0.8790238278793892,1.9573503669160783,0.20168061281661084
example,4,64,68,-1.007045029590346,-1.9539559941976776,0.2656245571913628
kid,3,4,7,1.4785184414726498,1.9358352591210022,0.5833332072057078
crashes,3,4,7,1.4785184414726498,1.9358352591210022,0.5833332072057078
guys,3,4,7,1.4785184414726498,1.9358352591210022,0.5833332072057078
yet,3,4,7,1.4785184414726498,1.9358352591210022,0.5833332072057078
particular,8,21,29,0.8012686319280498,1.928563091113783,0.17261899376660322
mental,8,21,29,0.8012686319280498,1.928563091113783,0.17261899376660322
allows,4,7,11,1.206619411163981,1.9250988431974678,0.3928570482062692
stood,4,7,11,1.206619411163981,1.9250988431974678,0.3928570482062692
starting,4,7,11,1.206619411163981,1.9250988431974678,0.3928570482062692
powerhouse,1,41,42,-1.947959312899937,-1.9246337145241121,1.0243858823566596
interior,4,63,67,-0.991284535966205,-1.9224787881117225,0.26587257952193755
powering,41,172,213,0.3329393284846178,1.9157178650124955,0.030204183492950124
got,129,628,757,0.18485707244851568,1.9123303714564588,0.00934428975199985
able,48,207,255,0.30541667608308654,1.906463741371332,0.025664239103471972
perfect,1,40,41,-1.9232546448537367,-1.8996594801923214,1.0249957421719578
lower,3,53,56,-1.1060730628182691,-1.8637547519769428,0.3522006100202514
demonstrated,10,108,118,-0.6141116689176505,-1.8578834634070573,0.10925913574311012
cylinders,3,52,55,-1.0870127414773467,-1.8306949396915362,0.3525634662123836
come,22,194,216,-0.4115747672403378,-1.8295078291635627,0.050609137716918044
opposing,22,194,216,-0.4115747672403378,-1.8295078291635627,0.050609137716918044
picks,5,11,16,0.9778003698214217,1.812890655565342,0.2909090107630474
needed,5,11,16,0.9778003698214217,1.812890655565342,0.2909090107630474
rep,1,36,37,-1.8178459088863006,-1.7931155113377253,1.0277739347830295
plays,36,288,324,-0.3143494488897609,-1.7782297655262944,0.031249973648353867
broadcast,2,42,44,-1.2788528457884825,-1.7669910646594078,0.5238083795879436
decent,4,8,12,1.0730758974722772,1.7523258300555908,0.37499990270155187
ooh,4,8,12,1.0730758974722772,1.7523258300555908,0.37499990270155187
onto,7,19,26,0.7677739149644189,1.73649112848305,0.19548865926009742
positive,13,44,57,0.5471853083518132,1.7333852544034578,0.09965031159028948
nice,8,23,31,0.7102725699683585,1.730426591073494,0.16847820451678625
block,45,198,243,0.2852256655619563,1.7271275893918592,0.02727271417523378
technique,108,527,635,0.18224656982489762,1.7254000259565052,0.011156786578636634
hitting,3,5,8,1.2553627863377237,1.7189764920154862,0.5333332078687821
engage,3,5,8,1.2553627863377237,1.7189764920154862,0.5333332078687821
sloppy,3,5,8,1.2553627863377237,1.7189764920154862,0.5333332078687821
seconds,3,5,8,1.2553627863377237,1.7189764920154862,0.5333332078687821
manages,1,33,34,-1.7307983682626968,-1.7051584160370636,1.0302994983838034
lead,18,67,85,0.45218077854227,1.703242080316441,0.07048089949715272
often,2,40,42,-1.2300384668957083,-1.6976161316153435,0.5249989075350936
make,164,832,996,0.1436309274924117,1.6811327227859907,0.0072994800598864245
talented,1,32,33,-1.700014655357875,-1.6740614915058902,1.031246571760761
extend,5,12,17,0.8907768625024479,1.6734785723090944,0.28333325050713193
react,5,12,17,0.8907768625024479,1.6734785723090944,0.28333325050713193
qb,12,116,128,-0.5032043065061025,-1.659431012553974,0.09195392974798507
reaction,3,47,50,-0.9858559950452461,-1.6555350904634065,0.35460935014631306
sports,3,47,50,-0.9858559950452461,-1.6555350904634065,0.35460935014631306
minutes,6,16,22,0.7854388531966965,1.6407285125042548,0.2291665943234738
couldn,6,16,22,0.7854388531966965,1.6407285125042548,0.2291665943234738
little,16,144,160,-0.4318016883672655,-1.6385729740104114,0.0694443787780511
massive,7,78,85,-0.6452124976178766,-1.6352715558154278,0.1556774741926203
situation,7,78,85,-0.6452124976178766,-1.6352715558154278,0.1556774741926203
matchup,14,50,64,0.493458104758858,1.6319596106903762,0.09142853488269803
oh,2,38,40,-1.1787209584022236,-1.6247563219489602,0.5263147487505027
crucial,42,320,362,-0.2655220794872184,-1.617879471295001,0.026934502144355964
deep,11,37,48,0.5533458001801543,1.6112884221060186,0.11793607312629162
opportunities,4,9,13,0.9552807389536007,1.5896834623151264,0.3611110101289384
pickup,4,9,13,0.9552807389536007,1.5896834623151264,0.3611110101289384
plug,4,9,13,0.9552807389536007,1.5896834623151264,0.3611110101289384
double,4,9,13,0.9552807389536007,1.5896834623151264,0.3611110101289384
barrels,2,37,39,-1.152040604499934,-1.586908041446489,0.5270260121683084
arms,10,33,43,0.5724234771347039,1.5857702310335777,0.1303029815774515
deal,4,53,57,-0.8183203649160511,-1.5781713762968992,0.2688675526886448
running,125,628,753,0.15307156066293803,1.5629027959872925,0.009592351488135104
disruptive,29,230,259,-0.3054829035639246,-1.5502442398667229,0.0388305522372041
savvy,5,13,18,0.8107220237470107,1.540609118713235,0.27692299114384933
continues,1,28,29,-1.5664350473295343,-1.5391928596597078,1.035711272118185
pad,9,90,99,-0.537002804438993,-1.5360370581161644,0.12222209410550061
season,30,236,266,-0.29733576434827746,-1.533992164012065,0.03757059029903984
city,7,21,28,0.6676661771547625,1.529815662506635,0.19047612458095226
fast,6,17,23,0.724802095210773,1.5263554431954076,0.22549012151164066
side,36,159,195,0.28127849515519543,1.52394446682475,0.034067069537557185
sign,3,6,9,1.073029120386078,1.5174925317375012,0.4999998702687358
pads,3,6,9,1.073029120386078,1.5174925317375012,0.4999998702687358
fighting,3,6,9,1.073029120386078,1.5174925317375012,0.4999998702687358
reckless,3,6,9,1.073029120386078,1.5174925317375012,0.4999998702687358
reacting,3,6,9,1.073029120386078,1.5174925317375012,0.4999998702687358
anchoring,3,6,9,1.073029120386078,1.5174925317375012,0.4999998702687358
perfectly,21,85,106,0.3683673955048601,1.5116368062890788,0.059383727032690264
years,10,34,44,0.5425583670196756,1.5082025433976727,0.12941171509019028
turnover,2,35,37,-1.0964465401736891,-1.5081204018915935,0.5285704654269163
loose,3,43,46,-0.8968600081485665,-1.5018996730250478,0.3565886142487962
boom,3,43,46,-0.8968600081485665,-1.5018996730250478,0.3565886142487962
impactful,7,74,81,-0.5925201657231636,-1.4983930377845245,0.15637048327266706
today,10,96,106,-0.4961827381656265,-1.4932225987114152,0.11041655546093683
idea,2,3,5,1.3606765048593417,1.4905465979452777,0.8333331459437208
potent,2,3,5,1.3606765048593417,1.4905465979452777,0.8333331459437208
knocked,2,3,5,1.3606765048593417,1.4905465979452777,0.8333331459437208
afford,2,3,5,1.3606765048593417,1.4905465979452777,0.8333331459437208
lambeau,2,3,5,1.3606765048593417,1.4905465979452777,0.8333331459437208
