word,count_a,count_b,total_count,log_odds,z_score,variance
alright,88,181,269,0.5831594340735125,4.4873697816732285,0.01688849282072106
veteran,143,350,493,0.40977525408299886,4.128805150324167,0.009850146298825425
savvy,18,17,35,1.3599698640159552,4.021203304670155,0.11437905604346363
athleticism,10,130,140,-1.2644254648927706,-3.853019886153966,0.1076921299216279
reliable,17,17,34,1.302752368228,3.7981436744651154,0.11764702912180908
wants,52,101,153,0.6395961784287092,3.747335443870051,0.029131750293898105
power,22,178,200,-0.7902813591648652,-3.496941016079429,0.051072470023749254
fill,18,22,40,1.1020605124559024,3.46755289660806,0.1010100749934428
positioning,19,26,45,0.9890685276280182,3.2770544528575942,0.09109309327053919
taken,35,65,100,0.6840063756688117,3.262502972142851,0.0439560306636194
heart,13,14,27,1.2284562456973722,3.189433559331976,0.14835161079521111
superdome,7,3,10,2.1496840435644913,3.1151886790986887,0.476190310170678
urgency,7,3,10,2.1496840435644913,3.1151886790986887,0.476190310170678
lining,25,42,67,0.7840299776461936,3.103773200851475,0.06380950548288304
completely,9,7,16,1.5537546830369822,3.0831367688351694,0.25396818781476327
slow,22,37,59,0.7828512935463836,2.9078066976627777,0.07248155165349743
steps,16,23,39,0.9396915052765831,2.886535913127931,0.10597823233251036
fourth,36,74,110,0.5824139502101602,2.8661743571411895,0.041291278041419174
soul,6,3,9,1.9954743568361781,2.8220273440942414,0.4999998422096247
help,6,3,9,1.9954743568361781,2.8220273440942414,0.4999998422096247
hustle,7,5,12,1.638826458597178,2.7988293793576458,0.3428570513515999
mental,23,41,64,0.7246437665897867,2.781573142482523,0.06786848469405418
place,8,7,15,1.4359126127147706,2.774447106079226,0.2678570746289008
processing,8,7,15,1.4359126127147706,2.774447106079226,0.2678570746289008
positive,10,11,21,1.2071249963027793,2.762733497027294,0.1909090424922185
receiver,46,104,150,0.48732003485250974,2.7521005470730975,0.03135450435112024
got,148,421,569,0.2585938970166204,2.706039496052704,0.009132049984490066
come,34,206,240,-0.5007975437677619,-2.7053895527402467,0.034266106716621204
little,18,130,148,-0.6761668637669258,-2.688630720996934,0.06324780448076892
edge,42,238,280,-0.4339253077892762,-2.592681975274633,0.028011183820943912
quarter,50,119,169,0.43596460041233076,2.586821334228668,0.028403351304755128
powerful,4,56,60,-1.337697709694866,-2.584679826700944,0.2678566670715927
strong,21,141,162,-0.60324138591315,-2.579009925744687,0.054711198800986176
bullet,13,19,32,0.9229943717134779,2.5643222406166384,0.1295546207789024
commentary,43,240,283,-0.418736124059345,-2.528641245388872,0.027422460679386744
over,35,77,112,0.5143953795452498,2.523291967323826,0.041558427632649546
flag,5,3,8,1.8130938002354497,2.482681288334855,0.5333331807325021
folks,122,347,469,0.2583590248610914,2.4546069280657656,0.011078561222573726
easy,6,5,11,1.4846167610489562,2.4517642031713205,0.3666665725534662
work,73,366,439,-0.3117271493343079,-2.431893117197567,0.01643085976151576
trenches,4,1,5,2.688535261899002,2.4046996872498574,1.249999329391081
lot,4,1,5,2.688535261899002,2.4046996872498574,1.249999329391081
meets,14,23,37,0.8060419742380294,2.3778518544485925,0.1149067996394661
run,126,363,489,0.24552134374158818,2.374507230278193,0.01069132451658696
swing,11,16,27,0.9277205713816796,2.3685998494665883,0.15340904942798736
analysis,45,242,287,-0.3814864389669683,-2.3499155133454455,0.026354435117871042
wait,10,14,24,0.9659148227435841,2.332906244833734,0.17142852567579994
hit,69,343,412,-0.3030429266844825,-2.2968217428724635,0.01740819415248423
react,24,50,74,0.5686669935659658,2.2899861472846057,0.06166664671284666
shed,24,50,74,0.5686669935659658,2.2899861472846057,0.06166664671284666
force,49,257,306,-0.356472024772426,-2.2868068812136975,0.02429919717623116
home,5,4,9,1.525395748213592,2.273926017948857,0.4499998835506938
facing,7,8,15,1.168774775162282,2.2582877007234154,0.2678570746289008
capitalize,7,8,15,1.168774775162282,2.2582877007234154,0.2678570746289008
lateral,6,6,12,1.3022791926111514,2.2556140119736785,0.3333332491784591
decisive,6,6,12,1.3022791926111514,2.2556140119736785,0.3333332491784591
offenses,7,63,70,-0.8958009331209675,-2.248443790408079,0.15872997617214776
looking,105,300,405,0.2535888630727108,2.2364440091932836,0.01285713765199318
wire,23,48,71,0.5669023951892127,2.235443638331653,0.06431157337059631
playing,15,27,42,0.7146870562700549,2.219314484532314,0.10370367286769742
handoff,6,57,63,-0.9498307165645938,-2.213039938720837,0.18421030296176336
diagnosing,31,71,102,0.4740199324152652,2.2019457461904812,0.046342555605963204
wraps,36,197,233,-0.3987034733668242,-2.1996651645102228,0.03285389645735781
maintaining,2,36,38,-1.5888083550404488,-2.1869883007896624,0.5277765748721366
motor,16,30,46,0.6738759718389726,2.176816095706134,0.09583330419909332
picks,12,20,32,0.7915832657068567,2.1678403639946286,0.13333329518312553
where,20,41,61,0.5847045361265781,2.1437717388012705,0.0743902200713053
look,52,135,187,0.34889505804680354,2.137679795148442,0.02663816661313182
north,8,11,19,0.9838633692217025,2.1173828182757766,0.21590903361227198
lines,29,163,192,-0.4253395725240088,-2.110464911579435,0.04061769821485446
enough,7,9,16,1.0509757111090314,2.085465545783213,0.25396818781476327
modest,7,9,16,1.0509757111090314,2.085465545783213,0.25396818781476327
face,7,9,16,1.0509757111090314,2.085465545783213,0.25396818781476327
absolute,11,79,90,-0.6701500990371416,-2.082384489451686,0.10356722304509679
powered,4,3,7,1.5898912589133118,2.081656571069434,0.5833331799260129
holding,4,3,7,1.5898912589133118,2.081656571069434,0.5833331799260129
denying,4,3,7,1.5898912589133118,2.081656571069434,0.5833331799260129
stopping,18,112,130,-0.5268418338416856,-2.0746938304574862,0.06448407502718219
authority,10,16,26,0.8323513458781671,2.0648098553877507,0.16249995435913178
slips,10,16,26,0.8323513458781671,2.0648098553877507,0.16249995435913178
moves,10,16,26,0.8323513458781671,2.0648098553877507,0.16249995435913178
earlier,6,7,13,1.1481124936689069,2.063656774244979,0.3095237304497146
say,5,5,10,1.3022361960327427,2.059016475402921,0.3999998990141509
side,27,152,179,-0.4268700521279305,-2.043962891630505,0.04361595243216789
shedding,37,196,233,-0.366140182366566,-2.042671272197828,0.032129045593354284
size,22,48,70,0.5223915333693903,2.0289864231342416,0.06628785669595894
leans,41,104,145,0.3719548092983844,2.0170416015649546,0.03400561593697765
talented,3,37,40,-1.2106999615372862,-2.016825680521208,0.3603597956403604
involving,48,242,290,-0.3167703683036578,-2.0048135821657205,0.02496554822460131
direct,19,40,59,0.5580608265089468,2.002914446483805,0.07763155366178894
get,124,371,495,0.2074736277418836,2.000129843391309,0.010759929401019512
extra,6,52,58,-0.8579429209126221,-1.9898573156166874,0.18589722981570725
crashing,14,27,41,0.6456351197771859,1.9603841600572856,0.10846557496038725
talent,10,71,81,-0.6586227789349284,-1.949950605928136,0.11408440276582868
lined,14,90,104,-0.5593495820201468,-1.9469379084873828,0.0825396139385576
incredible,8,61,69,-0.7299176478711784,-1.9411515468518419,0.14139330418807713
front,15,30,45,0.6092783812857752,1.9267077179795165,0.09999996844192494
looks,26,61,87,0.449800348484942,1.9204890210064107,0.05485496188720354
together,1,26,27,-1.9564305186419126,-1.9198616543214577,1.0384581251580631
giving,7,10,17,0.9455991643419352,1.9188087816658335,0.24285707760276792
runner,35,183,218,-0.35299048655291276,-1.9133502157028233,0.03403588615983645
control,4,40,44,-1.0009688792801867,-1.9087739755767132,0.27499964939014915
nightmare,4,40,44,-1.0009688792801867,-1.9087739755767132,0.27499964939014915
single,56,272,328,-0.27949400719486484,-1.9046456220476917,0.02153359968287803
details,2,29,31,-1.3724732358163028,-1.8773162239112118,0.534481775668909
recover,9,15,24,0.791486354976743,1.8771749825581188,0.17777772691083404
oof,9,15,24,0.791486354976743,1.8771749825581188,0.17777772691083404
secure,9,15,24,0.791486354976743,1.8771749825581188,0.17777772691083404
firmly,3,2,5,1.7076312726337228,1.870616591655442,0.8333331054138893
might,3,2,5,1.7076312726337228,1.870616591655442,0.8333331054138893
pound,3,2,5,1.7076312726337228,1.870616591655442,0.8333331054138893
