word,count_a,count_b,total_count,log_odds,z_score,variance
veteran,512,188,700,0.892254936691538,10.462944306464133,0.0072722716259312386
force,50,142,192,-1.1614530619416898,-7.062855068410787,0.02704224464821582
center,83,10,93,2.0021321916960586,5.981230075865733,0.11204809579010108
experience,123,38,161,1.0606432454785537,5.71479723239442,0.03444585822013655
dominant,76,147,223,-0.7769518289917849,-5.499297061636436,0.019960610796055267
sheer,45,99,144,-0.9052631386445809,-5.035209026375819,0.032323223503609576
reliable,95,30,125,1.0383538557062808,4.958072592824614,0.043859633422945465
athleticism,21,63,84,-1.2150979619213471,-4.822271364862384,0.06349204173785888
physical,75,130,205,-0.6669464077461269,-4.599560827522173,0.021025636032722162
determination,24,62,86,-1.06548609554876,-4.432003481617723,0.05779568127817758
raw,19,55,74,-1.1792440227881764,-4.431451916015383,0.07081337354444517
massive,115,172,287,-0.5196028799305372,-4.313638960756483,0.014509602434463757
reckoned,14,45,59,-1.2838337508280242,-4.195204504282127,0.09365075971449423
left,107,160,267,-0.5192785904854516,-4.158117094293956,0.015595790923355462
burst,314,379,693,-0.3058430834231203,-4.007896710778074,0.0058232345848614865
quickly,84,33,117,0.8197039882887864,3.989888836472484,0.04220777945998339
power,240,301,541,-0.34390287382074547,-3.9739837499853903,0.0074889242236760726
tools,35,70,105,-0.8095136536812992,-3.9103229479809545,0.0428571318440756
savvy,47,13,60,1.170309359550994,3.7346142080503704,0.09819963338285584
work,219,269,488,-0.3227786848593732,-3.546444598043681,0.008283680425550777
hold,42,12,54,1.1377986531417061,3.4760329787386075,0.10714281545053779
seasoned,35,8,43,1.3608932371332099,3.472713429370992,0.15357135590224713
explodes,190,233,423,-0.3209296040474783,-3.283177804939735,0.009555001382986848
combination,11,31,42,-1.1520732072958095,-3.282711313258089,0.12316711525420324
effective,34,61,95,-0.7007026602558106,-3.273982790116953,0.04580519625739768
balance,127,166,293,-0.3844760937552918,-3.2613054908649888,0.013898109173371058
show,51,19,70,0.8724447496190422,3.2460175992069273,0.07223939938698995
physicality,170,210,380,-0.32811019189063284,-3.1802559675243884,0.010644255465828121
across,28,6,34,1.4253392286072994,3.168352760115704,0.20238085084516283
doesn,58,24,82,0.7674743733165634,3.1621075528435085,0.0589080288383598
engage,45,16,61,0.9190805959999464,3.157584624336657,0.0847221946332731
getting,128,72,200,0.460764140284879,3.1277710781799257,0.021701383668534146
pounds,5,21,26,-1.550963994911183,-3.1168061385655794,0.24761893465880086
opening,77,109,186,-0.4639443043687397,-3.1165064802342095,0.0221613200798315
receiver,96,50,146,0.5375824437683931,3.0824023171079276,0.03041665903543188
flashiest,32,9,41,1.1534179649364562,3.056969548485591,0.14236105496674858
impressive,47,74,121,-0.5701380031487009,-3.0566952587048224,0.03479010135659197
pound,32,56,88,-0.675734790690707,-3.0493269906147824,0.049107131139370125
creating,276,315,591,-0.24920758672394694,-3.0225770612358587,0.006797790170704585
incredible,18,38,56,-0.863212499639971,-3.016836789395214,0.08187132327704179
yikes,35,11,46,1.0423741746070574,3.0156099660006888,0.11948047654403865
gaping,66,95,161,-0.48053197597952835,-2.9987701017370925,0.02567782530818722
enough,33,10,43,1.0788267641251146,2.988646399488036,0.13030298204523927
running,791,815,1606,-0.14785576076755103,-2.962324091311315,0.0024912158558249766
away,46,18,64,0.8232523016411131,2.961134953357005,0.07729466257749427
potential,32,55,87,-0.6576944465884926,-2.9581550513045567,0.04943180649256477
job,192,122,314,0.3390290226400019,2.9282127858081677,0.013405051600797973
open,164,101,265,0.3702137544916626,2.9269295813802234,0.015998547391640135
around,27,7,34,1.2347797261793918,2.911260216665794,0.17989410377749107
stronger,47,19,66,0.7906889240219206,2.908435796005398,0.07390815282857441
bull,23,5,28,1.4108750874775104,2.859292446731399,0.24347814030572776
pro,35,12,47,0.9553410059019347,2.855842209881946,0.1119047244119726
mammoth,3,16,19,-1.7897855310016464,-2.844755424791368,0.39583310870635563
through,494,525,1019,-0.17825332587195675,-2.8437651036137415,0.003929052593517063
absolute,11,27,38,-1.013835590622186,-2.834353557756555,0.1279460903074231
backfield,63,30,93,0.6269888971885766,2.826502250967137,0.04920633617635632
trying,26,7,33,1.19701996754754,2.8111253266575678,0.18131860707591269
become,16,33,49,-0.8398466620051872,-2.7568870828579186,0.0928030060036284
hole,490,518,1008,-0.17288445621332293,-2.743396920463867,0.003971317439358907
defensive,636,481,1117,0.1657018234125207,2.742217154606135,0.0036513283429217363
loss,27,8,35,1.101226566918399,2.7357072128910196,0.16203697588953309
technical,29,49,78,-0.6405489326534584,-2.734022601195568,0.054890909013447224
always,32,11,43,0.9527036999626013,2.7258065351168526,0.1221590500645855
