word,count_a,count_b,total_count,log_odds,z_score,variance
athleticism,8,24,32,-2.357725380317726,-5.775226916884768,0.16666650612485012
legs,12,21,33,-1.818188418534576,-5.024378322536838,0.13095229310484952
ability,63,46,109,-0.9454579902000546,-4.875041418582794,0.03761212348593017
running,7,13,20,-1.8767520117374215,-4.00325024336955,0.21978006763282174
back,475,85,560,0.4710317239068198,3.999565134430698,0.013869945924947412
mobility,15,17,32,-1.3831017355130566,-3.9043554961446403,0.1254901229824285
tucks,9,13,22,-1.6253634751224109,-3.748281683451993,0.18803407192894384
playmaking,17,17,34,-1.2578643709627588,-3.6672743784141324,0.11764699082931422
picking,5,10,15,-1.9505424256836594,-3.561188239429063,0.299999783268483
threat,3,9,12,-2.355950900992811,-3.5339280535193143,0.4444440163329336
elite,15,15,30,-1.2576773299478328,-3.4442922136923917,0.1333332562732228
using,9,11,20,-1.458048292432978,-3.2439536184969615,0.20202008290371853
quarterbacks,9,11,20,-1.458048292432978,-3.2439536184969615,0.20202008290371853
first,78,41,119,-0.6156007428937524,-3.1912809270554128,0.037210730613826556
through,63,35,98,-0.6707228703107209,-3.1815190062476786,0.04444441419122029
weaving,2,7,9,-2.5098774887747917,-3.130368927534553,0.6428564395858019
veteran,132,18,150,0.7387142429743188,2.94004873861473,0.0631311768589072
agility,1,6,7,-3.0487798541652484,-2.8226241837448134,1.16666458765201
become,10,10,20,-1.257210001905099,-2.8112078386225097,0.19999988440983416
execution,62,5,67,1.2630686077292497,2.7168844621200683,0.21612825276973116
scrambles,7,8,15,-1.3905916309510573,-2.686879079935928,0.2678569866666697
drops,298,58,356,0.38390577780264845,2.674989691728274,0.02059705226868786
surveying,60,5,65,1.2302044827497252,2.6429077988452336,0.21666591011536407
scrambling,1,5,6,-2.8663281074418174,-2.61658956869834,1.1999981967954012
evades,1,5,6,-2.8663281074418174,-2.61658956869834,1.1999981967954012
raw,2,5,7,-2.17314458005104,-2.5974056626470747,0.6999994133801136
opening,2,5,7,-2.17314458005104,-2.5974056626470747,0.6999994133801136
honest,2,5,7,-2.17314458005104,-2.5974056626470747,0.6999994133801136
before,20,14,34,-0.9006862089266692,-2.584718216891571,0.12142849673727703
impressive,20,14,34,-0.9006862089266692,-2.584718216891571,0.12142849673727703
spots,34,20,54,-0.7269968489770999,-2.579825009053602,0.07941171219535613
alright,121,18,139,0.6512927442881473,2.5780907977051957,0.06381989164815685
run,4,6,10,-1.6623755525942467,-2.5753419383640637,0.4166664057861024
years,6,7,13,-1.4111175174699477,-2.536391442302827,0.30952362850463166
talented,8,8,16,-1.2570231803944143,-2.514047087286733,0.24999985551229273
display,10,9,19,-1.1517189905715082,-2.506635051761122,0.21111098842142645
playmaker,3,5,8,-1.7676426421083757,-2.4204451644360443,0.5333329839942043
quarter,64,7,71,0.9581594489139533,2.406845427964929,0.1584817191295533
continue,29,17,46,-0.7233363279009231,-2.3680178116058217,0.09330622623034768
nothing,1,4,5,-2.643054388039512,-2.3640211636344532,1.2499984648193432
tucking,1,4,5,-2.643054388039512,-2.3640211636344532,1.2499984648193432
areas,1,4,5,-2.643054388039512,-2.3640211636344532,1.2499984648193432
league,76,35,111,-0.48264051776368255,-2.3626711174767054,0.04172929157019662
analysis,83,37,120,-0.4501045020586725,-2.2769988476058005,0.03907518943423122
opposing,2,4,6,-1.9498707306100362,-2.251517595696874,0.7499994581712073
commentary,84,37,121,-0.4380910799161928,-2.2203037912020545,0.038931758435005695
single,87,38,125,-0.42968731985825137,-2.20978044960271,0.03781001255971991
tremendous,12,9,21,-0.9693232610136038,-2.1982191948469043,0.19444432738264872
broadcaster,10,8,18,-1.0338054843092808,-2.1794539708811054,0.22499986671009292
kid,10,8,18,-1.0338054843092808,-2.1794539708811054,0.22499986671009292
onto,6,6,12,-1.256836421520923,-2.1769051679494567,0.33333314068305697
tight,96,15,111,0.6016321919082852,2.1669616944514694,0.07708318729185228
folks,189,37,226,0.3767562297788283,2.0957444252908934,0.03231798278457764
