word,count_a,count_b,total_count,log_odds,z_score,variance
fullback,18,3,21,3.932840698146416,6.30657918212098,0.3888884144784236
may,30,78,108,1.1861719957613444,5.521331790643918,0.0461538189033241
flashiest,9,8,17,2.2570625791731436,4.644997392148136,0.23611101704556153
gritty,9,9,18,2.1392574710180012,4.538051291117343,0.22222213430050736
barreling,8,8,16,2.139091744202889,4.278184334732794,0.2499999010880708
snap,31,116,147,0.8214271502996544,4.062752813131337,0.04087872174993464
shoulder,18,56,74,1.0049301390054088,3.7089452718561,0.07341264856268682
fought,19,62,81,0.9572700349003531,3.6506042383445525,0.06876056264987669
determination,42,195,237,0.6060244995902488,3.5625270303429803,0.028937701126387366
fights,10,22,32,1.3507007430365663,3.541568156212964,0.145454469071661
grind,13,35,48,1.14903569208131,3.537681499916368,0.10549444155639985
barrels,15,45,60,1.0409769101463535,3.4915438523266618,0.08888883027443241
toughness,7,11,18,1.6868526356058098,3.4888825446829665,0.2337661316679085
lowers,11,29,40,1.1697906713459512,3.3034948120456864,0.1253917747245012
block,4,3,7,2.4261332585285658,3.1765547412264925,0.5833330929224001
wall,11,31,42,1.1030550781937656,3.143039788928475,0.12316707811332309
nosed,16,56,72,0.8867708944735337,3.1282348469308023,0.08035708267733525
agility,5,167,172,-1.3735439948024775,-3.0263769797605913,0.20598666171263277
hard,43,222,265,0.4994664619474767,2.997742601371593,0.027760289042060824
didn,10,29,39,1.0742926338954746,2.929472548916909,0.13448267229565466
doesn,5,8,13,1.6685249813925882,2.9267870748134888,0.3249998569486316
lowering,7,16,23,1.3120487585381966,2.8953107641478937,0.20535703222783042
straight,6,12,18,1.4454807943949257,2.8909623036664875,0.24999987636010562
inch,6,12,18,1.4454807943949257,2.8909623036664875,0.24999987636010562
bruising,7,17,24,1.2514020469513971,2.786537184996545,0.20168055894733572
hands,25,115,140,0.613864964804204,2.781813184556168,0.04869560576723438
every,19,81,100,0.6895346259133186,2.7050517806050065,0.0649772001457483
while,23,105,128,0.6213000275377043,2.6987034304146706,0.05300202023003514
immediately,14,53,67,0.8079896136980445,2.6888743198936833,0.09029642361497228
oof,7,18,25,1.1942215422859634,2.6810214981150327,0.19841258221800134
move,13,48,61,0.8328952006456349,2.6638999344277146,0.09775633361504561
attack,9,28,37,1.0038577321221345,2.6198216347297163,0.14682529712537365
afraid,3,3,6,2.1382636317168817,2.618827934695102,0.6666664029015221
looks,3,3,6,2.1382636317168817,2.618827934695102,0.6666664029015221
rumbles,10,33,43,0.9449924689293567,2.6178890969873096,0.13030293742758206
bigger,10,33,43,0.9449924689293567,2.6178890969873096,0.13030293742758206
exactly,7,19,26,1.1401322292243803,2.578662480878936,0.19548860258908177
able,11,39,50,0.873303737378321,2.558050577817807,0.11655002830167534
forward,34,180,214,0.4735802122663282,2.5325767045559653,0.034967282333482716
lanes,6,15,21,1.2222709968136867,2.5303420830674006,0.2333331994725545
got,56,664,720,-0.3393960751413996,-2.439041184479251,0.01936312121182897
blockers,5,128,133,-1.1067166815291571,-2.4277374849052995,0.2078114459763245
bruiser,3,4,7,1.8505595579011729,2.4229517141767336,0.5833330929224001
invaluable,3,4,7,1.8505595579011729,2.4229517141767336,0.5833330929224001
gained,3,4,7,1.8505595579011729,2.4229517141767336,0.5833330929224001
diminutive,3,4,7,1.8505595579011729,2.4229517141767336,0.5833330929224001
tough,31,165,196,0.46798518083681095,2.390711226977117,0.03831862880557329
alright,29,152,181,0.4832700341749421,2.3849078648441395,0.04106166186372002
defensive,8,26,34,0.9600391093143639,2.3745498269187095,0.1634614234179384
passing,4,8,12,1.4451938289521555,2.3599922238130184,0.3749998145401584
bursts,44,538,582,-0.36958229998985637,-2.3570439271878443,0.02458594891933402
effort,14,59,73,0.7006113186111129,2.3567088572861827,0.08837764614313509
sideline,5,119,124,-1.0336106868448525,-2.2641523979498026,0.20840237841039183
maximizing,3,5,8,1.6273939849514818,2.2284014883738363,0.533333094186287
aspect,3,5,8,1.6273939849514818,2.2284014883738363,0.533333094186287
split,4,9,13,1.3273887345347362,2.2089089632429855,0.36111091862975425
error,4,9,13,1.3273887345347362,2.2089089632429855,0.36111091862975425
