word,count_a,count_b,total_count,log_odds,z_score,variance
solidify,2,3,5,-2.9847566680485667,-3.2696382867260168,0.8333327342775233
struck,2,3,5,-2.9847566680485667,-3.2696382867260168,0.8333327342775233
read,8,4,12,-1.886401848565594,-3.0804825967906297,0.37499968895183805
jar,4,3,7,-2.2915385547609013,-3.000329289827544,0.5833329301226758
swivel,4,3,7,-2.2915385547609013,-3.000329289827544,0.5833329301226758
hit,86,15,101,-0.8356589840749598,-2.9865079865530277,0.0782944201782778
times,20,6,26,-1.3760906516700686,-2.9563187329604808,0.21666640547849286
talented,9,4,13,-1.7685832058982003,-2.9431016695876453,0.36111078828666715
toughness,5,3,8,-2.0683594605192575,-2.8322188988678487,0.5333329322424466
elite,5,3,8,-2.0683594605192575,-2.8322188988678487,0.5333329322424466
big,99,16,115,-0.7594330954910165,-2.8185039338008386,0.07260085716432436
get,224,5,229,1.2299163838246159,2.7200074042093223,0.20446124509559213
showing,11,4,15,-1.5678412825343946,-2.685239509747563,0.3409087387306836
boom,25,6,31,-1.152768765500304,-2.5357550599283494,0.2066663645068742
ohhh,7,3,10,-1.7318160915606589,-2.509641093656561,0.4761900398296871
contest,7,3,10,-1.7318160915606589,-2.509641093656561,0.4761900398296871
power,40,8,48,-0.9708548053219799,-2.5067384908104953,0.14999974120819673
dropping,3,2,5,-2.173320607140232,-2.3807542981660266,0.8333327342775233
killer,3,2,5,-2.173320607140232,-2.3807542981660266,0.8333327342775233
come,43,8,51,-0.8984270212389678,-2.3333363095746793,0.14825554041142447
upfield,9,3,12,-1.4804305005636191,-2.2206469788065224,0.444443952911715
week,9,3,12,-1.4804305005636191,-2.2206469788065224,0.444443952911715
immediately,9,3,12,-1.4804305005636191,-2.2206469788065224,0.444443952911715
necessary,4,2,6,-1.8856030538628241,-2.177307764461922,0.7499993779036761
teamer,4,2,6,-1.8856030538628241,-2.177307764461922,0.7499993779036761
pro,4,2,6,-1.8856030538628241,-2.177307764461922,0.7499993779036761
massive,4,2,6,-1.8856030538628241,-2.177307764461922,0.7499993779036761
turns,4,2,6,-1.8856030538628241,-2.177307764461922,0.7499993779036761
shed,4,2,6,-1.8856030538628241,-2.177307764461922,0.7499993779036761
reason,16,4,20,-1.1929697116944782,-2.1340506009536075,0.3124995593487412
become,5,2,7,-1.6624239983292828,-1.9869776795580667,0.6999993264771607
help,5,2,7,-1.6624239983292828,-1.9869776795580667,0.6999993264771607
tools,5,2,7,-1.6624239983292828,-1.9869776795580667,0.6999993264771607
scoop,5,2,7,-1.6624239983292828,-1.9869776795580667,0.6999993264771607
provide,5,2,7,-1.6624239983292828,-1.9869776795580667,0.6999993264771607
well,25,5,30,-0.9699761359305397,-1.9799572044116531,0.23999958593311477
lays,33,6,39,-0.8748516141973166,-1.9712200072204311,0.1969693256546156
off,160,5,165,0.8911479854630704,1.9622537095482906,0.20624780810449625
follow,18,4,22,-1.075115412683913,-1.9449584855695659,0.3055550768234063
strength,60,9,69,-0.6829301047400635,-1.910508979550634,0.12777748878761708
why,34,6,40,-0.8449629678237569,-1.9081968938633538,0.19607805124291527
crushing,12,3,15,-1.1926416547246284,-1.847633809356618,0.416666079131655
effort,115,3,118,1.0710575643292284,1.831403839198689,0.34202463253362236
performance,44,7,51,-0.7413988610999294,-1.8219759880488648,0.16558406151780122
containing,6,2,8,-1.480066924981692,-1.8127053780674491,0.6666659293675725
value,6,2,8,-1.480066924981692,-1.8127053780674491,0.6666659293675725
gain,36,6,42,-0.7877331834079664,-1.7864127727358075,0.19444404661055195
mistake,13,3,16,-1.1125633505355124,-1.7369902894575626,0.410255789005863
flies,13,3,16,-1.1125633505355124,-1.7369902894575626,0.410255789005863
maker,13,3,16,-1.1125633505355124,-1.7369902894575626,0.410255789005863
away,89,2,91,1.2197640352070627,1.7059580072911578,0.5112284032496068
fumble,29,5,34,-0.8214134774139996,-1.696316151267,0.23448229398068376
loose,29,5,34,-0.8214134774139996,-1.696316151267,0.23448229398068376
perfectly,29,5,34,-0.8214134774139996,-1.696316151267,0.23448229398068376
expect,21,4,25,-0.9208578249638428,-1.6879617983165605,0.29761851039738874
generating,7,2,9,-1.3258807210061878,-1.6536648364474387,0.6428563354019232
demonstrated,14,3,17,-1.0384197796791934,-1.6322004305527038,0.4047612492808177
ensure,14,3,17,-1.0384197796791934,-1.6322004305527038,0.4047612492808177
booms,39,6,45,-0.7075834096628171,-1.613540210870531,0.19230726776134957
him,188,8,196,0.5820063519339485,1.6122237075019148,0.13031813101294537
giving,66,1,67,1.6135696062727263,1.6015003107751533,1.0151292809472257
changing,15,3,18,-0.969391307484833,-1.5327435600158217,0.3999993098885246
before,23,4,27,-0.8298147669219968,-1.5317702041439931,0.29347768404942637
moments,8,2,10,-1.1923137990086055,-1.5081719795311466,0.6249991186974824
football,8,2,10,-1.1923137990086055,-1.5081719795311466,0.6249991186974824
